Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.00042553,1e-13,0.16411,1.0059e-05,-1.5477e-07,0,1e-05,0,0,0,0,0,0.25,0.76514,0.00032573,1.0157e+05,1,0,0,0.2,0.1
10000,0.00045831,1e-13,0.16575,1.0071e-05,-1.5309e-07,0,1.0022e-05,-2.9264e-08,0,1.1036e-09,-1.698e-11,0,0.25,0.7626,0.00034892,1.0144e+05,1,0.001,0.001,0.2,0.1
10000,0.00049109,1e-13,0.16739,1.0082e-05,-1.5142e-07,0,1.0045e-05,-5.8528e-08,0,2.2072e-09,-3.3959e-11,0,0.25,0.76005,0.00037211,1.0131e+05,1,0.002,0.002,0.2,0.1
10000,0.00052387,1e-13,0.16903,1.0094e-05,-1.4975e-07,0,1.0067e-05,-8.7792e-08,0,3.3108e-09,-5.0939e-11,0,0.25,0.7575,0.0003953,1.0117e+05,1,0.003,0.003,0.2,0.1
10000,0.00055665,1e-13,0.17067,1.0106e-05,-1.4808e-07,0,1.009e-05,-1.1706e-07,0,4.4144e-09,-6.7918e-11,0,0.25,0.75495,0.00041849,1.0104e+05,1,0.004,0.004,0.2,0.1
10000,0.00058943,1e-13,0.17231,1.0118e-05,-1.464e-07,0,1.0112e-05,-1.4632e-07,0,5.518e-09,-8.4898e-11,0,0.25,0.7524,0.00044168,1.0091e+05,1,0.005,0.005,0.2,0.1
10000,0.0006708,1e-13,0.17556,1.0141e-05,-1.4235e-07,0,1.0135e-05,-1.4226e-07,0,6.2852e-09,-9.2453e-11,0,0.25,0.74739,0.00049783,1.0078e+05,1,0.006,0.006,0.2,0.1
10000,0.00075218,1e-13,0.17881,1.0165e-05,-1.383e-07,0,1.0158e-05,-1.382e-07,0,7.0524e-09,-1.0001e-10,0,0.25,0.74238,0.00055397,1.0064e+05,1,0.007,0.007,0.2,0.1
10000,0.00083356,1e-13,0.18206,1.0189e-05,-1.3425e-07,0,1.0181e-05,-1.3414e-07,0,7.8196e-09,-1.0757e-10,0,0.25,0.73736,0.00061012,1.005e+05,1,0.008,0.008,0.2,0.1
10000,0.00091493,1e-13,0.18531,1.0213e-05,-1.302e-07,0,1.0204e-05,-1.3009e-07,0,8.5868e-09,-1.1512e-10,0,0.25,0.73235,0.00066627,1.0037e+05,1,0.009,0.009,0.2,0.1
10000,0.00099631,1e-13,0.18856,1.0236e-05,-1.2615e-07,0,1.0227e-05,-1.2603e-07,0,9.354e-09,-1.2268e-10,0,0.25,0.72733,0.00072241,1.0023e+05,1,0.01,0.01,0.2,0.1
10000,0.001099,1e-13,0.19144,1.0261e-05,-1.2045e-07,0,1.0251e-05,-1.2032e-07,0,1.0448e-08,-1.2666e-10,0,0.25,0.72292,0.00079067,1.0009e+05,1,0.011,0.011,0.2,0.1
10000,0.0012016,1e-13,0.19433,1.0286e-05,-1.1475e-07,0,1.0274e-05,-1.1461e-07,0,1.1542e-08,-1.3065e-10,0,0.25,0.71851,0.00085894,99945,1,0.012,0.012,0.2,0.1
10000,0.0013043,1e-13,0.19722,1.0311e-05,-1.0904e-07,0,1.0298e-05,-1.0891e-07,0,1.2636e-08,-1.3464e-10,0,0.25,0.7141,0.0009272,99802,1,0.013,0.013,0.2,0.1
10000,0.001407,1e-13,0.20011,1.0335e-05,-1.0334e-07,0,1.0322e-05,-1.032e-07,0,1.3729e-08,-1.3863e-10,0,0.25,0.70969,0.00099546,99659,1,0.014,0.014,0.2,0.1
10000,0.0015096,1e-13,0.20299,1.036e-05,-9.764e-08,0,1.0345e-05,-9.7497e-08,0,1.4823e-08,-1.4262e-10,0,0.25,0.70528,0.0010637,99516,1,0.015,0.015,0.2,0.1
10000,0.0016206,1e-13,0.20532,1.0387e-05,-9.19e-08,0,1.0371e-05,-9.1758e-08,0,1.6018e-08,-1.4177e-10,0,0.25,0.70175,0.001135,99368,1,0.016,0.016,0.2,0.1
10000,0.0017315,1e-13,0.20765,1.0414e-05,-8.616e-08,0,1.0397e-05,-8.6019e-08,0,1.7213e-08,-1.4093e-10,0,0.25,0.69823,0.0012064,99219,1,0.017,0.017,0.2,0.1
10000,0.0018425,1e-13,0.20998,1.0441e-05,-8.042e-08,0,1.0423e-05,-8.028e-08,0,1.8408e-08,-1.4008e-10,0,0.25,0.6947,0.0012777,99070,1,0.018,0.018,0.2,0.1
10000,0.0019535,1e-13,0.21231,1.0468e-05,-7.468e-08,0,1.0448e-05,-7.4541e-08,0,1.9603e-08,-1.3924e-10,0,0.25,0.69117,0.001349,98921,1,0.019,0.019,0.2,0.1
10000,0.0020644,1e-13,0.21464,1.0495e-05,-6.894e-08,0,1.0474e-05,-6.8802e-08,0,2.0798e-08,-1.3839e-10,0,0.25,0.68765,0.0014203,98772,1,0.02,0.02,0.2,0.1
10000,0.0021802,1.0464e-13,0.21658,1.0526e-05,-7.013e-08,0,1.0504e-05,-6.9979e-08,0,2.2087e-08,-1.5122e-10,0,0.25,0.68474,0.0014926,98630,1,0.021,0.021,0.2,0.1
10000,0.0022959,1.0927e-13,0.21852,1.0558e-05,-7.132e-08,0,1.0535e-05,-7.1156e-08,0,2.3376e-08,-1.6405e-10,0,0.25,0.68182,0.0015649,98488,1,0.022,0.022,0.2,0.1
10000,0.0024116,1.1391e-13,0.22046,1.059e-05,-7.2509e-08,0,1.0565e-05,-7.2332e-08,0,2.4665e-08,-1.7688e-10,0,0.25,0.67891,0.0016372,98346,1,0.023,0.023,0.2,0.1
10000,0.0025274,1.1855e-13,0.2224,1.0621e-05,-7.3699e-08,0,1.0595e-05,-7.3509e-08,0,2.5954e-08,-1.8971e-10,0,0.25,0.676,0.0017095,98204,1,0.024,0.024,0.2,0.1
10000,0.0026431,1.2318e-13,0.22434,1.0653e-05,-7.4888e-08,0,1.0625e-05,-7.4686e-08,0,2.7242e-08,-2.0254e-10,0,0.25,0.67309,0.0017819,98062,1,0.025,0.025,0.2,0.1
10000,0.0027619,1.3703e-13,0.226,1.0694e-05,-8.9619e-08,0,1.0666e-05,-8.9358e-08,0,2.8637e-08,-2.6138e-10,0,0.25,0.67061,0.0018543,97951,1,0.026,0.026,0.2,0.1
10000,0.0028807,1.5088e-13,0.22767,1.0736e-05,-1.0435e-07,0,1.0706e-05,-1.0403e-07,0,3.0032e-08,-3.2022e-10,0,0.25,0.66813,0.0019267,97839,1,0.027,0.027,0.2,0.1
10000,0.0029995,1.6473e-13,0.22933,1.0778e-05,-1.1908e-07,0,1.0747e-05,-1.187e-07,0,3.1427e-08,-3.7906e-10,0,0.25,0.66565,0.0019991,97728,1,0.028,0.028,0.2,0.1
10000,0.0031183,1.7858e-13,0.23099,1.082e-05,-1.3381e-07,0,1.0787e-05,-1.3337e-07,0,3.2821e-08,-4.379e-10,0,0.25,0.66317,0.0020716,97617,1,0.029,0.029,0.2,0.1
10000,0.0032371,1.9243e-13,0.23265,1.0861e-05,-1.4854e-07,0,1.0827e-05,-1.4804e-07,0,3.4216e-08,-4.9674e-10,0,0.25,0.6607,0.002144,97506,1,0.03,0.03,0.2,0.1
10000,0.0033574,2.0155e-13,0.2341,1.0912e-05,-1.6621e-07,0,1.0877e-05,-1.6563e-07,0,3.5711e-08,-5.8118e-10,0,0.25,0.65855,0.0022158,97425,1,0.031,0.031,0.2,0.1
10000,0.0034777,2.1068e-13,0.23555,1.0963e-05,-1.8388e-07,0,1.0926e-05,-1.8321e-07,0,3.7207e-08,-6.6562e-10,0,0.25,0.6564,0.0022877,97345,1,0.032,0.032,0.2,0.1
10000,0.0035981,2.1981e-13,0.237,1.1014e-05,-2.0155e-07,0,1.0975e-05,-2.008e-07,0,3.8702e-08,-7.5006e-10,0,0.25,0.65425,0.0023595,97264,1,0.033,0.033,0.2,0.1
10000,0.0037184,2.2894e-13,0.23845,1.1064e-05,-2.1922e-07,0,1.1024e-05,-2.1838e-07,0,4.0198e-08,-8.345e-10,0,0.25,0.6521,0.0024313,97183,1,0.034,0.034,0.2,0.1
10000,0.0038388,2.3807e-13,0.2399,1.1115e-05,-2.3689e-07,0,1.1073e-05,-2.3597e-07,0,4.1693e-08,-9.1894e-10,0,0.25,0.64995,0.0025032,97103,1,0.035,0.035,0.2,0.1
10000,0.0039599,2.3798e-13,0.24119,1.1164e-05,-2.5101e-07,0,1.112e-05,-2.5e-07,0,4.3246e-08,-1.0109e-09,0,0.25,0.64806,0.0025741,97030,1,0.036,0.036,0.2,0.1
10000,0.004081,2.379e-13,0.24247,1.1212e-05,-2.6514e-07,0,1.1167e-05,-2.6404e-07,0,4.48e-08,-1.1029e-09,0,0.25,0.64616,0.0026451,96957,1,0.037,0.037,0.2,0.1
10000,0.0042021,2.3781e-13,0.24375,1.1261e-05,-2.7927e-07,0,1.1214e-05,-2.7807e-07,0,4.6353e-08,-1.1948e-09,0,0.25,0.64427,0.002716,96884,1,0.038,0.038,0.2,0.1
10000,0.0043232,2.3773e-13,0.24504,1.1309e-05,-2.9339e-07,0,1.1261e-05,-2.921e-07,0,4.7907e-08,-1.2868e-09,0,0.25,0.64238,0.0027869,96811,1,0.039,0.039,0.2,0.1
10000,0.0044443,2.3765e-13,0.24632,1.1358e-05,-3.0752e-07,0,1.1308e-05,-3.0614e-07,0,4.946e-08,-1.3788e-09,0,0.25,0.64048,0.0028579,96738,1,0.04,0.04,0.2,0.1
