Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.00042553,1e-13,0.16411,1.0059e-05,-1.5046e-07,0,1e-05,0,0,0,0,0,0.25,0.76514,0.00032573,98736,1,0,0,0.2,0.1
10000,0.00044834,1e-13,0.16532,1.007e-05,-1.4892e-07,0,1.0022e-05,-2.8537e-08,0,1.097e-09,-1.5227e-11,0,0.25,0.76326,0.00034196,98604,1,0.001,0.001,0.2,0.1
10000,0.00047114,1e-13,0.16653,1.0082e-05,-1.4738e-07,0,1.0045e-05,-5.7073e-08,0,2.194e-09,-3.0454e-11,0,0.25,0.76137,0.0003582,98473,1,0.002,0.002,0.2,0.1
10000,0.00049395,1e-13,0.16775,1.0094e-05,-1.4584e-07,0,1.0067e-05,-8.561e-08,0,3.291e-09,-4.5681e-11,0,0.25,0.75948,0.00037443,98342,1,0.003,0.003,0.2,0.1
10000,0.00051675,1e-13,0.16896,1.0106e-05,-1.443e-07,0,1.009e-05,-1.1415e-07,0,4.3879e-09,-6.0908e-11,0,0.25,0.75759,0.00039067,98210,1,0.004,0.004,0.2,0.1
10000,0.00053956,1e-13,0.17018,1.0117e-05,-1.4276e-07,0,1.0112e-05,-1.4268e-07,0,5.4849e-09,-7.6135e-11,0,0.25,0.75571,0.0004069,98079,1,0.005,0.005,0.2,0.1
10000,0.00060998,1e-13,0.17311,1.0141e-05,-1.388e-07,0,1.0135e-05,-1.3871e-07,0,6.2337e-09,-8.2244e-11,0,0.25,0.75117,0.00045574,97943,1,0.006,0.006,0.2,0.1
10000,0.0006804,1e-13,0.17605,1.0165e-05,-1.3483e-07,0,1.0158e-05,-1.3474e-07,0,6.9824e-09,-8.8354e-11,0,0.25,0.74663,0.00050457,97807,1,0.007,0.007,0.2,0.1
10000,0.00075083,1e-13,0.17899,1.0189e-05,-1.3087e-07,0,1.0181e-05,-1.3078e-07,0,7.7312e-09,-9.4463e-11,0,0.25,0.74209,0.00055341,97671,1,0.008,0.008,0.2,0.1
10000,0.00082125,1e-13,0.18192,1.0213e-05,-1.2691e-07,0,1.0204e-05,-1.2681e-07,0,8.4799e-09,-1.0057e-10,0,0.25,0.73756,0.00060224,97535,1,0.009,0.009,0.2,0.1
10000,0.00089167,1e-13,0.18486,1.0236e-05,-1.2294e-07,0,1.0227e-05,-1.2284e-07,0,9.2286e-09,-1.0668e-10,0,0.25,0.73302,0.00065108,97400,1,0.01,0.01,0.2,0.1
10000,0.00099211,1e-13,0.18792,1.0261e-05,-1.1714e-07,0,1.0251e-05,-1.1703e-07,0,1.03e-08,-1.1061e-10,0,0.25,0.72834,0.00071843,97257,1,0.011,0.011,0.2,0.1
10000,0.0010926,1e-13,0.19097,1.0286e-05,-1.1134e-07,0,1.0275e-05,-1.1122e-07,0,1.1372e-08,-1.1453e-10,0,0.25,0.72366,0.00078579,97114,1,0.012,0.012,0.2,0.1
10000,0.001193,1e-13,0.19403,1.0311e-05,-1.0553e-07,0,1.0298e-05,-1.0541e-07,0,1.2444e-08,-1.1846e-10,0,0.25,0.71898,0.00085315,96971,1,0.013,0.013,0.2,0.1
10000,0.0012934,1e-13,0.19708,1.0336e-05,-9.9729e-08,0,1.0322e-05,-9.9606e-08,0,1.3516e-08,-1.2238e-10,0,0.25,0.7143,0.0009205,96828,1,0.014,0.014,0.2,0.1
10000,0.0013939,1e-13,0.20014,1.0361e-05,-9.3925e-08,0,1.0346e-05,-9.3799e-08,0,1.4588e-08,-1.263e-10,0,0.25,0.70962,0.00098786,96685,1,0.015,0.015,0.2,0.1
10000,0.0015026,1e-13,0.20256,1.0388e-05,-8.8113e-08,0,1.0372e-05,-8.7987e-08,0,1.5764e-08,-1.2544e-10,0,0.25,0.70595,0.0010582,96536,1,0.016,0.016,0.2,0.1
10000,0.0016114,1e-13,0.20498,1.0415e-05,-8.2301e-08,0,1.0398e-05,-8.2176e-08,0,1.6939e-08,-1.2458e-10,0,0.25,0.70228,0.0011286,96386,1,0.017,0.017,0.2,0.1
10000,0.0017201,1e-13,0.2074,1.0442e-05,-7.6488e-08,0,1.0424e-05,-7.6365e-08,0,1.8115e-08,-1.2372e-10,0,0.25,0.69862,0.001199,96237,1,0.018,0.018,0.2,0.1
10000,0.0018289,1e-13,0.20981,1.0469e-05,-7.0676e-08,0,1.0449e-05,-7.0553e-08,0,1.9291e-08,-1.2285e-10,0,0.25,0.69495,0.0012694,96088,1,0.019,0.019,0.2,0.1
10000,0.0019376,1e-13,0.21223,1.0496e-05,-6.4864e-08,0,1.0475e-05,-6.4742e-08,0,2.0466e-08,-1.2199e-10,0,0.25,0.69128,0.0013398,95939,1,0.02,0.02,0.2,0.1
10000,0.0020514,1.0464e-13,0.21423,1.0527e-05,-6.5882e-08,0,1.0506e-05,-6.5749e-08,0,2.1738e-08,-1.3358e-10,0,0.25,0.68828,0.0014113,95797,1,0.021,0.021,0.2,0.1
10000,0.0021652,1.0927e-13,0.21623,1.0559e-05,-6.6901e-08,0,1.0536e-05,-6.6756e-08,0,2.3009e-08,-1.4518e-10,0,0.25,0.68527,0.0014829,95655,1,0.022,0.022,0.2,0.1
10000,0.002279,1.1391e-13,0.21823,1.0591e-05,-6.792e-08,0,1.0566e-05,-6.7763e-08,0,2.428e-08,-1.5677e-10,0,0.25,0.68227,0.0015544,95513,1,0.023,0.023,0.2,0.1
10000,0.0023928,1.1855e-13,0.22023,1.0622e-05,-6.8939e-08,0,1.0597e-05,-6.877e-08,0,2.5552e-08,-1.6836e-10,0,0.25,0.67926,0.0016259,95370,1,0.024,0.024,0.2,0.1
10000,0.0025067,1.2318e-13,0.22223,1.0654e-05,-6.9957e-08,0,1.0627e-05,-6.9777e-08,0,2.6823e-08,-1.7996e-10,0,0.25,0.67626,0.0016975,95228,1,0.025,0.025,0.2,0.1
10000,0.0026235,1.3703e-13,0.22393,1.0696e-05,-8.4179e-08,0,1.0668e-05,-8.3944e-08,0,2.82e-08,-2.3429e-10,0,0.25,0.67371,0.0017691,95117,1,0.026,0.026,0.2,0.1
10000,0.0027404,1.5088e-13,0.22563,1.0738e-05,-9.8401e-08,0,1.0708e-05,-9.8112e-08,0,2.9577e-08,-2.8863e-10,0,0.25,0.67117,0.0018407,95006,1,0.027,0.027,0.2,0.1
10000,0.0028572,1.6473e-13,0.22733,1.0779e-05,-1.1262e-07,0,1.0749e-05,-1.1228e-07,0,3.0954e-08,-3.4297e-10,0,0.25,0.66863,0.0019124,94895,1,0.028,0.028,0.2,0.1
10000,0.0029741,1.7858e-13,0.22903,1.0821e-05,-1.2684e-07,0,1.0789e-05,-1.2645e-07,0,3.2331e-08,-3.9731e-10,0,0.25,0.66609,0.001984,94784,1,0.029,0.029,0.2,0.1
10000,0.0030909,1.9243e-13,0.23073,1.0863e-05,-1.4107e-07,0,1.0829e-05,-1.4061e-07,0,3.3708e-08,-4.5165e-10,0,0.25,0.66355,0.0020557,94673,1,0.03,0.03,0.2,0.1
10000,0.0032095,2.0155e-13,0.23221,1.0914e-05,-1.584e-07,0,1.0879e-05,-1.5787e-07,0,3.5186e-08,-5.3112e-10,0,0.25,0.66135,0.0021268,94592,1,0.031,0.031,0.2,0.1
10000,0.0033281,2.1068e-13,0.23369,1.0965e-05,-1.7574e-07,0,1.0928e-05,-1.7513e-07,0,3.6663e-08,-6.106e-10,0,0.25,0.65916,0.002198,94511,1,0.032,0.032,0.2,0.1
10000,0.0034467,2.1981e-13,0.23517,1.1016e-05,-1.9308e-07,0,1.0977e-05,-1.9239e-07,0,3.814e-08,-6.9007e-10,0,0.25,0.65696,0.0022691,94431,1,0.033,0.033,0.2,0.1
10000,0.0035653,2.2894e-13,0.23665,1.1066e-05,-2.1042e-07,0,1.1027e-05,-2.0965e-07,0,3.9618e-08,-7.6955e-10,0,0.25,0.65477,0.0023402,94350,1,0.034,0.034,0.2,0.1
10000,0.0036839,2.3807e-13,0.23813,1.1117e-05,-2.2776e-07,0,1.1076e-05,-2.2691e-07,0,4.1095e-08,-8.4903e-10,0,0.25,0.65257,0.0024114,94269,1,0.035,0.035,0.2,0.1
10000,0.0038036,2.3798e-13,0.23944,1.1166e-05,-2.4192e-07,0,1.1123e-05,-2.4098e-07,0,4.2632e-08,-9.374e-10,0,0.25,0.65064,0.0024819,94196,1,0.036,0.036,0.2,0.1
10000,0.0039234,2.379e-13,0.24075,1.1214e-05,-2.5609e-07,0,1.117e-05,-2.5506e-07,0,4.4169e-08,-1.0258e-09,0,0.25,0.6487,0.0025524,94124,1,0.037,0.037,0.2,0.1
10000,0.0040432,2.3781e-13,0.24206,1.1263e-05,-2.7025e-07,0,1.1217e-05,-2.6914e-07,0,4.5706e-08,-1.1142e-09,0,0.25,0.64676,0.0026229,94051,1,0.038,0.038,0.2,0.1
10000,0.004163,2.3773e-13,0.24337,1.1311e-05,-2.8442e-07,0,1.1264e-05,-2.8321e-07,0,4.7243e-08,-1.2025e-09,0,0.25,0.64483,0.0026934,93978,1,0.039,0.039,0.2,0.1
10000,0.0042827,2.3765e-13,0.24468,1.136e-05,-2.9858e-07,0,1.1311e-05,-2.9729e-07,0,4.8779e-08,-1.2909e-09,0,0.25,0.64289,0.0027639,93905,1,0.04,0.04,0.2,0.1
10000,0.0044035,2.3765e-13,0.24586,1.14e-05,-3.1331e-07,0,1.135e-05,-3.1191e-07,0,5.0344e-08,-1.3989e-09,0,0.25,0.64116,0.0028337,93830,1,0.041,0.041,0.2,0.1
10000,0.0045243,2.3765e-13,0.24704,1.144e-05,-3.2804e-07,0,1.1388e-05,-3.2653e-07,0,5.1909e-08,-1.5069e-09,0,0.25,0.63943,0.0029036,93754,1,0.042,0.042,0.2,0.1
10000,0.0046451,2.3765e-13,0.24822,1.148e-05,-3.4277e-07,0,1.1427e-05,-3.4115e-07,0,5.3474e-08,-1.6149e-09,0,0.25,0.63769,0.0029735,93679,1,0.043,0.043,0.2,0.1
10000,0.0047659,2.3765e-13,0.2494,1.152e-05,-3.575e-07,0,1.1465e-05,-3.5578e-07,0,5.5039e-08,-1.7229e-09,0,0.25,0.63596,0.0030434,93604,1,0.044,0.044,0.2,0.1
10000,0.0048867,2.3765e-13,0.25058,1.156e-05,-3.7223e-07,0,1.1504e-05,-3.704e-07,0,5.6604e-08,-1.8309e-09,0,0.25,0.63423,0.0031133,93529,1,0.045,0.045,0.2,0.1
10000,0.0050086,2.3765e-13,0.25166,1.1593e-05,-3.8531e-07,0,1.1535e-05,-3.8336e-07,0,5.8189e-08,-1.9478e-09,0,0.25,0.63265,0.0031827,93451,1,0.046,0.046,0.2,0.1
10000,0.0051304,2.3765e-13,0.25274,1.1626e-05,-3.984e-07,0,1.1566e-05,-3.9633e-07,0,5.9773e-08,-2.0647e-09,0,0.25,0.63108,0.0032521,93374,1,0.047,0.047,0.2,0.1
10000,0.0052522,2.3765e-13,0.25381,1.1658e-05,-4.1148e-07,0,1.1597e-05,-4.093e-07,0,6.1357e-08,-2.1816e-09,0,0.25,0.6295,0.0033215,93296,1,0.048,0.048,0.2,0.1
10000,0.0053741,2.3765e-13,0.25489,1.1691e-05,-4.2457e-07,0,1.1628e-05,-4.2227e-07,0,6.2942e-08,-2.2986e-09,0,0.25,0.62793,0.0033909,93219,1,0.049,0.049,0.2,0.1
10000,0.0054959,2.3765e-13,0.25596,1.1723e-05,-4.3765e-07,0,1.1659e-05,-4.3523e-07,0,6.4526e-08,-2.4155e-09,0,0.25,0.62635,0.0034603,93141,1,0.05,0.05,0.2,0.1
10000,0.0056188,2.3765e-13,0.25696,1.175e-05,-4.4797e-07,0,1.1684e-05,-4.4544e-07,0,6.6127e-08,-2.5319e-09,0,0.25,0.6249,0.0035293,93062,1,0.051,0.051,0.2,0.1
10000,0.0057418,2.3765e-13,0.25795,1.1776e-05,-4.5829e-07,0,1.1709e-05,-4.5564e-07,0,6.7728e-08,-2.6482e-09,0,0.25,0.62346,0.0035983,92983,1,0.052,0.052,0.2,0.1
10000,0.0058647,2.3765e-13,0.25894,1.1803e-05,-4.6861e-07,0,1.1734e-05,-4.6584e-07,0,6.9328e-08,-2.7646e-09,0,0.25,0.62201,0.0036673,92904,1,0.053,0.053,0.2,0.1
10000,0.0059876,2.3765e-13,0.25994,1.1829e-05,-4.7893e-07,0,1.1758e-05,-4.7605e-07,0,7.0929e-08,-2.8809e-09,0,0.25,0.62056,0.0037364,92824,1,0.054,0.054,0.2,0.1
10000,0.0061105,2.3765e-13,0.26093,1.1856e-05,-4.8925e-07,0,1.1783e-05,-4.8625e-07,0,7.2529e-08,-2.9973e-09,0,0.25,0.61912,0.0038054,92745,1,0.055,0.055,0.2,0.1
10000,0.0062346,2.3765e-13,0.26185,1.1878e-05,-4.9649e-07,0,1.1804e-05,-4.9338e-07,0,7.4147e-08,-3.1062e-09,0,0.25,0.61778,0.0038741,92664,1,0.056,0.056,0.2,0.1
10000,0.0063586,2.3765e-13,0.26277,1.19e-05,-5.0373e-07,0,1.1824e-05,-5.0051e-07,0,7.5765e-08,-3.2151e-09,0,0.25,0.61644,0.0039428,92583,1,0.057,0.057,0.2,0.1
10000,0.0064826,2.3765e-13,0.2637,1.1922e-05,-5.1097e-07,0,1.1845e-05,-5.0764e-07,0,7.7382e-08,-3.324e-09,0,0.25,0.6151,0.0040115,92502,1,0.058,0.058,0.2,0.1
10000,0.0066067,2.3765e-13,0.26462,1.1944e-05,-5.1821e-07,0,1.1865e-05,-5.1477e-07,0,7.9e-08,-3.433e-09,0,0.25,0.61376,0.0040803,92421,1,0.059,0.059,0.2,0.1
10000,0.0067307,2.3765e-13,0.26554,1.1967e-05,-5.2544e-07,0,1.1886e-05,-5.219e-07,0,8.0618e-08,-3.5419e-09,0,0.25,0.61242,0.004149,92340,1,0.06,0.06,0.2,0.1
10000,0.0068559,2.3765e-13,0.26641,1.1986e-05,-5.3004e-07,0,1.1903e-05,-5.264e-07,0,8.2254e-08,-3.6411e-09,0,0.25,0.61117,0.0042175,92258,1,0.061,0.061,0.2,0.1
10000,0.006981,2.3765e-13,0.26727,1.2005e-05,-5.3464e-07,0,1.1921e-05,-5.309e-07,0,8.389e-08,-3.7403e-09,0,0.25,0.60992,0.0042859,92175,1,0.062,0.062,0.2,0.1
10000,0.0071062,2.3765e-13,0.26814,1.2024e-05,-5.3924e-07,0,1.1938e-05,-5.354e-07,0,8.5526e-08,-3.8395e-09,0,0.25,0.60867,0.0043544,92093,1,0.063,0.063,0.2,0.1
10000,0.0072313,2.3765e-13,0.269,1.2043e-05,-5.4383e-07,0,1.1955e-05,-5.399e-07,0,8.7162e-08,-3.9387e-09,0,0.25,0.60742,0.0044229,92010,1,0.064,0.064,0.2,0.1
10000,0.0073565,2.3765e-13,0.26986,1.2062e-05,-5.4843e-07,0,1.1973e-05,-5.4439e-07,0,8.8798e-08,-4.0379e-09,0,0.25,0.60616,0.0044914,91928,1,0.065,0.065,0.2,0.1
10000,0.0074827,2.3765e-13,0.27068,1.2078e-05,-5.5115e-07,0,1.1988e-05,-5.4703e-07,0,9.0452e-08,-4.1286e-09,0,0.25,0.60499,0.0045596,91844,1,0.066,0.066,0.2,0.1
10000,0.0076089,2.3765e-13,0.27149,1.2095e-05,-5.5388e-07,0,1.2003e-05,-5.4966e-07,0,9.2106e-08,-4.2193e-09,0,0.25,0.60382,0.0046279,91760,1,0.067,0.067,0.2,0.1
10000,0.0077352,2.3765e-13,0.27231,1.2111e-05,-5.566e-07,0,1.2018e-05,-5.5229e-07,0,9.376e-08,-4.3101e-09,0,0.25,0.60265,0.0046962,91677,1,0.068,0.068,0.2,0.1
10000,0.0078614,2.3765e-13,0.27312,1.2128e-05,-5.5932e-07,0,1.2032e-05,-5.5492e-07,0,9.5414e-08,-4.4008e-09,0,0.25,0.60147,0.0047645,91593,1,0.069,0.069,0.2,0.1
10000,0.0079877,2.3765e-13,0.27393,1.2144e-05,-5.6204e-07,0,1.2047e-05,-5.5755e-07,0,9.7068e-08,-4.4916e-09,0,0.25,0.6003,0.0048327,91509,1,0.07,0.07,0.2,0.1
10000,0.008115,2.3765e-13,0.2747,1.2159e-05,-5.634e-07,0,1.206e-05,-5.5883e-07,0,9.8736e-08,-4.5746e-09,0,0.25,0.59919,0.0049008,91424,1,0.071,0.071,0.2,0.1
10000,0.0082423,2.3765e-13,0.27547,1.2173e-05,-5.6476e-07,0,1.2073e-05,-5.6011e-07,0,1.004e-07,-4.6577e-09,0,0.25,0.59809,0.004969,91339,1,0.072,0.072,0.2,0.1
10000,0.0083696,2.3765e-13,0.27624,1.2187e-05,-5.6612e-07,0,1.2085e-05,-5.6138e-07,0,1.0207e-07,-4.7407e-09,0,0.25,0.59698,0.0050371,91254,1,0.073,0.073,0.2,0.1
10000,0.008497,2.3765e-13,0.27701,1.2202e-05,-5.6748e-07,0,1.2098e-05,-5.6266e-07,0,1.0374e-07,-4.8238e-09,0,0.25,0.59587,0.0051052,91168,1,0.074,0.074,0.2,0.1
10000,0.0086243,2.3765e-13,0.27778,1.2216e-05,-5.6884e-07,0,1.2111e-05,-5.6393e-07,0,1.0541e-07,-4.9069e-09,0,0.25,0.59477,0.0051733,91083,1,0.075,0.075,0.2,0.1
10000,0.0087527,2.3765e-13,0.27851,1.2228e-05,-5.6868e-07,0,1.2121e-05,-5.637e-07,0,1.0709e-07,-4.9781e-09,0,0.25,0.59372,0.0052412,90997,1,0.076,0.076,0.2,0.1
10000,0.0088811,2.3765e-13,0.27924,1.224e-05,-5.6851e-07,0,1.2132e-05,-5.6346e-07,0,1.0877e-07,-5.0493e-09,0,0.25,0.59267,0.0053092,90911,1,0.077,0.077,0.2,0.1
10000,0.0090095,2.3765e-13,0.27997,1.2253e-05,-5.6835e-07,0,1.2142e-05,-5.6323e-07,0,1.1045e-07,-5.1206e-09,0,0.25,0.59163,0.0053771,90824,1,0.078,0.078,0.2,0.1
10000,0.0091378,2.3765e-13,0.28071,1.2265e-05,-5.6819e-07,0,1.2153e-05,-5.6299e-07,0,1.1213e-07,-5.1918e-09,0,0.25,0.59058,0.0054451,90738,1,0.079,0.079,0.2,0.1
10000,0.0092662,2.3765e-13,0.28144,1.2277e-05,-5.6802e-07,0,1.2163e-05,-5.6276e-07,0,1.1381e-07,-5.263e-09,0,0.25,0.58953,0.0055131,90652,1,0.08,0.08,0.2,0.1
10000,0.0093957,2.3765e-13,0.28213,1.2288e-05,-5.6618e-07,0,1.2172e-05,-5.6086e-07,0,1.1551e-07,-5.318e-09,0,0.25,0.58854,0.0055809,90565,1,0.081,0.081,0.2,0.1
10000,0.0095251,2.3765e-13,0.28283,1.2298e-05,-5.6433e-07,0,1.2181e-05,-5.5896e-07,0,1.172e-07,-5.373e-09,0,0.25,0.58754,0.0056487,90477,1,0.082,0.082,0.2,0.1
10000,0.0096546,2.3765e-13,0.28353,1.2309e-05,-5.6249e-07,0,1.219e-05,-5.5706e-07,0,1.189e-07,-5.428e-09,0,0.25,0.58654,0.0057166,90390,1,0.083,0.083,0.2,0.1
10000,0.009784,2.3765e-13,0.28422,1.232e-05,-5.6065e-07,0,1.2199e-05,-5.5516e-07,0,1.2059e-07,-5.483e-09,0,0.25,0.58555,0.0057844,90302,1,0.084,0.084,0.2,0.1
10000,0.0099135,2.3765e-13,0.28492,1.233e-05,-5.588e-07,0,1.2208e-05,-5.5326e-07,0,1.2228e-07,-5.538e-09,0,0.25,0.58455,0.0058522,90215,1,0.085,0.085,0.2,0.1
10000,0.010044,2.377e-13,0.28559,1.2339e-05,-5.5585e-07,0,1.2215e-05,-5.5027e-07,0,1.2399e-07,-5.5797e-09,0,0.25,0.58361,0.00592,90127,1,0.086,0.086,0.2,0.1
10000,0.010174,2.3774e-13,0.28625,1.2349e-05,-5.529e-07,0,1.2223e-05,-5.4727e-07,0,1.257e-07,-5.6213e-09,0,0.25,0.58266,0.0059877,90038,1,0.087,0.087,0.2,0.1
10000,0.010305,2.3779e-13,0.28692,1.2358e-05,-5.4994e-07,0,1.2231e-05,-5.4428e-07,0,1.274e-07,-5.6629e-09,0,0.25,0.58171,0.0060555,89950,1,0.088,0.088,0.2,0.1
10000,0.010435,2.3784e-13,0.28758,1.2367e-05,-5.4699e-07,0,1.2238e-05,-5.4128e-07,0,1.2911e-07,-5.7045e-09,0,0.25,0.58076,0.0061232,89862,1,0.089,0.089,0.2,0.1
10000,0.010566,2.3789e-13,0.28825,1.2377e-05,-5.4404e-07,0,1.2246e-05,-5.3829e-07,0,1.3081e-07,-5.7462e-09,0,0.25,0.57981,0.0061909,89773,1,0.09,0.09,0.2,0.1
10000,0.010697,2.3789e-13,0.28889,1.2384e-05,-5.4014e-07,0,1.2252e-05,-5.3437e-07,0,1.3253e-07,-5.7738e-09,0,0.25,0.5789,0.0062586,89684,1,0.091,0.091,0.2,0.1
