Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.00042553,1e-13,0.16411,1.0059e-05,-1.524e-07,0,1e-05,0,0,0,0,0,0.25,0.76514,0.00032573,99733,1,0,0,0.2,0.1
10000,0.00045326,1e-13,0.16554,1.007e-05,-1.508e-07,0,1.0022e-05,-2.886e-08,0,1.0997e-09,-1.6066e-11,0,0.25,0.76292,0.00034541,99601,1,0.001,0.001,0.2,0.1
10000,0.00048099,1e-13,0.16697,1.0082e-05,-1.4919e-07,0,1.0045e-05,-5.7721e-08,0,2.1995e-09,-3.2132e-11,0,0.25,0.7607,0.00036509,99470,1,0.002,0.002,0.2,0.1
10000,0.00050873,1e-13,0.1684,1.0094e-05,-1.4759e-07,0,1.0067e-05,-8.6581e-08,0,3.2992e-09,-4.8197e-11,0,0.25,0.75847,0.00038477,99339,1,0.003,0.003,0.2,0.1
10000,0.00053646,1e-13,0.16983,1.0106e-05,-1.4599e-07,0,1.009e-05,-1.1544e-07,0,4.399e-09,-6.4263e-11,0,0.25,0.75625,0.00040445,99207,1,0.004,0.004,0.2,0.1
10000,0.00056419,1e-13,0.17126,1.0118e-05,-1.4438e-07,0,1.0112e-05,-1.443e-07,0,5.4987e-09,-8.0329e-11,0,0.25,0.75403,0.00042413,99076,1,0.005,0.005,0.2,0.1
10000,0.00063688,1e-13,0.17427,1.0141e-05,-1.4041e-07,0,1.0135e-05,-1.4032e-07,0,6.2537e-09,-8.6816e-11,0,0.25,0.74939,0.00047448,98940,1,0.006,0.006,0.2,0.1
10000,0.00070957,1e-13,0.17727,1.0165e-05,-1.3644e-07,0,1.0158e-05,-1.3635e-07,0,7.0087e-09,-9.3303e-11,0,0.25,0.74475,0.00052483,98804,1,0.007,0.007,0.2,0.1
10000,0.00078226,1e-13,0.18027,1.0189e-05,-1.3247e-07,0,1.0181e-05,-1.3237e-07,0,7.7637e-09,-9.979e-11,0,0.25,0.74011,0.00057519,98668,1,0.008,0.008,0.2,0.1
10000,0.00085494,1e-13,0.18327,1.0213e-05,-1.285e-07,0,1.0204e-05,-1.2839e-07,0,8.5186e-09,-1.0628e-10,0,0.25,0.73547,0.00062554,98532,1,0.009,0.009,0.2,0.1
10000,0.00092763,1e-13,0.18628,1.0236e-05,-1.2453e-07,0,1.0227e-05,-1.2441e-07,0,9.2736e-09,-1.1276e-10,0,0.25,0.73083,0.00067589,98396,1,0.01,0.01,0.2,0.1
10000,0.0010248,1e-13,0.18915,1.0261e-05,-1.1882e-07,0,1.0251e-05,-1.1871e-07,0,1.035e-08,-1.1644e-10,0,0.25,0.72644,0.00074084,98253,1,0.011,0.011,0.2,0.1
10000,0.0011219,1e-13,0.19203,1.0286e-05,-1.1312e-07,0,1.0275e-05,-1.13e-07,0,1.1427e-08,-1.2011e-10,0,0.25,0.72204,0.0008058,98110,1,0.012,0.012,0.2,0.1
10000,0.001219,1e-13,0.1949,1.0311e-05,-1.0742e-07,0,1.0298e-05,-1.073e-07,0,1.2504e-08,-1.2378e-10,0,0.25,0.71764,0.00087075,97967,1,0.013,0.013,0.2,0.1
10000,0.0013161,1e-13,0.19777,1.0336e-05,-1.0172e-07,0,1.0322e-05,-1.0159e-07,0,1.3581e-08,-1.2745e-10,0,0.25,0.71324,0.00093571,97824,1,0.014,0.014,0.2,0.1
10000,0.0014133,1e-13,0.20065,1.0361e-05,-9.6017e-08,0,1.0346e-05,-9.5886e-08,0,1.4658e-08,-1.3112e-10,0,0.25,0.70884,0.0010007,97681,1,0.015,0.015,0.2,0.1
10000,0.0015211,1e-13,0.20302,1.0388e-05,-9.0263e-08,0,1.0372e-05,-9.0133e-08,0,1.5836e-08,-1.304e-10,0,0.25,0.70524,0.0010704,97532,1,0.016,0.016,0.2,0.1
10000,0.001629,1e-13,0.2054,1.0415e-05,-8.4509e-08,0,1.0398e-05,-8.4379e-08,0,1.7015e-08,-1.2968e-10,0,0.25,0.70164,0.0011401,97383,1,0.017,0.017,0.2,0.1
10000,0.0017368,1e-13,0.20778,1.0442e-05,-7.8755e-08,0,1.0424e-05,-7.8626e-08,0,1.8193e-08,-1.2896e-10,0,0.25,0.69804,0.0012098,97235,1,0.018,0.018,0.2,0.1
10000,0.0018446,1e-13,0.21015,1.0469e-05,-7.3e-08,0,1.0449e-05,-7.2872e-08,0,1.9371e-08,-1.2824e-10,0,0.25,0.69444,0.0012796,97086,1,0.019,0.019,0.2,0.1
10000,0.0019525,1e-13,0.21253,1.0496e-05,-6.7246e-08,0,1.0475e-05,-6.7119e-08,0,2.055e-08,-1.2752e-10,0,0.25,0.69084,0.0013493,96937,1,0.02,0.02,0.2,0.1
10000,0.002066,1.0464e-13,0.21451,1.0527e-05,-6.836e-08,0,1.0506e-05,-6.822e-08,0,2.1823e-08,-1.3962e-10,0,0.25,0.68786,0.0014206,96795,1,0.021,0.021,0.2,0.1
10000,0.0021796,1.0927e-13,0.21649,1.0559e-05,-6.9473e-08,0,1.0536e-05,-6.9322e-08,0,2.3096e-08,-1.5173e-10,0,0.25,0.68488,0.0014919,96653,1,0.022,0.022,0.2,0.1
10000,0.0022931,1.1391e-13,0.21848,1.0591e-05,-7.0587e-08,0,1.0566e-05,-7.0423e-08,0,2.437e-08,-1.6383e-10,0,0.25,0.6819,0.0015632,96511,1,0.023,0.023,0.2,0.1
10000,0.0024067,1.1855e-13,0.22046,1.0622e-05,-7.1701e-08,0,1.0597e-05,-7.1525e-08,0,2.5643e-08,-1.7593e-10,0,0.25,0.67891,0.0016346,96369,1,0.024,0.024,0.2,0.1
10000,0.0025202,1.2318e-13,0.22244,1.0654e-05,-7.2814e-08,0,1.0627e-05,-7.2626e-08,0,2.6916e-08,-1.8804e-10,0,0.25,0.67593,0.0017059,96227,1,0.025,0.025,0.2,0.1
10000,0.0026372,1.3703e-13,0.22414,1.0696e-05,-8.7341e-08,0,1.0668e-05,-8.7097e-08,0,2.8295e-08,-2.4389e-10,0,0.25,0.6734,0.0017776,96116,1,0.026,0.026,0.2,0.1
10000,0.0027542,1.5088e-13,0.22584,1.0738e-05,-1.0187e-07,0,1.0708e-05,-1.0157e-07,0,2.9674e-08,-2.9974e-10,0,0.25,0.67087,0.0018493,96005,1,0.027,0.027,0.2,0.1
10000,0.0028712,1.6473e-13,0.22753,1.0779e-05,-1.1639e-07,0,1.0748e-05,-1.1604e-07,0,3.1053e-08,-3.5559e-10,0,0.25,0.66833,0.0019209,95894,1,0.028,0.028,0.2,0.1
10000,0.0029882,1.7858e-13,0.22923,1.0821e-05,-1.3092e-07,0,1.0789e-05,-1.3051e-07,0,3.2432e-08,-4.1144e-10,0,0.25,0.6658,0.0019926,95783,1,0.029,0.029,0.2,0.1
10000,0.0031052,1.9243e-13,0.23092,1.0863e-05,-1.4545e-07,0,1.0829e-05,-1.4498e-07,0,3.3811e-08,-4.6729e-10,0,0.25,0.66327,0.0020643,95672,1,0.03,0.03,0.2,0.1
10000,0.003224,2.0155e-13,0.2324,1.0914e-05,-1.63e-07,0,1.0879e-05,-1.6246e-07,0,3.529e-08,-5.4831e-10,0,0.25,0.66108,0.0021355,95591,1,0.031,0.031,0.2,0.1
10000,0.0033428,2.1068e-13,0.23388,1.0965e-05,-1.8056e-07,0,1.0928e-05,-1.7993e-07,0,3.677e-08,-6.2934e-10,0,0.25,0.65888,0.0022068,95511,1,0.032,0.032,0.2,0.1
10000,0.0034616,2.1981e-13,0.23535,1.1016e-05,-1.9812e-07,0,1.0977e-05,-1.9741e-07,0,3.8249e-08,-7.1036e-10,0,0.25,0.65669,0.002278,95430,1,0.033,0.033,0.2,0.1
10000,0.0035804,2.2894e-13,0.23683,1.1066e-05,-2.1568e-07,0,1.1027e-05,-2.1488e-07,0,3.9728e-08,-7.9139e-10,0,0.25,0.6545,0.0023492,95350,1,0.034,0.034,0.2,0.1
10000,0.0036991,2.3807e-13,0.23831,1.1117e-05,-2.3323e-07,0,1.1076e-05,-2.3236e-07,0,4.1208e-08,-8.7241e-10,0,0.25,0.65231,0.0024205,95269,1,0.035,0.035,0.2,0.1
10000,0.0038189,2.3798e-13,0.23961,1.1166e-05,-2.4739e-07,0,1.1123e-05,-2.4643e-07,0,4.2746e-08,-9.6169e-10,0,0.25,0.65038,0.0024909,95196,1,0.036,0.036,0.2,0.1
10000,0.0039387,2.379e-13,0.24092,1.1214e-05,-2.6156e-07,0,1.117e-05,-2.6051e-07,0,4.4284e-08,-1.051e-09,0,0.25,0.64845,0.0025614,95123,1,0.037,0.037,0.2,0.1
10000,0.0040585,2.3781e-13,0.24223,1.1263e-05,-2.7572e-07,0,1.1217e-05,-2.7458e-07,0,4.5822e-08,-1.1403e-09,0,0.25,0.64652,0.0026319,95051,1,0.038,0.038,0.2,0.1
10000,0.0041783,2.3773e-13,0.24354,1.1311e-05,-2.8988e-07,0,1.1264e-05,-2.8865e-07,0,4.736e-08,-1.2295e-09,0,0.25,0.64459,0.0027024,94978,1,0.039,0.039,0.2,0.1
10000,0.0042981,2.3765e-13,0.24484,1.136e-05,-3.0404e-07,0,1.1311e-05,-3.0272e-07,0,4.8898e-08,-1.3188e-09,0,0.25,0.64266,0.0027728,94905,1,0.04,0.04,0.2,0.1
10000,0.0044188,2.3765e-13,0.24602,1.14e-05,-3.1877e-07,0,1.1349e-05,-3.1734e-07,0,5.0464e-08,-1.4277e-09,0,0.25,0.64093,0.0028426,94830,1,0.041,0.041,0.2,0.1
10000,0.0045395,2.3765e-13,0.24719,1.144e-05,-3.3349e-07,0,1.1388e-05,-3.3195e-07,0,5.203e-08,-1.5365e-09,0,0.25,0.63921,0.0029124,94754,1,0.042,0.042,0.2,0.1
10000,0.0046602,2.3765e-13,0.24837,1.148e-05,-3.4821e-07,0,1.1427e-05,-3.4657e-07,0,5.3595e-08,-1.6454e-09,0,0.25,0.63748,0.0029823,94679,1,0.043,0.043,0.2,0.1
10000,0.0047809,2.3765e-13,0.24954,1.152e-05,-3.6294e-07,0,1.1465e-05,-3.6118e-07,0,5.5161e-08,-1.7542e-09,0,0.25,0.63575,0.0030521,94604,1,0.044,0.044,0.2,0.1
10000,0.0049016,2.3765e-13,0.25072,1.156e-05,-3.7766e-07,0,1.1504e-05,-3.758e-07,0,5.6726e-08,-1.8631e-09,0,0.25,0.63402,0.0031219,94529,1,0.045,0.045,0.2,0.1
10000,0.0050233,2.3765e-13,0.25179,1.1593e-05,-3.9073e-07,0,1.1535e-05,-3.8875e-07,0,5.831e-08,-1.9808e-09,0,0.25,0.63245,0.0031911,94451,1,0.046,0.046,0.2,0.1
10000,0.005145,2.3765e-13,0.25287,1.1625e-05,-4.0381e-07,0,1.1566e-05,-4.0171e-07,0,5.9895e-08,-2.0985e-09,0,0.25,0.63088,0.0032604,94374,1,0.047,0.047,0.2,0.1
10000,0.0052667,2.3765e-13,0.25394,1.1658e-05,-4.1689e-07,0,1.1597e-05,-4.1467e-07,0,6.1479e-08,-2.2162e-09,0,0.25,0.62931,0.0033297,94296,1,0.048,0.048,0.2,0.1
10000,0.0053883,2.3765e-13,0.25501,1.1691e-05,-4.2996e-07,0,1.1628e-05,-4.2763e-07,0,6.3063e-08,-2.334e-09,0,0.25,0.62775,0.003399,94219,1,0.049,0.049,0.2,0.1
10000,0.00551,2.3765e-13,0.25608,1.1723e-05,-4.4304e-07,0,1.1659e-05,-4.4058e-07,0,6.4647e-08,-2.4517e-09,0,0.25,0.62618,0.0034683,94142,1,0.05,0.05,0.2,0.1
10000,0.0056328,2.3765e-13,0.25707,1.175e-05,-4.5334e-07,0,1.1683e-05,-4.5077e-07,0,6.6247e-08,-2.5687e-09,0,0.25,0.62474,0.0035372,94062,1,0.051,0.051,0.2,0.1
10000,0.0057555,2.3765e-13,0.25806,1.1776e-05,-4.6365e-07,0,1.1708e-05,-4.6097e-07,0,6.7847e-08,-2.6858e-09,0,0.25,0.62329,0.003606,93983,1,0.052,0.052,0.2,0.1
10000,0.0058782,2.3765e-13,0.25905,1.1803e-05,-4.7396e-07,0,1.1733e-05,-4.7116e-07,0,6.9447e-08,-2.8028e-09,0,0.25,0.62185,0.0036749,93904,1,0.053,0.053,0.2,0.1
10000,0.0060009,2.3765e-13,0.26004,1.1829e-05,-4.8427e-07,0,1.1758e-05,-4.8135e-07,0,7.1047e-08,-2.9199e-09,0,0.25,0.62041,0.0037438,93824,1,0.054,0.054,0.2,0.1
10000,0.0061237,2.3765e-13,0.26103,1.1856e-05,-4.9458e-07,0,1.1783e-05,-4.9154e-07,0,7.2646e-08,-3.0369e-09,0,0.25,0.61897,0.0038127,93745,1,0.055,0.055,0.2,0.1
10000,0.0062475,2.3765e-13,0.26195,1.1878e-05,-5.018e-07,0,1.1804e-05,-4.9866e-07,0,7.4263e-08,-3.1464e-09,0,0.25,0.61763,0.0038813,93664,1,0.056,0.056,0.2,0.1
10000,0.0063713,2.3765e-13,0.26287,1.19e-05,-5.0903e-07,0,1.1824e-05,-5.0577e-07,0,7.5879e-08,-3.2559e-09,0,0.25,0.6163,0.0039499,93583,1,0.057,0.057,0.2,0.1
10000,0.0064951,2.3765e-13,0.26379,1.1922e-05,-5.1626e-07,0,1.1845e-05,-5.1289e-07,0,7.7495e-08,-3.3655e-09,0,0.25,0.61496,0.0040185,93502,1,0.058,0.058,0.2,0.1
10000,0.006619,2.3765e-13,0.26471,1.1944e-05,-5.2348e-07,0,1.1865e-05,-5.2001e-07,0,7.9111e-08,-3.475e-09,0,0.25,0.61363,0.004087,93421,1,0.059,0.059,0.2,0.1
10000,0.0067428,2.3765e-13,0.26563,1.1967e-05,-5.3071e-07,0,1.1886e-05,-5.2713e-07,0,8.0727e-08,-3.5845e-09,0,0.25,0.61229,0.0041556,93340,1,0.06,0.06,0.2,0.1
10000,0.0068677,2.3765e-13,0.26649,1.1986e-05,-5.353e-07,0,1.1903e-05,-5.3161e-07,0,8.2362e-08,-3.6842e-09,0,0.25,0.61105,0.004224,93258,1,0.061,0.061,0.2,0.1
10000,0.0069926,2.3765e-13,0.26735,1.2005e-05,-5.3988e-07,0,1.1921e-05,-5.361e-07,0,8.3996e-08,-3.7839e-09,0,0.25,0.6098,0.0042923,93176,1,0.062,0.062,0.2,0.1
