Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.00042553,1e-13,0.16411,1.0059e-05,-1.5708e-07,0,1e-05,0,0,0,0,0,0.25,0.76514,0.00032573,1.0303e+05,1,0,0,0.2,0.1
10000,0.00047512,1e-13,0.16638,1.0071e-05,-1.5522e-07,0,1.0022e-05,-2.953e-08,0,1.1149e-09,-1.9427e-11,0,0.25,0.76163,0.00036048,1.029e+05,1,0.001,0.001,0.2,0.1
10000,0.00052471,1e-13,0.16865,1.0083e-05,-1.5335e-07,0,1.0045e-05,-5.9061e-08,0,2.2297e-09,-3.8855e-11,0,0.25,0.75811,0.00039523,1.0277e+05,1,0.002,0.002,0.2,0.1
10000,0.00057429,1e-13,0.17092,1.0094e-05,-1.5148e-07,0,1.0067e-05,-8.8591e-08,0,3.3446e-09,-5.8282e-11,0,0.25,0.75459,0.00042998,1.0264e+05,1,0.003,0.003,0.2,0.1
10000,0.00062388,1e-13,0.17319,1.0106e-05,-1.4961e-07,0,1.009e-05,-1.1812e-07,0,4.4594e-09,-7.771e-11,0,0.25,0.75107,0.00046473,1.0251e+05,1,0.004,0.004,0.2,0.1
10000,0.00067347,1e-13,0.17546,1.0118e-05,-1.4775e-07,0,1.0112e-05,-1.4765e-07,0,5.5743e-09,-9.7137e-11,0,0.25,0.74756,0.00049947,1.0238e+05,1,0.005,0.005,0.2,0.1
10000,0.00077696,1e-13,0.17928,1.0141e-05,-1.4353e-07,0,1.0135e-05,-1.4342e-07,0,6.374e-09,-1.072e-10,0,0.25,0.74168,0.00057021,1.0224e+05,1,0.006,0.006,0.2,0.1
10000,0.00088046,1e-13,0.1831,1.0165e-05,-1.3931e-07,0,1.0158e-05,-1.3919e-07,0,7.1736e-09,-1.1727e-10,0,0.25,0.7358,0.00064095,1.021e+05,1,0.007,0.007,0.2,0.1
10000,0.00098396,1e-13,0.18691,1.0189e-05,-1.3509e-07,0,1.0181e-05,-1.3497e-07,0,7.9733e-09,-1.2733e-10,0,0.25,0.72992,0.00071169,1.0197e+05,1,0.008,0.008,0.2,0.1
10000,0.0010875,1e-13,0.19073,1.0212e-05,-1.3087e-07,0,1.0204e-05,-1.3074e-07,0,8.773e-09,-1.374e-10,0,0.25,0.72404,0.00078243,1.0183e+05,1,0.009,0.009,0.2,0.1
10000,0.0011909,1e-13,0.19455,1.0236e-05,-1.2666e-07,0,1.0226e-05,-1.2651e-07,0,9.5727e-09,-1.4746e-10,0,0.25,0.71816,0.00085316,1.017e+05,1,0.01,0.01,0.2,0.1
10000,0.0013018,1e-13,0.1973,1.026e-05,-1.2102e-07,0,1.025e-05,-1.2087e-07,0,1.0707e-08,-1.5131e-10,0,0.25,0.71398,0.00092582,1.0155e+05,1,0.011,0.011,0.2,0.1
10000,0.0014126,1e-13,0.20004,1.0285e-05,-1.1538e-07,0,1.0273e-05,-1.1523e-07,0,1.1841e-08,-1.5515e-10,0,0.25,0.70979,0.00099847,1.0141e+05,1,0.012,0.012,0.2,0.1
10000,0.0015235,1e-13,0.20279,1.031e-05,-1.0974e-07,0,1.0297e-05,-1.0958e-07,0,1.2975e-08,-1.59e-10,0,0.25,0.70561,0.0010711,1.0127e+05,1,0.013,0.013,0.2,0.1
10000,0.0016343,1e-13,0.20554,1.0334e-05,-1.0411e-07,0,1.032e-05,-1.0394e-07,0,1.4109e-08,-1.6284e-10,0,0.25,0.70143,0.0011438,1.0112e+05,1,0.014,0.014,0.2,0.1
10000,0.0017452,1e-13,0.20829,1.0359e-05,-9.8468e-08,0,1.0344e-05,-9.8302e-08,0,1.5243e-08,-1.6669e-10,0,0.25,0.69725,0.0012164,1.0098e+05,1,0.015,0.015,0.2,0.1
