Time,"Fb","K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","eps","kra","krb","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0.00042553,1e-13,0.16411,1.0059e-05,-1.5035e-07,0,1e-05,0,0,0,0,0,0.25,0.76514,0.00032573,99019,1,0,0,0.2,0.1
10000,0.0004489,1e-13,0.16535,1.0071e-05,-1.4881e-07,0,1.0022e-05,-2.8507e-08,0,1.1004e-09,-1.5268e-11,0,0.25,0.76322,0.00034236,98888,1,0.001,0.001,0.2,0.1
10000,0.00047226,1e-13,0.16658,1.0082e-05,-1.4726e-07,0,1.0045e-05,-5.7014e-08,0,2.2008e-09,-3.0536e-11,0,0.25,0.76129,0.00035898,98756,1,0.002,0.002,0.2,0.1
10000,0.00049563,1e-13,0.16782,1.0094e-05,-1.4571e-07,0,1.0067e-05,-8.5521e-08,0,3.3012e-09,-4.5804e-11,0,0.25,0.75936,0.00037561,98625,1,0.003,0.003,0.2,0.1
10000,0.00051899,1e-13,0.16906,1.0106e-05,-1.4416e-07,0,1.009e-05,-1.1403e-07,0,4.4016e-09,-6.1073e-11,0,0.25,0.75744,0.00039224,98493,1,0.004,0.004,0.2,0.1
10000,0.00054236,1e-13,0.1703,1.0118e-05,-1.4261e-07,0,1.0112e-05,-1.4254e-07,0,5.502e-09,-7.6341e-11,0,0.25,0.75551,0.00040886,98362,1,0.005,0.005,0.2,0.1
10000,0.00061334,1e-13,0.17326,1.0142e-05,-1.3865e-07,0,1.0136e-05,-1.3857e-07,0,6.2498e-09,-8.252e-11,0,0.25,0.75095,0.00045807,98226,1,0.006,0.006,0.2,0.1
10000,0.00068432,1e-13,0.17621,1.0166e-05,-1.347e-07,0,1.0159e-05,-1.3461e-07,0,6.9977e-09,-8.87e-11,0,0.25,0.74639,0.00050729,98090,1,0.007,0.007,0.2,0.1
10000,0.00075531,1e-13,0.17916,1.019e-05,-1.3074e-07,0,1.0182e-05,-1.3065e-07,0,7.7455e-09,-9.488e-11,0,0.25,0.74182,0.0005565,97954,1,0.008,0.008,0.2,0.1
10000,0.00082629,1e-13,0.18212,1.0214e-05,-1.2678e-07,0,1.0205e-05,-1.2668e-07,0,8.4933e-09,-1.0106e-10,0,0.25,0.73726,0.00060571,97819,1,0.009,0.009,0.2,0.1
10000,0.00089728,1e-13,0.18507,1.0238e-05,-1.2283e-07,0,1.0228e-05,-1.2272e-07,0,9.2412e-09,-1.0724e-10,0,0.25,0.7327,0.00065492,97683,1,0.01,0.01,0.2,0.1
10000,0.00099606,1e-13,0.18808,1.0263e-05,-1.1714e-07,0,1.0252e-05,-1.1703e-07,0,1.0295e-08,-1.1116e-10,0,0.25,0.72809,0.00072118,97540,1,0.011,0.011,0.2,0.1
10000,0.0010948,1e-13,0.19108,1.0288e-05,-1.1145e-07,0,1.0276e-05,-1.1133e-07,0,1.1349e-08,-1.1508e-10,0,0.25,0.72349,0.00078743,97397,1,0.012,0.012,0.2,0.1
10000,0.0011936,1e-13,0.19409,1.0313e-05,-1.0575e-07,0,1.03e-05,-1.0564e-07,0,1.2403e-08,-1.19e-10,0,0.25,0.71888,0.00085369,97255,1,0.013,0.013,0.2,0.1
10000,0.0012924,1e-13,0.1971,1.0338e-05,-1.0006e-07,0,1.0324e-05,-9.9941e-08,0,1.3456e-08,-1.2292e-10,0,0.25,0.71428,0.00091994,97112,1,0.014,0.014,0.2,0.1
10000,0.0013912,1e-13,0.20011,1.0363e-05,-9.4373e-08,0,1.0348e-05,-9.4246e-08,0,1.451e-08,-1.2683e-10,0,0.25,0.70967,0.0009862,96969,1,0.015,0.015,0.2,0.1
10000,0.0014975,1e-13,0.20248,1.039e-05,-8.876e-08,0,1.0374e-05,-8.8634e-08,0,1.5665e-08,-1.262e-10,0,0.25,0.70608,0.001055,96821,1,0.016,0.016,0.2,0.1
10000,0.0016039,1e-13,0.20485,1.0417e-05,-8.3147e-08,0,1.04e-05,-8.3022e-08,0,1.682e-08,-1.2557e-10,0,0.25,0.70249,0.0011239,96672,1,0.017,0.017,0.2,0.1
10000,0.0017102,1e-13,0.20721,1.0444e-05,-7.7535e-08,0,1.0426e-05,-7.741e-08,0,1.7976e-08,-1.2494e-10,0,0.25,0.69889,0.0011927,96523,1,0.018,0.018,0.2,0.1
10000,0.0018165,1e-13,0.20958,1.0471e-05,-7.1922e-08,0,1.0452e-05,-7.1797e-08,0,1.9131e-08,-1.243e-10,0,0.25,0.6953,0.0012616,96375,1,0.019,0.019,0.2,0.1
10000,0.0019229,1e-13,0.21195,1.0498e-05,-6.6309e-08,0,1.0478e-05,-6.6185e-08,0,2.0286e-08,-1.2367e-10,0,0.25,0.69171,0.0013304,96226,1,0.02,0.02,0.2,0.1
10000,0.0020364,1.0464e-13,0.21396,1.0529e-05,-6.7542e-08,0,1.0508e-05,-6.7406e-08,0,2.1554e-08,-1.3595e-10,0,0.25,0.6887,0.0014018,96085,1,0.021,0.021,0.2,0.1
10000,0.0021499,1.0927e-13,0.21596,1.0561e-05,-6.8775e-08,0,1.0538e-05,-6.8627e-08,0,2.2822e-08,-1.4823e-10,0,0.25,0.68568,0.0014732,95943,1,0.022,0.022,0.2,0.1
10000,0.0022634,1.1391e-13,0.21796,1.0592e-05,-7.0008e-08,0,1.0568e-05,-6.9847e-08,0,2.4089e-08,-1.6052e-10,0,0.25,0.68267,0.0015446,95801,1,0.023,0.023,0.2,0.1
10000,0.0023769,1.1855e-13,0.21996,1.0624e-05,-7.1241e-08,0,1.0599e-05,-7.1068e-08,0,2.5357e-08,-1.728e-10,0,0.25,0.67966,0.001616,95659,1,0.024,0.024,0.2,0.1
10000,0.0024905,1.2318e-13,0.22196,1.0655e-05,-7.2474e-08,0,1.0629e-05,-7.2289e-08,0,2.6625e-08,-1.8508e-10,0,0.25,0.67665,0.0016874,95518,1,0.025,0.025,0.2,0.1
10000,0.0026091,1.3703e-13,0.2237,1.0697e-05,-8.6955e-08,0,1.0669e-05,-8.6714e-08,0,2.8015e-08,-2.4083e-10,0,0.25,0.67406,0.0017602,95407,1,0.026,0.026,0.2,0.1
10000,0.0027278,1.5088e-13,0.22543,1.0739e-05,-1.0144e-07,0,1.0709e-05,-1.0114e-07,0,2.9405e-08,-2.9657e-10,0,0.25,0.67147,0.0018329,95296,1,0.027,0.027,0.2,0.1
10000,0.0028464,1.6473e-13,0.22716,1.078e-05,-1.1592e-07,0,1.075e-05,-1.1557e-07,0,3.0795e-08,-3.5232e-10,0,0.25,0.66888,0.0019057,95185,1,0.028,0.028,0.2,0.1
10000,0.0029651,1.7858e-13,0.2289,1.0822e-05,-1.304e-07,0,1.079e-05,-1.2999e-07,0,3.2185e-08,-4.0807e-10,0,0.25,0.66629,0.0019785,95074,1,0.029,0.029,0.2,0.1
10000,0.0030838,1.9243e-13,0.23063,1.0864e-05,-1.4488e-07,0,1.083e-05,-1.4442e-07,0,3.3575e-08,-4.6381e-10,0,0.25,0.6637,0.0020513,94963,1,0.03,0.03,0.2,0.1
10000,0.0032047,2.0155e-13,0.23214,1.0914e-05,-1.6221e-07,0,1.0879e-05,-1.6166e-07,0,3.5074e-08,-5.443e-10,0,0.25,0.66146,0.0021238,94882,1,0.031,0.031,0.2,0.1
10000,0.0033256,2.1068e-13,0.23365,1.0965e-05,-1.7953e-07,0,1.0928e-05,-1.7891e-07,0,3.6572e-08,-6.2478e-10,0,0.25,0.65922,0.0021964,94802,1,0.032,0.032,0.2,0.1
10000,0.0034465,2.1981e-13,0.23516,1.1015e-05,-1.9686e-07,0,1.0977e-05,-1.9615e-07,0,3.8071e-08,-7.0526e-10,0,0.25,0.65698,0.0022689,94721,1,0.033,0.033,0.2,0.1
10000,0.0035674,2.2894e-13,0.23667,1.1066e-05,-2.1419e-07,0,1.1026e-05,-2.134e-07,0,3.9569e-08,-7.8574e-10,0,0.25,0.65474,0.0023414,94641,1,0.034,0.034,0.2,0.1
10000,0.0036883,2.3807e-13,0.23818,1.1117e-05,-2.3151e-07,0,1.1076e-05,-2.3065e-07,0,4.1068e-08,-8.6623e-10,0,0.25,0.6525,0.002414,94560,1,0.035,0.035,0.2,0.1
10000,0.0038101,2.3798e-13,0.23951,1.1165e-05,-2.4533e-07,0,1.1122e-05,-2.4438e-07,0,4.2632e-08,-9.5438e-10,0,0.25,0.65054,0.0024857,94487,1,0.036,0.036,0.2,0.1
10000,0.003932,2.379e-13,0.24084,1.1213e-05,-2.5915e-07,0,1.1169e-05,-2.5811e-07,0,4.4196e-08,-1.0425e-09,0,0.25,0.64857,0.0025574,94415,1,0.037,0.037,0.2,0.1
10000,0.0040538,2.3781e-13,0.24217,1.1262e-05,-2.7297e-07,0,1.1216e-05,-2.7184e-07,0,4.576e-08,-1.1307e-09,0,0.25,0.64661,0.0026291,94342,1,0.038,0.038,0.2,0.1
10000,0.0041757,2.3773e-13,0.2435,1.131e-05,-2.8679e-07,0,1.1263e-05,-2.8557e-07,0,4.7324e-08,-1.2188e-09,0,0.25,0.64464,0.0027008,94269,1,0.039,0.039,0.2,0.1
10000,0.0042976,2.3765e-13,0.24483,1.1359e-05,-3.0061e-07,0,1.131e-05,-2.993e-07,0,4.8887e-08,-1.307e-09,0,0.25,0.64267,0.0027725,94196,1,0.04,0.04,0.2,0.1
10000,0.0044215,2.3765e-13,0.24604,1.1399e-05,-3.1511e-07,0,1.1348e-05,-3.1369e-07,0,5.0486e-08,-1.4153e-09,0,0.25,0.6409,0.0028442,94121,1,0.041,0.041,0.2,0.1
10000,0.0045455,2.3765e-13,0.24724,1.1439e-05,-3.296e-07,0,1.1387e-05,-3.2808e-07,0,5.2085e-08,-1.5235e-09,0,0.25,0.63913,0.0029158,94046,1,0.042,0.042,0.2,0.1
10000,0.0046694,2.3765e-13,0.24845,1.1479e-05,-3.441e-07,0,1.1425e-05,-3.4246e-07,0,5.3683e-08,-1.6318e-09,0,0.25,0.63736,0.0029875,93971,1,0.043,0.043,0.2,0.1
10000,0.0047933,2.3765e-13,0.24965,1.1519e-05,-3.5859e-07,0,1.1464e-05,-3.5685e-07,0,5.5282e-08,-1.74e-09,0,0.25,0.63559,0.0030591,93895,1,0.044,0.044,0.2,0.1
10000,0.0049173,2.3765e-13,0.25086,1.1559e-05,-3.7309e-07,0,1.1502e-05,-3.7124e-07,0,5.6881e-08,-1.8483e-09,0,0.25,0.63382,0.0031308,93820,1,0.045,0.045,0.2,0.1
10000,0.0050418,2.3765e-13,0.25195,1.1592e-05,-3.8627e-07,0,1.1533e-05,-3.843e-07,0,5.8492e-08,-1.9672e-09,0,0.25,0.63222,0.0032017,93743,1,0.046,0.046,0.2,0.1
10000,0.0051663,2.3765e-13,0.25305,1.1624e-05,-3.9945e-07,0,1.1564e-05,-3.9736e-07,0,6.0104e-08,-2.0861e-09,0,0.25,0.63062,0.0032725,93665,1,0.047,0.047,0.2,0.1
10000,0.0052909,2.3765e-13,0.25414,1.1657e-05,-4.1263e-07,0,1.1595e-05,-4.1042e-07,0,6.1716e-08,-2.2051e-09,0,0.25,0.62901,0.0033434,93588,1,0.048,0.048,0.2,0.1
10000,0.0054154,2.3765e-13,0.25524,1.1689e-05,-4.2581e-07,0,1.1626e-05,-4.2348e-07,0,6.3328e-08,-2.324e-09,0,0.25,0.62741,0.0034143,93510,1,0.049,0.049,0.2,0.1
10000,0.0055399,2.3765e-13,0.25633,1.1722e-05,-4.3899e-07,0,1.1657e-05,-4.3655e-07,0,6.4939e-08,-2.4429e-09,0,0.25,0.62581,0.0034852,93433,1,0.05,0.05,0.2,0.1
10000,0.0056629,2.3765e-13,0.25732,1.1748e-05,-4.4944e-07,0,1.1682e-05,-4.4688e-07,0,6.655e-08,-2.5606e-09,0,0.25,0.62437,0.0035541,93354,1,0.051,0.051,0.2,0.1
10000,0.0057859,2.3765e-13,0.25831,1.1775e-05,-4.5989e-07,0,1.1706e-05,-4.5722e-07,0,6.816e-08,-2.6783e-09,0,0.25,0.62293,0.0036231,93274,1,0.052,0.052,0.2,0.1
10000,0.0059089,2.3765e-13,0.2593,1.1801e-05,-4.7035e-07,0,1.1731e-05,-4.6755e-07,0,6.9771e-08,-2.796e-09,0,0.25,0.6215,0.0036921,93195,1,0.053,0.053,0.2,0.1
10000,0.0060318,2.3765e-13,0.26028,1.1827e-05,-4.808e-07,0,1.1756e-05,-4.7789e-07,0,7.1381e-08,-2.9137e-09,0,0.25,0.62006,0.0037611,93116,1,0.054,0.054,0.2,0.1
10000,0.0061548,2.3765e-13,0.26127,1.1854e-05,-4.9125e-07,0,1.1781e-05,-4.8822e-07,0,7.2992e-08,-3.0314e-09,0,0.25,0.61862,0.0038301,93036,1,0.055,0.055,0.2,0.1
10000,0.006279,2.3765e-13,0.26219,1.1875e-05,-4.982e-07,0,1.1801e-05,-4.9506e-07,0,7.4616e-08,-3.1388e-09,0,0.25,0.61729,0.0038988,92955,1,0.056,0.056,0.2,0.1
10000,0.0064032,2.3765e-13,0.26311,1.1897e-05,-5.0514e-07,0,1.1821e-05,-5.0189e-07,0,7.6239e-08,-3.2462e-09,0,0.25,0.61595,0.0039676,92875,1,0.057,0.057,0.2,0.1
10000,0.0065275,2.3765e-13,0.26403,1.1919e-05,-5.1208e-07,0,1.1841e-05,-5.0873e-07,0,7.7863e-08,-3.3536e-09,0,0.25,0.61462,0.0040363,92794,1,0.058,0.058,0.2,0.1
10000,0.0066517,2.3765e-13,0.26495,1.1941e-05,-5.1903e-07,0,1.1862e-05,-5.1557e-07,0,7.9486e-08,-3.461e-09,0,0.25,0.61328,0.0041051,92713,1,0.059,0.059,0.2,0.1
10000,0.0067759,2.3765e-13,0.26586,1.1963e-05,-5.2597e-07,0,1.1882e-05,-5.224e-07,0,8.111e-08,-3.5684e-09,0,0.25,0.61195,0.0041738,92632,1,0.06,0.06,0.2,0.1
10000,0.0069025,2.3765e-13,0.26673,1.1982e-05,-5.3011e-07,0,1.1899e-05,-5.2644e-07,0,8.2758e-08,-3.665e-09,0,0.25,0.61069,0.0042431,92549,1,0.061,0.061,0.2,0.1
10000,0.0070292,2.3765e-13,0.2676,1.2001e-05,-5.3424e-07,0,1.1917e-05,-5.3048e-07,0,8.4405e-08,-3.7616e-09,0,0.25,0.60944,0.0043123,92467,1,0.062,0.062,0.2,0.1
10000,0.0071558,2.3765e-13,0.26847,1.202e-05,-5.3838e-07,0,1.1934e-05,-5.3452e-07,0,8.6053e-08,-3.8582e-09,0,0.25,0.60818,0.0043815,92384,1,0.063,0.063,0.2,0.1
10000,0.0072824,2.3765e-13,0.26934,1.2039e-05,-5.4251e-07,0,1.1952e-05,-5.3856e-07,0,8.77e-08,-3.9547e-09,0,0.25,0.60692,0.0044507,92302,1,0.064,0.064,0.2,0.1
10000,0.007409,2.3765e-13,0.27021,1.2059e-05,-5.4665e-07,0,1.1969e-05,-5.426e-07,0,8.9347e-08,-4.0513e-09,0,0.25,0.60566,0.00452,92219,1,0.065,0.065,0.2,0.1
10000,0.0075354,2.3765e-13,0.27102,1.2075e-05,-5.4925e-07,0,1.1984e-05,-5.4511e-07,0,9.1005e-08,-4.1409e-09,0,0.25,0.60449,0.0045882,92136,1,0.066,0.066,0.2,0.1
10000,0.0076617,2.3765e-13,0.27183,1.2092e-05,-5.5186e-07,0,1.2e-05,-5.4763e-07,0,9.2662e-08,-4.2305e-09,0,0.25,0.60333,0.0046565,92052,1,0.067,0.067,0.2,0.1
10000,0.007788,2.3765e-13,0.27264,1.2109e-05,-5.5446e-07,0,1.2015e-05,-5.5014e-07,0,9.4319e-08,-4.3201e-09,0,0.25,0.60216,0.0047247,91968,1,0.068,0.068,0.2,0.1
10000,0.0079143,2.3765e-13,0.27345,1.2126e-05,-5.5707e-07,0,1.203e-05,-5.5266e-07,0,9.5976e-08,-4.4097e-09,0,0.25,0.60099,0.004793,91884,1,0.069,0.069,0.2,0.1
10000,0.0080406,2.3765e-13,0.27426,1.2143e-05,-5.5967e-07,0,1.2045e-05,-5.5517e-07,0,9.7633e-08,-4.4993e-09,0,0.25,0.59982,0.0048612,91800,1,0.07,0.07,0.2,0.1
10000,0.0081661,2.3765e-13,0.27502,1.2158e-05,-5.6124e-07,0,1.2058e-05,-5.5665e-07,0,9.9286e-08,-4.5832e-09,0,0.25,0.59874,0.0049283,91715,1,0.071,0.071,0.2,0.1
10000,0.0082917,2.3765e-13,0.27578,1.2172e-05,-5.628e-07,0,1.2071e-05,-5.5813e-07,0,1.0094e-07,-4.6671e-09,0,0.25,0.59765,0.0049954,91630,1,0.072,0.072,0.2,0.1
10000,0.0084172,2.3765e-13,0.27653,1.2187e-05,-5.6437e-07,0,1.2085e-05,-5.5962e-07,0,1.0259e-07,-4.751e-09,0,0.25,0.59657,0.0050625,91545,1,0.073,0.073,0.2,0.1
10000,0.0085427,2.3765e-13,0.27729,1.2202e-05,-5.6593e-07,0,1.2098e-05,-5.611e-07,0,1.0425e-07,-4.8349e-09,0,0.25,0.59548,0.0051296,91460,1,0.074,0.074,0.2,0.1
10000,0.0086683,2.3765e-13,0.27804,1.2217e-05,-5.675e-07,0,1.2111e-05,-5.6258e-07,0,1.059e-07,-4.9188e-09,0,0.25,0.5944,0.0051967,91374,1,0.075,0.075,0.2,0.1
10000,0.0087936,2.3765e-13,0.27875,1.2229e-05,-5.6765e-07,0,1.2122e-05,-5.6266e-07,0,1.0755e-07,-4.9913e-09,0,0.25,0.59338,0.005263,91288,1,0.076,0.076,0.2,0.1
10000,0.008919,2.3765e-13,0.27947,1.2242e-05,-5.678e-07,0,1.2133e-05,-5.6273e-07,0,1.0919e-07,-5.0638e-09,0,0.25,0.59236,0.0053293,91202,1,0.077,0.077,0.2,0.1
10000,0.0090443,2.3765e-13,0.28018,1.2254e-05,-5.6794e-07,0,1.2143e-05,-5.6281e-07,0,1.1084e-07,-5.1364e-09,0,0.25,0.59134,0.0053956,91116,1,0.078,0.078,0.2,0.1
10000,0.0091696,2.3765e-13,0.28089,1.2267e-05,-5.6809e-07,0,1.2154e-05,-5.6288e-07,0,1.1249e-07,-5.2089e-09,0,0.25,0.59032,0.0054619,91029,1,0.079,0.079,0.2,0.1
10000,0.009295,2.3765e-13,0.2816,1.228e-05,-5.6824e-07,0,1.2165e-05,-5.6296e-07,0,1.1414e-07,-5.2814e-09,0,0.25,0.5893,0.0055282,90943,1,0.08,0.08,0.2,0.1
10000,0.00942,2.3765e-13,0.28227,1.229e-05,-5.6668e-07,0,1.2175e-05,-5.6134e-07,0,1.1578e-07,-5.3371e-09,0,0.25,0.58834,0.0055937,90855,1,0.081,0.081,0.2,0.1
10000,0.009545,2.3765e-13,0.28295,1.2301e-05,-5.6512e-07,0,1.2184e-05,-5.5973e-07,0,1.1743e-07,-5.3928e-09,0,0.25,0.58738,0.0056592,90768,1,0.082,0.082,0.2,0.1
10000,0.0096701,2.3765e-13,0.28362,1.2312e-05,-5.6356e-07,0,1.2193e-05,-5.5811e-07,0,1.1907e-07,-5.4485e-09,0,0.25,0.58642,0.0057247,90681,1,0.083,0.083,0.2,0.1
10000,0.0097951,2.3765e-13,0.28429,1.2323e-05,-5.62e-07,0,1.2202e-05,-5.565e-07,0,1.2072e-07,-5.5042e-09,0,0.25,0.58546,0.0057903,90593,1,0.084,0.084,0.2,0.1
10000,0.0099202,2.3765e-13,0.28496,1.2334e-05,-5.6044e-07,0,1.2212e-05,-5.5488e-07,0,1.2236e-07,-5.5599e-09,0,0.25,0.5845,0.0058558,90506,1,0.085,0.085,0.2,0.1
10000,0.010046,2.377e-13,0.2856,1.2343e-05,-5.5766e-07,0,1.2219e-05,-5.5206e-07,0,1.2401e-07,-5.6011e-09,0,0.25,0.58359,0.0059209,90418,1,0.086,0.086,0.2,0.1
10000,0.010171,2.3774e-13,0.28624,1.2353e-05,-5.5488e-07,0,1.2227e-05,-5.4924e-07,0,1.2567e-07,-5.6422e-09,0,0.25,0.58268,0.005986,90329,1,0.087,0.087,0.2,0.1
10000,0.010297,2.3779e-13,0.28688,1.2362e-05,-5.521e-07,0,1.2235e-05,-5.4641e-07,0,1.2732e-07,-5.6833e-09,0,0.25,0.58176,0.0060511,90241,1,0.088,0.088,0.2,0.1
10000,0.010422,2.3784e-13,0.28752,1.2372e-05,-5.4931e-07,0,1.2243e-05,-5.4359e-07,0,1.2897e-07,-5.7244e-09,0,0.25,0.58085,0.0061163,90152,1,0.089,0.089,0.2,0.1
10000,0.010547,2.3789e-13,0.28816,1.2381e-05,-5.4653e-07,0,1.225e-05,-5.4077e-07,0,1.3062e-07,-5.7656e-09,0,0.25,0.57994,0.0061814,90064,1,0.09,0.09,0.2,0.1
10000,0.010675,2.3789e-13,0.28878,1.2389e-05,-5.4268e-07,0,1.2257e-05,-5.3689e-07,0,1.3229e-07,-5.7915e-09,0,0.25,0.57906,0.006247,89975,1,0.091,0.091,0.2,0.1
10000,0.010802,2.3789e-13,0.2894,1.2397e-05,-5.3883e-07,0,1.2263e-05,-5.3301e-07,0,1.3396e-07,-5.8175e-09,0,0.25,0.57818,0.0063126,89886,1,0.092,0.092,0.2,0.1
10000,0.01093,2.3789e-13,0.29002,1.2405e-05,-5.3498e-07,0,1.2269e-05,-5.2913e-07,0,1.3563e-07,-5.8435e-09,0,0.25,0.57729,0.0063783,89796,1,0.093,0.093,0.2,0.1
10000,0.011058,2.3789e-13,0.29064,1.2413e-05,-5.3112e-07,0,1.2276e-05,-5.2525e-07,0,1.373e-07,-5.8694e-09,0,0.25,0.57641,0.0064439,89707,1,0.094,0.094,0.2,0.1
10000,0.011185,2.3789e-13,0.29126,1.2421e-05,-5.2727e-07,0,1.2282e-05,-5.2138e-07,0,1.3897e-07,-5.8954e-09,0,0.25,0.57553,0.0065095,89618,1,0.095,0.095,0.2,0.1
10000,0.011315,2.3784e-13,0.29187,1.2428e-05,-5.2229e-07,0,1.2287e-05,-5.1638e-07,0,1.4066e-07,-5.9042e-09,0,0.25,0.57468,0.0065758,89528,1,0.096,0.096,0.2,0.1
10000,0.011445,2.3779e-13,0.29247,1.2435e-05,-5.173e-07,0,1.2292e-05,-5.1139e-07,0,1.4235e-07,-5.913e-09,0,0.25,0.57382,0.0066422,89437,1,0.097,0.097,0.2,0.1
10000,0.011575,2.3774e-13,0.29307,1.2441e-05,-5.1231e-07,0,1.2297e-05,-5.0639e-07,0,1.4403e-07,-5.9217e-09,0,0.25,0.57296,0.0067085,89347,1,0.098,0.098,0.2,0.1
10000,0.011705,2.377e-13,0.29368,1.2448e-05,-5.0733e-07,0,1.2303e-05,-5.014e-07,0,1.4572e-07,-5.9305e-09,0,0.25,0.57211,0.0067749,89257,1,0.099,0.099,0.2,0.1
10000,0.011835,2.3765e-13,0.29428,1.2455e-05,-5.0234e-07,0,1.2308e-05,-4.964e-07,0,1.4741e-07,-5.9393e-09,0,0.25,0.57125,0.0068412,89167,1,0.1,0.1,0.2,0.1
10000,0.011966,2.3765e-13,0.29486,1.2461e-05,-4.9669e-07,0,1.2312e-05,-4.9076e-07,0,1.4911e-07,-5.934e-09,0,0.25,0.57043,0.0069073,89076,1,0.101,0.101,0.2,0.1
10000,0.012096,2.3765e-13,0.29544,1.2467e-05,-4.9105e-07,0,1.2317e-05,-4.8512e-07,0,1.508e-07,-5.9286e-09,0,0.25,0.56961,0.0069733,88985,1,0.102,0.102,0.2,0.1
10000,0.012227,2.3765e-13,0.29602,1.2473e-05,-4.854e-07,0,1.2321e-05,-4.7948e-07,0,1.5249e-07,-5.9232e-09,0,0.25,0.56879,0.0070393,88894,1,0.103,0.103,0.2,0.1
10000,0.012357,2.3765e-13,0.2966,1.2479e-05,-4.7976e-07,0,1.2325e-05,-4.7384e-07,0,1.5419e-07,-5.9179e-09,0,0.25,0.56797,0.0071054,88802,1,0.104,0.104,0.2,0.1
10000,0.012488,2.3765e-13,0.29718,1.2486e-05,-4.7411e-07,0,1.233e-05,-4.682e-07,0,1.5588e-07,-5.9125e-09,0,0.25,0.56716,0.0071714,88711,1,0.105,0.105,0.2,0.1
10000,0.012616,2.3765e-13,0.29773,1.2491e-05,-4.6803e-07,0,1.2334e-05,-4.6214e-07,0,1.5756e-07,-5.8938e-09,0,0.25,0.56638,0.0072359,88620,1,0.106,0.106,0.2,0.1
10000,0.012744,2.3765e-13,0.29828,1.2497e-05,-4.6195e-07,0,1.2338e-05,-4.5608e-07,0,1.5923e-07,-5.875e-09,0,0.25,0.56561,0.0073003,88528,1,0.107,0.107,0.2,0.1
10000,0.012873,2.3765e-13,0.29882,1.2502e-05,-4.5588e-07,0,1.2342e-05,-4.5002e-07,0,1.6091e-07,-5.8563e-09,0,0.25,0.56484,0.0073648,88436,1,0.108,0.108,0.2,0.1
