Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,2.9534e-14,1,3.3859e+13,8.8269,0.99773,0.99304,2.94e-14,-13,0.25,8.8269,3.3859e+13,1,6.2386e-11,0,3.5058e+07,8.8269,0.0022702,0.0069601,1,0,0,0,0
50,3.0096e-14,1,3.3226e+13,8.8269,0.98835,0.99304,2.94e-14,-13,0.25,8.8269,3.3227e+13,1,6.2386e-11,0,9.2328e+08,8.8269,0.01165,0.0069601,1,0.01,0.01,0,0
50,3.0664e-14,1,3.2609e+13,8.7258,0.97913,0.98366,2.94e-14,-13,0.25,8.7258,3.2612e+13,1,3.0608e-11,0,2.9632e+09,8.7258,0.020871,0.01634,1,0.02,0.02,0,0
50,3.1232e-14,1,3.2012e+13,8.6247,0.97013,0.9746,2.94e-14,-13,0.25,8.6247,3.2018e+13,1,0,0,6.0686e+09,8.6247,0.029868,0.025402,1,0.03,0.03,0,0
50,3.1809e-14,1,3.1428e+13,8.5234,0.96123,0.96567,2.94e-14,-13,0.25,8.5234,3.1438e+13,1,9.8353e-12,0,1.0223e+10,8.5234,0.038766,0.034334,1,0.04,0.04,0,0
50,3.2397e-14,1,3.0852e+13,8.4222,0.95239,0.9568,2.94e-14,-13,0.25,8.4222,3.0867e+13,1,-9.6548e-12,0,1.5419e+10,8.4222,0.047609,0.043198,1,0.05,0.05,0,0
50,3.2997e-14,1,3.0284e+13,8.3209,0.94358,0.94798,2.94e-14,-13,0.25,8.3209,3.0306e+13,1,-2.8443e-11,0,2.1651e+10,8.3209,0.056416,0.05202,1,0.06,0.06,0,0
50,3.3611e-14,1,2.9723e+13,8.2195,0.9348,0.93919,2.94e-14,-13,0.25,8.2195,2.9752e+13,1,9.311e-12,0,2.8916e+10,8.2195,0.065197,0.060812,1,0.07,0.07,0,0
50,3.424e-14,1,2.9169e+13,8.118,0.92604,0.93042,2.94e-14,-13,0.25,8.118,2.9206e+13,1,-9.139e-12,0,3.7209e+10,8.118,0.073957,0.069581,1,0.08,0.08,0,0
50,3.4884e-14,1,2.862e+13,8.0166,0.9173,0.92167,2.94e-14,-13,0.25,8.0166,2.8667e+13,1,8.9693e-12,0,4.6529e+10,8.0166,0.082703,0.078333,1,0.09,0.09,0,0
50,3.5543e-14,1,2.8078e+13,7.915,0.90856,0.91293,2.94e-14,-13,0.25,7.915,2.8135e+13,1,-8.8003e-12,0,5.6877e+10,7.915,0.091438,0.087073,1,0.1,0.1,0,0
50,3.622e-14,1,2.7541e+13,7.8134,0.89983,0.9042,2.94e-14,-13,0.25,7.8134,2.7609e+13,1,-4.3182e-12,0,6.8257e+10,7.8134,0.10017,0.095804,1,0.11,0.11,0,0
50,3.6915e-14,1,2.7009e+13,7.7118,0.8911,0.89547,2.94e-14,-13,0.25,7.7118,2.709e+13,1,-3.391e-11,0,8.0672e+10,7.7118,0.1089,0.10453,1,0.12,0.12,0,0
50,3.7627e-14,1,2.6482e+13,7.6101,0.88237,0.88674,2.94e-14,-13,0.25,7.6101,2.6576e+13,1,8.3203e-12,0,9.4126e+10,7.6101,0.11763,0.11326,1,0.13,0.13,0,0
50,3.836e-14,1,2.596e+13,7.5083,0.87363,0.878,2.94e-14,-13,0.25,7.5083,2.6069e+13,1,-4.0795e-12,0,1.0864e+11,7.5083,0.12637,0.122,1,0.14,0.14,0,0
50,3.9114e-14,1,2.5442e+13,7.4065,0.86486,0.86924,2.94e-14,-13,0.25,7.4065,2.5566e+13,1,1.2016e-11,0,1.2423e+11,7.4065,0.13514,0.13076,1,0.15,0.15,0,0
50,3.9892e-14,1,2.4927e+13,7.3046,0.85606,0.86046,2.94e-14,-13,0.25,7.3046,2.5068e+13,1,7.8501e-12,0,1.4094e+11,7.3046,0.14394,0.13954,1,0.16,0.16,0,0
50,4.0696e-14,1,2.4414e+13,7.2027,0.84721,0.85162,2.94e-14,-13,0.25,7.2027,2.4572e+13,1,1.1533e-11,0,1.5882e+11,7.2027,0.15279,0.14838,1,0.17,0.17,0,0
50,4.1529e-14,1,2.3901e+13,7.1007,0.83827,0.84272,2.94e-14,-13,0.25,7.1007,2.4079e+13,1,0,0,1.7793e+11,7.1007,0.16173,0.15728,1,0.18,0.18,0,0
50,4.2396e-14,1,2.3389e+13,6.9987,0.82924,0.83373,2.94e-14,-13,0.25,6.9987,2.3587e+13,1,1.4777e-11,0,1.9837e+11,6.9987,0.17076,0.16627,1,0.19,0.19,0,0
50,4.3302e-14,1,2.2873e+13,6.8966,0.82004,0.82461,2.94e-14,-13,0.25,6.8966,2.3093e+13,1,-3.6109e-12,0,2.203e+11,6.8966,0.17996,0.17539,1,0.2,0.2,0,0
50,4.4258e-14,1,2.2351e+13,6.7944,0.81063,0.81529,2.94e-14,-13,0.25,6.7944,2.2595e+13,1,0,0,2.4395e+11,6.7944,0.18937,0.18471,1,0.21,0.21,0,0
50,4.5277e-14,1,2.1817e+13,6.6922,0.80088,0.80568,2.94e-14,-13,0.25,6.6922,2.2086e+13,1,3.0272e-15,0,2.6971e+11,6.6922,0.19912,0.19432,1,0.22,0.22,0,0
50,4.6384e-14,1,2.1261e+13,6.59,0.79061,0.79564,2.94e-14,-13,0.25,6.59,2.1559e+13,1,3.375e-12,0,2.9825e+11,6.59,0.20939,0.20436,1,0.23,0.23,0,0
50,4.7627e-14,1,2.0666e+13,6.4876,0.77947,0.78486,2.94e-14,-13,0.25,6.4876,2.0997e+13,1,6.5919e-12,0,3.3085e+11,6.4876,0.22053,0.21514,1,0.24,0.24,0,0
50,4.9099e-14,1,1.9997e+13,6.3852,0.76675,0.77279,2.94e-14,-13,0.25,6.3852,2.0367e+13,1,1.6015e-11,0,3.701e+11,6.3852,0.23325,0.22721,1,0.25,0.25,0,0
50,5.1024e-14,1,1.9176e+13,6.2827,0.75086,0.75817,2.94e-14,-13,0.25,6.2827,1.9599e+13,1,3.0976e-12,0,4.2226e+11,6.2827,0.24914,0.24183,1,0.26,0.26,0,0
50,5.4044e-14,1,1.7998e+13,6.1802,0.72742,0.73767,2.94e-14,-13,0.25,6.1802,1.8503e+13,1,2.9374e-12,0,5.0545e+11,6.1802,0.27258,0.26233,1,0.27,0.27,0,0
50,6.0832e-14,1,1.5743e+13,6.0774,0.68034,0.69945,2.94e-14,-13,0.25,6.0774,1.6439e+13,1,-2.6847e-12,0,6.9513e+11,6.0774,0.31966,0.30055,1,0.28,0.28,0,0
50,9.7521e-14,1,8.566e+12,5.9744,0.50184,0.56771,2.94e-14,-13,0.25,5.9744,1.0254e+13,1,-5.662e-12,0,1.6882e+12,5.9744,0.49816,0.43229,1,0.29,0.29,0,0
50,1.5941e-13,1,6.8927e+10,5.8793,0.045016,0.090032,2.94e-14,-13,0.25,5.8793,6.273e+12,1,-9.0557e-13,0,6.204e+12,5.8793,0.95498,0.90997,1,0.3,0.3,0,0
50,1.47e-13,1,0,5.7942,-1.0376e-10,-1.0376e-10,2.94e-14,-13,0.25,5.7942,6.8027e+12,1,2.1088e-12,0,6.8027e+12,5.7942,1,1,1,0.31,0.31,0,0
50,1.47e-13,1,0,5.7108,1.6296e-09,1.6296e-09,2.94e-14,-13,0.25,5.7108,6.8027e+12,1,-4.2115e-12,0,6.8027e+12,5.7108,1,1,1,0.32,0.32,0,0
50,1.47e-13,1,0,5.6275,1.6281e-09,1.6286e-09,2.94e-14,-13,0.25,5.6275,6.8027e+12,1,1.2109e-14,0,6.8027e+12,5.6275,1,1,1,0.33,0.33,0,0
50,1.47e-13,1,0,5.5441,-9.0955e-11,-9.0955e-11,2.94e-14,-13,0.25,5.5441,6.8027e+12,1,-1.0423e-12,0,6.8027e+12,5.5441,1,1,1,0.34,0.34,0,0
