Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,3.1739e-14,1,3.1498e+13,1.2067,0.96231,0.93465,2.94e-14,-13,0.25,1.2067,3.1507e+13,1,4.6097e-12,0,9.6661e+09,1.2067,0.037695,0.065355,1,0,0,0,0
50,3.5664e-14,1,2.798e+13,1.2067,0.90699,0.93465,2.94e-14,-13,0.25,1.2067,2.8039e+13,1,4.6097e-12,0,5.8855e+10,1.2067,0.093014,0.065355,1,0.01,0.01,0,0
50,3.9664e-14,1,2.5076e+13,1.2031,0.85862,0.87933,2.94e-14,-13,0.25,1.2031,2.5212e+13,1,4.0919e-12,0,1.3598e+11,1.2031,0.14138,0.12067,1,0.02,0.02,0,0
50,4.3188e-14,1,2.2937e+13,1.1992,0.82119,0.8379,2.94e-14,-13,0.25,1.1992,2.3154e+13,1,1.8644e-12,0,2.1752e+11,1.1992,0.17881,0.1621,1,0.03,0.03,0,0
50,4.6407e-14,1,2.125e+13,1.1948,0.7904,0.80447,2.94e-14,-13,0.25,1.1948,2.1548e+13,1,8.6374e-13,0,2.9885e+11,1.1948,0.2096,0.19553,1,0.04,0.04,0,0
50,4.9403e-14,1,1.9863e+13,1.1902,0.76419,0.77634,2.94e-14,-13,0.25,1.1902,2.0242e+13,1,-8.0599e-13,0,3.7828e+11,1.1902,0.23581,0.22366,1,0.05,0.05,0,0
50,5.2226e-14,1,1.8692e+13,1.1852,0.74132,0.75204,2.94e-14,-13,0.25,1.1852,1.9148e+13,1,-7.6156e-13,0,4.5521e+11,1.1852,0.25868,0.24796,1,0.06,0.06,0,0
50,5.491e-14,1,1.7682e+13,1.18,0.72101,0.7306,2.94e-14,-13,0.25,1.18,1.8212e+13,1,-7.1958e-13,0,5.2948e+11,1.18,0.27899,0.2694,1,0.07,0.07,0,0
50,5.7478e-14,1,1.6797e+13,1.1745,0.70273,0.71142,2.94e-14,-13,0.25,1.1745,1.7398e+13,1,-6.9048e-13,0,6.0116e+11,1.1745,0.29727,0.28858,1,0.08,0.08,0,0
50,5.995e-14,1,1.601e+13,1.1688,0.68608,0.69403,2.94e-14,-13,0.25,1.1688,1.6681e+13,1,-6.5948e-13,0,6.7039e+11,1.1688,0.31392,0.30597,1,0.09,0.09,0,0
50,6.2338e-14,1,1.5304e+13,1.1628,0.67078,0.67812,2.94e-14,-13,0.25,1.1628,1.6042e+13,1,3.0272e-15,0,7.3732e+11,1.1628,0.32922,0.32188,1,0.1,0.1,0,0
50,6.4655e-14,1,1.4665e+13,1.1565,0.65661,0.66344,2.94e-14,-13,0.25,1.1565,1.5467e+13,1,-1.8283e-12,0,8.0215e+11,1.1565,0.34339,0.33656,1,0.11,0.11,0,0
50,6.6909e-14,1,1.4081e+13,1.1501,0.6434,0.64979,2.94e-14,-13,0.25,1.1501,1.4946e+13,1,1.1775e-12,0,8.6504e+11,1.1501,0.3566,0.35021,1,0.12,0.12,0,0
50,6.9108e-14,1,1.3544e+13,1.1434,0.63102,0.63702,2.94e-14,-13,0.25,1.1434,1.447e+13,1,3.0272e-15,0,9.2615e+11,1.1434,0.36898,0.36298,1,0.13,0.13,0,0
50,7.1259e-14,1,1.3048e+13,1.1365,0.61936,0.62502,2.94e-14,-13,0.25,1.1365,1.4033e+13,1,-2.2076e-12,0,9.8564e+11,1.1365,0.38064,0.37498,1,0.14,0.14,0,0
50,7.3366e-14,1,1.2587e+13,1.1293,0.60831,0.61369,2.94e-14,-13,0.25,1.1293,1.363e+13,1,-1.5949e-12,0,1.0437e+12,1.1293,0.39169,0.38631,1,0.15,0.15,0,0
50,7.5435e-14,1,1.2156e+13,1.122,0.59782,0.60294,2.94e-14,-13,0.25,1.122,1.3256e+13,1,3.0272e-15,0,1.1003e+12,1.122,0.40218,0.39706,1,0.16,0.16,0,0
50,7.7469e-14,1,1.1753e+13,1.1145,0.58781,0.5927,2.94e-14,-13,0.25,1.1145,1.2908e+13,1,-5.1275e-13,0,1.1558e+12,1.1145,0.41219,0.4073,1,0.17,0.17,0,0
50,7.9473e-14,1,1.1373e+13,1.1067,0.57824,0.58292,2.94e-14,-13,0.25,1.1067,1.2583e+13,1,1.9747e-12,0,1.2101e+12,1.1067,0.42176,0.41708,1,0.18,0.18,0,0
50,8.145e-14,1,1.1014e+13,1.0988,0.56905,0.57355,2.94e-14,-13,0.25,1.0988,1.2277e+13,1,-9.599e-13,0,1.2634e+12,1.0988,0.43095,0.42645,1,0.19,0.19,0,0
50,8.3403e-14,1,1.0674e+13,1.0906,0.56019,0.56454,2.94e-14,-13,0.25,1.0906,1.199e+13,1,-4.6394e-13,0,1.3158e+12,1.0906,0.43981,0.43546,1,0.2,0.2,0,0
50,8.5336e-14,1,1.0351e+13,1.0823,0.55165,0.55585,2.94e-14,-13,0.25,1.0823,1.1718e+13,1,9.1836e-13,0,1.3675e+12,1.0823,0.44835,0.44415,1,0.21,0.21,0,0
50,8.725e-14,1,1.0043e+13,1.0737,0.54338,0.54745,2.94e-14,-13,0.25,1.0737,1.1461e+13,1,4.5198e-13,0,1.4184e+12,1.0737,0.45662,0.45255,1,0.22,0.22,0,0
50,8.9149e-14,1,9.7485e+12,1.065,0.53536,0.53931,2.94e-14,-13,0.25,1.065,1.1217e+13,1,-8.8455e-13,0,1.4687e+12,1.065,0.46464,0.46069,1,0.23,0.23,0,0
50,9.1036e-14,1,9.4662e+12,1.0561,0.52755,0.5314,2.94e-14,-13,0.25,1.0561,1.0985e+13,1,8.6005e-13,0,1.5185e+12,1.0561,0.47245,0.4686,1,0.24,0.24,0,0
50,9.2914e-14,1,9.1948e+12,1.047,0.51993,0.52369,2.94e-14,-13,0.25,1.047,1.0763e+13,1,8.4548e-13,0,1.5678e+12,1.047,0.48007,0.47631,1,0.25,0.25,0,0
50,9.4787e-14,1,8.9332e+12,1.0377,0.51248,0.51617,2.94e-14,-13,0.25,1.0377,1.055e+13,1,6.0544e-15,0,1.6168e+12,1.0377,0.48752,0.48383,1,0.26,0.26,0,0
50,9.6656e-14,1,8.6803e+12,1.0282,0.50517,0.50879,2.94e-14,-13,0.25,1.0282,1.0346e+13,1,-4.0778e-13,0,1.6657e+12,1.0282,0.49483,0.49121,1,0.27,0.27,0,0
50,9.8527e-14,1,8.4351e+12,1.0186,0.49799,0.50155,2.94e-14,-13,0.25,1.0186,1.0149e+13,1,7.8189e-13,0,1.7144e+12,1.0186,0.50201,0.49845,1,0.28,0.28,0,0
50,1.004e-13,1,8.1965e+12,1.0087,0.49089,0.49442,2.94e-14,-13,0.25,1.0087,9.9597e+12,1,9.0817e-15,0,1.7632e+12,1.0087,0.50911,0.50558,1,0.29,0.29,0,0
50,1.0229e-13,1,7.9636e+12,0.99866,0.48387,0.48737,2.94e-14,-13,0.25,0.99866,9.7758e+12,1,-3.7018e-13,0,1.8122e+12,0.99866,0.51613,0.51263,1,0.3,0.3,0,0
50,1.042e-13,1,7.7353e+12,0.98843,0.47688,0.48037,2.94e-14,-13,0.25,0.98843,9.5969e+12,1,5.629e-13,0,1.8616e+12,0.98843,0.52312,0.51963,1,0.31,0.31,0,0
50,1.0613e-13,1,7.5109e+12,0.97801,0.46992,0.4734,2.94e-14,-13,0.25,0.97801,9.4224e+12,1,7.4291e-13,0,1.9115e+12,0.97801,0.53008,0.5266,1,0.32,0.32,0,0
50,1.0809e-13,1,7.2899e+12,0.96739,0.46295,0.46643,2.94e-14,-13,0.25,0.96739,9.252e+12,1,1.0973e-12,0,1.9621e+12,0.96739,0.53705,0.53357,1,0.33,0.33,0,0
50,1.1007e-13,1,7.0718e+12,0.95658,0.45597,0.45946,2.94e-14,-13,0.25,0.95658,9.0851e+12,1,1.2109e-14,0,2.0134e+12,0.95658,0.54403,0.54054,1,0.34,0.34,0,0
50,1.1209e-13,1,6.8552e+12,0.94558,0.44894,0.45244,2.94e-14,-13,0.25,0.94558,8.921e+12,1,6.9153e-13,0,2.0658e+12,0.94558,0.55106,0.54756,1,0.35,0.35,0,0
50,1.1418e-13,1,6.6381e+12,0.93436,0.44177,0.44533,2.94e-14,-13,0.25,0.93436,8.7579e+12,1,-8.5609e-13,0,2.1199e+12,0.93436,0.55823,0.55467,1,0.36,0.36,0,0
50,1.1637e-13,1,6.4169e+12,0.92294,0.43435,0.43801,2.94e-14,-13,0.25,0.92294,8.5935e+12,1,0,0,2.1766e+12,0.92294,0.56565,0.56199,1,0.37,0.37,0,0
50,1.1871e-13,1,6.1862e+12,0.9113,0.42647,0.43031,2.94e-14,-13,0.25,0.9113,8.4239e+12,1,-3.235e-13,0,2.2377e+12,0.9113,0.57353,0.56969,1,0.38,0.38,0,0
50,1.2132e-13,1,5.9363e+12,0.89941,0.41777,0.42195,2.94e-14,-13,0.25,0.89941,8.2424e+12,1,3.1058e-13,0,2.3061e+12,0.89941,0.58223,0.57805,1,0.39,0.39,0,0
50,1.2442e-13,1,5.6492e+12,0.88726,0.40754,0.41234,2.94e-14,-13,0.25,0.88726,8.037e+12,1,-1.2109e-14,0,2.3879e+12,0.88726,0.59246,0.58766,1,0.4,0.4,0,0
50,1.285e-13,1,5.2855e+12,0.87478,0.3942,0.40025,2.94e-14,-13,0.25,0.87478,7.782e+12,1,-1.5899e-13,0,2.4966e+12,0.87478,0.6058,0.59975,1,0.41,0.41,0,0
50,1.3483e-13,1,4.7474e+12,0.86184,0.3736,0.38248,2.94e-14,-13,0.25,0.86184,7.4167e+12,1,-5.8643e-13,0,2.6693e+12,0.86184,0.6264,0.61752,1,0.42,0.42,0,0
50,1.4756e-13,1,3.7364e+12,0.8481,0.33144,0.34845,2.94e-14,-13,0.25,0.8481,6.7771e+12,1,5.4344e-13,0,3.0407e+12,0.8481,0.66856,0.65155,1,0.43,0.43,0,0
