Tempo (s)	Pressão (MPa)
2.01564e+01	0.00000e+00
3.01788e+01	0.00000e+00
4.02084e+01	0.00000e+00
5.02416e+01	0.00000e+00
5.93460e+01	0.00000e+00
6.93864e+01	0.00000e+00
7.94268e+01	0.00000e+00
8.94600e+01	0.00000e+00
9.95004e+01	0.00000e+00
1.09534e+02	0.00000e+00
1.19570e+02	0.00000e+00
1.29604e+02	0.00000e+00
1.39734e+02	0.00000e+00
1.49774e+02	0.00000e+00
1.59808e+02	0.00000e+00
1.69841e+02	0.00000e+00
1.79968e+02	0.00000e+00
1.90008e+02	0.00000e+00
2.00034e+02	0.00000e+00
2.10074e+02	0.00000e+00
2.20201e+02	0.00000e+00
2.30231e+02	0.00000e+00
2.40268e+02	0.00000e+00
2.50297e+02	0.00000e+00
2.60431e+02	0.00000e+00
2.70464e+02	0.00000e+00
2.80494e+02	0.00000e+00
2.90534e+02	0.00000e+00
3.00564e+02	0.00000e+00
3.10597e+02	0.00000e+00
3.20627e+02	0.00000e+00
3.30653e+02	0.00000e+00
3.40780e+02	0.00000e+00
3.50813e+02	0.00000e+00
3.60846e+02	0.00000e+00
3.70876e+02	0.00000e+00
3.80902e+02	0.00000e+00
3.90938e+02	0.00000e+00
4.00968e+02	0.00000e+00
4.11102e+02	0.00000e+00
4.21232e+02	1.00000e-04
4.31266e+02	1.10000e-03
4.41299e+02	1.50000e-03
4.50364e+02	4.00000e-04
4.60480e+02	1.30000e-03
4.70509e+02	1.30000e-03
4.80622e+02	1.90000e-03
4.90651e+02	1.70000e-03
5.00677e+02	2.90000e-03
5.10710e+02	2.60000e-03
5.20736e+02	2.10000e-03
5.30770e+02	2.30000e-03
5.40792e+02	2.90000e-03
5.50825e+02	3.00000e-03
5.60952e+02	2.20000e-03
5.71079e+02	2.20000e-03
5.81108e+02	2.50000e-03
5.91134e+02	3.20000e-03
6.01175e+02	3.00000e-03
6.11204e+02	3.00000e-03
6.21230e+02	2.90000e-03
6.31260e+02	3.00000e-03
6.41286e+02	4.10000e-03
6.51326e+02	3.50000e-03
6.61360e+02	3.30000e-03
6.71400e+02	2.80000e-03
6.81437e+02	3.20000e-03
6.91459e+02	3.50000e-03
7.01489e+02	3.90000e-03
7.11518e+02	4.20000e-03
7.21552e+02	3.00000e-03
7.31578e+02	3.90000e-03
7.41614e+02	2.40000e-03
7.51648e+02	3.40000e-03
7.61692e+02	3.30000e-03
7.71714e+02	3.70000e-03
7.81740e+02	3.20000e-03
