sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.2,0.6666666666666666,0.15,0.85,False,0.999997
0.2,0.6666666666666666,0.2,0.8,False,0.999954
0.2,0.6666666666666666,0.25,0.75,False,0.0766768
0.2,0.6666666666666666,0.3,0.7,False,0.0219665
0.2,0.6666666666666666,0.35,0.65,False,0.00689533
0.2,0.6666666666666666,0.4,0.6,False,0.00258858
0.2,0.6666666666666666,0.45,0.55,False,0.00106878
0.2,0.6666666666666666,0.5,0.5,False,0.000533964
0.2,0.6333333333333333,0.15,0.85,False,0.999993
0.2,0.6333333333333333,0.2,0.8,False,0.999949
0.2,0.6333333333333333,0.25,0.75,False,0.0766444
0.2,0.6333333333333333,0.3,0.7,False,0.0219315
0.2,0.6333333333333333,0.35,0.65,False,0.00686996
0.2,0.6333333333333333,0.4,0.6,False,0.00257251
0.2,0.6333333333333333,0.45,0.55,False,0.00105571
0.2,0.6333333333333333,0.5,0.5,False,0.000517612
0.2,0.6,0.15,0.85,False,0.999976
0.2,0.6,0.2,0.8,False,0.99993
0.2,0.6,0.25,0.75,False,0.0766344
0.2,0.6,0.3,0.7,False,0.0219094
0.2,0.6,0.35,0.65,False,0.00684007
0.2,0.6,0.4,0.6,False,0.00254423
0.2,0.6,0.45,0.55,False,0.00103127
0.2,0.6,0.5,0.5,False,0.000494272
0.2,0.5666666666666667,0.15,0.85,False,0.99994
0.2,0.5666666666666667,0.2,0.8,False,0.999892
0.2,0.5666666666666667,0.25,0.75,False,0.0766313
0.2,0.5666666666666667,0.3,0.7,False,0.021901
0.2,0.5666666666666667,0.35,0.65,False,0.00682305
0.2,0.5666666666666667,0.4,0.6,False,0.00252117
0.2,0.5666666666666667,0.45,0.55,False,0.00100545
0.2,0.5666666666666667,0.5,0.5,False,0.000468904
0.2,0.5333333333333333,0.15,0.85,False,0.999894
0.2,0.5333333333333333,0.2,0.8,False,0.999845
0.2,0.5333333333333333,0.25,0.75,False,0.07663
0.2,0.5333333333333333,0.3,0.7,False,0.0218974
0.2,0.5333333333333333,0.35,0.65,False,0.00681442
0.2,0.5333333333333333,0.4,0.6,False,0.00250639
0.2,0.5333333333333333,0.45,0.55,False,0.000984182
0.2,0.5333333333333333,0.5,0.5,False,0.000445643
0.2,0.5,0.15,0.85,False,0.999857
0.2,0.5,0.2,0.8,False,0.999808
0.2,0.5,0.25,0.75,False,0.0766294
0.2,0.5,0.3,0.7,False,0.0218956
0.2,0.5,0.35,0.65,False,0.00680938
0.2,0.5,0.4,0.6,False,0.00249628
0.2,0.5,0.45,0.55,False,0.000966055
0.2,0.5,0.5,0.5,False,0.000423561
0.2,0.4666666666666667,0.15,0.85,False,0.999831
0.2,0.4666666666666667,0.2,0.8,False,0.999782
0.2,0.4666666666666667,0.25,0.75,False,0.076629
0.2,0.4666666666666667,0.3,0.7,False,0.0218943
0.2,0.4666666666666667,0.35,0.65,False,0.00680553
0.2,0.4666666666666667,0.4,0.6,False,0.00248746
0.2,0.4666666666666667,0.45,0.55,False,0.000946481
0.2,0.4666666666666667,0.5,0.5,False,0.000397527
0.2,0.43333333333333335,0.15,0.85,False,0.999812
0.2,0.43333333333333335,0.2,0.8,False,0.999764
0.2,0.43333333333333335,0.25,0.75,False,0.0766287
0.2,0.43333333333333335,0.3,0.7,False,0.0218933
