"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.99937,0.00062469,1e-12,0.64,0.26,0.1,1.4111e-05,0,0,1.4098e-05,0,0,1.3193e-08,0,0,0,0,0,0.25,0.63992,0.04,6.9334e-33,42227,1,0,0,0.005,0.005
0.9989,0.00092653,1e-12,0.50268,0.2522,0.24512,1.4111e-05,0,0,1.4097e-05,0,0,1.2179e-08,0,0,1.9846e-09,0,0,0.25,0.3909,0.036197,0.03322,42226,1,0.00367,0.00367,0.005,0.005
0.99877,0.0010094,1e-12,0.4846,0.25374,0.26166,1.4111e-05,0,0,1.4094e-05,0,0,1.4394e-08,0,0,3.0326e-09,0,0,0.25,0.36585,0.03694,0.040843,42225,1,0.00734,0.00734,0.005,0.005
0.99855,0.0012045,1e-12,0.47205,0.26324,0.26471,1.4111e-05,0,0,1.409e-05,0,0,1.7126e-08,0,0,3.4339e-09,0,0,0.25,0.34722,0.041714,0.042392,42223,1,0.01101,0.01101,0.005,0.005
0.99826,0.0014811,1e-12,0.45825,0.27586,0.26589,1.4111e-05,0,0,1.4087e-05,0,0,2.0676e-08,0,0,3.6916e-09,0,0,0.25,0.32678,0.048368,0.043001,42222,1,0.01468,0.01468,0.005,0.005
0.99801,0.001708,1e-12,0.44854,0.28484,0.26662,1.4111e-05,0,0,1.4083e-05,0,0,2.383e-08,0,0,3.895e-09,0,0,0.25,0.31238,0.053406,0.043378,42220,1,0.01835,0.01835,0.005,0.005
0.99785,0.0018655,1e-12,0.44257,0.29039,0.26704,1.4111e-05,0,0,1.4081e-05,0,0,2.6107e-08,0,0,4.0384e-09,0,0,0.25,0.30312,0.056646,0.043596,42218,1,0.02202,0.02202,0.005,0.005
0.99774,0.001965,1e-12,0.43918,0.29355,0.26728,1.4111e-05,0,0,1.4079e-05,0,0,2.759e-08,0,0,4.1344e-09,0,0,0.25,0.29725,0.058533,0.043722,42217,1,0.02569,0.02569,0.005,0.005
0.99768,0.0020268,1e-12,0.43729,0.29529,0.26742,1.4111e-05,0,0,1.4078e-05,0,0,2.8521e-08,0,0,4.1995e-09,0,0,0.25,0.29335,0.05959,0.043798,42215,1,0.02936,0.02936,0.005,0.005
0.99763,0.0020669,1e-12,0.4362,0.29628,0.26752,1.4111e-05,0,0,1.4078e-05,0,0,2.9122e-08,0,0,4.246e-09,0,0,0.25,0.29057,0.060199,0.043847,42213,1,0.03303,0.03303,0.005,0.005
0.9976,0.0020948,1e-12,0.43552,0.29689,0.26758,1.4111e-05,0,0,1.4077e-05,0,0,2.9534e-08,0,0,4.2811e-09,0,0,0.25,0.28847,0.060573,0.043881,42211,1,0.0367,0.0367,0.005,0.005
0.99758,0.0021157,1e-12,0.43507,0.2973,0.26763,1.4111e-05,0,0,1.4077e-05,0,0,2.9839e-08,0,0,4.3091e-09,0,0,0.25,0.28679,0.060822,0.043907,42210,1,0.04037,0.04037,0.005,0.005
0.99756,0.0021322,1e-12,0.43475,0.29758,0.26767,1.4111e-05,0,0,1.4077e-05,0,0,3.0077e-08,0,0,4.3325e-09,0,0,0.25,0.28538,0.060998,0.043926,42208,1,0.04404,0.04404,0.005,0.005
0.99755,0.0021459,1e-12,0.43451,0.2978,0.2677,1.4111e-05,0,0,1.4076e-05,0,0,3.0273e-08,0,0,4.3526e-09,0,0,0.25,0.28417,0.06113,0.043941,42206,1,0.04771,0.04771,0.005,0.005
0.99753,0.0021576,1e-12,0.43432,0.29796,0.26772,1.4111e-05,0,0,1.4076e-05,0,0,3.044e-08,0,0,4.3704e-09,0,0,0.25,0.28311,0.061233,0.043954,42204,1,0.05138,0.05138,0.005,0.005
0.99752,0.0021678,1e-12,0.43416,0.2981,0.26774,1.4111e-05,0,0,1.4076e-05,0,0,3.0586e-08,0,0,4.3863e-09,0,0,0.25,0.28215,0.061316,0.043964,42202,1,0.05505,0.05505,0.005,0.005
0.99751,0.002177,1e-12,0.43404,0.29821,0.26776,1.4111e-05,0,0,1.4076e-05,0,0,3.0716e-08,0,0,4.4009e-09,0,0,0.25,0.28127,0.061384,0.043973,42200,1,0.05872,0.05872,0.005,0.005
0.9975,0.0021853,1e-12,0.43393,0.2983,0.26777,1.4111e-05,0,0,1.4076e-05,0,0,3.0834e-08,0,0,4.4143e-09,0,0,0.25,0.28046,0.061442,0.043981,42199,1,0.06239,0.06239,0.005,0.005
0.99749,0.0021929,1e-12,0.43383,0.29838,0.26779,1.4111e-05,0,0,1.4076e-05,0,0,3.0942e-08,0,0,4.4269e-09,0,0,0.25,0.27971,0.061492,0.043987,42197,1,0.06606,0.06606,0.005,0.005
0.99749,0.0022,1e-12,0.43375,0.29845,0.2678,1.4111e-05,0,0,1.4076e-05,0,0,3.1042e-08,0,0,4.4386e-09,0,0,0.25,0.27901,0.061536,0.043993,42195,1,0.06973,0.06973,0.005,0.005
0.99748,0.0022066,1e-12,0.43368,0.29851,0.26781,1.4111e-05,0,0,1.4075e-05,0,0,3.1135e-08,0,0,4.4497e-09,0,0,0.25,0.27835,0.061574,0.043999,42193,1,0.0734,0.0734,0.005,0.005
0.99747,0.0022127,1e-12,0.43362,0.29857,0.26782,1.4111e-05,0,0,1.4075e-05,0,0,3.1223e-08,0,0,4.4602e-09,0,0,0.25,0.27772,0.061608,0.044003,42191,1,0.07707,0.07707,0.005,0.005
0.99746,0.0022186,1e-12,0.43356,0.29862,0.26782,1.4111e-05,0,0,1.4075e-05,0,0,3.1305e-08,0,0,4.4702e-09,0,0,0.25,0.27712,0.061638,0.044008,42189,1,0.08074,0.08074,0.005,0.005
0.99746,0.0022241,1e-12,0.43351,0.29866,0.26783,1.4111e-05,0,0,1.4075e-05,0,0,3.1383e-08,0,0,4.4797e-09,0,0,0.25,0.27656,0.061665,0.044012,42187,1,0.08441,0.08441,0.005,0.005
0.99745,0.0022293,1e-12,0.43346,0.2987,0.26784,1.4111e-05,0,0,1.4075e-05,0,0,3.1457e-08,0,0,4.4889e-09,0,0,0.25,0.27602,0.06169,0.044015,42186,1,0.08808,0.08808,0.005,0.005
0.99745,0.0022343,1e-12,0.43342,0.29874,0.26784,1.4111e-05,0,0,1.4075e-05,0,0,3.1527e-08,0,0,4.4976e-09,0,0,0.25,0.2755,0.061712,0.044018,42184,1,0.09175,0.09175,0.005,0.005
0.99744,0.0022391,1e-12,0.43338,0.29877,0.26785,1.4111e-05,0,0,1.4075e-05,0,0,3.1595e-08,0,0,4.5061e-09,0,0,0.25,0.275,0.061733,0.044022,42182,1,0.09542,0.09542,0.005,0.005
0.99744,0.0022437,1e-12,0.43334,0.2988,0.26786,1.4111e-05,0,0,1.4075e-05,0,0,3.166e-08,0,0,4.5142e-09,0,0,0.25,0.27452,0.061752,0.044024,42180,1,0.09909,0.09909,0.005,0.005
0.99743,0.002248,1e-12,0.43331,0.29883,0.26786,1.4111e-05,0,0,1.4075e-05,0,0,3.1721e-08,0,0,4.522e-09,0,0,0.25,0.27407,0.06177,0.044027,42178,1,0.10276,0.10276,0.005,0.005
0.99743,0.0022522,1e-12,0.43328,0.29885,0.26786,1.4111e-05,0,0,1.4075e-05,0,0,3.1781e-08,0,0,4.5295e-09,0,0,0.25,0.27363,0.061786,0.044029,42176,1,0.10643,0.10643,0.005,0.005
0.99742,0.0022563,1e-12,0.43325,0.29888,0.26787,1.4111e-05,0,0,1.4075e-05,0,0,3.1838e-08,0,0,4.5367e-09,0,0,0.25,0.2732,0.061801,0.044031,42174,1,0.1101,0.1101,0.005,0.005
0.99742,0.0022602,1e-12,0.43323,0.2989,0.26787,1.4111e-05,0,0,1.4075e-05,0,0,3.1893e-08,0,0,4.5437e-09,0,0,0.25,0.27279,0.061815,0.044033,42172,1,0.11377,0.11377,0.005,0.005
0.99741,0.0022639,1e-12,0.4332,0.29892,0.26788,1.4111e-05,0,0,1.4074e-05,0,0,3.1945e-08,0,0,4.5505e-09,0,0,0.25,0.2724,0.061828,0.044035,42171,1,0.11744,0.11744,0.005,0.005
0.99741,0.0022675,1e-12,0.43318,0.29894,0.26788,1.4111e-05,0,0,1.4074e-05,0,0,3.1996e-08,0,0,4.557e-09,0,0,0.25,0.27202,0.06184,0.044037,42169,1,0.12111,0.12111,0.005,0.005
0.99741,0.002271,1e-12,0.43316,0.29896,0.26788,1.4111e-05,0,0,1.4074e-05,0,0,3.2045e-08,0,0,4.5633e-09,0,0,0.25,0.27165,0.061852,0.044039,42167,1,0.12478,0.12478,0.005,0.005
0.9974,0.0022743,1e-12,0.43314,0.29898,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.2092e-08,0,0,4.5693e-09,0,0,0.25,0.2713,0.061862,0.04404,42165,1,0.12845,0.12845,0.005,0.005
0.9974,0.0022774,1e-12,0.43312,0.29899,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.2136e-08,0,0,4.5751e-09,0,0,0.25,0.27097,0.061872,0.044042,42163,1,0.13212,0.13212,0.005,0.005
0.9974,0.0022804,1e-12,0.4331,0.29901,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.2179e-08,0,0,4.5806e-09,0,0,0.25,0.27065,0.061881,0.044043,42161,1,0.13579,0.13579,0.005,0.005
0.99739,0.0022833,1e-12,0.43308,0.29902,0.26789,1.4111e-05,0,0,1.4074e-05,0,0,3.222e-08,0,0,4.5859e-09,0,0,0.25,0.27034,0.06189,0.044045,42159,1,0.13946,0.13946,0.005,0.005
0.99739,0.0022861,1e-12,0.43307,0.29903,0.2679,1.4111e-05,0,0,1.4074e-05,0,0,3.2258e-08,0,0,4.5909e-09,0,0,0.25,0.27005,0.061898,0.044046,42157,1,0.14313,0.14313,0.005,0.005
