"Fa","Fb","Foil","Fshear","K","Nca","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","phi","phia","phib","phic","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.94862e-01,8.05138e-01,5.50000e-01,1.00000e-12,1.00000e-12,3.52545e-06,5.50000e-01,3.50000e-01,1.00000e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74882e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.50000e-01,2.36351e-04,9.76562e-02,3.08149e-33,1.76292e+05,-1.41110e-09,-2.74882e-10,-1.13622e-09,0.00000e+00,1,0.00000e+00,0.00000e+00,5.00000e-03,5.00000e-03
1.94802e-01,8.05197e-01,9.98353e-01,1.00000e+00,1.00000e-12,3.52373e-06,5.49709e-01,3.50071e-01,1.00219e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74904e-06,0.00000e+00,0.00000e+00,1.13619e-05,0.00000e+00,0.00000e+00,2.42137e-12,0.00000e+00,0.00000e+00,2.50000e-01,2.36396e-04,9.77121e-02,8.04969e-08,1.76078e+05,nan,nan,nan,nan,1,3.67000e-03,3.67000e-03,5.00000e-03,5.00000e-03
1.94799e-01,8.05201e-01,9.97088e-01,1.00000e+00,1.00000e-12,3.52196e-06,5.49482e-01,3.50129e-01,1.00389e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74881e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,6.97685e-12,0.00000e+00,0.00000e+00,2.50000e-01,2.36501e-04,9.77573e-02,2.55589e-07,1.75652e+05,nan,nan,nan,nan,1,7.34000e-03,7.34000e-03,5.00000e-03,5.00000e-03
1.94799e-01,8.05201e-01,9.95402e-01,1.00000e+00,1.00000e-12,3.51992e-06,5.49182e-01,3.50204e-01,1.00614e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74880e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,1.54239e-11,0.00000e+00,0.00000e+00,2.50000e-01,2.36642e-04,9.78159e-02,6.09193e-07,1.75226e+05,nan,nan,nan,nan,1,1.10100e-02,1.10100e-02,5.00000e-03,5.00000e-03
1.94798e-01,8.05200e-01,9.93567e-01,1.00000e+00,1.00000e-12,3.51758e-06,5.48854e-01,3.50287e-01,1.00859e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74878e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,2.91051e-11,0.00000e+00,0.00000e+00,2.50000e-01,2.36796e-04,9.78800e-02,1.18231e-06,1.74799e+05,nan,nan,nan,nan,1,1.46800e-02,1.46800e-02,5.00000e-03,5.00000e-03
1.94793e-01,8.05203e-01,9.91517e-01,1.00000e+00,1.00000e-12,3.51503e-06,5.48486e-01,3.50380e-01,1.01134e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74874e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,4.89089e-11,0.00000e+00,0.00000e+00,2.50000e-01,2.36967e-04,9.79533e-02,2.04185e-06,1.74374e+05,nan,nan,nan,nan,1,1.83500e-02,1.83500e-02,5.00000e-03,5.00000e-03
1.94793e-01,8.05201e-01,9.89410e-01,1.00000e+00,1.00000e-12,3.51241e-06,5.48109e-01,3.50473e-01,1.01418e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74871e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,7.46008e-11,0.00000e+00,0.00000e+00,2.50000e-01,2.37145e-04,9.80267e-02,3.16833e-06,1.73948e+05,nan,nan,nan,nan,1,2.20200e-02,2.20200e-02,5.00000e-03,5.00000e-03
1.94788e-01,8.05205e-01,9.87372e-01,1.00000e+00,1.00000e-12,3.50983e-06,5.47741e-01,3.50567e-01,1.01692e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74867e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,1.04947e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.37316e-04,9.81003e-02,4.49560e-06,1.73522e+05,nan,nan,nan,nan,1,2.56900e-02,2.56900e-02,5.00000e-03,5.00000e-03
1.94788e-01,8.05203e-01,9.85449e-01,1.00000e+00,1.00000e-12,3.50738e-06,5.47396e-01,3.50653e-01,1.01950e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74864e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,1.38693e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.37479e-04,9.81677e-02,5.96413e-06,1.73098e+05,nan,nan,nan,nan,1,2.93600e-02,2.93600e-02,5.00000e-03,5.00000e-03
1.94783e-01,8.05205e-01,9.83635e-01,1.00000e+00,1.00000e-12,3.50504e-06,5.47068e-01,3.50738e-01,1.02194e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74859e-06,0.00000e+00,0.00000e+00,1.13622e-05,0.00000e+00,0.00000e+00,1.75460e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.37631e-04,9.82333e-02,7.54365e-06,1.72673e+05,nan,nan,nan,nan,1,3.30300e-02,3.30300e-02,5.00000e-03,5.00000e-03
1.94780e-01,8.05206e-01,9.81847e-01,1.00000e+00,1.00000e-12,3.50273e-06,5.46745e-01,3.50820e-01,1.02435e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74854e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,2.15866e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.37783e-04,9.82976e-02,9.28978e-06,1.72249e+05,nan,nan,nan,nan,1,3.67000e-02,3.67000e-02,5.00000e-03,5.00000e-03
1.94777e-01,8.05206e-01,9.80048e-01,1.00000e+00,1.00000e-12,3.50043e-06,5.46420e-01,3.50902e-01,1.02678e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74848e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,2.60216e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.37935e-04,9.83624e-02,1.12294e-05,1.71825e+05,nan,nan,nan,nan,1,4.03700e-02,4.03700e-02,5.00000e-03,5.00000e-03
1.94770e-01,8.05209e-01,9.78289e-01,1.00000e+00,1.00000e-12,3.49814e-06,5.46098e-01,3.50985e-01,1.02917e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74841e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,3.08436e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38083e-04,9.84275e-02,1.33075e-05,1.71401e+05,nan,nan,nan,nan,1,4.40400e-02,4.40400e-02,5.00000e-03,5.00000e-03
1.94768e-01,8.05207e-01,9.76510e-01,1.00000e+00,1.00000e-12,3.49583e-06,5.45776e-01,3.51066e-01,1.03158e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74834e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,3.61269e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38235e-04,9.84911e-02,1.55957e-05,1.70978e+05,nan,nan,nan,nan,1,4.77100e-02,4.77100e-02,5.00000e-03,5.00000e-03
1.94759e-01,8.05211e-01,9.74681e-01,1.00000e+00,1.00000e-12,3.49349e-06,5.45442e-01,3.51153e-01,1.03405e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74826e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,4.18800e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38389e-04,9.85595e-02,1.81364e-05,1.70554e+05,nan,nan,nan,nan,1,5.13800e-02,5.13800e-02,5.00000e-03,5.00000e-03
1.94756e-01,8.05210e-01,9.72905e-01,1.00000e+00,1.00000e-12,3.49117e-06,5.45119e-01,3.51236e-01,1.03646e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74818e-06,0.00000e+00,0.00000e+00,1.13623e-05,0.00000e+00,0.00000e+00,4.79631e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38541e-04,9.86238e-02,2.07896e-05,1.70132e+05,nan,nan,nan,nan,1,5.50500e-02,5.50500e-02,5.00000e-03,5.00000e-03
1.94748e-01,8.05214e-01,9.71178e-01,1.00000e+00,1.00000e-12,3.48889e-06,5.44801e-01,3.51318e-01,1.03881e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74810e-06,0.00000e+00,0.00000e+00,1.13624e-05,0.00000e+00,0.00000e+00,5.43623e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38687e-04,9.86886e-02,2.35508e-05,1.69708e+05,nan,nan,nan,nan,1,5.87200e-02,5.87200e-02,5.00000e-03,5.00000e-03
1.94742e-01,8.05215e-01,9.69417e-01,1.00000e+00,1.00000e-12,3.48657e-06,5.44479e-01,3.51402e-01,1.04119e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74800e-06,0.00000e+00,0.00000e+00,1.13624e-05,0.00000e+00,0.00000e+00,6.12325e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38836e-04,9.87540e-02,2.65463e-05,1.69286e+05,nan,nan,nan,nan,1,6.23900e-02,6.23900e-02,5.00000e-03,5.00000e-03
1.94735e-01,8.05216e-01,9.67616e-01,1.00000e+00,1.00000e-12,3.48420e-06,5.44149e-01,3.51487e-01,1.04365e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74789e-06,0.00000e+00,0.00000e+00,1.13624e-05,0.00000e+00,0.00000e+00,6.86928e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.38990e-04,9.88210e-02,2.97993e-05,1.68864e+05,nan,nan,nan,nan,1,6.60600e-02,6.60600e-02,5.00000e-03,5.00000e-03
1.94725e-01,8.05221e-01,9.65764e-01,1.00000e+00,1.00000e-12,3.48174e-06,5.43806e-01,3.51576e-01,1.04618e-01,1.41110e-05,0.00000e+00,0.00000e+00,2.74777e-06,0.00000e+00,0.00000e+00,1.13625e-05,0.00000e+00,0.00000e+00,7.68379e-10,0.00000e+00,0.00000e+00,2.50000e-01,2.39147e-04,9.88917e-02,3.33477e-05,1.68442e+05,nan,nan,nan,nan,1,6.97300e-02,6.97300e-02,5.00000e-03,5.00000e-03
