So,Sw,Sg,Cs,MRF,xD
0.00498581,0.49693,0.498084,0.05,10.0,0.0
0.00797462,0.495088,0.496937,0.05,10.0,0.001001001001001001
0.0106929,0.493412,0.495895,0.05,10.0,0.002002002002002002
0.0132627,0.491826,0.494911,0.05,10.0,0.003003003003003003
0.0157281,0.490304,0.493968,0.05,10.0,0.004004004004004004
0.0181109,0.488831,0.493058,0.05,10.0,0.005005005005005004
0.0204239,0.487402,0.492174,0.05,10.0,0.006006006006006006
0.0226759,0.486009,0.491315,0.05,10.0,0.007007007007007007
0.0248729,0.484649,0.490478,0.05,10.0,0.008008008008008008
0.0270197,0.48332,0.489661,0.05,10.0,0.009009009009009007
0.02912,0.482018,0.488862,0.05,10.0,0.010010010010010008
0.0311769,0.480743,0.48808,0.05,10.0,0.011011011011011011
0.033193,0.479493,0.487314,0.05,10.0,0.012012012012012012
0.0351705,0.478266,0.486564,0.05,10.0,0.013013013013013013
0.0371115,0.47706,0.485828,0.05,10.0,0.014014014014014014
0.0390176,0.475876,0.485106,0.05,10.0,0.015015015015015015
0.0408905,0.474712,0.484397,0.05,10.0,0.016016016016016016
0.0427316,0.473567,0.483701,0.05,10.0,0.017017017017017015
0.0445421,0.472441,0.483017,0.05,10.0,0.018018018018018014
0.0463233,0.471332,0.482345,0.05,10.0,0.019019019019019017
0.0480763,0.47024,0.481684,0.05,10.0,0.020020020020020016
0.0498021,0.469165,0.481033,0.05,10.0,0.021021021021021023
0.0515018,0.468105,0.480393,0.05,10.0,0.022022022022022022
0.0531761,0.467061,0.479763,0.05,10.0,0.023023023023023025
0.054826,0.466031,0.479143,0.05,10.0,0.024024024024024024
0.0564522,0.465016,0.478532,0.05,10.0,0.025025025025025027
0.0580556,0.464014,0.47793,0.05,10.0,0.026026026026026026
0.0596367,0.463026,0.477338,0.05,10.0,0.02702702702702703
0.0611964,0.46205,0.476753,0.05,10.0,0.028028028028028028
0.0627352,0.461088,0.476177,0.05,10.0,0.02902902902902903
0.0642538,0.460137,0.475609,0.05,10.0,0.03003003003003003
0.0657527,0.459199,0.475049,0.05,10.0,0.031031031031031032
0.0672325,0.458271,0.474496,0.05,10.0,0.03203203203203203
0.0686937,0.457356,0.473951,0.05,10.0,0.03303303303303303
0.0701368,0.45645,0.473413,0.05,10.0,0.03403403403403403
0.0715624,0.455556,0.472882,0.05,10.0,0.035035035035035036
0.0729708,0.454672,0.472357,0.05,10.0,0.03603603603603603
0.0743626,0.453798,0.47184,0.05,10.0,0.037037037037037035
0.0757381,0.452934,0.471328,0.05,10.0,0.038038038038038034
0.0770977,0.452079,0.470823,0.05,10.0,0.03903903903903904
0.078442,0.451234,0.470325,0.05,10.0,0.04004004004004003
0.0797711,0.450397,0.469832,0.05,10.0,0.04104104104104104
