So,Sw,Sg,Cs,MRF,xD
0.00497407,0.496937,0.498089,0.05,10.0,0.0
0.00795606,0.4951,0.496944,0.05,10.0,0.001001001001001001
0.0106683,0.493427,0.495905,0.05,10.0,0.002002002002002002
0.0132326,0.491845,0.494923,0.05,10.0,0.003003003003003003
0.0156927,0.490325,0.493982,0.05,10.0,0.004004004004004004
0.0180705,0.488856,0.493073,0.05,10.0,0.005005005005005004
0.0203789,0.487429,0.492192,0.05,10.0,0.006006006006006006
0.0226264,0.486039,0.491334,0.05,10.0,0.007007007007007007
0.0248191,0.484682,0.490499,0.05,10.0,0.008008008008008008
0.0269618,0.483355,0.489683,0.05,10.0,0.009009009009009007
0.0290582,0.482057,0.488885,0.05,10.0,0.010010010010010008
0.0311114,0.480784,0.488105,0.05,10.0,0.011011011011011011
0.0331239,0.479536,0.48734,0.05,10.0,0.012012012012012012
0.035098,0.478311,0.486591,0.05,10.0,0.013013013013013013
0.0370357,0.477108,0.485857,0.05,10.0,0.014014014014014014
0.0389386,0.475925,0.485136,0.05,10.0,0.015015015015015015
0.0408084,0.474763,0.484428,0.05,10.0,0.016016016016016016
0.0426465,0.47362,0.483733,0.05,10.0,0.017017017017017015
0.0444541,0.472496,0.48305,0.05,10.0,0.018018018018018014
0.0462326,0.471388,0.482379,0.05,10.0,0.019019019019019017
0.047983,0.470298,0.481719,0.05,10.0,0.020020020020020016
0.0497062,0.469225,0.481069,0.05,10.0,0.021021021021021023
0.0514034,0.468166,0.48043,0.05,10.0,0.022022022022022022
0.0530753,0.467124,0.479801,0.05,10.0,0.023023023023023025
0.0547229,0.466095,0.479182,0.05,10.0,0.024024024024024024
0.0563469,0.465081,0.478572,0.05,10.0,0.025025025025025027
0.0579481,0.464081,0.477971,0.05,10.0,0.026026026026026026
0.0595272,0.463094,0.477379,0.05,10.0,0.02702702702702703
0.0610848,0.46212,0.476795,0.05,10.0,0.028028028028028028
0.0626217,0.461159,0.47622,0.05,10.0,0.02902902902902903
0.0641384,0.460209,0.475652,0.05,10.0,0.03003003003003003
0.0656354,0.459272,0.475093,0.05,10.0,0.031031031031031032
0.0671135,0.458346,0.474541,0.05,10.0,0.03203203203203203
0.068573,0.457431,0.473996,0.05,10.0,0.03303303303303303
0.0700145,0.456527,0.473458,0.05,10.0,0.03403403403403403
0.0714384,0.455634,0.472928,0.05,10.0,0.035035035035035036
0.0728453,0.454751,0.472404,0.05,10.0,0.03603603603603603
0.0742356,0.453878,0.471887,0.05,10.0,0.037037037037037035
0.0756096,0.453014,0.471376,0.05,10.0,0.038038038038038034
0.0769679,0.452161,0.470872,0.05,10.0,0.03903903903903904
0.0783108,0.451316,0.470373,0.05,10.0,0.04004004004004003
0.0796386,0.450481,0.469881,0.05,10.0,0.04104104104104104
0.0809518,0.449654,0.469394,0.05,10.0,0.042042042042042045
0.0822507,0.448836,0.468913,0.05,10.0,0.043043043043043044
0.0835356,0.448026,0.468438,0.05,10.0,0.044044044044044044
0.0848068,0.447225,0.467968,0.05,10.0,0.04504504504504504
0.0860648,0.446432,0.467503,0.05,10.0,0.04604604604604605
0.0873096,0.445646,0.467044,0.05,10.0,0.04704704704704705
0.0885418,0.444869,0.46659,0.05,10.0,0.04804804804804805
0.0897615,0.444098,0.46614,0.05,10.0,0.04904904904904905
0.090969,0.443336,0.465695,0.05,10.0,0.05005005005005005
0.0921646,0.44258,0.465256,0.05,10.0,0.051051051051051045
0.0933485,0.441831,0.46482,0.05,10.0,0.05205205205205205
0.094521,0.441089,0.46439,0.05,10.0,0.05305305305305305
0.0956823,0.440354,0.463963,0.05,10.0,0.05405405405405406
0.0968327,0.439626,0.463541,0.05,10.0,0.05505505505505505
0.0979723,0.438904,0.463124,0.05,10.0,0.056056056056056056
0.0991015,0.438188,0.46271,0.05,10.0,0.057057057057057055
0.10022,0.437479,0.462301,0.05,10.0,0.05805805805805806
0.101329,0.436776,0.461895,0.05,10.0,0.05905905905905905
0.102428,0.436078,0.461494,0.05,10.0,0.06006006006006006
0.103517,0.435387,0.461096,0.05,10.0,0.06106106106106106
0.104597,0.434701,0.460702,0.05,10.0,0.062062062062062065
0.105667,0.434021,0.460312,0.05,10.0,0.06306306306306306
0.106728,0.433346,0.459926,0.05,10.0,0.06406406406406406
0.10778,0.432677,0.459543,0.05,10.0,0.06506506506506507
0.108824,0.432013,0.459163,0.05,10.0,0.06606606606606606
0.109859,0.431354,0.458787,0.05,10.0,0.06706706706706707
0.110885,0.430701,0.458415,0.05,10.0,0.06806806806806806
0.111903,0.430052,0.458045,0.05,10.0,0.06906906906906907
0.112912,0.429409,0.457679,0.05,10.0,0.07007007007007007
0.113914,0.42877,0.457316,0.05,10.0,0.07107107107107107
0.114908,0.428136,0.456957,0.05,10.0,0.07207207207207206
0.115894,0.427506,0.4566,0.05,10.0,0.07307307307307308
0.116872,0.426882,0.456246,0.05,10.0,0.07407407407407407
0.117843,0.426261,0.455896,0.05,10.0,0.07507507507507508
0.118806,0.425646,0.455548,0.05,10.0,0.07607607607607607
0.119763,0.425034,0.455203,0.05,10.0,0.07707707707707707
0.120712,0.424427,0.454861,0.05,10.0,0.07807807807807808
0.121654,0.423824,0.454522,0.05,10.0,0.07907907907907907
0.122589,0.423225,0.454185,0.05,10.0,0.08008008008008007
0.123518,0.422631,0.453852,0.05,10.0,0.08108108108108109
0.124439,0.42204,0.453521,0.05,10.0,0.08208208208208208
0.125355,0.421453,0.453192,0.05,10.0,0.08308308308308307
0.126263,0.420871,0.452866,0.05,10.0,0.08408408408408409
0.127166,0.420292,0.452543,0.05,10.0,0.08508508508508508
0.128062,0.419716,0.452222,0.05,10.0,0.08608608608608609
0.128952,0.419145,0.451903,0.05,10.0,0.08708708708708708
0.129836,0.418577,0.451587,0.05,10.0,0.08808808808808809
0.130714,0.418012,0.451274,0.05,10.0,0.0890890890890891
0.131586,0.417452,0.450962,0.05,10.0,0.09009009009009009
0.132453,0.416894,0.450653,0.05,10.0,0.09109109109109108
0.133313,0.41634,0.450346,0.05,10.0,0.0920920920920921
0.134168,0.41579,0.450042,0.05,10.0,0.09309309309309309
0.135018,0.415243,0.449739,0.05,10.0,0.0940940940940941
0.135862,0.414699,0.449439,0.05,10.0,0.09509509509509509
0.136701,0.414158,0.449141,0.05,10.0,0.0960960960960961
0.137534,0.41362,0.448845,0.05,10.0,0.0970970970970971
0.138363,0.413086,0.448551,0.05,10.0,0.0980980980980981
0.139186,0.412555,0.44826,0.05,10.0,0.09909909909909909
0.140004,0.412026,0.44797,0.05,10.0,0.1001001001001001
0.140817,0.411501,0.447682,0.05,10.0,0.1011011011011011
0.141626,0.410978,0.447396,0.05,10.0,0.10210210210210209
0.142429,0.410459,0.447112,0.05,10.0,0.1031031031031031
0.143228,0.409942,0.44683,0.05,10.0,0.1041041041041041
0.144022,0.409428,0.44655,0.05,10.0,0.10510510510510511
0.144811,0.408917,0.446272,0.05,10.0,0.1061061061061061
0.145596,0.408409,0.445995,0.05,10.0,0.1071071071071071
0.146376,0.407903,0.44572,0.05,10.0,0.10810810810810811
0.147152,0.4074,0.445448,0.05,10.0,0.1091091091091091
