sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999999
0.08,0.88,0.1,0.9,False,0.822335
0.08,0.88,0.2,0.8,False,0.477611
0.08,0.88,0.3,0.7,False,0.237288
0.08,0.88,0.4,0.6,False,0.113923
0.08,0.88,0.5,0.5,False,0.0540533
0.08,0.88,0.6,0.4,False,0.024767
0.08,0.88,0.7,0.3,False,0.0103858
0.08,0.84,0.0,1.0,False,0.999999
0.08,0.84,0.1,0.9,False,0.822335
0.08,0.84,0.2,0.8,False,0.477611
0.08,0.84,0.3,0.7,False,0.237288
0.08,0.84,0.4,0.6,False,0.113923
0.08,0.84,0.5,0.5,False,0.0540533
0.08,0.84,0.6,0.4,False,0.024767
0.08,0.84,0.7,0.3,False,0.0103858
0.08,0.8,0.0,1.0,False,0.999999
0.08,0.8,0.1,0.9,False,0.822335
0.08,0.8,0.2,0.8,False,0.477611
0.08,0.8,0.3,0.7,False,0.237288
0.08,0.8,0.4,0.6,False,0.113923
0.08,0.8,0.5,0.5,False,0.0540533
0.08,0.8,0.6,0.4,False,0.024767
0.08,0.8,0.7,0.3,False,0.0103858
0.08,0.76,0.0,1.0,False,0.999999
0.08,0.76,0.1,0.9,False,0.822335
0.08,0.76,0.2,0.8,False,0.477611
0.08,0.76,0.3,0.7,False,0.237288
0.08,0.76,0.4,0.6,False,0.113923
0.08,0.76,0.5,0.5,False,0.0540533
0.08,0.76,0.6,0.4,False,0.024767
0.08,0.76,0.7,0.3,False,0.0103858
0.08,0.72,0.0,1.0,False,0.999999
0.08,0.72,0.1,0.9,False,0.822335
0.08,0.72,0.2,0.8,False,0.477611
0.08,0.72,0.3,0.7,False,0.237288
0.08,0.72,0.4,0.6,False,0.113923
0.08,0.72,0.5,0.5,False,0.0540533
0.08,0.72,0.6,0.4,False,0.024767
0.08,0.72,0.7,0.3,False,0.0103858
0.08,0.68,0.0,1.0,False,0.999999
0.08,0.68,0.1,0.9,False,0.822335
0.08,0.68,0.2,0.8,False,0.477611
0.08,0.68,0.3,0.7,False,0.237288
0.08,0.68,0.4,0.6,False,0.113923
0.08,0.68,0.5,0.5,False,0.0540533
0.08,0.68,0.6,0.4,False,0.024767
0.08,0.68,0.7,0.3,False,0.0103858
0.08,0.64,0.0,1.0,False,0.999999
0.08,0.64,0.1,0.9,False,0.822335
0.08,0.64,0.2,0.8,False,0.477611
0.08,0.64,0.3,0.7,False,0.237288
0.08,0.64,0.4,0.6,False,0.113923
0.08,0.64,0.5,0.5,False,0.0540533
0.08,0.64,0.6,0.4,False,0.024767
0.08,0.64,0.7,0.3,False,0.0103858
0.08,0.6,0.0,1.0,False,0.999999
0.08,0.6,0.1,0.9,False,0.822335
0.08,0.6,0.2,0.8,False,0.477611
0.08,0.6,0.3,0.7,False,0.237288
0.08,0.6,0.4,0.6,False,0.113923
0.08,0.6,0.5,0.5,False,0.0540533
0.08,0.6,0.6,0.4,False,0.024767
0.08,0.6,0.7,0.3,False,0.0103858
0.08,0.56,0.0,1.0,False,0.999999
0.08,0.56,0.1,0.9,False,0.822335
0.08,0.56,0.2,0.8,False,0.477611
0.08,0.56,0.3,0.7,False,0.237288
0.08,0.56,0.4,0.6,False,0.113923
0.08,0.56,0.5,0.5,False,0.0540533
0.08,0.56,0.6,0.4,False,0.024767
0.08,0.56,0.7,0.3,False,0.0103858
0.08,0.52,0.0,1.0,False,0.999999
0.08,0.52,0.1,0.9,False,0.822335
0.08,0.52,0.2,0.8,False,0.477611
0.08,0.52,0.3,0.7,False,0.237288
0.08,0.52,0.4,0.6,False,0.113923
0.08,0.52,0.5,0.5,False,0.0540533
0.08,0.52,0.6,0.4,False,0.024767
0.08,0.52,0.7,0.3,False,0.0103858
0.08,0.48,0.0,1.0,False,0.999999
0.08,0.48,0.1,0.9,False,0.822335
0.08,0.48,0.2,0.8,False,0.477611
0.08,0.48,0.3,0.7,False,0.237288
0.08,0.48,0.4,0.6,False,0.113923
0.08,0.48,0.5,0.5,False,0.0540533
0.08,0.48,0.6,0.4,False,0.024767
0.08,0.48,0.7,0.3,False,0.0103858
0.08,0.44,0.0,1.0,False,0.999999
0.08,0.44,0.1,0.9,False,0.822335
0.08,0.44,0.2,0.8,False,0.477611
0.08,0.44,0.3,0.7,False,0.237288
0.08,0.44,0.4,0.6,False,0.113923
0.08,0.44,0.5,0.5,False,0.0540533
0.08,0.44,0.6,0.4,False,0.024767
0.08,0.44,0.7,0.3,False,0.0103858
0.08,0.4,0.0,1.0,False,0.999999
