sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999924
0.08,0.88,0.1,0.9,False,0.999743
0.08,0.88,0.2,0.8,False,0.998542
0.08,0.88,0.3,0.7,False,0.168278
0.08,0.88,0.4,0.6,False,0.0604034
0.08,0.88,0.5,0.5,False,0.0277732
0.08,0.88,0.6,0.4,False,0.0125334
0.08,0.88,0.7,0.3,False,0.00521461
0.08,0.84,0.0,1.0,False,0.9999
0.08,0.84,0.1,0.9,False,0.999713
0.08,0.84,0.2,0.8,False,0.998513
0.08,0.84,0.3,0.7,False,0.478001
0.08,0.84,0.4,0.6,False,0.0604031
0.08,0.84,0.5,0.5,False,0.0277727
0.08,0.84,0.6,0.4,False,0.0125326
0.08,0.84,0.7,0.3,False,0.00521359
0.08,0.8,0.0,1.0,False,0.999865
0.08,0.8,0.1,0.9,False,0.999675
0.08,0.8,0.2,0.8,False,0.998477
0.08,0.8,0.3,0.7,False,0.139559
0.08,0.8,0.4,0.6,False,0.060403
0.08,0.8,0.5,0.5,False,0.0277725
0.08,0.8,0.6,0.4,False,0.0125323
0.08,0.8,0.7,0.3,False,0.00521317
0.08,0.76,0.0,1.0,False,0.999827
0.08,0.76,0.1,0.9,False,0.999634
0.08,0.76,0.2,0.8,False,0.99844
0.08,0.76,0.3,0.7,False,0.234852
0.08,0.76,0.4,0.6,False,0.0604029
0.08,0.76,0.5,0.5,False,0.0277724
0.08,0.76,0.6,0.4,False,0.0125321
0.08,0.76,0.7,0.3,False,0.00521292
0.08,0.72,0.0,1.0,False,0.999788
0.08,0.72,0.1,0.9,False,0.999594
0.08,0.72,0.2,0.8,False,0.998407
0.08,0.72,0.3,0.7,False,0.139214
0.08,0.72,0.4,0.6,False,0.0604029
0.08,0.72,0.5,0.5,False,0.0277723
0.08,0.72,0.6,0.4,False,0.012532
0.08,0.72,0.7,0.3,False,0.00521273
0.08,0.68,0.0,1.0,False,0.999752
0.08,0.68,0.1,0.9,False,0.999558
0.08,0.68,0.2,0.8,False,0.998377
0.08,0.68,0.3,0.7,False,0.138528
0.08,0.68,0.4,0.6,False,0.0604028
0.08,0.68,0.5,0.5,False,0.0277723
0.08,0.68,0.6,0.4,False,0.0125319
0.08,0.68,0.7,0.3,False,0.00521257
0.08,0.64,0.0,1.0,False,0.999721
0.08,0.64,0.1,0.9,False,0.999527
0.08,0.64,0.2,0.8,False,0.998353
0.08,0.64,0.3,0.7,False,0.354552
0.08,0.64,0.4,0.6,False,0.0604028
0.08,0.64,0.5,0.5,False,0.0277722
0.08,0.64,0.6,0.4,False,0.0125318
0.08,0.64,0.7,0.3,False,0.00521243
0.08,0.6,0.0,1.0,False,0.999694
0.08,0.6,0.1,0.9,False,0.999502
0.08,0.6,0.2,0.8,False,0.998334
0.08,0.6,0.3,0.7,False,0.450736
0.08,0.6,0.4,0.6,False,0.0604028
0.08,0.6,0.5,0.5,False,0.0277722
0.08,0.6,0.6,0.4,False,0.0125317
0.08,0.6,0.7,0.3,False,0.00521229
0.08,0.56,0.0,1.0,False,0.999673
0.08,0.56,0.1,0.9,False,0.999482
0.08,0.56,0.2,0.8,False,0.998319
0.08,0.56,0.3,0.7,False,0.139658
0.08,0.56,0.4,0.6,False,0.0604028
0.08,0.56,0.5,0.5,False,0.0277721
0.08,0.56,0.6,0.4,False,0.0125316
0.08,0.56,0.7,0.3,False,0.00521214
0.08,0.52,0.0,1.0,False,0.999656
0.08,0.52,0.1,0.9,False,0.999467
0.08,0.52,0.2,0.8,False,0.998307
0.08,0.52,0.3,0.7,False,0.138826
0.08,0.52,0.4,0.6,False,0.0604027
0.08,0.52,0.5,0.5,False,0.0277721
0.08,0.52,0.6,0.4,False,0.0125315
0.08,0.52,0.7,0.3,False,0.00521199
0.08,0.48,0.0,1.0,False,0.999643
0.08,0.48,0.1,0.9,False,0.999455
0.08,0.48,0.2,0.8,False,0.998298
0.08,0.48,0.3,0.7,False,0.142225
0.08,0.48,0.4,0.6,False,0.0604027
0.08,0.48,0.5,0.5,False,0.027772
0.08,0.48,0.6,0.4,False,0.0125314
0.08,0.48,0.7,0.3,False,0.00521183
0.08,0.44,0.0,1.0,False,0.999633
0.08,0.44,0.1,0.9,False,0.999446
0.08,0.44,0.2,0.8,False,0.998291
0.08,0.44,0.3,0.7,False,0.145787
0.08,0.44,0.4,0.6,False,0.0604027
0.08,0.44,0.5,0.5,False,0.027772
0.08,0.44,0.6,0.4,False,0.0125313
0.08,0.44,0.7,0.3,False,0.00521165
0.08,0.4,0.0,1.0,False,0.999626
0.08,0.4,0.1,0.9,False,0.999439
0.08,0.4,0.2,0.8,False,0.998286
0.08,0.4,0.3,0.7,False,0.362931
0.08,0.4,0.4,0.6,False,0.0604027
0.08,0.4,0.5,0.5,False,0.0277719
0.08,0.4,0.6,0.4,False,0.0125312
0.08,0.4,0.7,0.3,False,0.00521146
0.08,0.36,0.0,1.0,False,0.99962
0.08,0.36,0.1,0.9,False,0.999434
0.08,0.36,0.2,0.8,False,0.998282
0.08,0.36,0.3,0.7,False,0.149097
0.08,0.36,0.4,0.6,False,0.0604027
0.08,0.36,0.5,0.5,False,0.0277719
0.08,0.36,0.6,0.4,False,0.0125311
0.08,0.36,0.7,0.3,False,0.00521125
0.08,0.32,0.0,1.0,False,0.999616
0.08,0.32,0.1,0.9,False,0.999431
0.08,0.32,0.2,0.8,False,0.998279
0.08,0.32,0.3,0.7,False,0.147632
0.08,0.32,0.4,0.6,False,0.0604026
0.08,0.32,0.5,0.5,False,0.0277718
0.08,0.32,0.6,0.4,False,0.012531
0.08,0.32,0.7,0.3,False,0.00521103
0.08,0.28,0.0,1.0,False,0.999614
0.08,0.28,0.1,0.9,False,0.999428
0.08,0.28,0.2,0.8,False,0.998277
0.08,0.28,0.3,0.7,False,0.174241
0.08,0.28,0.4,0.6,False,0.0604026
0.08,0.28,0.5,0.5,False,0.0277718
0.08,0.28,0.6,0.4,False,0.0125309
0.08,0.28,0.7,0.3,False,0.00521082
0.08,0.24,0.0,1.0,False,0.999612
0.08,0.24,0.1,0.9,False,0.999427
0.08,0.24,0.2,0.8,False,0.998276
0.08,0.24,0.3,0.7,False,0.32369
0.08,0.24,0.4,0.6,False,0.0604026
0.08,0.24,0.5,0.5,False,0.0277718
0.08,0.24,0.6,0.4,False,0.0125309
0.08,0.24,0.7,0.3,False,0.00521062
0.08,0.2,0.0,1.0,False,0.999611
0.08,0.2,0.1,0.9,False,0.999426
0.08,0.2,0.2,0.8,False,0.998275
0.08,0.2,0.3,0.7,False,0.190805
0.08,0.2,0.4,0.6,False,0.0604026
0.08,0.2,0.5,0.5,False,0.0277717
0.08,0.2,0.6,0.4,False,0.0125308
0.08,0.2,0.7,0.3,False,0.00521048
0.08,0.16,0.0,1.0,False,0.99961
0.08,0.16,0.1,0.9,False,0.999426
0.08,0.16,0.2,0.8,False,0.998274
0.08,0.16,0.3,0.7,False,0.161105
0.08,0.16,0.4,0.6,False,0.0604026
0.08,0.16,0.5,0.5,False,0.0277717
0.08,0.16,0.6,0.4,False,0.0125308
0.08,0.16,0.7,0.3,False,0.00521039
0.08,0.12,0.0,1.0,False,0.99961
0.08,0.12,0.1,0.9,False,0.999425
0.08,0.12,0.2,0.8,False,0.998273
0.08,0.12,0.3,0.7,False,0.15006
0.08,0.12,0.4,0.6,False,0.0604026
0.08,0.12,0.5,0.5,False,0.0277717
0.08,0.12,0.6,0.4,False,0.0125307
0.08,0.12,0.7,0.3,False,0.00521034
0.08,0.08,0.0,1.0,False,0.99961
0.08,0.08,0.1,0.9,False,0.999425
0.08,0.08,0.2,0.8,False,0.998273
0.08,0.08,0.3,0.7,False,0.139055
0.08,0.08,0.4,0.6,False,0.0604026
0.08,0.08,0.5,0.5,False,0.0277717
0.08,0.08,0.6,0.4,False,0.0125307
0.08,0.08,0.7,0.3,False,0.0052103
0.08,0.04,0.0,1.0,False,0.99961
0.08,0.04,0.1,0.9,False,0.999426
0.08,0.04,0.2,0.8,False,0.998273
0.08,0.04,0.3,0.7,False,0.148723
0.08,0.04,0.4,0.6,False,0.0604026
0.08,0.04,0.5,0.5,False,0.0277717
0.08,0.04,0.6,0.4,False,0.0125307
0.08,0.04,0.7,0.3,False,0.00521026
0.08,0.0,0.0,1.0,False,0.99961
0.08,0.0,0.1,0.9,False,0.999426
0.08,0.0,0.2,0.8,False,0.998272
0.08,0.0,0.3,0.7,False,0.153154
0.08,0.0,0.4,0.6,False,0.0604026
0.08,0.0,0.5,0.5,False,0.0277717
0.08,0.0,0.6,0.4,False,0.0125307
0.08,0.0,0.7,0.3,False,0.00521016
0.12,0.84,0.0,1.0,False,0.999886
0.12,0.84,0.1,0.9,False,0.999698
0.12,0.84,0.2,0.8,False,0.998533
0.12,0.84,0.3,0.7,False,0.484861
0.12,0.84,0.4,0.6,False,0.0604034
0.12,0.84,0.5,0.5,False,0.0277732
0.12,0.84,0.6,0.4,False,0.0125334
0.12,0.84,0.7,0.3,False,0.00521462
0.12,0.8,0.0,1.0,False,0.999863
0.12,0.8,0.1,0.9,False,0.999671
0.12,0.8,0.2,0.8,False,0.998506
0.12,0.8,0.3,0.7,False,0.193722
0.12,0.8,0.4,0.6,False,0.0604031
0.12,0.8,0.5,0.5,False,0.0277727
0.12,0.8,0.6,0.4,False,0.0125326
0.12,0.8,0.7,0.3,False,0.0052136
0.12,0.76,0.0,1.0,False,0.99983
0.12,0.76,0.1,0.9,False,0.999637
0.12,0.76,0.2,0.8,False,0.998472
0.12,0.76,0.3,0.7,False,0.364328
0.12,0.76,0.4,0.6,False,0.060403
0.12,0.76,0.5,0.5,False,0.0277725
0.12,0.76,0.6,0.4,False,0.0125323
0.12,0.76,0.7,0.3,False,0.00521317
0.12,0.72,0.0,1.0,False,0.999795
0.12,0.72,0.1,0.9,False,0.9996
0.12,0.72,0.2,0.8,False,0.998437
0.12,0.72,0.3,0.7,False,0.19888
0.12,0.72,0.4,0.6,False,0.0604029
0.12,0.72,0.5,0.5,False,0.0277724
0.12,0.72,0.6,0.4,False,0.0125321
0.12,0.72,0.7,0.3,False,0.00521292
0.12,0.68,0.0,1.0,False,0.999759
0.12,0.68,0.1,0.9,False,0.999564
0.12,0.68,0.2,0.8,False,0.998405
0.12,0.68,0.3,0.7,False,0.139656
0.12,0.68,0.4,0.6,False,0.0604029
0.12,0.68,0.5,0.5,False,0.0277723
0.12,0.68,0.6,0.4,False,0.012532
0.12,0.68,0.7,0.3,False,0.00521273
0.12,0.64,0.0,1.0,False,0.999727
0.12,0.64,0.1,0.9,False,0.999532
0.12,0.64,0.2,0.8,False,0.998377
0.12,0.64,0.3,0.7,False,0.296675
0.12,0.64,0.4,0.6,False,0.0604028
0.12,0.64,0.5,0.5,False,0.0277723
0.12,0.64,0.6,0.4,False,0.0125319
0.12,0.64,0.7,0.3,False,0.00521258
0.12,0.6,0.0,1.0,False,0.999699
0.12,0.6,0.1,0.9,False,0.999506
0.12,0.6,0.2,0.8,False,0.998355
0.12,0.6,0.3,0.7,False,0.225064
0.12,0.6,0.4,0.6,False,0.0604028
0.12,0.6,0.5,0.5,False,0.0277722
0.12,0.6,0.6,0.4,False,0.0125318
0.12,0.6,0.7,0.3,False,0.00521243
0.12,0.56,0.0,1.0,False,0.999677
0.12,0.56,0.1,0.9,False,0.999484
0.12,0.56,0.2,0.8,False,0.998337
0.12,0.56,0.3,0.7,False,0.43225
0.12,0.56,0.4,0.6,False,0.0604028
0.12,0.56,0.5,0.5,False,0.0277722
0.12,0.56,0.6,0.4,False,0.0125317
0.12,0.56,0.7,0.3,False,0.00521229
0.12,0.52,0.0,1.0,False,0.999658
0.12,0.52,0.1,0.9,False,0.999467
0.12,0.52,0.2,0.8,False,0.998322
0.12,0.52,0.3,0.7,False,0.161587
0.12,0.52,0.4,0.6,False,0.0604028
0.12,0.52,0.5,0.5,False,0.0277721
0.12,0.52,0.6,0.4,False,0.0125316
0.12,0.52,0.7,0.3,False,0.00521214
0.12,0.48,0.0,1.0,False,0.999644
0.12,0.48,0.1,0.9,False,0.999454
0.12,0.48,0.2,0.8,False,0.998311
0.12,0.48,0.3,0.7,False,0.391823
0.12,0.48,0.4,0.6,False,0.0604027
0.12,0.48,0.5,0.5,False,0.0277721
0.12,0.48,0.6,0.4,False,0.0125315
0.12,0.48,0.7,0.3,False,0.00521199
0.12,0.44,0.0,1.0,False,0.999633
0.12,0.44,0.1,0.9,False,0.999444
0.12,0.44,0.2,0.8,False,0.998303
0.12,0.44,0.3,0.7,False,0.40225
0.12,0.44,0.4,0.6,False,0.0604027
0.12,0.44,0.5,0.5,False,0.027772
0.12,0.44,0.6,0.4,False,0.0125314
0.12,0.44,0.7,0.3,False,0.00521183
0.12,0.4,0.0,1.0,False,0.999625
0.12,0.4,0.1,0.9,False,0.999436
0.12,0.4,0.2,0.8,False,0.998296
0.12,0.4,0.3,0.7,False,0.386579
0.12,0.4,0.4,0.6,False,0.0604027
0.12,0.4,0.5,0.5,False,0.027772
0.12,0.4,0.6,0.4,False,0.0125313
0.12,0.4,0.7,0.3,False,0.00521165
0.12,0.36,0.0,1.0,False,0.999619
0.12,0.36,0.1,0.9,False,0.999431
0.12,0.36,0.2,0.8,False,0.998291
0.12,0.36,0.3,0.7,False,0.407888
0.12,0.36,0.4,0.6,False,0.0604027
0.12,0.36,0.5,0.5,False,0.0277719
0.12,0.36,0.6,0.4,False,0.0125312
0.12,0.36,0.7,0.3,False,0.00521146
0.12,0.32,0.0,1.0,False,0.999614
0.12,0.32,0.1,0.9,False,0.999427
0.12,0.32,0.2,0.8,False,0.998288
0.12,0.32,0.3,0.7,False,0.140297
0.12,0.32,0.4,0.6,False,0.0604027
0.12,0.32,0.5,0.5,False,0.0277719
0.12,0.32,0.6,0.4,False,0.0125311
0.12,0.32,0.7,0.3,False,0.00521125
0.12,0.28,0.0,1.0,False,0.999611
0.12,0.28,0.1,0.9,False,0.999424
0.12,0.28,0.2,0.8,False,0.998285
0.12,0.28,0.3,0.7,False,0.40629
0.12,0.28,0.4,0.6,False,0.0604026
0.12,0.28,0.5,0.5,False,0.0277718
0.12,0.28,0.6,0.4,False,0.012531
0.12,0.28,0.7,0.3,False,0.00521103
0.12,0.24,0.0,1.0,False,0.999609
0.12,0.24,0.1,0.9,False,0.999422
0.12,0.24,0.2,0.8,False,0.998283
0.12,0.24,0.3,0.7,False,0.138608
0.12,0.24,0.4,0.6,False,0.0604026
0.12,0.24,0.5,0.5,False,0.0277718
0.12,0.24,0.6,0.4,False,0.0125309
0.12,0.24,0.7,0.3,False,0.00521081
0.12,0.2,0.0,1.0,False,0.999608
0.12,0.2,0.1,0.9,False,0.999421
0.12,0.2,0.2,0.8,False,0.998281
0.12,0.2,0.3,0.7,False,0.138605
0.12,0.2,0.4,0.6,False,0.0604026
0.12,0.2,0.5,0.5,False,0.0277718
0.12,0.2,0.6,0.4,False,0.0125309
0.12,0.2,0.7,0.3,False,0.00521062
0.12,0.16,0.0,1.0,False,0.999607
0.12,0.16,0.1,0.9,False,0.999421
0.12,0.16,0.2,0.8,False,0.99828
0.12,0.16,0.3,0.7,False,0.267402
0.12,0.16,0.4,0.6,False,0.0604026
0.12,0.16,0.5,0.5,False,0.0277717
0.12,0.16,0.6,0.4,False,0.0125308
0.12,0.16,0.7,0.3,False,0.00521048
0.12,0.12,0.0,1.0,False,0.999607
0.12,0.12,0.1,0.9,False,0.99942
0.12,0.12,0.2,0.8,False,0.998279
0.12,0.12,0.3,0.7,False,0.257262
0.12,0.12,0.4,0.6,False,0.0604026
0.12,0.12,0.5,0.5,False,0.0277717
0.12,0.12,0.6,0.4,False,0.0125308
0.12,0.12,0.7,0.3,False,0.00521039
0.12,0.08,0.0,1.0,False,0.999607
0.12,0.08,0.1,0.9,False,0.99942
0.12,0.08,0.2,0.8,False,0.998279
0.12,0.08,0.3,0.7,False,0.14716
0.12,0.08,0.4,0.6,False,0.0604026
0.12,0.08,0.5,0.5,False,0.0277717
0.12,0.08,0.6,0.4,False,0.0125307
0.12,0.08,0.7,0.3,False,0.00521033
0.12,0.04,0.0,1.0,False,0.999607
0.12,0.04,0.1,0.9,False,0.99942
0.12,0.04,0.2,0.8,False,0.998278
0.12,0.04,0.3,0.7,False,0.336349
0.12,0.04,0.4,0.6,False,0.0604026
0.12,0.04,0.5,0.5,False,0.0277717
0.12,0.04,0.6,0.4,False,0.0125307
0.12,0.04,0.7,0.3,False,0.00521028
0.12,0.0,0.0,1.0,False,0.999607
0.12,0.0,0.1,0.9,False,0.999421
0.12,0.0,0.2,0.8,False,0.998278
0.12,0.0,0.3,0.7,False,0.332918
0.12,0.0,0.4,0.6,False,0.0604026
0.12,0.0,0.5,0.5,False,0.0277717
0.12,0.0,0.6,0.4,False,0.0125307
0.12,0.0,0.7,0.3,False,0.00521017
0.16,0.8,0.0,1.0,False,0.999856
0.16,0.8,0.1,0.9,False,0.999667
0.16,0.8,0.2,0.8,False,0.998527
0.16,0.8,0.3,0.7,False,0.193711
0.16,0.8,0.4,0.6,False,0.0604034
0.16,0.8,0.5,0.5,False,0.0277732
0.16,0.8,0.6,0.4,False,0.0125334
0.16,0.8,0.7,0.3,False,0.00521462
0.16,0.76,0.0,1.0,False,0.999835
0.16,0.76,0.1,0.9,False,0.999643
0.16,0.76,0.2,0.8,False,0.998501
0.16,0.76,0.3,0.7,False,0.139773
0.16,0.76,0.4,0.6,False,0.0604031
0.16,0.76,0.5,0.5,False,0.0277727
0.16,0.76,0.6,0.4,False,0.0125326
0.16,0.76,0.7,0.3,False,0.0052136
0.16,0.72,0.0,1.0,False,0.999805
0.16,0.72,0.1,0.9,False,0.999612
0.16,0.72,0.2,0.8,False,0.998469
0.16,0.72,0.3,0.7,False,0.293225
0.16,0.72,0.4,0.6,False,0.060403
0.16,0.72,0.5,0.5,False,0.0277725
0.16,0.72,0.6,0.4,False,0.0125323
0.16,0.72,0.7,0.3,False,0.00521318
0.16,0.68,0.0,1.0,False,0.999773
0.16,0.68,0.1,0.9,False,0.999579
0.16,0.68,0.2,0.8,False,0.998435
0.16,0.68,0.3,0.7,False,0.146508
0.16,0.68,0.4,0.6,False,0.0604029
0.16,0.68,0.5,0.5,False,0.0277724
0.16,0.68,0.6,0.4,False,0.0125321
0.16,0.68,0.7,0.3,False,0.00521292
0.16,0.64,0.0,1.0,False,0.99974
0.16,0.64,0.1,0.9,False,0.999546
0.16,0.64,0.2,0.8,False,0.998405
0.16,0.64,0.3,0.7,False,0.149655
0.16,0.64,0.4,0.6,False,0.0604029
0.16,0.64,0.5,0.5,False,0.0277723
0.16,0.64,0.6,0.4,False,0.012532
0.16,0.64,0.7,0.3,False,0.00521274
0.16,0.6,0.0,1.0,False,0.999711
0.16,0.6,0.1,0.9,False,0.999518
0.16,0.6,0.2,0.8,False,0.998379
0.16,0.6,0.3,0.7,False,0.138541
0.16,0.6,0.4,0.6,False,0.0604028
0.16,0.6,0.5,0.5,False,0.0277723
0.16,0.6,0.6,0.4,False,0.0125319
0.16,0.6,0.7,0.3,False,0.00521258
0.16,0.56,0.0,1.0,False,0.999687
0.16,0.56,0.1,0.9,False,0.999494
0.16,0.56,0.2,0.8,False,0.998357
0.16,0.56,0.3,0.7,False,0.274826
0.16,0.56,0.4,0.6,False,0.0604028
0.16,0.56,0.5,0.5,False,0.0277722
0.16,0.56,0.6,0.4,False,0.0125318
0.16,0.56,0.7,0.3,False,0.00521243
0.16,0.52,0.0,1.0,False,0.999666
0.16,0.52,0.1,0.9,False,0.999474
0.16,0.52,0.2,0.8,False,0.99834
0.16,0.52,0.3,0.7,False,0.224009
0.16,0.52,0.4,0.6,False,0.0604028
0.16,0.52,0.5,0.5,False,0.0277722
0.16,0.52,0.6,0.4,False,0.0125317
0.16,0.52,0.7,0.3,False,0.00521229
0.16,0.48,0.0,1.0,False,0.99965
0.16,0.48,0.1,0.9,False,0.999459
0.16,0.48,0.2,0.8,False,0.998326
0.16,0.48,0.3,0.7,False,0.139356
0.16,0.48,0.4,0.6,False,0.0604028
0.16,0.48,0.5,0.5,False,0.0277721
0.16,0.48,0.6,0.4,False,0.0125316
0.16,0.48,0.7,0.3,False,0.00521215
0.16,0.44,0.0,1.0,False,0.999638
0.16,0.44,0.1,0.9,False,0.999448
0.16,0.44,0.2,0.8,False,0.998316
0.16,0.44,0.3,0.7,False,0.161096
0.16,0.44,0.4,0.6,False,0.0604027
0.16,0.44,0.5,0.5,False,0.0277721
0.16,0.44,0.6,0.4,False,0.0125315
0.16,0.44,0.7,0.3,False,0.00521199
0.16,0.4,0.0,1.0,False,0.999629
0.16,0.4,0.1,0.9,False,0.999439
0.16,0.4,0.2,0.8,False,0.998307
0.16,0.4,0.3,0.7,False,0.141888
0.16,0.4,0.4,0.6,False,0.0604027
0.16,0.4,0.5,0.5,False,0.027772
0.16,0.4,0.6,0.4,False,0.0125314
0.16,0.4,0.7,0.3,False,0.00521183
0.16,0.36,0.0,1.0,False,0.999621
