sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999925
0.08,0.88,0.1,0.9,False,0.999744
0.08,0.88,0.2,0.8,False,0.998545
0.08,0.88,0.3,0.7,False,0.145467
0.08,0.88,0.4,0.6,False,0.0603923
0.08,0.88,0.5,0.5,False,0.0277569
0.08,0.88,0.6,0.4,False,0.0125128
0.08,0.88,0.7,0.3,False,0.00519211
0.08,0.84,0.0,1.0,False,0.999901
0.08,0.84,0.1,0.9,False,0.999716
0.08,0.84,0.2,0.8,False,0.998517
0.08,0.84,0.3,0.7,False,0.432663
0.08,0.84,0.4,0.6,False,0.0603909
0.08,0.84,0.5,0.5,False,0.0277541
0.08,0.84,0.6,0.4,False,0.0125083
0.08,0.84,0.7,0.3,False,0.00518563
0.08,0.8,0.0,1.0,False,0.999867
0.08,0.8,0.1,0.9,False,0.999679
0.08,0.8,0.2,0.8,False,0.998482
0.08,0.8,0.3,0.7,False,0.235615
0.08,0.8,0.4,0.6,False,0.0603902
0.08,0.8,0.5,0.5,False,0.0277528
0.08,0.8,0.6,0.4,False,0.012506
0.08,0.8,0.7,0.3,False,0.0051822
0.08,0.76,0.0,1.0,False,0.999829
0.08,0.76,0.1,0.9,False,0.999638
0.08,0.76,0.2,0.8,False,0.998445
0.08,0.76,0.3,0.7,False,0.141936
0.08,0.76,0.4,0.6,False,0.0603898
0.08,0.76,0.5,0.5,False,0.0277519
0.08,0.76,0.6,0.4,False,0.0125044
0.08,0.76,0.7,0.3,False,0.00517963
0.08,0.72,0.0,1.0,False,0.999789
0.08,0.72,0.1,0.9,False,0.999598
0.08,0.72,0.2,0.8,False,0.998411
0.08,0.72,0.3,0.7,False,0.41397
0.08,0.72,0.4,0.6,False,0.0603894
0.08,0.72,0.5,0.5,False,0.0277511
0.08,0.72,0.6,0.4,False,0.012503
0.08,0.72,0.7,0.3,False,0.00517729
0.08,0.68,0.0,1.0,False,0.999753
0.08,0.68,0.1,0.9,False,0.999561
0.08,0.68,0.2,0.8,False,0.998381
0.08,0.68,0.3,0.7,False,0.148269
0.08,0.68,0.4,0.6,False,0.060389
0.08,0.68,0.5,0.5,False,0.0277503
0.08,0.68,0.6,0.4,False,0.0125016
0.08,0.68,0.7,0.3,False,0.00517486
0.08,0.64,0.0,1.0,False,0.99972
0.08,0.64,0.1,0.9,False,0.999529
0.08,0.64,0.2,0.8,False,0.998356
0.08,0.64,0.3,0.7,False,0.168167
0.08,0.64,0.4,0.6,False,0.0603887
0.08,0.64,0.5,0.5,False,0.0277497
0.08,0.64,0.6,0.4,False,0.0125004
0.08,0.64,0.7,0.3,False,0.00517257
0.08,0.6,0.0,1.0,False,0.999693
0.08,0.6,0.1,0.9,False,0.999503
0.08,0.6,0.2,0.8,False,0.998336
0.08,0.6,0.3,0.7,False,0.448203
0.08,0.6,0.4,0.6,False,0.0603886
0.08,0.6,0.5,0.5,False,0.0277495
0.08,0.6,0.6,0.4,False,0.0125
0.08,0.6,0.7,0.3,False,0.00517176
0.08,0.56,0.0,1.0,False,0.999671
0.08,0.56,0.1,0.9,False,0.999481
0.08,0.56,0.2,0.8,False,0.998321
0.08,0.56,0.3,0.7,False,0.141119
0.08,0.56,0.4,0.6,False,0.0603885
0.08,0.56,0.5,0.5,False,0.0277493
0.08,0.56,0.6,0.4,False,0.0124998
0.08,0.56,0.7,0.3,False,0.00517145
0.08,0.52,0.0,1.0,False,0.999653
0.08,0.52,0.1,0.9,False,0.999465
0.08,0.52,0.2,0.8,False,0.998309
0.08,0.52,0.3,0.7,False,0.23262
0.08,0.52,0.4,0.6,False,0.0603884
0.08,0.52,0.5,0.5,False,0.0277492
0.08,0.52,0.6,0.4,False,0.0124997
0.08,0.52,0.7,0.3,False,0.00517126
0.08,0.48,0.0,1.0,False,0.999639
0.08,0.48,0.1,0.9,False,0.999452
0.08,0.48,0.2,0.8,False,0.9983
0.08,0.48,0.3,0.7,False,0.143119
0.08,0.48,0.4,0.6,False,0.0603883
0.08,0.48,0.5,0.5,False,0.0277492
0.08,0.48,0.6,0.4,False,0.0124996
0.08,0.48,0.7,0.3,False,0.00517112
0.08,0.44,0.0,1.0,False,0.999629
0.08,0.44,0.1,0.9,False,0.999443
0.08,0.44,0.2,0.8,False,0.998293
0.08,0.44,0.3,0.7,False,0.146375
0.08,0.44,0.4,0.6,False,0.0603883
0.08,0.44,0.5,0.5,False,0.0277491
0.08,0.44,0.6,0.4,False,0.0124995
0.08,0.44,0.7,0.3,False,0.00517102
0.08,0.4,0.0,1.0,False,0.999621
0.08,0.4,0.1,0.9,False,0.999436
0.08,0.4,0.2,0.8,False,0.998288
0.08,0.4,0.3,0.7,False,0.299331
0.08,0.4,0.4,0.6,False,0.0603883
0.08,0.4,0.5,0.5,False,0.0277491
0.08,0.4,0.6,0.4,False,0.0124994
0.08,0.4,0.7,0.3,False,0.00517095
0.08,0.36,0.0,1.0,False,0.999616
0.08,0.36,0.1,0.9,False,0.999432
0.08,0.36,0.2,0.8,False,0.998285
0.08,0.36,0.3,0.7,False,0.140957
0.08,0.36,0.4,0.6,False,0.0603883
0.08,0.36,0.5,0.5,False,0.027749
0.08,0.36,0.6,0.4,False,0.0124994
0.08,0.36,0.7,0.3,False,0.0051709
0.08,0.32,0.0,1.0,False,0.999612
0.08,0.32,0.1,0.9,False,0.999428
0.08,0.32,0.2,0.8,False,0.998282
0.08,0.32,0.3,0.7,False,0.150709
0.08,0.32,0.4,0.6,False,0.0603883
0.08,0.32,0.5,0.5,False,0.027749
0.08,0.32,0.6,0.4,False,0.0124994
0.08,0.32,0.7,0.3,False,0.00517086
0.08,0.28,0.0,1.0,False,0.999609
0.08,0.28,0.1,0.9,False,0.999426
0.08,0.28,0.2,0.8,False,0.99828
0.08,0.28,0.3,0.7,False,0.261422
0.08,0.28,0.4,0.6,False,0.0603882
0.08,0.28,0.5,0.5,False,0.027749
0.08,0.28,0.6,0.4,False,0.0124994
0.08,0.28,0.7,0.3,False,0.00517083
0.08,0.24,0.0,1.0,False,0.999607
0.08,0.24,0.1,0.9,False,0.999425
