sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999924
0.08,0.88,0.1,0.9,False,0.999743
0.08,0.88,0.2,0.8,False,0.998542
0.08,0.88,0.3,0.7,False,0.168278
0.08,0.88,0.4,0.6,False,0.0604034
0.08,0.88,0.5,0.5,False,0.0277732
0.08,0.88,0.6,0.4,False,0.0125334
0.08,0.88,0.7,0.3,False,0.00521461
0.08,0.84,0.0,1.0,False,0.9999
0.08,0.84,0.1,0.9,False,0.999713
0.08,0.84,0.2,0.8,False,0.998513
0.08,0.84,0.3,0.7,False,0.478001
0.08,0.84,0.4,0.6,False,0.0604031
0.08,0.84,0.5,0.5,False,0.0277727
0.08,0.84,0.6,0.4,False,0.0125326
0.08,0.84,0.7,0.3,False,0.00521359
0.08,0.8,0.0,1.0,False,0.999865
0.08,0.8,0.1,0.9,False,0.999675
0.08,0.8,0.2,0.8,False,0.998477
0.08,0.8,0.3,0.7,False,0.148824
0.08,0.8,0.4,0.6,False,0.060403
0.08,0.8,0.5,0.5,False,0.0277725
0.08,0.8,0.6,0.4,False,0.0125323
0.08,0.8,0.7,0.3,False,0.00521317
0.08,0.76,0.0,1.0,False,0.999826
0.08,0.76,0.1,0.9,False,0.999633
0.08,0.76,0.2,0.8,False,0.998435
0.08,0.76,0.3,0.7,False,0.419758
0.08,0.76,0.4,0.6,False,0.0604029
0.08,0.76,0.5,0.5,False,0.0277724
0.08,0.76,0.6,0.4,False,0.0125321
0.08,0.76,0.7,0.3,False,0.00521289
0.08,0.72,0.0,1.0,False,0.999787
0.08,0.72,0.1,0.9,False,0.999593
0.08,0.72,0.2,0.8,False,0.9984
0.08,0.72,0.3,0.7,False,0.427288
0.08,0.72,0.4,0.6,False,0.0604029
0.08,0.72,0.5,0.5,False,0.0277723
0.08,0.72,0.6,0.4,False,0.0125319
0.08,0.72,0.7,0.3,False,0.00521267
0.08,0.68,0.0,1.0,False,0.999751
0.08,0.68,0.1,0.9,False,0.999556
0.08,0.68,0.2,0.8,False,0.99837
0.08,0.68,0.3,0.7,False,0.141761
0.08,0.68,0.4,0.6,False,0.0604028
0.08,0.68,0.5,0.5,False,0.0277722
0.08,0.68,0.6,0.4,False,0.0125318
0.08,0.68,0.7,0.3,False,0.00521249
0.08,0.64,0.0,1.0,False,0.999718
0.08,0.64,0.1,0.9,False,0.999524
0.08,0.64,0.2,0.8,False,0.998344
0.08,0.64,0.3,0.7,False,0.138685
0.08,0.64,0.4,0.6,False,0.0604028
0.08,0.64,0.5,0.5,False,0.0277722
0.08,0.64,0.6,0.4,False,0.0125317
0.08,0.64,0.7,0.3,False,0.00521231
0.08,0.6,0.0,1.0,False,0.999691
0.08,0.6,0.1,0.9,False,0.999498
0.08,0.6,0.2,0.8,False,0.998324
0.08,0.6,0.3,0.7,False,0.298879
0.08,0.6,0.4,0.6,False,0.0604028
0.08,0.6,0.5,0.5,False,0.0277721
0.08,0.6,0.6,0.4,False,0.0125316
0.08,0.6,0.7,0.3,False,0.00521215
0.08,0.56,0.0,1.0,False,0.999668
0.08,0.56,0.1,0.9,False,0.999476
0.08,0.56,0.2,0.8,False,0.998307
0.08,0.56,0.3,0.7,False,0.263749
0.08,0.56,0.4,0.6,False,0.0604027
0.08,0.56,0.5,0.5,False,0.0277721
0.08,0.56,0.6,0.4,False,0.0125315
0.08,0.56,0.7,0.3,False,0.00521199
0.08,0.52,0.0,1.0,False,0.999651
0.08,0.52,0.1,0.9,False,0.99946
0.08,0.52,0.2,0.8,False,0.998295
0.08,0.52,0.3,0.7,False,0.224175
0.08,0.52,0.4,0.6,False,0.0604027
0.08,0.52,0.5,0.5,False,0.027772
0.08,0.52,0.6,0.4,False,0.0125314
0.08,0.52,0.7,0.3,False,0.00521182
0.08,0.48,0.0,1.0,False,0.999637
0.08,0.48,0.1,0.9,False,0.999447
0.08,0.48,0.2,0.8,False,0.998285
0.08,0.48,0.3,0.7,False,0.174052
0.08,0.48,0.4,0.6,False,0.0604027
0.08,0.48,0.5,0.5,False,0.027772
0.08,0.48,0.6,0.4,False,0.0125313
0.08,0.48,0.7,0.3,False,0.00521165
0.08,0.44,0.0,1.0,False,0.999626
0.08,0.44,0.1,0.9,False,0.999438
0.08,0.44,0.2,0.8,False,0.998278
0.08,0.44,0.3,0.7,False,0.29004
0.08,0.44,0.4,0.6,False,0.0604027
0.08,0.44,0.5,0.5,False,0.0277719
0.08,0.44,0.6,0.4,False,0.0125312
0.08,0.44,0.7,0.3,False,0.00521148
0.08,0.4,0.0,1.0,False,0.999619
0.08,0.4,0.1,0.9,False,0.999431
0.08,0.4,0.2,0.8,False,0.998272
0.08,0.4,0.3,0.7,False,0.147797
0.08,0.4,0.4,0.6,False,0.0604026
0.08,0.4,0.5,0.5,False,0.0277719
0.08,0.4,0.6,0.4,False,0.0125312
0.08,0.4,0.7,0.3,False,0.00521129
0.08,0.36,0.0,1.0,False,0.999613
0.08,0.36,0.1,0.9,False,0.999426
0.08,0.36,0.2,0.8,False,0.998268
0.08,0.36,0.3,0.7,False,0.146506
0.08,0.36,0.4,0.6,False,0.0604026
0.08,0.36,0.5,0.5,False,0.0277718
0.08,0.36,0.6,0.4,False,0.0125311
0.08,0.36,0.7,0.3,False,0.00521111
0.08,0.32,0.0,1.0,False,0.999609
0.08,0.32,0.1,0.9,False,0.999422
0.08,0.32,0.2,0.8,False,0.998265
0.08,0.32,0.3,0.7,False,0.305515
0.08,0.32,0.4,0.6,False,0.0604026
0.08,0.32,0.5,0.5,False,0.0277718
0.08,0.32,0.6,0.4,False,0.012531
0.08,0.32,0.7,0.3,False,0.00521091
0.08,0.28,0.0,1.0,False,0.999606
0.08,0.28,0.1,0.9,False,0.99942
0.08,0.28,0.2,0.8,False,0.998263
0.08,0.28,0.3,0.7,False,0.407958
0.08,0.28,0.4,0.6,False,0.0604026
0.08,0.28,0.5,0.5,False,0.0277718
0.08,0.28,0.6,0.4,False,0.0125309
0.08,0.28,0.7,0.3,False,0.00521072
0.08,0.24,0.0,1.0,False,0.999605
0.08,0.24,0.1,0.9,False,0.999419
0.08,0.24,0.2,0.8,False,0.998261
0.08,0.24,0.3,0.7,False,0.141244
0.08,0.24,0.4,0.6,False,0.0604026
0.08,0.24,0.5,0.5,False,0.0277717
0.08,0.24,0.6,0.4,False,0.0125308
0.08,0.24,0.7,0.3,False,0.00521056
0.08,0.2,0.0,1.0,False,0.999604
0.08,0.2,0.1,0.9,False,0.999418
0.08,0.2,0.2,0.8,False,0.99826
0.08,0.2,0.3,0.7,False,0.139074
0.08,0.2,0.4,0.6,False,0.0604026
0.08,0.2,0.5,0.5,False,0.0277717
0.08,0.2,0.6,0.4,False,0.0125308
0.08,0.2,0.7,0.3,False,0.00521044
0.08,0.16,0.0,1.0,False,0.999603
0.08,0.16,0.1,0.9,False,0.999418
0.08,0.16,0.2,0.8,False,0.99826
0.08,0.16,0.3,0.7,False,0.140947
0.08,0.16,0.4,0.6,False,0.0604026
0.08,0.16,0.5,0.5,False,0.0277717
0.08,0.16,0.6,0.4,False,0.0125307
0.08,0.16,0.7,0.3,False,0.00521036
0.08,0.12,0.0,1.0,False,0.999603
0.08,0.12,0.1,0.9,False,0.999418
0.08,0.12,0.2,0.8,False,0.998259
0.08,0.12,0.3,0.7,False,0.138802
0.08,0.12,0.4,0.6,False,0.0604026
0.08,0.12,0.5,0.5,False,0.0277717
0.08,0.12,0.6,0.4,False,0.0125307
0.08,0.12,0.7,0.3,False,0.00521032
0.08,0.08,0.0,1.0,False,0.999603
0.08,0.08,0.1,0.9,False,0.999418
0.08,0.08,0.2,0.8,False,0.998259
0.08,0.08,0.3,0.7,False,0.311389
0.08,0.08,0.4,0.6,False,0.0604026
0.08,0.08,0.5,0.5,False,0.0277717
0.08,0.08,0.6,0.4,False,0.0125307
0.08,0.08,0.7,0.3,False,0.00521028
0.08,0.04,0.0,1.0,False,0.999603
0.08,0.04,0.1,0.9,False,0.999418
0.08,0.04,0.2,0.8,False,0.998258
0.08,0.04,0.3,0.7,False,0.145319
0.08,0.04,0.4,0.6,False,0.0604026
0.08,0.04,0.5,0.5,False,0.0277717
0.08,0.04,0.6,0.4,False,0.0125307
0.08,0.04,0.7,0.3,False,0.00521025
0.08,0.0,0.0,1.0,False,0.999603
0.08,0.0,0.1,0.9,False,0.999418
0.08,0.0,0.2,0.8,False,0.998258
0.08,0.0,0.3,0.7,False,0.145218
0.08,0.0,0.4,0.6,False,0.0604026
0.08,0.0,0.5,0.5,False,0.0277717
0.08,0.0,0.6,0.4,False,0.0125307
0.08,0.0,0.7,0.3,False,0.00521016
0.12,0.84,0.0,1.0,False,0.999886
0.12,0.84,0.1,0.9,False,0.999698
0.12,0.84,0.2,0.8,False,0.998533
0.12,0.84,0.3,0.7,False,0.484861
0.12,0.84,0.4,0.6,False,0.0604034
0.12,0.84,0.5,0.5,False,0.0277732
0.12,0.84,0.6,0.4,False,0.0125334
0.12,0.84,0.7,0.3,False,0.00521462
0.12,0.8,0.0,1.0,False,0.999863
0.12,0.8,0.1,0.9,False,0.999671
0.12,0.8,0.2,0.8,False,0.998506
0.12,0.8,0.3,0.7,False,0.193722
0.12,0.8,0.4,0.6,False,0.0604031
0.12,0.8,0.5,0.5,False,0.0277727
0.12,0.8,0.6,0.4,False,0.0125326
0.12,0.8,0.7,0.3,False,0.0052136
0.12,0.76,0.0,1.0,False,0.99983
0.12,0.76,0.1,0.9,False,0.999636
0.12,0.76,0.2,0.8,False,0.998471
0.12,0.76,0.3,0.7,False,0.261562
0.12,0.76,0.4,0.6,False,0.060403
0.12,0.76,0.5,0.5,False,0.0277725
0.12,0.76,0.6,0.4,False,0.0125323
0.12,0.76,0.7,0.3,False,0.00521317
0.12,0.72,0.0,1.0,False,0.999794
0.12,0.72,0.1,0.9,False,0.999598
0.12,0.72,0.2,0.8,False,0.998432
0.12,0.72,0.3,0.7,False,0.180368
0.12,0.72,0.4,0.6,False,0.0604029
0.12,0.72,0.5,0.5,False,0.0277724
0.12,0.72,0.6,0.4,False,0.0125321
0.12,0.72,0.7,0.3,False,0.00521289
0.12,0.68,0.0,1.0,False,0.999758
0.12,0.68,0.1,0.9,False,0.999562
0.12,0.68,0.2,0.8,False,0.998398
0.12,0.68,0.3,0.7,False,0.482718
0.12,0.68,0.4,0.6,False,0.0604029
0.12,0.68,0.5,0.5,False,0.0277723
0.12,0.68,0.6,0.4,False,0.0125319
0.12,0.68,0.7,0.3,False,0.00521268
0.12,0.64,0.0,1.0,False,0.999725
0.12,0.64,0.1,0.9,False,0.999529
0.12,0.64,0.2,0.8,False,0.998369
0.12,0.64,0.3,0.7,False,0.480145
0.12,0.64,0.4,0.6,False,0.0604028
0.12,0.64,0.5,0.5,False,0.0277723
0.12,0.64,0.6,0.4,False,0.0125318
0.12,0.64,0.7,0.3,False,0.00521249
0.12,0.6,0.0,1.0,False,0.999696
0.12,0.6,0.1,0.9,False,0.999501
0.12,0.6,0.2,0.8,False,0.998345
0.12,0.6,0.3,0.7,False,0.419059
0.12,0.6,0.4,0.6,False,0.0604028
0.12,0.6,0.5,0.5,False,0.0277722
0.12,0.6,0.6,0.4,False,0.0125317
0.12,0.6,0.7,0.3,False,0.00521232
0.12,0.56,0.0,1.0,False,0.999672
0.12,0.56,0.1,0.9,False,0.999478
0.12,0.56,0.2,0.8,False,0.998326
0.12,0.56,0.3,0.7,False,0.322656
0.12,0.56,0.4,0.6,False,0.0604028
0.12,0.56,0.5,0.5,False,0.0277721
0.12,0.56,0.6,0.4,False,0.0125316
0.12,0.56,0.7,0.3,False,0.00521215
0.12,0.52,0.0,1.0,False,0.999652
0.12,0.52,0.1,0.9,False,0.99946
0.12,0.52,0.2,0.8,False,0.99831
0.12,0.52,0.3,0.7,False,0.140134
0.12,0.52,0.4,0.6,False,0.0604027
0.12,0.52,0.5,0.5,False,0.0277721
0.12,0.52,0.6,0.4,False,0.0125315
0.12,0.52,0.7,0.3,False,0.00521199
0.12,0.48,0.0,1.0,False,0.999637
0.12,0.48,0.1,0.9,False,0.999445
0.12,0.48,0.2,0.8,False,0.998298
0.12,0.48,0.3,0.7,False,0.138833
0.12,0.48,0.4,0.6,False,0.0604027
0.12,0.48,0.5,0.5,False,0.027772
0.12,0.48,0.6,0.4,False,0.0125314
0.12,0.48,0.7,0.3,False,0.00521182
0.12,0.44,0.0,1.0,False,0.999625
0.12,0.44,0.1,0.9,False,0.999435
0.12,0.44,0.2,0.8,False,0.998289
0.12,0.44,0.3,0.7,False,0.147241
0.12,0.44,0.4,0.6,False,0.0604027
0.12,0.44,0.5,0.5,False,0.027772
0.12,0.44,0.6,0.4,False,0.0125313
0.12,0.44,0.7,0.3,False,0.00521165
0.12,0.4,0.0,1.0,False,0.999617
0.12,0.4,0.1,0.9,False,0.999427
0.12,0.4,0.2,0.8,False,0.998282
0.12,0.4,0.3,0.7,False,0.14864
0.12,0.4,0.4,0.6,False,0.0604027
0.12,0.4,0.5,0.5,False,0.0277719
0.12,0.4,0.6,0.4,False,0.0125312
0.12,0.4,0.7,0.3,False,0.00521148
0.12,0.36,0.0,1.0,False,0.99961
0.12,0.36,0.1,0.9,False,0.999421
0.12,0.36,0.2,0.8,False,0.998277
0.12,0.36,0.3,0.7,False,0.166237
0.12,0.36,0.4,0.6,False,0.0604026
0.12,0.36,0.5,0.5,False,0.0277719
0.12,0.36,0.6,0.4,False,0.0125312
0.12,0.36,0.7,0.3,False,0.0052113
0.12,0.32,0.0,1.0,False,0.999606
0.12,0.32,0.1,0.9,False,0.999417
0.12,0.32,0.2,0.8,False,0.998273
0.12,0.32,0.3,0.7,False,0.153025
0.12,0.32,0.4,0.6,False,0.0604026
0.12,0.32,0.5,0.5,False,0.0277718
0.12,0.32,0.6,0.4,False,0.0125311
0.12,0.32,0.7,0.3,False,0.00521111
0.12,0.28,0.0,1.0,False,0.999603
0.12,0.28,0.1,0.9,False,0.999415
0.12,0.28,0.2,0.8,False,0.99827
0.12,0.28,0.3,0.7,False,0.451971
0.12,0.28,0.4,0.6,False,0.0604026
0.12,0.28,0.5,0.5,False,0.0277718
0.12,0.28,0.6,0.4,False,0.012531
0.12,0.28,0.7,0.3,False,0.00521091
0.12,0.24,0.0,1.0,False,0.999601
0.12,0.24,0.1,0.9,False,0.999413
0.12,0.24,0.2,0.8,False,0.998268
0.12,0.24,0.3,0.7,False,0.384966
0.12,0.24,0.4,0.6,False,0.0604026
0.12,0.24,0.5,0.5,False,0.0277718
0.12,0.24,0.6,0.4,False,0.0125309
0.12,0.24,0.7,0.3,False,0.00521072
0.12,0.2,0.0,1.0,False,0.9996
0.12,0.2,0.1,0.9,False,0.999412
0.12,0.2,0.2,0.8,False,0.998267
0.12,0.2,0.3,0.7,False,0.183352
0.12,0.2,0.4,0.6,False,0.0604026
0.12,0.2,0.5,0.5,False,0.0277717
0.12,0.2,0.6,0.4,False,0.0125308
0.12,0.2,0.7,0.3,False,0.00521056
0.12,0.16,0.0,1.0,False,0.999599
0.12,0.16,0.1,0.9,False,0.999412
0.12,0.16,0.2,0.8,False,0.998266
0.12,0.16,0.3,0.7,False,0.146355
0.12,0.16,0.4,0.6,False,0.0604026
0.12,0.16,0.5,0.5,False,0.0277717
0.12,0.16,0.6,0.4,False,0.0125308
0.12,0.16,0.7,0.3,False,0.00521044
0.12,0.12,0.0,1.0,False,0.999599
0.12,0.12,0.1,0.9,False,0.999411
0.12,0.12,0.2,0.8,False,0.998265
0.12,0.12,0.3,0.7,False,0.427183
0.12,0.12,0.4,0.6,False,0.0604026
0.12,0.12,0.5,0.5,False,0.0277717
0.12,0.12,0.6,0.4,False,0.0125307
0.12,0.12,0.7,0.3,False,0.00521036
0.12,0.08,0.0,1.0,False,0.999599
0.12,0.08,0.1,0.9,False,0.999412
0.12,0.08,0.2,0.8,False,0.998264
0.12,0.08,0.3,0.7,False,0.149616
0.12,0.08,0.4,0.6,False,0.0604026
0.12,0.08,0.5,0.5,False,0.0277717
0.12,0.08,0.6,0.4,False,0.0125307
0.12,0.08,0.7,0.3,False,0.00521031
0.12,0.04,0.0,1.0,False,0.999599
0.12,0.04,0.1,0.9,False,0.999412
0.12,0.04,0.2,0.8,False,0.998264
0.12,0.04,0.3,0.7,False,0.289777
0.12,0.04,0.4,0.6,False,0.0604026
0.12,0.04,0.5,0.5,False,0.0277717
0.12,0.04,0.6,0.4,False,0.0125307
0.12,0.04,0.7,0.3,False,0.00521027
0.12,0.0,0.0,1.0,False,0.999599
0.12,0.0,0.1,0.9,False,0.999412
0.12,0.0,0.2,0.8,False,0.998263
0.12,0.0,0.3,0.7,False,0.145015
0.12,0.0,0.4,0.6,False,0.0604026
0.12,0.0,0.5,0.5,False,0.0277717
0.12,0.0,0.6,0.4,False,0.0125307
0.12,0.0,0.7,0.3,False,0.00521016
0.16,0.8,0.0,1.0,False,0.999856
0.16,0.8,0.1,0.9,False,0.999667
0.16,0.8,0.2,0.8,False,0.998527
0.16,0.8,0.3,0.7,False,0.193711
0.16,0.8,0.4,0.6,False,0.0604034
0.16,0.8,0.5,0.5,False,0.0277732
0.16,0.8,0.6,0.4,False,0.0125334
0.16,0.8,0.7,0.3,False,0.00521462
0.16,0.76,0.0,1.0,False,0.999835
0.16,0.76,0.1,0.9,False,0.999643
0.16,0.76,0.2,0.8,False,0.998501
0.16,0.76,0.3,0.7,False,0.139773
0.16,0.76,0.4,0.6,False,0.0604031
0.16,0.76,0.5,0.5,False,0.0277727
0.16,0.76,0.6,0.4,False,0.0125326
0.16,0.76,0.7,0.3,False,0.0052136
0.16,0.72,0.0,1.0,False,0.999805
0.16,0.72,0.1,0.9,False,0.999612
0.16,0.72,0.2,0.8,False,0.998468
0.16,0.72,0.3,0.7,False,0.429646
0.16,0.72,0.4,0.6,False,0.060403
0.16,0.72,0.5,0.5,False,0.0277725
0.16,0.72,0.6,0.4,False,0.0125323
0.16,0.72,0.7,0.3,False,0.00521317
0.16,0.68,0.0,1.0,False,0.999771
0.16,0.68,0.1,0.9,False,0.999576
0.16,0.68,0.2,0.8,False,0.99843
0.16,0.68,0.3,0.7,False,0.237331
0.16,0.68,0.4,0.6,False,0.0604029
0.16,0.68,0.5,0.5,False,0.0277724
0.16,0.68,0.6,0.4,False,0.0125321
0.16,0.68,0.7,0.3,False,0.00521289
0.16,0.64,0.0,1.0,False,0.999738
0.16,0.64,0.1,0.9,False,0.999543
0.16,0.64,0.2,0.8,False,0.998398
0.16,0.64,0.3,0.7,False,0.462084
0.16,0.64,0.4,0.6,False,0.0604029
0.16,0.64,0.5,0.5,False,0.0277723
0.16,0.64,0.6,0.4,False,0.012532
0.16,0.64,0.7,0.3,False,0.00521268
0.16,0.6,0.0,1.0,False,0.999708
0.16,0.6,0.1,0.9,False,0.999513
0.16,0.6,0.2,0.8,False,0.99837
0.16,0.6,0.3,0.7,False,0.138366
0.16,0.6,0.4,0.6,False,0.0604028
0.16,0.6,0.5,0.5,False,0.0277723
0.16,0.6,0.6,0.4,False,0.0125318
0.16,0.6,0.7,0.3,False,0.00521249
0.16,0.56,0.0,1.0,False,0.999682
0.16,0.56,0.1,0.9,False,0.999488
0.16,0.56,0.2,0.8,False,0.998347
0.16,0.56,0.3,0.7,False,0.382265
0.16,0.56,0.4,0.6,False,0.0604028
0.16,0.56,0.5,0.5,False,0.0277722
0.16,0.56,0.6,0.4,False,0.0125317
0.16,0.56,0.7,0.3,False,0.00521232
0.16,0.52,0.0,1.0,False,0.99966
0.16,0.52,0.1,0.9,False,0.999467
0.16,0.52,0.2,0.8,False,0.998328
0.16,0.52,0.3,0.7,False,0.26992
0.16,0.52,0.4,0.6,False,0.0604028
0.16,0.52,0.5,0.5,False,0.0277721
0.16,0.52,0.6,0.4,False,0.0125316
0.16,0.52,0.7,0.3,False,0.00521215
0.16,0.48,0.0,1.0,False,0.999643
0.16,0.48,0.1,0.9,False,0.999451
0.16,0.48,0.2,0.8,False,0.998314
0.16,0.48,0.3,0.7,False,0.138961
0.16,0.48,0.4,0.6,False,0.0604027
0.16,0.48,0.5,0.5,False,0.0277721
0.16,0.48,0.6,0.4,False,0.0125315
0.16,0.48,0.7,0.3,False,0.00521199
0.16,0.44,0.0,1.0,False,0.99963
0.16,0.44,0.1,0.9,False,0.999439
0.16,0.44,0.2,0.8,False,0.998302
0.16,0.44,0.3,0.7,False,0.396324
0.16,0.44,0.4,0.6,False,0.0604027
0.16,0.44,0.5,0.5,False,0.027772
0.16,0.44,0.6,0.4,False,0.0125314
0.16,0.44,0.7,0.3,False,0.00521183
0.16,0.4,0.0,1.0,False,0.99962
0.16,0.4,0.1,0.9,False,0.999429
0.16,0.4,0.2,0.8,False,0.998293
0.16,0.4,0.3,0.7,False,0.234398
0.16,0.4,0.4,0.6,False,0.0604027
0.16,0.4,0.5,0.5,False,0.027772
0.16,0.4,0.6,0.4,False,0.0125313
0.16,0.4,0.7,0.3,False,0.00521166
0.16,0.36,0.0,1.0,False,0.999612
