sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999924
0.08,0.88,0.1,0.9,False,0.999743
0.08,0.88,0.2,0.8,False,0.998542
0.08,0.88,0.3,0.7,False,0.168278
0.08,0.88,0.4,0.6,False,0.0604034
0.08,0.88,0.5,0.5,False,0.0277732
0.08,0.88,0.6,0.4,False,0.0125334
0.08,0.88,0.7,0.3,False,0.00521461
0.08,0.84,0.0,1.0,False,0.9999
0.08,0.84,0.1,0.9,False,0.999713
0.08,0.84,0.2,0.8,False,0.998513
0.08,0.84,0.3,0.7,False,0.478001
0.08,0.84,0.4,0.6,False,0.0604031
0.08,0.84,0.5,0.5,False,0.0277727
0.08,0.84,0.6,0.4,False,0.0125326
0.08,0.84,0.7,0.3,False,0.00521359
0.08,0.8,0.0,1.0,False,0.999865
0.08,0.8,0.1,0.9,False,0.999674
0.08,0.8,0.2,0.8,False,0.998476
0.08,0.8,0.3,0.7,False,0.247041
0.08,0.8,0.4,0.6,False,0.060403
0.08,0.8,0.5,0.5,False,0.0277725
0.08,0.8,0.6,0.4,False,0.0125323
0.08,0.8,0.7,0.3,False,0.00521315
0.08,0.76,0.0,1.0,False,0.999826
0.08,0.76,0.1,0.9,False,0.999632
0.08,0.76,0.2,0.8,False,0.998425
0.08,0.76,0.3,0.7,False,0.147411
0.08,0.76,0.4,0.6,False,0.0604029
0.08,0.76,0.5,0.5,False,0.0277724
0.08,0.76,0.6,0.4,False,0.012532
0.08,0.76,0.7,0.3,False,0.00521278
0.08,0.72,0.0,1.0,False,0.999787
0.08,0.72,0.1,0.9,False,0.999592
0.08,0.72,0.2,0.8,False,0.99839
0.08,0.72,0.3,0.7,False,0.409737
0.08,0.72,0.4,0.6,False,0.0604028
0.08,0.72,0.5,0.5,False,0.0277722
0.08,0.72,0.6,0.4,False,0.0125318
0.08,0.72,0.7,0.3,False,0.00521237
0.08,0.68,0.0,1.0,False,0.99975
0.08,0.68,0.1,0.9,False,0.999556
0.08,0.68,0.2,0.8,False,0.998361
0.08,0.68,0.3,0.7,False,0.138651
0.08,0.68,0.4,0.6,False,0.0604027
0.08,0.68,0.5,0.5,False,0.027772
0.08,0.68,0.6,0.4,False,0.0125314
0.08,0.68,0.7,0.3,False,0.00521179
0.08,0.64,0.0,1.0,False,0.999718
0.08,0.64,0.1,0.9,False,0.999524
0.08,0.64,0.2,0.8,False,0.998337
0.08,0.64,0.3,0.7,False,0.229471
0.08,0.64,0.4,0.6,False,0.0604026
0.08,0.64,0.5,0.5,False,0.0277718
0.08,0.64,0.6,0.4,False,0.0125309
0.08,0.64,0.7,0.3,False,0.00521077
0.08,0.6,0.0,1.0,False,0.99969
0.08,0.6,0.1,0.9,False,0.999498
0.08,0.6,0.2,0.8,False,0.998318
0.08,0.6,0.3,0.7,False,0.153725
0.08,0.6,0.4,0.6,False,0.0604025
0.08,0.6,0.5,0.5,False,0.0277716
0.08,0.6,0.6,0.4,False,0.0125307
0.08,0.6,0.7,0.3,False,0.00521028
0.08,0.56,0.0,1.0,False,0.999668
0.08,0.56,0.1,0.9,False,0.999477
0.08,0.56,0.2,0.8,False,0.998303
0.08,0.56,0.3,0.7,False,0.13857
0.08,0.56,0.4,0.6,False,0.0604025
0.08,0.56,0.5,0.5,False,0.0277716
0.08,0.56,0.6,0.4,False,0.0125306
0.08,0.56,0.7,0.3,False,0.0052102
0.08,0.52,0.0,1.0,False,0.999651
0.08,0.52,0.1,0.9,False,0.999461
0.08,0.52,0.2,0.8,False,0.998291
0.08,0.52,0.3,0.7,False,0.287253
0.08,0.52,0.4,0.6,False,0.0604025
0.08,0.52,0.5,0.5,False,0.0277716
0.08,0.52,0.6,0.4,False,0.0125306
0.08,0.52,0.7,0.3,False,0.00521015
0.08,0.48,0.0,1.0,False,0.999637
0.08,0.48,0.1,0.9,False,0.999449
0.08,0.48,0.2,0.8,False,0.998283
0.08,0.48,0.3,0.7,False,0.30418
0.08,0.48,0.4,0.6,False,0.0604025
0.08,0.48,0.5,0.5,False,0.0277716
0.08,0.48,0.6,0.4,False,0.0125306
0.08,0.48,0.7,0.3,False,0.00521012
0.08,0.44,0.0,1.0,False,0.999627
0.08,0.44,0.1,0.9,False,0.99944
0.08,0.44,0.2,0.8,False,0.998276
0.08,0.44,0.3,0.7,False,0.399681
0.08,0.44,0.4,0.6,False,0.0604024
0.08,0.44,0.5,0.5,False,0.0277716
0.08,0.44,0.6,0.4,False,0.0125306
0.08,0.44,0.7,0.3,False,0.00521009
0.08,0.4,0.0,1.0,False,0.999619
0.08,0.4,0.1,0.9,False,0.999433
0.08,0.4,0.2,0.8,False,0.998271
0.08,0.4,0.3,0.7,False,0.449029
0.08,0.4,0.4,0.6,False,0.0604024
0.08,0.4,0.5,0.5,False,0.0277715
0.08,0.4,0.6,0.4,False,0.0125306
0.08,0.4,0.7,0.3,False,0.00521008
0.08,0.36,0.0,1.0,False,0.999614
0.08,0.36,0.1,0.9,False,0.999428
0.08,0.36,0.2,0.8,False,0.998268
0.08,0.36,0.3,0.7,False,0.138851
0.08,0.36,0.4,0.6,False,0.0604024
0.08,0.36,0.5,0.5,False,0.0277715
0.08,0.36,0.6,0.4,False,0.0125305
0.08,0.36,0.7,0.3,False,0.00521007
0.08,0.32,0.0,1.0,False,0.99961
0.08,0.32,0.1,0.9,False,0.999425
0.08,0.32,0.2,0.8,False,0.998265
0.08,0.32,0.3,0.7,False,0.229803
0.08,0.32,0.4,0.6,False,0.0604024
0.08,0.32,0.5,0.5,False,0.0277715
0.08,0.32,0.6,0.4,False,0.0125305
0.08,0.32,0.7,0.3,False,0.00521006
0.08,0.28,0.0,1.0,False,0.999607
0.08,0.28,0.1,0.9,False,0.999423
0.08,0.28,0.2,0.8,False,0.998264
0.08,0.28,0.3,0.7,False,0.1449
0.08,0.28,0.4,0.6,False,0.0604024
0.08,0.28,0.5,0.5,False,0.0277715
0.08,0.28,0.6,0.4,False,0.0125305
0.08,0.28,0.7,0.3,False,0.00521005
0.08,0.24,0.0,1.0,False,0.999606
0.08,0.24,0.1,0.9,False,0.999422
0.08,0.24,0.2,0.8,False,0.998262
0.08,0.24,0.3,0.7,False,0.212923
0.08,0.24,0.4,0.6,False,0.0604024
0.08,0.24,0.5,0.5,False,0.0277715
0.08,0.24,0.6,0.4,False,0.0125305
0.08,0.24,0.7,0.3,False,0.00521005
0.08,0.2,0.0,1.0,False,0.999605
0.08,0.2,0.1,0.9,False,0.999421
0.08,0.2,0.2,0.8,False,0.998261
0.08,0.2,0.3,0.7,False,0.140939
0.08,0.2,0.4,0.6,False,0.0604024
0.08,0.2,0.5,0.5,False,0.0277715
0.08,0.2,0.6,0.4,False,0.0125305
0.08,0.2,0.7,0.3,False,0.00521004
0.08,0.16,0.0,1.0,False,0.999604
0.08,0.16,0.1,0.9,False,0.999421
0.08,0.16,0.2,0.8,False,0.998261
0.08,0.16,0.3,0.7,False,0.152208
0.08,0.16,0.4,0.6,False,0.0604024
0.08,0.16,0.5,0.5,False,0.0277715
0.08,0.16,0.6,0.4,False,0.0125305
0.08,0.16,0.7,0.3,False,0.00521004
0.08,0.12,0.0,1.0,False,0.999604
0.08,0.12,0.1,0.9,False,0.999421
0.08,0.12,0.2,0.8,False,0.99826
0.08,0.12,0.3,0.7,False,0.337192
0.08,0.12,0.4,0.6,False,0.0604024
0.08,0.12,0.5,0.5,False,0.0277715
0.08,0.12,0.6,0.4,False,0.0125305
0.08,0.12,0.7,0.3,False,0.00521004
0.08,0.08,0.0,1.0,False,0.999604
0.08,0.08,0.1,0.9,False,0.999421
0.08,0.08,0.2,0.8,False,0.99826
0.08,0.08,0.3,0.7,False,0.286528
0.08,0.08,0.4,0.6,False,0.0604024
0.08,0.08,0.5,0.5,False,0.0277715
0.08,0.08,0.6,0.4,False,0.0125305
0.08,0.08,0.7,0.3,False,0.00521004
0.08,0.04,0.0,1.0,False,0.999604
0.08,0.04,0.1,0.9,False,0.999421
0.08,0.04,0.2,0.8,False,0.99826
0.08,0.04,0.3,0.7,False,0.382928
0.08,0.04,0.4,0.6,False,0.0604024
0.08,0.04,0.5,0.5,False,0.0277715
0.08,0.04,0.6,0.4,False,0.0125305
0.08,0.04,0.7,0.3,False,0.00521004
0.08,0.0,0.0,1.0,False,0.999604
0.08,0.0,0.1,0.9,False,0.999421
0.08,0.0,0.2,0.8,False,0.99826
0.08,0.0,0.3,0.7,False,0.329174
0.08,0.0,0.4,0.6,False,0.0604024
0.08,0.0,0.5,0.5,False,0.0277715
0.08,0.0,0.6,0.4,False,0.0125305
0.08,0.0,0.7,0.3,False,0.00521003
0.12,0.84,0.0,1.0,False,0.999886
0.12,0.84,0.1,0.9,False,0.999698
0.12,0.84,0.2,0.8,False,0.998533
0.12,0.84,0.3,0.7,False,0.484861
0.12,0.84,0.4,0.6,False,0.0604034
0.12,0.84,0.5,0.5,False,0.0277732
0.12,0.84,0.6,0.4,False,0.0125334
0.12,0.84,0.7,0.3,False,0.00521462
0.12,0.8,0.0,1.0,False,0.999863
0.12,0.8,0.1,0.9,False,0.999671
0.12,0.8,0.2,0.8,False,0.998506
0.12,0.8,0.3,0.7,False,0.193722
0.12,0.8,0.4,0.6,False,0.0604031
0.12,0.8,0.5,0.5,False,0.0277727
0.12,0.8,0.6,0.4,False,0.0125326
0.12,0.8,0.7,0.3,False,0.0052136
0.12,0.76,0.0,1.0,False,0.999829
0.12,0.76,0.1,0.9,False,0.999635
0.12,0.76,0.2,0.8,False,0.99847
0.12,0.76,0.3,0.7,False,0.147377
0.12,0.76,0.4,0.6,False,0.060403
0.12,0.76,0.5,0.5,False,0.0277725
0.12,0.76,0.6,0.4,False,0.0125323
0.12,0.76,0.7,0.3,False,0.00521316
0.12,0.72,0.0,1.0,False,0.999792
0.12,0.72,0.1,0.9,False,0.999596
0.12,0.72,0.2,0.8,False,0.99842
0.12,0.72,0.3,0.7,False,0.153956
0.12,0.72,0.4,0.6,False,0.0604029
0.12,0.72,0.5,0.5,False,0.0277724
0.12,0.72,0.6,0.4,False,0.012532
0.12,0.72,0.7,0.3,False,0.00521279
0.12,0.68,0.0,1.0,False,0.999756
0.12,0.68,0.1,0.9,False,0.999559
0.12,0.68,0.2,0.8,False,0.998387
0.12,0.68,0.3,0.7,False,0.142093
0.12,0.68,0.4,0.6,False,0.0604028
0.12,0.68,0.5,0.5,False,0.0277722
0.12,0.68,0.6,0.4,False,0.0125318
0.12,0.68,0.7,0.3,False,0.00521238
0.12,0.64,0.0,1.0,False,0.999723
0.12,0.64,0.1,0.9,False,0.999526
0.12,0.64,0.2,0.8,False,0.998359
0.12,0.64,0.3,0.7,False,0.447977
0.12,0.64,0.4,0.6,False,0.0604027
0.12,0.64,0.5,0.5,False,0.027772
0.12,0.64,0.6,0.4,False,0.0125314
0.12,0.64,0.7,0.3,False,0.0052118
0.12,0.6,0.0,1.0,False,0.999694
0.12,0.6,0.1,0.9,False,0.999499
0.12,0.6,0.2,0.8,False,0.998336
0.12,0.6,0.3,0.7,False,0.461439
0.12,0.6,0.4,0.6,False,0.0604026
0.12,0.6,0.5,0.5,False,0.0277718
0.12,0.6,0.6,0.4,False,0.0125309
0.12,0.6,0.7,0.3,False,0.00521077
0.12,0.56,0.0,1.0,False,0.99967
0.12,0.56,0.1,0.9,False,0.999476
0.12,0.56,0.2,0.8,False,0.998318
0.12,0.56,0.3,0.7,False,0.427341
0.12,0.56,0.4,0.6,False,0.0604025
0.12,0.56,0.5,0.5,False,0.0277716
0.12,0.56,0.6,0.4,False,0.0125307
0.12,0.56,0.7,0.3,False,0.00521029
0.12,0.52,0.0,1.0,False,0.999651
0.12,0.52,0.1,0.9,False,0.999458
0.12,0.52,0.2,0.8,False,0.998304
0.12,0.52,0.3,0.7,False,0.138905
0.12,0.52,0.4,0.6,False,0.0604025
0.12,0.52,0.5,0.5,False,0.0277716
0.12,0.52,0.6,0.4,False,0.0125306
0.12,0.52,0.7,0.3,False,0.0052102
0.12,0.48,0.0,1.0,False,0.999636
0.12,0.48,0.1,0.9,False,0.999445
0.12,0.48,0.2,0.8,False,0.998293
0.12,0.48,0.3,0.7,False,0.170456
0.12,0.48,0.4,0.6,False,0.0604025
0.12,0.48,0.5,0.5,False,0.0277716
0.12,0.48,0.6,0.4,False,0.0125306
0.12,0.48,0.7,0.3,False,0.00521015
0.12,0.44,0.0,1.0,False,0.999625
0.12,0.44,0.1,0.9,False,0.999435
0.12,0.44,0.2,0.8,False,0.998285
0.12,0.44,0.3,0.7,False,0.435445
0.12,0.44,0.4,0.6,False,0.0604025
0.12,0.44,0.5,0.5,False,0.0277716
0.12,0.44,0.6,0.4,False,0.0125306
0.12,0.44,0.7,0.3,False,0.00521012
0.12,0.4,0.0,1.0,False,0.999616
0.12,0.4,0.1,0.9,False,0.999427
0.12,0.4,0.2,0.8,False,0.998279
0.12,0.4,0.3,0.7,False,0.143816
0.12,0.4,0.4,0.6,False,0.0604024
0.12,0.4,0.5,0.5,False,0.0277716
0.12,0.4,0.6,0.4,False,0.0125306
0.12,0.4,0.7,0.3,False,0.0052101
0.12,0.36,0.0,1.0,False,0.99961
0.12,0.36,0.1,0.9,False,0.999422
0.12,0.36,0.2,0.8,False,0.998275
0.12,0.36,0.3,0.7,False,0.448253
0.12,0.36,0.4,0.6,False,0.0604024
0.12,0.36,0.5,0.5,False,0.0277715
0.12,0.36,0.6,0.4,False,0.0125306
0.12,0.36,0.7,0.3,False,0.00521008
0.12,0.32,0.0,1.0,False,0.999606
0.12,0.32,0.1,0.9,False,0.999419
0.12,0.32,0.2,0.8,False,0.998272
0.12,0.32,0.3,0.7,False,0.336912
0.12,0.32,0.4,0.6,False,0.0604024
0.12,0.32,0.5,0.5,False,0.0277715
0.12,0.32,0.6,0.4,False,0.0125306
0.12,0.32,0.7,0.3,False,0.00521007
0.12,0.28,0.0,1.0,False,0.999603
0.12,0.28,0.1,0.9,False,0.999416
0.12,0.28,0.2,0.8,False,0.998269
0.12,0.28,0.3,0.7,False,0.144627
0.12,0.28,0.4,0.6,False,0.0604024
0.12,0.28,0.5,0.5,False,0.0277715
0.12,0.28,0.6,0.4,False,0.0125305
0.12,0.28,0.7,0.3,False,0.00521006
0.12,0.24,0.0,1.0,False,0.999601
0.12,0.24,0.1,0.9,False,0.999415
0.12,0.24,0.2,0.8,False,0.998267
0.12,0.24,0.3,0.7,False,0.138717
0.12,0.24,0.4,0.6,False,0.0604024
0.12,0.24,0.5,0.5,False,0.0277715
0.12,0.24,0.6,0.4,False,0.0125305
0.12,0.24,0.7,0.3,False,0.00521005
0.12,0.2,0.0,1.0,False,0.9996
0.12,0.2,0.1,0.9,False,0.999414
0.12,0.2,0.2,0.8,False,0.998266
0.12,0.2,0.3,0.7,False,0.138562
0.12,0.2,0.4,0.6,False,0.0604024
0.12,0.2,0.5,0.5,False,0.0277715
0.12,0.2,0.6,0.4,False,0.0125305
0.12,0.2,0.7,0.3,False,0.00521005
0.12,0.16,0.0,1.0,False,0.9996
0.12,0.16,0.1,0.9,False,0.999414
0.12,0.16,0.2,0.8,False,0.998265
0.12,0.16,0.3,0.7,False,0.144929
0.12,0.16,0.4,0.6,False,0.0604024
0.12,0.16,0.5,0.5,False,0.0277715
0.12,0.16,0.6,0.4,False,0.0125305
0.12,0.16,0.7,0.3,False,0.00521005
0.12,0.12,0.0,1.0,False,0.999599
0.12,0.12,0.1,0.9,False,0.999413
0.12,0.12,0.2,0.8,False,0.998265
0.12,0.12,0.3,0.7,False,0.298999
0.12,0.12,0.4,0.6,False,0.0604024
0.12,0.12,0.5,0.5,False,0.0277715
0.12,0.12,0.6,0.4,False,0.0125305
0.12,0.12,0.7,0.3,False,0.00521004
0.12,0.08,0.0,1.0,False,0.999599
0.12,0.08,0.1,0.9,False,0.999414
0.12,0.08,0.2,0.8,False,0.998264
0.12,0.08,0.3,0.7,False,0.146371
0.12,0.08,0.4,0.6,False,0.0604024
0.12,0.08,0.5,0.5,False,0.0277715
0.12,0.08,0.6,0.4,False,0.0125305
0.12,0.08,0.7,0.3,False,0.00521004
0.12,0.04,0.0,1.0,False,0.999599
0.12,0.04,0.1,0.9,False,0.999414
0.12,0.04,0.2,0.8,False,0.998264
0.12,0.04,0.3,0.7,False,0.145206
0.12,0.04,0.4,0.6,False,0.0604024
0.12,0.04,0.5,0.5,False,0.0277715
0.12,0.04,0.6,0.4,False,0.0125305
0.12,0.04,0.7,0.3,False,0.00521004
0.12,0.0,0.0,1.0,False,0.9996
0.12,0.0,0.1,0.9,False,0.999414
0.12,0.0,0.2,0.8,False,0.998263
0.12,0.0,0.3,0.7,False,0.154411
0.12,0.0,0.4,0.6,False,0.0604024
0.12,0.0,0.5,0.5,False,0.0277715
0.12,0.0,0.6,0.4,False,0.0125305
0.12,0.0,0.7,0.3,False,0.00521004
0.16,0.8,0.0,1.0,False,0.999856
0.16,0.8,0.1,0.9,False,0.999667
0.16,0.8,0.2,0.8,False,0.998527
0.16,0.8,0.3,0.7,False,0.193711
0.16,0.8,0.4,0.6,False,0.0604034
0.16,0.8,0.5,0.5,False,0.0277732
0.16,0.8,0.6,0.4,False,0.0125334
0.16,0.8,0.7,0.3,False,0.00521462
0.16,0.76,0.0,1.0,False,0.999835
0.16,0.76,0.1,0.9,False,0.999643
0.16,0.76,0.2,0.8,False,0.998501
0.16,0.76,0.3,0.7,False,0.139773
0.16,0.76,0.4,0.6,False,0.0604031
0.16,0.76,0.5,0.5,False,0.0277727
0.16,0.76,0.6,0.4,False,0.0125326
0.16,0.76,0.7,0.3,False,0.0052136
0.16,0.72,0.0,1.0,False,0.999804
0.16,0.72,0.1,0.9,False,0.99961
0.16,0.72,0.2,0.8,False,0.998467
0.16,0.72,0.3,0.7,False,0.16096
0.16,0.72,0.4,0.6,False,0.060403
0.16,0.72,0.5,0.5,False,0.0277725
0.16,0.72,0.6,0.4,False,0.0125323
0.16,0.72,0.7,0.3,False,0.00521316
0.16,0.68,0.0,1.0,False,0.999768
0.16,0.68,0.1,0.9,False,0.999573
0.16,0.68,0.2,0.8,False,0.998418
0.16,0.68,0.3,0.7,False,0.250163
0.16,0.68,0.4,0.6,False,0.0604029
0.16,0.68,0.5,0.5,False,0.0277724
0.16,0.68,0.6,0.4,False,0.012532
0.16,0.68,0.7,0.3,False,0.00521279
0.16,0.64,0.0,1.0,False,0.999735
0.16,0.64,0.1,0.9,False,0.999539
0.16,0.64,0.2,0.8,False,0.998386
0.16,0.64,0.3,0.7,False,0.403574
0.16,0.64,0.4,0.6,False,0.0604028
0.16,0.64,0.5,0.5,False,0.0277722
0.16,0.64,0.6,0.4,False,0.0125318
0.16,0.64,0.7,0.3,False,0.00521238
0.16,0.6,0.0,1.0,False,0.999704
0.16,0.6,0.1,0.9,False,0.999509
0.16,0.6,0.2,0.8,False,0.998359
0.16,0.6,0.3,0.7,False,0.138825
0.16,0.6,0.4,0.6,False,0.0604027
0.16,0.6,0.5,0.5,False,0.027772
0.16,0.6,0.6,0.4,False,0.0125314
0.16,0.6,0.7,0.3,False,0.0052118
0.16,0.56,0.0,1.0,False,0.999678
0.16,0.56,0.1,0.9,False,0.999484
0.16,0.56,0.2,0.8,False,0.998337
0.16,0.56,0.3,0.7,False,0.142289
0.16,0.56,0.4,0.6,False,0.0604026
0.16,0.56,0.5,0.5,False,0.0277718
0.16,0.56,0.6,0.4,False,0.0125309
0.16,0.56,0.7,0.3,False,0.00521077
0.16,0.52,0.0,1.0,False,0.999657
0.16,0.52,0.1,0.9,False,0.999464
0.16,0.52,0.2,0.8,False,0.998319
0.16,0.52,0.3,0.7,False,0.223578
0.16,0.52,0.4,0.6,False,0.0604025
0.16,0.52,0.5,0.5,False,0.0277716
0.16,0.52,0.6,0.4,False,0.0125307
0.16,0.52,0.7,0.3,False,0.00521029
0.16,0.48,0.0,1.0,False,0.99964
0.16,0.48,0.1,0.9,False,0.999448
0.16,0.48,0.2,0.8,False,0.998306
0.16,0.48,0.3,0.7,False,0.450321
0.16,0.48,0.4,0.6,False,0.0604025
0.16,0.48,0.5,0.5,False,0.0277716
0.16,0.48,0.6,0.4,False,0.0125306
0.16,0.48,0.7,0.3,False,0.0052102
0.16,0.44,0.0,1.0,False,0.999628
0.16,0.44,0.1,0.9,False,0.999437
0.16,0.44,0.2,0.8,False,0.998296
0.16,0.44,0.3,0.7,False,0.13913
0.16,0.44,0.4,0.6,False,0.0604025
0.16,0.44,0.5,0.5,False,0.0277716
0.16,0.44,0.6,0.4,False,0.0125306
0.16,0.44,0.7,0.3,False,0.00521016
0.16,0.4,0.0,1.0,False,0.999618
0.16,0.4,0.1,0.9,False,0.999428
0.16,0.4,0.2,0.8,False,0.998288
0.16,0.4,0.3,0.7,False,0.382115
0.16,0.4,0.4,0.6,False,0.0604025
0.16,0.4,0.5,0.5,False,0.0277716
0.16,0.4,0.6,0.4,False,0.0125306
0.16,0.4,0.7,0.3,False,0.00521012
