sw,sg,sw_inj,sg_inj,oil_bank,fg_inj
0.08,0.88,0.0,1.0,False,0.999924
0.08,0.88,0.1,0.9,False,0.999743
0.08,0.88,0.2,0.8,False,0.998542
0.08,0.88,0.3,0.7,False,0.168278
0.08,0.88,0.4,0.6,False,0.0604034
0.08,0.88,0.5,0.5,False,0.0277732
0.08,0.88,0.6,0.4,False,0.0125334
0.08,0.88,0.7,0.3,False,0.00521461
0.08,0.84,0.0,1.0,False,0.9999
0.08,0.84,0.1,0.9,False,0.999713
0.08,0.84,0.2,0.8,False,0.998513
0.08,0.84,0.3,0.7,False,0.478001
0.08,0.84,0.4,0.6,False,0.0604031
0.08,0.84,0.5,0.5,False,0.0277727
0.08,0.84,0.6,0.4,False,0.0125326
0.08,0.84,0.7,0.3,False,0.00521359
0.08,0.8,0.0,1.0,False,0.999865
0.08,0.8,0.1,0.9,False,0.999675
0.08,0.8,0.2,0.8,False,0.998476
0.08,0.8,0.3,0.7,False,0.138977
0.08,0.8,0.4,0.6,False,0.060403
0.08,0.8,0.5,0.5,False,0.0277725
0.08,0.8,0.6,0.4,False,0.0125323
0.08,0.8,0.7,0.3,False,0.00521316
0.08,0.76,0.0,1.0,False,0.999826
0.08,0.76,0.1,0.9,False,0.999633
0.08,0.76,0.2,0.8,False,0.998432
0.08,0.76,0.3,0.7,False,0.140347
0.08,0.76,0.4,0.6,False,0.0604029
0.08,0.76,0.5,0.5,False,0.0277724
0.08,0.76,0.6,0.4,False,0.0125321
0.08,0.76,0.7,0.3,False,0.00521286
0.08,0.72,0.0,1.0,False,0.999787
0.08,0.72,0.1,0.9,False,0.999592
0.08,0.72,0.2,0.8,False,0.998397
0.08,0.72,0.3,0.7,False,0.188195
0.08,0.72,0.4,0.6,False,0.0604028
0.08,0.72,0.5,0.5,False,0.0277723
0.08,0.72,0.6,0.4,False,0.0125319
0.08,0.72,0.7,0.3,False,0.00521261
0.08,0.68,0.0,1.0,False,0.99975
0.08,0.68,0.1,0.9,False,0.999555
0.08,0.68,0.2,0.8,False,0.998366
0.08,0.68,0.3,0.7,False,0.347326
0.08,0.68,0.4,0.6,False,0.0604028
0.08,0.68,0.5,0.5,False,0.0277722
0.08,0.68,0.6,0.4,False,0.0125318
0.08,0.68,0.7,0.3,False,0.00521238
0.08,0.64,0.0,1.0,False,0.999717
0.08,0.64,0.1,0.9,False,0.999523
0.08,0.64,0.2,0.8,False,0.99834
0.08,0.64,0.3,0.7,False,0.145529
0.08,0.64,0.4,0.6,False,0.0604028
0.08,0.64,0.5,0.5,False,0.0277721
0.08,0.64,0.6,0.4,False,0.0125316
0.08,0.64,0.7,0.3,False,0.00521216
0.08,0.6,0.0,1.0,False,0.99969
0.08,0.6,0.1,0.9,False,0.999496
0.08,0.6,0.2,0.8,False,0.998319
0.08,0.6,0.3,0.7,False,0.190922
0.08,0.6,0.4,0.6,False,0.0604027
0.08,0.6,0.5,0.5,False,0.0277721
0.08,0.6,0.6,0.4,False,0.0125315
0.08,0.6,0.7,0.3,False,0.00521193
0.08,0.56,0.0,1.0,False,0.999667
0.08,0.56,0.1,0.9,False,0.999475
0.08,0.56,0.2,0.8,False,0.998303
0.08,0.56,0.3,0.7,False,0.146194
0.08,0.56,0.4,0.6,False,0.0604027
0.08,0.56,0.5,0.5,False,0.027772
0.08,0.56,0.6,0.4,False,0.0125313
0.08,0.56,0.7,0.3,False,0.00521168
0.08,0.52,0.0,1.0,False,0.999649
0.08,0.52,0.1,0.9,False,0.999458
0.08,0.52,0.2,0.8,False,0.99829
0.08,0.52,0.3,0.7,False,0.146272
0.08,0.52,0.4,0.6,False,0.0604026
0.08,0.52,0.5,0.5,False,0.0277719
0.08,0.52,0.6,0.4,False,0.0125312
0.08,0.52,0.7,0.3,False,0.00521138
0.08,0.48,0.0,1.0,False,0.999635
0.08,0.48,0.1,0.9,False,0.999446
0.08,0.48,0.2,0.8,False,0.99828
0.08,0.48,0.3,0.7,False,0.1478
0.08,0.48,0.4,0.6,False,0.0604026
0.08,0.48,0.5,0.5,False,0.0277718
0.08,0.48,0.6,0.4,False,0.012531
0.08,0.48,0.7,0.3,False,0.00521099
0.08,0.44,0.0,1.0,False,0.999625
0.08,0.44,0.1,0.9,False,0.999436
0.08,0.44,0.2,0.8,False,0.998273
0.08,0.44,0.3,0.7,False,0.14529
0.08,0.44,0.4,0.6,False,0.0604026
0.08,0.44,0.5,0.5,False,0.0277717
0.08,0.44,0.6,0.4,False,0.0125308
0.08,0.44,0.7,0.3,False,0.00521052
0.08,0.4,0.0,1.0,False,0.999617
0.08,0.4,0.1,0.9,False,0.999429
0.08,0.4,0.2,0.8,False,0.998268
0.08,0.4,0.3,0.7,False,0.154501
0.08,0.4,0.4,0.6,False,0.0604025
0.08,0.4,0.5,0.5,False,0.0277717
0.08,0.4,0.6,0.4,False,0.0125307
0.08,0.4,0.7,0.3,False,0.00521031
0.08,0.36,0.0,1.0,False,0.999612
0.08,0.36,0.1,0.9,False,0.999424
0.08,0.36,0.2,0.8,False,0.998264
0.08,0.36,0.3,0.7,False,0.138859
0.08,0.36,0.4,0.6,False,0.0604025
0.08,0.36,0.5,0.5,False,0.0277717
0.08,0.36,0.6,0.4,False,0.0125307
0.08,0.36,0.7,0.3,False,0.00521025
0.08,0.32,0.0,1.0,False,0.999608
0.08,0.32,0.1,0.9,False,0.999421
0.08,0.32,0.2,0.8,False,0.998261
0.08,0.32,0.3,0.7,False,0.144956
0.08,0.32,0.4,0.6,False,0.0604025
0.08,0.32,0.5,0.5,False,0.0277716
0.08,0.32,0.6,0.4,False,0.0125307
0.08,0.32,0.7,0.3,False,0.00521022
0.08,0.28,0.0,1.0,False,0.999605
0.08,0.28,0.1,0.9,False,0.999419
0.08,0.28,0.2,0.8,False,0.998259
0.08,0.28,0.3,0.7,False,0.460202
0.08,0.28,0.4,0.6,False,0.0604025
0.08,0.28,0.5,0.5,False,0.0277716
0.08,0.28,0.6,0.4,False,0.0125307
0.08,0.28,0.7,0.3,False,0.0052102
0.08,0.24,0.0,1.0,False,0.999603
0.08,0.24,0.1,0.9,False,0.999418
0.08,0.24,0.2,0.8,False,0.998257
0.08,0.24,0.3,0.7,False,0.426332
0.08,0.24,0.4,0.6,False,0.0604025
0.08,0.24,0.5,0.5,False,0.0277716
0.08,0.24,0.6,0.4,False,0.0125307
0.08,0.24,0.7,0.3,False,0.00521019
0.08,0.2,0.0,1.0,False,0.999602
0.08,0.2,0.1,0.9,False,0.999417
0.08,0.2,0.2,0.8,False,0.998256
0.08,0.2,0.3,0.7,False,0.451493
0.08,0.2,0.4,0.6,False,0.0604025
0.08,0.2,0.5,0.5,False,0.0277716
0.08,0.2,0.6,0.4,False,0.0125307
0.08,0.2,0.7,0.3,False,0.00521018
0.08,0.16,0.0,1.0,False,0.999602
0.08,0.16,0.1,0.9,False,0.999416
0.08,0.16,0.2,0.8,False,0.998256
0.08,0.16,0.3,0.7,False,0.452618
0.08,0.16,0.4,0.6,False,0.0604025
0.08,0.16,0.5,0.5,False,0.0277716
0.08,0.16,0.6,0.4,False,0.0125306
0.08,0.16,0.7,0.3,False,0.00521017
0.08,0.12,0.0,1.0,False,0.999601
0.08,0.12,0.1,0.9,False,0.999416
0.08,0.12,0.2,0.8,False,0.998255
0.08,0.12,0.3,0.7,False,0.460315
0.08,0.12,0.4,0.6,False,0.0604025
0.08,0.12,0.5,0.5,False,0.0277716
0.08,0.12,0.6,0.4,False,0.0125306
0.08,0.12,0.7,0.3,False,0.00521017
0.08,0.08,0.0,1.0,False,0.999601
0.08,0.08,0.1,0.9,False,0.999416
0.08,0.08,0.2,0.8,False,0.998255
0.08,0.08,0.3,0.7,False,0.13948
0.08,0.08,0.4,0.6,False,0.0604025
0.08,0.08,0.5,0.5,False,0.0277716
0.08,0.08,0.6,0.4,False,0.0125306
0.08,0.08,0.7,0.3,False,0.00521017
0.08,0.04,0.0,1.0,False,0.999601
0.08,0.04,0.1,0.9,False,0.999417
0.08,0.04,0.2,0.8,False,0.998255
0.08,0.04,0.3,0.7,False,0.145448
0.08,0.04,0.4,0.6,False,0.0604025
0.08,0.04,0.5,0.5,False,0.0277716
0.08,0.04,0.6,0.4,False,0.0125306
0.08,0.04,0.7,0.3,False,0.00521016
0.08,0.0,0.0,1.0,False,0.999602
0.08,0.0,0.1,0.9,False,0.999417
0.08,0.0,0.2,0.8,False,0.998254
0.08,0.0,0.3,0.7,False,0.144882
0.08,0.0,0.4,0.6,False,0.0604025
0.08,0.0,0.5,0.5,False,0.0277716
0.08,0.0,0.6,0.4,False,0.0125306
0.08,0.0,0.7,0.3,False,0.00521014
0.12,0.84,0.0,1.0,False,0.999886
0.12,0.84,0.1,0.9,False,0.999698
0.12,0.84,0.2,0.8,False,0.998533
0.12,0.84,0.3,0.7,False,0.484861
0.12,0.84,0.4,0.6,False,0.0604034
0.12,0.84,0.5,0.5,False,0.0277732
0.12,0.84,0.6,0.4,False,0.0125334
0.12,0.84,0.7,0.3,False,0.00521462
0.12,0.8,0.0,1.0,False,0.999863
0.12,0.8,0.1,0.9,False,0.999671
0.12,0.8,0.2,0.8,False,0.998506
0.12,0.8,0.3,0.7,False,0.193722
0.12,0.8,0.4,0.6,False,0.0604031
0.12,0.8,0.5,0.5,False,0.0277727
0.12,0.8,0.6,0.4,False,0.0125326
0.12,0.8,0.7,0.3,False,0.0052136
0.12,0.76,0.0,1.0,False,0.99983
0.12,0.76,0.1,0.9,False,0.999636
0.12,0.76,0.2,0.8,False,0.998471
0.12,0.76,0.3,0.7,False,0.180866
0.12,0.76,0.4,0.6,False,0.060403
0.12,0.76,0.5,0.5,False,0.0277725
0.12,0.76,0.6,0.4,False,0.0125323
0.12,0.76,0.7,0.3,False,0.00521317
0.12,0.72,0.0,1.0,False,0.999793
0.12,0.72,0.1,0.9,False,0.999597
0.12,0.72,0.2,0.8,False,0.998428
0.12,0.72,0.3,0.7,False,0.148863
0.12,0.72,0.4,0.6,False,0.0604029
0.12,0.72,0.5,0.5,False,0.0277724
0.12,0.72,0.6,0.4,False,0.0125321
0.12,0.72,0.7,0.3,False,0.00521287
0.12,0.68,0.0,1.0,False,0.999757
0.12,0.68,0.1,0.9,False,0.999561
0.12,0.68,0.2,0.8,False,0.998394
0.12,0.68,0.3,0.7,False,0.183342
0.12,0.68,0.4,0.6,False,0.0604028
0.12,0.68,0.5,0.5,False,0.0277723
0.12,0.68,0.6,0.4,False,0.0125319
0.12,0.68,0.7,0.3,False,0.00521262
0.12,0.64,0.0,1.0,False,0.999723
0.12,0.64,0.1,0.9,False,0.999527
0.12,0.64,0.2,0.8,False,0.998365
0.12,0.64,0.3,0.7,False,0.138714
0.12,0.64,0.4,0.6,False,0.0604028
0.12,0.64,0.5,0.5,False,0.0277722
0.12,0.64,0.6,0.4,False,0.0125318
0.12,0.64,0.7,0.3,False,0.00521239
0.12,0.6,0.0,1.0,False,0.999694
0.12,0.6,0.1,0.9,False,0.999499
0.12,0.6,0.2,0.8,False,0.99834
0.12,0.6,0.3,0.7,False,0.150501
0.12,0.6,0.4,0.6,False,0.0604028
0.12,0.6,0.5,0.5,False,0.0277721
0.12,0.6,0.6,0.4,False,0.0125316
0.12,0.6,0.7,0.3,False,0.00521216
0.12,0.56,0.0,1.0,False,0.99967
0.12,0.56,0.1,0.9,False,0.999476
0.12,0.56,0.2,0.8,False,0.998321
0.12,0.56,0.3,0.7,False,0.138656
0.12,0.56,0.4,0.6,False,0.0604027
0.12,0.56,0.5,0.5,False,0.0277721
0.12,0.56,0.6,0.4,False,0.0125315
0.12,0.56,0.7,0.3,False,0.00521193
0.12,0.52,0.0,1.0,False,0.99965
0.12,0.52,0.1,0.9,False,0.999457
0.12,0.52,0.2,0.8,False,0.998305
0.12,0.52,0.3,0.7,False,0.1388
0.12,0.52,0.4,0.6,False,0.0604027
0.12,0.52,0.5,0.5,False,0.027772
0.12,0.52,0.6,0.4,False,0.0125314
0.12,0.52,0.7,0.3,False,0.00521168
0.12,0.48,0.0,1.0,False,0.999635
0.12,0.48,0.1,0.9,False,0.999443
0.12,0.48,0.2,0.8,False,0.998293
0.12,0.48,0.3,0.7,False,0.138933
0.12,0.48,0.4,0.6,False,0.0604026
0.12,0.48,0.5,0.5,False,0.0277719
0.12,0.48,0.6,0.4,False,0.0125312
0.12,0.48,0.7,0.3,False,0.00521138
0.12,0.44,0.0,1.0,False,0.999623
0.12,0.44,0.1,0.9,False,0.999432
0.12,0.44,0.2,0.8,False,0.998284
0.12,0.44,0.3,0.7,False,0.143519
0.12,0.44,0.4,0.6,False,0.0604026
0.12,0.44,0.5,0.5,False,0.0277718
0.12,0.44,0.6,0.4,False,0.012531
0.12,0.44,0.7,0.3,False,0.00521099
0.12,0.4,0.0,1.0,False,0.999615
0.12,0.4,0.1,0.9,False,0.999425
0.12,0.4,0.2,0.8,False,0.998277
0.12,0.4,0.3,0.7,False,0.157435
0.12,0.4,0.4,0.6,False,0.0604026
0.12,0.4,0.5,0.5,False,0.0277717
0.12,0.4,0.6,0.4,False,0.0125308
0.12,0.4,0.7,0.3,False,0.00521052
0.12,0.36,0.0,1.0,False,0.999608
0.12,0.36,0.1,0.9,False,0.999419
0.12,0.36,0.2,0.8,False,0.998272
0.12,0.36,0.3,0.7,False,0.146773
0.12,0.36,0.4,0.6,False,0.0604025
0.12,0.36,0.5,0.5,False,0.0277717
0.12,0.36,0.6,0.4,False,0.0125307
0.12,0.36,0.7,0.3,False,0.00521031
0.12,0.32,0.0,1.0,False,0.999604
0.12,0.32,0.1,0.9,False,0.999415
0.12,0.32,0.2,0.8,False,0.998269
0.12,0.32,0.3,0.7,False,0.145362
0.12,0.32,0.4,0.6,False,0.0604025
0.12,0.32,0.5,0.5,False,0.0277717
0.12,0.32,0.6,0.4,False,0.0125307
0.12,0.32,0.7,0.3,False,0.00521025
0.12,0.28,0.0,1.0,False,0.999601
0.12,0.28,0.1,0.9,False,0.999413
0.12,0.28,0.2,0.8,False,0.998266
0.12,0.28,0.3,0.7,False,0.148293
0.12,0.28,0.4,0.6,False,0.0604025
0.12,0.28,0.5,0.5,False,0.0277717
0.12,0.28,0.6,0.4,False,0.0125307
0.12,0.28,0.7,0.3,False,0.00521022
0.12,0.24,0.0,1.0,False,0.999599
0.12,0.24,0.1,0.9,False,0.999411
0.12,0.24,0.2,0.8,False,0.998264
0.12,0.24,0.3,0.7,False,0.351499
0.12,0.24,0.4,0.6,False,0.0604025
0.12,0.24,0.5,0.5,False,0.0277716
0.12,0.24,0.6,0.4,False,0.0125307
0.12,0.24,0.7,0.3,False,0.0052102
0.12,0.2,0.0,1.0,False,0.999598
0.12,0.2,0.1,0.9,False,0.99941
0.12,0.2,0.2,0.8,False,0.998262
0.12,0.2,0.3,0.7,False,0.138574
0.12,0.2,0.4,0.6,False,0.0604025
0.12,0.2,0.5,0.5,False,0.0277716
0.12,0.2,0.6,0.4,False,0.0125307
0.12,0.2,0.7,0.3,False,0.00521019
0.12,0.16,0.0,1.0,False,0.999597
0.12,0.16,0.1,0.9,False,0.99941
0.12,0.16,0.2,0.8,False,0.998261
0.12,0.16,0.3,0.7,False,0.150554
0.12,0.16,0.4,0.6,False,0.0604025
0.12,0.16,0.5,0.5,False,0.0277716
0.12,0.16,0.6,0.4,False,0.0125307
0.12,0.16,0.7,0.3,False,0.00521018
0.12,0.12,0.0,1.0,False,0.999597
0.12,0.12,0.1,0.9,False,0.99941
0.12,0.12,0.2,0.8,False,0.99826
0.12,0.12,0.3,0.7,False,0.15144
0.12,0.12,0.4,0.6,False,0.0604025
0.12,0.12,0.5,0.5,False,0.0277716
0.12,0.12,0.6,0.4,False,0.0125307
0.12,0.12,0.7,0.3,False,0.00521018
0.12,0.08,0.0,1.0,False,0.999597
0.12,0.08,0.1,0.9,False,0.99941
0.12,0.08,0.2,0.8,False,0.99826
0.12,0.08,0.3,0.7,False,0.146254
0.12,0.08,0.4,0.6,False,0.0604025
0.12,0.08,0.5,0.5,False,0.0277716
0.12,0.08,0.6,0.4,False,0.0125306
0.12,0.08,0.7,0.3,False,0.00521017
0.12,0.04,0.0,1.0,False,0.999597
0.12,0.04,0.1,0.9,False,0.99941
0.12,0.04,0.2,0.8,False,0.998259
0.12,0.04,0.3,0.7,False,0.138739
0.12,0.04,0.4,0.6,False,0.0604025
0.12,0.04,0.5,0.5,False,0.0277716
0.12,0.04,0.6,0.4,False,0.0125306
0.12,0.04,0.7,0.3,False,0.00521017
0.12,0.0,0.0,1.0,False,0.999597
0.12,0.0,0.1,0.9,False,0.99941
0.12,0.0,0.2,0.8,False,0.998259
0.12,0.0,0.3,0.7,False,0.195264
0.12,0.0,0.4,0.6,False,0.0604025
0.12,0.0,0.5,0.5,False,0.0277716
0.12,0.0,0.6,0.4,False,0.0125306
0.12,0.0,0.7,0.3,False,0.00521014
0.16,0.8,0.0,1.0,False,0.999856
0.16,0.8,0.1,0.9,False,0.999667
0.16,0.8,0.2,0.8,False,0.998527
0.16,0.8,0.3,0.7,False,0.193711
0.16,0.8,0.4,0.6,False,0.0604034
0.16,0.8,0.5,0.5,False,0.0277732
0.16,0.8,0.6,0.4,False,0.0125334
0.16,0.8,0.7,0.3,False,0.00521462
0.16,0.76,0.0,1.0,False,0.999835
0.16,0.76,0.1,0.9,False,0.999643
0.16,0.76,0.2,0.8,False,0.998501
0.16,0.76,0.3,0.7,False,0.139773
0.16,0.76,0.4,0.6,False,0.0604031
0.16,0.76,0.5,0.5,False,0.0277727
0.16,0.76,0.6,0.4,False,0.0125326
0.16,0.76,0.7,0.3,False,0.0052136
0.16,0.72,0.0,1.0,False,0.999805
0.16,0.72,0.1,0.9,False,0.999611
0.16,0.72,0.2,0.8,False,0.998468
0.16,0.72,0.3,0.7,False,0.22335
0.16,0.72,0.4,0.6,False,0.060403
0.16,0.72,0.5,0.5,False,0.0277725
0.16,0.72,0.6,0.4,False,0.0125323
0.16,0.72,0.7,0.3,False,0.00521317
0.16,0.68,0.0,1.0,False,0.99977
0.16,0.68,0.1,0.9,False,0.999575
0.16,0.68,0.2,0.8,False,0.998426
0.16,0.68,0.3,0.7,False,0.14263
0.16,0.68,0.4,0.6,False,0.0604029
0.16,0.68,0.5,0.5,False,0.0277724
0.16,0.68,0.6,0.4,False,0.0125321
0.16,0.68,0.7,0.3,False,0.00521287
0.16,0.64,0.0,1.0,False,0.999737
0.16,0.64,0.1,0.9,False,0.999541
0.16,0.64,0.2,0.8,False,0.998393
0.16,0.64,0.3,0.7,False,0.138395
0.16,0.64,0.4,0.6,False,0.0604028
0.16,0.64,0.5,0.5,False,0.0277723
0.16,0.64,0.6,0.4,False,0.0125319
0.16,0.64,0.7,0.3,False,0.00521262
0.16,0.6,0.0,1.0,False,0.999706
0.16,0.6,0.1,0.9,False,0.999511
0.16,0.6,0.2,0.8,False,0.998365
0.16,0.6,0.3,0.7,False,0.155564
0.16,0.6,0.4,0.6,False,0.0604028
0.16,0.6,0.5,0.5,False,0.0277722
0.16,0.6,0.6,0.4,False,0.0125318
0.16,0.6,0.7,0.3,False,0.00521239
0.16,0.56,0.0,1.0,False,0.99968
0.16,0.56,0.1,0.9,False,0.999485
0.16,0.56,0.2,0.8,False,0.998342
0.16,0.56,0.3,0.7,False,0.141769
0.16,0.56,0.4,0.6,False,0.0604028
0.16,0.56,0.5,0.5,False,0.0277721
0.16,0.56,0.6,0.4,False,0.0125316
0.16,0.56,0.7,0.3,False,0.00521217
0.16,0.52,0.0,1.0,False,0.999658
0.16,0.52,0.1,0.9,False,0.999464
0.16,0.52,0.2,0.8,False,0.998323
0.16,0.52,0.3,0.7,False,0.162219
0.16,0.52,0.4,0.6,False,0.0604027
0.16,0.52,0.5,0.5,False,0.0277721
0.16,0.52,0.6,0.4,False,0.0125315
0.16,0.52,0.7,0.3,False,0.00521193
0.16,0.48,0.0,1.0,False,0.99964
0.16,0.48,0.1,0.9,False,0.999448
0.16,0.48,0.2,0.8,False,0.998308
0.16,0.48,0.3,0.7,False,0.349547
0.16,0.48,0.4,0.6,False,0.0604027
0.16,0.48,0.5,0.5,False,0.027772
0.16,0.48,0.6,0.4,False,0.0125314
0.16,0.48,0.7,0.3,False,0.00521168
0.16,0.44,0.0,1.0,False,0.999627
0.16,0.44,0.1,0.9,False,0.999436
0.16,0.44,0.2,0.8,False,0.998297
0.16,0.44,0.3,0.7,False,0.141234
0.16,0.44,0.4,0.6,False,0.0604027
0.16,0.44,0.5,0.5,False,0.0277719
0.16,0.44,0.6,0.4,False,0.0125312
0.16,0.44,0.7,0.3,False,0.00521138
0.16,0.4,0.0,1.0,False,0.999617
0.16,0.4,0.1,0.9,False,0.999426
0.16,0.4,0.2,0.8,False,0.998288
0.16,0.4,0.3,0.7,False,0.150043
0.16,0.4,0.4,0.6,False,0.0604026
0.16,0.4,0.5,0.5,False,0.0277718
0.16,0.4,0.6,0.4,False,0.012531
0.16,0.4,0.7,0.3,False,0.00521099
