TimeStep,qw_inj,qg_inj,qw_prod,qg_prod,qo_prod
1000,0.00545454,0.0261818,0.0272727,4.26136e-08,0.00545454
2000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
3000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
4000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
5000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
6000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
7000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
8000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
9000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
10000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
11000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
12000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
13000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
14000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
15000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
16000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
17000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
18000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
19000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
20000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
21000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
22000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
23000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
24000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
25000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
26000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
27000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
28000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
29000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
30000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
31000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
32000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
33000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
34000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
35000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
36000,0.00654544,0.0261818,0.0272727,4.26136e-08,0.00545454
37000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
38000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
39000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
40000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
41000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
42000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
43000,0.00654544,0.0261818,0.0272727,4.26137e-08,0.00545454
44000,0.00654544,0.0261818,0.0272727,4.26138e-08,0.00545454
45000,0.00654544,0.0261818,0.0272727,4.26138e-08,0.00545454
46000,0.00654544,0.0261818,0.0272727,4.26138e-08,0.00545454
47000,0.00654544,0.0261818,0.0272727,4.26138e-08,0.00545454
48000,0.00654544,0.0261818,0.0272727,4.26138e-08,0.00545454
49000,0.00654544,0.0261818,0.0272727,4.26139e-08,0.00545454
50000,0.00654544,0.0261818,0.0272727,4.26139e-08,0.00545454
51000,0.00654544,0.0261818,0.0272727,4.2614e-08,0.00545454
52000,0.00654544,0.0261818,0.0272727,4.2614e-08,0.00545454
53000,0.00654544,0.0261818,0.0272727,4.26141e-08,0.00545454
54000,0.00654544,0.0261818,0.0272727,4.26142e-08,0.00545454
55000,0.00654544,0.0261818,0.0272727,4.26142e-08,0.00545454
56000,0.00654544,0.0261818,0.0272727,4.26143e-08,0.00545454
57000,0.00654544,0.0261818,0.0272727,4.26145e-08,0.00545454
58000,0.00654544,0.0261818,0.0272727,4.26146e-08,0.00545454
59000,0.00654544,0.0261818,0.0272727,4.26147e-08,0.00545454
60000,0.00654544,0.0261818,0.0272727,4.26149e-08,0.00545454
61000,0.00654544,0.0261818,0.0272727,4.26151e-08,0.00545454
62000,0.00654544,0.0261818,0.0272727,4.26152e-08,0.00545454
63000,0.00654544,0.0261818,0.0272727,4.26154e-08,0.00545454
64000,0.00654544,0.0261818,0.0272727,4.26156e-08,0.00545454
65000,0.00654544,0.0261818,0.0272727,4.26158e-08,0.00545454
66000,0.00654544,0.0261818,0.0272727,4.26161e-08,0.00545454
67000,0.00654544,0.0261818,0.0272727,4.26163e-08,0.00545454
68000,0.00654544,0.0261818,0.0272727,4.26166e-08,0.00545454
69000,0.00654544,0.0261818,0.0272727,4.26168e-08,0.00545454
70000,0.00654544,0.0261818,0.0272727,4.26171e-08,0.00545454
71000,0.00654544,0.0261818,0.0272727,4.26174e-08,0.00545454
72000,0.00654544,0.0261818,0.0272727,4.26177e-08,0.00545454
73000,0.00654544,0.0261818,0.0272727,4.2618e-08,0.00545454
74000,0.00654544,0.0261818,0.0272727,4.26183e-08,0.00545454
75000,0.00654544,0.0261818,0.0272727,4.26186e-08,0.00545454
76000,0.00654544,0.0261818,0.0272727,4.26189e-08,0.00545454
77000,0.00654544,0.0261818,0.0272727,4.26192e-08,0.00545454
78000,0.00654544,0.0261818,0.0272727,4.26196e-08,0.00545454
79000,0.00654544,0.0261818,0.0272727,4.26199e-08,0.00545454
80000,0.00654544,0.0261818,0.0272727,4.26203e-08,0.00545454
81000,0.00654544,0.0261818,0.0272727,4.26207e-08,0.00545454
