x, y
0.1, 365829.14572864317
0.4, 334673.3668341709
0.75, 302512.5628140704
1, 276381.90954773873
1.4000000000000001, 253266.3316582914
1.9000000000000001, 225125.62814070354
2.6500000000000004, 201005.0251256281
4.45, 160804.02010050253
6.25, 129648.24120603013
8.8, 99497.48743718595
11.5, 77386.93467336684
13.850000000000001, 58291.45728643215
17, 40201.00502512563
20.700000000000003, 19095.477386934683
24.400000000000002, 2010.050251256267
29, -21105.52763819095
32.1, -38190.954773869365
36.300000000000004, -66331.65829145728
39.050000000000004, -86432.16080402012
41.050000000000004, -105527.63819095475
42.7, -125628.1407035176
44.300000000000004, -152763.81909547737
45.6, -179899.49748743718
47, -219095.47738693468
47.7, -249246.2311557789
48.1, -267336.68341708544
48.5, -310552.76381909545
49.050000000000004, -367839.1959798995
