Time,"Fa","Fb","Fc","Foil","Fshear","K","Nca","Sa","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
10000,0,1,1.6738e-09,1e-08,9.8692e-14,9.8692e-14,9.4697,1e-08,0.8,0.3125,0.3125,0,0,0,0,0.3125,0.3125,0,5.2305e-10,5.2305e-10,0,1,0,1,1.6738e-09,3.7581e+13,1,0,0,0,10
10000,0,1,1.5106e-09,0.01,0.01,9.8692e-14,10.029,1e-08,0.8,0.31234,0.31234,0,0,0,0,0.31234,0.31234,0,4.969e-10,4.969e-10,0,1,0,1,1.5106e-09,3.6957e+13,1,0.14142,0.1,0.1,10
10000,0,1,1.3558e-09,0.04,0.04,9.8692e-14,10.56,1e-08,0.8,0.31185,0.31185,0,0,0,0,0.31185,0.31185,0,4.7075e-10,4.7075e-10,0,1,0,1,1.3558e-09,3.6352e+13,1,0.28284,0.2,0.2,10
10000,0,1,1.2093e-09,0.09,0.09,9.8692e-14,11.064,1e-08,0.8,0.31103,0.31103,0,0,0,0,0.31103,0.31103,0,4.446e-10,4.446e-10,0,1,0,1,1.2093e-09,3.5767e+13,1,0.42426,0.3,0.3,10
10000,0,1,1.0712e-09,0.16,0.16,9.8692e-14,11.54,1e-08,0.8,0.30988,0.30988,0,0,0,0,0.30988,0.30988,0,4.1844e-10,4.1844e-10,0,1,0,1,1.0712e-09,3.5201e+13,1,0.56569,0.4,0.4,10
10000,0,1,9.415e-10,0.25,0.25,9.8692e-14,11.989,1e-08,0.8,0.30841,0.30841,0,0,0,0,0.30841,0.30841,0,3.9229e-10,3.9229e-10,0,1,0,1,9.415e-10,3.4654e+13,1,0.70711,0.5,0.5,10
10000,0,1,8.2015e-10,0.36,0.36,9.8692e-14,12.41,1e-08,0.8,0.30661,0.30661,0,0,0,0,0.30661,0.30661,0,3.6614e-10,3.6614e-10,0,1,0,1,8.2015e-10,3.4126e+13,1,0.84853,0.6,0.6,10
10000,0,1,7.0717e-10,0.49,0.49,9.8692e-14,12.804,1e-08,0.8,0.30448,0.30448,0,0,0,0,0.30448,0.30448,0,3.3998e-10,3.3998e-10,0,1,0,1,7.0717e-10,3.3617e+13,1,0.98995,0.7,0.7,10
10000,0,1,6.0256e-10,0.64,0.64,9.8692e-14,13.17,1e-08,0.8,0.30203,0.30203,0,0,0,0,0.30203,0.30203,0,3.1383e-10,3.1383e-10,0,1,0,1,6.0256e-10,3.3127e+13,1,1.1314,0.8,0.8,10
10000,0,1,5.0632e-10,0.81,0.81,9.8692e-14,13.509,1e-08,0.8,0.29925,0.29925,0,0,0,0,0.29925,0.29925,0,2.8768e-10,2.8768e-10,0,1,0,1,5.0632e-10,3.2657e+13,1,1.2728,0.9,0.9,10
10000,0,1,4.1844e-10,1,1,9.8692e-14,13.82,1e-08,0.8,0.29614,0.29614,0,0,0,0,0.29614,0.29614,0,2.6153e-10,2.6153e-10,0,1,0,1,4.1844e-10,3.2205e+13,1,1.4142,1,1,10
10000,0,1,3.3894e-10,1,1,9.8692e-14,13.263,1e-08,0.8,0.28364,0.28364,0,0,0,0,0.28364,0.28364,0,2.2361e-10,2.2361e-10,0,1,0,1,3.3894e-10,3.1465e+13,1,1.5556,1.1,1.1,10
