TimeStep,CellID,qw,qo
0.5,9999,-8.33333,33.3333
1,9999,4.16667e-07,25
1.5,9999,4.16667e-07,25
2,9999,4.16667e-07,25
2.5,9999,4.16667e-07,25
3,9999,4.16667e-07,25
3.5,9999,4.16667e-07,25
4,9999,4.16667e-07,25
4.5,9999,4.16667e-07,25
5,9999,4.16667e-07,25
5.5,9999,4.16667e-07,25
6,9999,4.16667e-07,25
6.5,9999,4.16667e-07,25
7,9999,4.16667e-07,25
7.5,9999,4.16667e-07,25
8,9999,4.16667e-07,25
8.5,9999,4.16667e-07,25
9,9999,4.16667e-07,25
9.5,9999,4.16667e-07,25
10,9999,4.16667e-07,25
10.5,9999,4.16667e-07,25
11,9999,4.16667e-07,25
11.5,9999,4.16667e-07,25
12,9999,4.16667e-07,25
12.5,9999,4.16667e-07,25
13,9999,4.16667e-07,25
13.5,9999,4.16667e-07,25
14,9999,4.16667e-07,25
14.5,9999,4.16667e-07,25
15,9999,4.16667e-07,25
15.5,9999,4.16667e-07,25
16,9999,4.16667e-07,25
16.5,9999,4.16667e-07,25
17,9999,4.16667e-07,25
17.5,9999,4.16667e-07,25
18,9999,4.16667e-07,25
18.5,9999,4.16667e-07,25
19,9999,4.16667e-07,25
19.5,9999,4.16667e-07,25
20,9999,4.16667e-07,25
20.5,9999,4.16667e-07,25
21,9999,4.16667e-07,25
21.5,9999,4.16667e-07,25
22,9999,4.16667e-07,25
22.5,9999,4.16667e-07,25
23,9999,4.16667e-07,25
23.5,9999,4.16667e-07,25
24,9999,4.16667e-07,25
24.5,9999,4.16667e-07,25
25,9999,4.16667e-07,25
25.5,9999,4.16667e-07,25
26,9999,4.16667e-07,25
26.5,9999,4.16667e-07,25
27,9999,4.16667e-07,25
27.5,9999,4.16667e-07,25
28,9999,4.16667e-07,25
28.5,9999,4.16667e-07,25
29,9999,4.16667e-07,25
29.5,9999,4.16667e-07,25
30,9999,4.16667e-07,25
30.5,9999,4.16667e-07,25
31,9999,4.16667e-07,25
31.5,9999,4.16667e-07,25
32,9999,4.16667e-07,25
32.5,9999,4.16667e-07,25
33,9999,4.16667e-07,25
33.5,9999,4.16667e-07,25
34,9999,4.16667e-07,25
34.5,9999,4.16667e-07,25
35,9999,4.16667e-07,25
35.5,9999,4.16667e-07,25
36,9999,4.16667e-07,25
36.5,9999,4.16667e-07,25
37,9999,4.16667e-07,25
37.5,9999,4.16667e-07,25
38,9999,4.16667e-07,25
38.5,9999,4.16667e-07,25
39,9999,4.16667e-07,25
39.5,9999,4.16667e-07,25
40,9999,4.16667e-07,25
40.5,9999,4.16667e-07,25
41,9999,4.16667e-07,25
41.5,9999,4.16667e-07,25
42,9999,4.16667e-07,25
42.5,9999,4.16667e-07,25
43,9999,4.16667e-07,25
43.5,9999,4.16667e-07,25
44,9999,4.16667e-07,25
44.5,9999,4.16667e-07,25
45,9999,4.16667e-07,25
45.5,9999,4.16667e-07,25
46,9999,4.16667e-07,25
46.5,9999,4.16667e-07,25
47,9999,4.16667e-07,25
47.5,9999,4.16667e-07,25
48,9999,4.16667e-07,25
48.5,9999,4.16667e-07,25
49,9999,4.16667e-07,25
49.5,9999,4.16667e-07,25
50,9999,4.16667e-07,25
50.5,9999,4.16667e-07,25
51,9999,4.16667e-07,25
51.5,9999,4.16667e-07,25
52,9999,4.16667e-07,25
52.5,9999,4.16667e-07,25
53,9999,4.16667e-07,25
53.5,9999,4.16667e-07,25
54,9999,4.16667e-07,25
54.5,9999,4.16667e-07,25
55,9999,4.16667e-07,25
55.5,9999,4.16667e-07,25
56,9999,4.16667e-07,25
56.5,9999,4.16667e-07,25
57,9999,4.16667e-07,25
57.5,9999,4.16667e-07,25
58,9999,4.16667e-07,25
58.5,9999,4.16667e-07,25
59,9999,4.16667e-07,25
59.5,9999,4.16667e-07,25
60,9999,4.16667e-07,25
60.5,9999,4.16667e-07,25
61,9999,4.16667e-07,25
61.5,9999,4.16667e-07,25
62,9999,4.16667e-07,25
62.5,9999,4.16667e-07,25
63,9999,4.16667e-07,25
63.5,9999,4.16667e-07,25
64,9999,4.16667e-07,25
64.5,9999,4.16667e-07,25
65,9999,4.16667e-07,25
65.5,9999,4.16667e-07,25
66,9999,4.16667e-07,25
66.5,9999,4.16667e-07,25
67,9999,4.16667e-07,25
67.5,9999,4.16667e-07,25
68,9999,4.16667e-07,25
68.5,9999,4.16667e-07,25
69,9999,4.16667e-07,25
69.5,9999,4.16667e-07,25
70,9999,4.16667e-07,25
70.5,9999,4.16667e-07,25
71,9999,4.16667e-07,25
71.5,9999,4.16667e-07,25
72,9999,4.16667e-07,25
72.5,9999,4.16667e-07,25
73,9999,4.16667e-07,25
73.5,9999,4.16667e-07,25
74,9999,4.16667e-07,25
74.5,9999,4.16667e-07,25
75,9999,4.16667e-07,25
75.5,9999,4.16667e-07,25
76,9999,4.16667e-07,25
76.5,9999,4.16667e-07,25
77,9999,4.16667e-07,25
77.5,9999,4.16667e-07,25
78,9999,4.16667e-07,25
78.5,9999,4.16667e-07,25
79,9999,4.16667e-07,25
79.5,9999,4.16667e-07,25
80,9999,4.16667e-07,25
80.5,9999,4.16667e-07,25
81,9999,4.16667e-07,25
81.5,9999,4.16667e-07,25
82,9999,4.16667e-07,25
82.5,9999,4.16667e-07,25
83,9999,4.16667e-07,25
83.5,9999,4.16667e-07,25
84,9999,4.16667e-07,25
84.5,9999,4.16667e-07,25
85,9999,4.16667e-07,25
85.5,9999,4.16667e-07,25
86,9999,4.16667e-07,25
86.5,9999,4.16667e-07,25
87,9999,4.16667e-07,25
87.5,9999,4.16667e-07,25
88,9999,4.16667e-07,25
88.5,9999,4.16667e-07,25
89,9999,4.16667e-07,25
89.5,9999,4.16667e-07,25
90,9999,4.16667e-07,25
90.5,9999,4.16667e-07,25
91,9999,4.16667e-07,25
91.5,9999,4.16667e-07,25
92,9999,4.16667e-07,25
92.5,9999,4.16667e-07,25
93,9999,4.16667e-07,25
93.5,9999,4.16667e-07,25
94,9999,4.16667e-07,25
94.5,9999,4.16667e-07,25
95,9999,4.16667e-07,25
95.5,9999,4.16667e-07,25
96,9999,4.16667e-07,25
96.5,9999,4.16667e-07,25
97,9999,4.16667e-07,25
97.5,9999,4.16667e-07,25
98,9999,4.16667e-07,25
98.5,9999,4.16667e-07,25
99,9999,4.16667e-07,25
99.5,9999,4.16667e-07,25
100,9999,4.16667e-07,25
100.5,9999,4.16667e-07,25
101,9999,4.16667e-07,25
101.5,9999,4.16667e-07,25
102,9999,4.16667e-07,25
102.5,9999,4.16667e-07,25
103,9999,4.16667e-07,25
103.5,9999,4.16667e-07,25
104,9999,4.16667e-07,25
104.5,9999,4.16667e-07,25
105,9999,4.16667e-07,25
105.5,9999,4.16667e-07,25
106,9999,4.16667e-07,25
106.5,9999,4.16667e-07,25
107,9999,4.16667e-07,25
107.5,9999,4.16667e-07,25
108,9999,4.16667e-07,25
108.5,9999,4.16667e-07,25
109,9999,4.16667e-07,25
109.5,9999,4.16667e-07,25
110,9999,4.16667e-07,25
110.5,9999,4.16667e-07,25
111,9999,4.16667e-07,25
111.5,9999,4.16667e-07,25
112,9999,4.16667e-07,25
112.5,9999,4.16667e-07,25
113,9999,4.16667e-07,25
113.5,9999,4.16667e-07,25
114,9999,4.16667e-07,25
114.5,9999,4.16667e-07,25
115,9999,4.16667e-07,25
115.5,9999,4.16667e-07,25
116,9999,4.16667e-07,25
116.5,9999,4.16667e-07,25
117,9999,4.16667e-07,25
117.5,9999,4.16667e-07,25
118,9999,4.16667e-07,25
118.5,9999,4.16667e-07,25
119,9999,4.16667e-07,25
