TimeStep,CellID,qw,qo
25,1224,0,4
50,1224,8e-16,4
75,1224,8e-16,4
100,1224,8e-16,4
125,1224,8e-16,4
150,1224,8e-16,4
175,1224,8e-16,4
200,1224,8e-16,4
225,1224,8e-16,4
250,1224,8e-16,4
275,1224,8e-16,4
300,1224,8e-16,4
325,1224,8e-16,4
350,1224,8e-16,4
375,1224,8e-16,4
400,1224,8e-16,4
425,1224,8e-16,4
450,1224,8e-16,4
475,1224,8e-16,4
500,1224,8e-16,4
525,1224,8e-16,4
550,1224,8e-16,4
575,1224,8e-16,4
600,1224,8e-16,4
625,1224,8e-16,4
650,1224,8e-16,4
675,1224,8e-16,4
700,1224,8e-16,4
725,1224,8e-16,4
750,1224,8e-16,4
775,1224,8e-16,4
800,1224,8e-16,4
825,1224,8e-16,4
850,1224,8e-16,4
875,1224,8e-16,4
900,1224,8e-16,4
925,1224,8e-16,4
950,1224,8e-16,4
975,1224,8e-16,4
1000,1224,8e-16,4
1025,1224,8e-16,4
1050,1224,8e-16,4
1075,1224,8e-16,4
1100,1224,8e-16,4
1125,1224,8e-16,4
1150,1224,8e-16,4
1175,1224,8e-16,4
1200,1224,8e-16,4
1225,1224,8e-16,4
1250,1224,8e-16,4
1275,1224,8e-16,4
1300,1224,8e-16,4
1325,1224,8e-16,4
1350,1224,8e-16,4
1375,1224,8e-16,4
1400,1224,8e-16,4
1425,1224,8e-16,4
1450,1224,8e-16,4
1475,1224,8e-16,4
1500,1224,8e-16,4
1525,1224,8e-16,4
1550,1224,8e-16,4
1575,1224,8e-16,4
1600,1224,8e-16,4
1625,1224,8e-16,4
1650,1224,8e-16,4
1675,1224,8e-16,4
1700,1224,8e-16,4
1725,1224,8e-16,4
1750,1224,8e-16,4
1775,1224,8e-16,4
1800,1224,8e-16,4
1825,1224,8e-16,4
1850,1224,8e-16,4
1875,1224,8e-16,4
1900,1224,8e-16,4
1925,1224,8e-16,4
1950,1224,8e-16,4
1975,1224,8e-16,4
2000,1224,8e-16,4
2025,1224,8e-16,4
2050,1224,8e-16,4
2075,1224,8e-16,4
2100,1224,8e-16,4
2125,1224,8e-16,4
2150,1224,8e-16,4
2175,1224,8e-16,4
2200,1224,8e-16,4
2225,1224,8e-16,4
2250,1224,8e-16,4
2275,1224,8e-16,4
2300,1224,8e-16,4
2325,1224,8e-16,4
2350,1224,8e-16,4
2375,1224,8e-16,4
2400,1224,8e-16,4
2425,1224,8e-16,4
2450,1224,8e-16,4
2475,1224,8e-16,4
2500,1224,8e-16,4
2525,1224,8e-16,4
2550,1224,8e-16,4
2575,1224,8e-16,4
2600,1224,8e-16,4
2625,1224,8e-16,4
2650,1224,8e-16,4
2675,1224,8e-16,4
2700,1224,8e-16,4
2725,1224,8e-16,4
2750,1224,8e-16,4
2775,1224,8e-16,4
2800,1224,8e-16,4
2825,1224,8e-16,4
2850,1224,8e-16,4
2875,1224,8e-16,4
2900,1224,8e-16,4
2925,1224,8e-16,4
2950,1224,8e-16,4
2975,1224,8e-16,4
3000,1224,8e-16,4
3025,1224,8e-16,4
3050,1224,8e-16,4
3075,1224,8e-16,4
3100,1224,8e-16,4
3125,1224,8e-16,4
3150,1224,8e-16,4
3175,1224,8e-16,4
3200,1224,8e-16,4
3225,1224,8e-16,4
3250,1224,8e-16,4
3275,1224,8e-16,4
3300,1224,8e-16,4
3325,1224,8e-16,4
3350,1224,8e-16,4
3375,1224,8e-16,4
3400,1224,8e-16,4
3425,1224,8e-16,4
3450,1224,8e-16,4
3475,1224,8e-16,4
3500,1224,8e-16,4
3525,1224,8e-16,4
3550,1224,8e-16,4
3575,1224,8e-16,4
3600,1224,8e-16,4
3625,1224,8e-16,4
3650,1224,8e-16,4
3675,1224,8e-16,4
3700,1224,8e-16,4
3725,1224,8e-16,4
3750,1224,8e-16,4
3775,1224,8e-16,4
3800,1224,8e-16,4
3825,1224,8e-16,4
3850,1224,8e-16,4
3875,1224,8e-16,4
3900,1224,8e-16,4
3925,1224,8e-16,4
3950,1224,8e-16,4
3975,1224,8e-16,4
4000,1224,8e-16,4
4025,1224,8e-16,4
4050,1224,8e-16,4
4075,1224,8e-16,4
4100,1224,8e-16,4
4125,1224,8e-16,4
4150,1224,8e-16,4
4175,1224,8e-16,4
4200,1224,8e-16,4
4225,1224,8e-16,4
4250,1224,8e-16,4
4275,1224,8e-16,4
4300,1224,8e-16,4
4325,1224,8e-16,4
4350,1224,8e-16,4
4375,1224,8e-16,4
4400,1224,8e-16,4
4425,1224,8e-16,4
4450,1224,8e-16,4
4475,1224,8e-16,4
4500,1224,8e-16,4
4525,1224,8e-16,4
4550,1224,8e-16,4
4575,1224,8e-16,4
4600,1224,8e-16,4
4625,1224,8e-16,4
4650,1224,8e-16,4
4675,1224,8e-16,4
4700,1224,8e-16,4
4725,1224,8e-16,4
4750,1224,8e-16,4
4775,1224,8e-16,4
4800,1224,8e-16,4
4825,1224,8e-16,4
4850,1224,8e-16,4
4875,1224,8e-16,4
4900,1224,8e-16,4
4925,1224,8e-16,4
4950,1224,8e-16,4
4975,1224,8e-16,4
5000,1224,8e-16,4
5025,1224,8e-16,4
5050,1224,8e-16,4
5075,1224,8e-16,4
5100,1224,8e-16,4
5125,1224,8e-16,4
5150,1224,8e-16,4
5175,1224,8e-16,4
5200,1224,8e-16,4
5225,1224,8e-16,4
5250,1224,8e-16,4
5275,1224,8e-16,4
5300,1224,8e-16,4
5325,1224,8e-16,4
5350,1224,8e-16,4
5375,1224,8e-16,4
5400,1224,8e-16,4
5425,1224,8e-16,4
5450,1224,8e-16,4
5475,1224,8e-16,4
5500,1224,8e-16,4
5525,1224,8e-16,4
5550,1224,8e-16,4
5575,1224,8e-16,4
5600,1224,8e-16,4
5625,1224,8e-16,4
5650,1224,8e-16,4
5675,1224,8e-16,4
5700,1224,8e-16,4
5725,1224,8e-16,4
5750,1224,8e-16,4
5775,1224,8e-16,4
5800,1224,8e-16,4
5825,1224,8e-16,4
5850,1224,8e-16,4
5875,1224,8e-16,4
5900,1224,8e-16,4
5925,1224,8e-16,4
5950,1224,8e-16,4
5975,1224,8e-16,4
6000,1224,8e-16,4
6025,1224,8e-16,4
6050,1224,8e-16,4
6075,1224,8e-16,4
6100,1224,8e-16,4
6125,1224,8e-16,4
6150,1224,8e-16,4
6175,1224,8e-16,4
6200,1224,8e-16,4
6225,1224,8e-16,4
6250,1224,8e-16,4
6275,1224,8e-16,4
6300,1224,8e-16,4
6325,1224,8e-16,4
6350,1224,8e-16,4
6375,1224,8e-16,4
6400,1224,8e-16,4
6425,1224,8e-16,4
6450,1224,8e-16,4
6475,1224,8e-16,4
6500,1224,8e-16,4
6525,1224,8e-16,4
6550,1224,8e-16,4
6575,1224,8e-16,4
6600,1224,8e-16,4
6625,1224,8e-16,4
6650,1224,8e-16,4
6675,1224,8e-16,4
6700,1224,8e-16,4
6725,1224,8e-16,4
6750,1224,8e-16,4
6775,1224,8e-16,4
6800,1224,8e-16,4
6825,1224,8e-16,4
6850,1224,8e-16,4
6875,1224,8e-16,4
6900,1224,8e-16,4
6925,1224,8e-16,4
6950,1224,8e-16,4
6975,1224,8e-16,4
7000,1224,8e-16,4
7025,1224,8e-16,4
7050,1224,8e-16,4
7075,1224,8e-16,4
7100,1224,8e-16,4
7125,1224,8e-16,4
7150,1224,8e-16,4
7175,1224,8e-16,4
7200,1224,8e-16,4
7225,1224,8e-16,4
7250,1224,8e-16,4
7275,1224,8e-16,4
7300,1224,8e-16,4
7325,1224,8e-16,4
7350,1224,8e-16,4
7375,1224,8e-16,4
7400,1224,8e-16,4
7425,1224,8e-16,4
7450,1224,8e-16,4
7475,1224,8e-16,4
7500,1224,8e-16,4
7525,1224,8e-16,4
7550,1224,8e-16,4
7575,1224,8e-16,4
7600,1224,8e-16,4
7625,1224,8e-16,4
7650,1224,8e-16,4
7675,1224,8e-16,4
7700,1224,8e-16,4
7725,1224,8e-16,4
7750,1224,8e-16,4
7775,1224,8e-16,4
7800,1224,8e-16,4
7825,1224,8e-16,4
7850,1224,8e-16,4
7875,1224,8e-16,4
7900,1224,8e-16,4
7925,1224,8e-16,4
7950,1224,8e-16,4
7975,1224,8e-16,4
8000,1224,8e-16,4
8025,1224,8e-16,4
8050,1224,8e-16,4
8075,1224,8e-16,4
8100,1224,8e-16,4
8125,1224,8e-16,4
8150,1224,8e-16,4
8175,1224,8e-16,4
8200,1224,8e-16,4
8225,1224,8e-16,4
8250,1224,8e-16,4
8275,1224,8e-16,4
8300,1224,8e-16,4
8325,1224,8e-16,4
8350,1224,8e-16,4
8375,1224,8e-16,4
8400,1224,8e-16,4
8425,1224,8e-16,4
8450,1224,8e-16,4
8475,1224,8e-16,4
8500,1224,8e-16,4
8525,1224,8e-16,4
8550,1224,8e-16,4
8575,1224,8e-16,4
8600,1224,8e-16,4
8625,1224,8e-16,4
8650,1224,8e-16,4
8675,1224,8e-16,4
8700,1224,8e-16,4
8725,1224,8e-16,4
8750,1224,8e-16,4
8775,1224,8e-16,4
8800,1224,8e-16,4
8825,1224,8e-16,4
8850,1224,8e-16,4
8875,1224,8e-16,4
8900,1224,8e-16,4
8925,1224,8e-16,4
8950,1224,8e-16,4
8975,1224,8e-16,4
9000,1224,8e-16,4
9025,1224,8e-16,4
9050,1224,8e-16,4
9075,1224,8e-16,4
9100,1224,8e-16,4
9125,1224,8e-16,4
9150,1224,8e-16,4
9175,1224,8e-16,4
9200,1224,8e-16,4
9225,1224,8e-16,4
9250,1224,8e-16,4
9275,1224,8e-16,4
9300,1224,8e-16,4
9325,1224,8e-16,4
9350,1224,8e-16,4
9375,1224,8e-16,4
9400,1224,8e-16,4
9425,1224,8e-16,4
9450,1224,8e-16,4
9475,1224,8e-16,4
9500,1224,8e-16,4
9525,1224,8e-16,4
9550,1224,8e-16,4
9575,1224,8e-16,4
9600,1224,8e-16,4
9625,1224,8e-16,4
9650,1224,8e-16,4
9675,1224,8e-16,4
9700,1224,8e-16,4
9725,1224,8e-16,4
9750,1224,8e-16,4
9775,1224,8e-16,4
9800,1224,8e-16,4
9825,1224,8e-16,4
9850,1224,8e-16,4
9875,1224,8e-16,4
9900,1224,8e-16,4
9925,1224,8e-16,4
9950,1224,8e-16,4
9975,1224,8e-16,4
10000,1224,8e-16,4
10025,1224,8e-16,4
10050,1224,8e-16,4
10075,1224,8e-16,4
10100,1224,8e-16,4
10125,1224,8e-16,4
10150,1224,8e-16,4
10175,1224,8e-16,4
10200,1224,8e-16,4
10225,1224,8e-16,4
10250,1224,8e-16,4
10275,1224,8e-16,4
10300,1224,8e-16,4
10325,1224,8e-16,4
10350,1224,8e-16,4
10375,1224,8e-16,4
10400,1224,8e-16,4
10425,1224,8e-16,4
10450,1224,8e-16,4
10475,1224,8e-16,4
10500,1224,8e-16,4
10525,1224,8e-16,4
10550,1224,8e-16,4
10575,1224,8e-16,4
10600,1224,8e-16,4
10625,1224,8e-16,4
10650,1224,8e-16,4
10675,1224,8e-16,4
10700,1224,8e-16,4
10725,1224,8e-16,4
10750,1224,8e-16,4
10775,1224,8e-16,4
10800,1224,8e-16,4
10825,1224,8e-16,4
10850,1224,8e-16,4
10875,1224,8e-16,4
10900,1224,8e-16,4
10925,1224,8e-16,4
10950,1224,8e-16,4
10975,1224,8e-16,4
11000,1224,8e-16,4
11025,1224,8e-16,4
11050,1224,8e-16,4
11075,1224,8e-16,4
11100,1224,8e-16,4
11125,1224,8e-16,4
11150,1224,8e-16,4
11175,1224,8e-16,4
11200,1224,8e-16,4
11225,1224,8e-16,4
11250,1224,8e-16,4
11275,1224,8e-16,4
11300,1224,8e-16,4
11325,1224,8e-16,4
11350,1224,8e-16,4
11375,1224,8e-16,4
11400,1224,8e-16,4
11425,1224,8e-16,4
11450,1224,8e-16,4
11475,1224,8e-16,4
11500,1224,8e-16,4
11525,1224,8e-16,4
11550,1224,8e-16,4
11575,1224,8e-16,4
11600,1224,8e-16,4
11625,1224,8e-16,4
11650,1224,8e-16,4
11675,1224,8e-16,4
11700,1224,8e-16,4
11725,1224,8e-16,4
11750,1224,8e-16,4
11775,1224,8e-16,4
11800,1224,8e-16,4
11825,1224,8e-16,4
11850,1224,8e-16,4
11875,1224,8e-16,4
11900,1224,8e-16,4
11925,1224,8e-16,4
11950,1224,8e-16,4
11975,1224,8e-16,4
12000,1224,8e-16,4
12025,1224,8e-16,4
12050,1224,8e-16,4
12075,1224,8e-16,4
12100,1224,8e-16,4
12125,1224,8e-16,4
12150,1224,8e-16,4
12175,1224,8e-16,4
12200,1224,8e-16,4
12225,1224,8e-16,4
12250,1224,8e-16,4
12275,1224,8e-16,4
12300,1224,8e-16,4
12325,1224,8e-16,4
12350,1224,8e-16,4
12375,1224,8e-16,4
12400,1224,8e-16,4
12425,1224,8e-16,4
12450,1224,8e-16,4
12475,1224,8e-16,4
12500,1224,8e-16,4
12525,1224,8e-16,4
12550,1224,8e-16,4
12575,1224,8e-16,4
12600,1224,8e-16,4
12625,1224,8e-16,4
12650,1224,8e-16,4
12675,1224,8e-16,4
12700,1224,8e-16,4
12725,1224,8e-16,4
12750,1224,8e-16,4
12775,1224,8e-16,4
12800,1224,8e-16,4
12825,1224,8e-16,4
12850,1224,8e-16,4
12875,1224,8e-16,4
12900,1224,8e-16,4
12925,1224,8e-16,4
12950,1224,8e-16,4
12975,1224,8e-16,4
13000,1224,8e-16,4
13025,1224,8e-16,4
13050,1224,8e-16,4
13075,1224,8e-16,4
13100,1224,8e-16,4
13125,1224,8e-16,4
13150,1224,8e-16,4
13175,1224,8e-16,4
13200,1224,8e-16,4
13225,1224,8e-16,4
13250,1224,8e-16,4
13275,1224,8e-16,4
13300,1224,8e-16,4
13325,1224,8e-16,4
13350,1224,8e-16,4
13375,1224,8e-16,4
13400,1224,8e-16,4
13425,1224,8e-16,4
13450,1224,8e-16,4
13475,1224,8e-16,4
13500,1224,8e-16,4
13525,1224,8e-16,4
13550,1224,8e-16,4
13575,1224,8e-16,4
13600,1224,8e-16,4
13625,1224,8e-16,4
13650,1224,8e-16,4
13675,1224,8e-16,4
13700,1224,8e-16,4
13725,1224,8e-16,4
13750,1224,8e-16,4
13775,1224,8e-16,4
13800,1224,8e-16,4
13825,1224,8e-16,4
13850,1224,8e-16,4
13875,1224,8e-16,4
13900,1224,8e-16,4
13925,1224,8e-16,4
13950,1224,8e-16,4
13975,1224,8e-16,4
14000,1224,8e-16,4
14025,1224,8e-16,4
14050,1224,8e-16,4
14075,1224,8e-16,4
14100,1224,8e-16,4
14125,1224,8e-16,4
14150,1224,8e-16,4
14175,1224,8e-16,4
14200,1224,8e-16,4
14225,1224,8e-16,4
14250,1224,8e-16,4
14275,1224,8e-16,4
14300,1224,8e-16,4
14325,1224,8e-16,4
14350,1224,8e-16,4
14375,1224,8e-16,4
14400,1224,8e-16,4
14425,1224,8e-16,4
14450,1224,8e-16,4
14475,1224,8e-16,4
14500,1224,8e-16,4
14525,1224,8e-16,4
14550,1224,8e-16,4
14575,1224,8e-16,4
14600,1224,8e-16,4
14625,1224,8e-16,4
14650,1224,8e-16,4
14675,1224,8e-16,4
14700,1224,8e-16,4
14725,1224,8e-16,4
14750,1224,8e-16,4
14775,1224,8e-16,4
14800,1224,8e-16,4
14825,1224,8e-16,4
14850,1224,8e-16,4
14875,1224,8e-16,4
14900,1224,8e-16,4
14925,1224,8e-16,4
14950,1224,8e-16,4
14975,1224,8e-16,4
15000,1224,8e-16,4
15025,1224,8e-16,4
15050,1224,8e-16,4
15075,1224,8e-16,4
15100,1224,8e-16,4
15125,1224,8e-16,4
15150,1224,8e-16,4
15175,1224,8e-16,4
15200,1224,8e-16,4
15225,1224,8e-16,4
15250,1224,8e-16,4
15275,1224,8e-16,4
15300,1224,8e-16,4
15325,1224,8e-16,4
15350,1224,8e-16,4
15375,1224,8e-16,4
15400,1224,8e-16,4
15425,1224,8e-16,4
15450,1224,8e-16,4
15475,1224,8e-16,4
15500,1224,8e-16,4
15525,1224,8e-16,4
15550,1224,8e-16,4
15575,1224,8e-16,4
15600,1224,8e-16,4
15625,1224,8e-16,4
15650,1224,8e-16,4
15675,1224,8e-16,4
15700,1224,8e-16,4
15725,1224,8e-16,4
15750,1224,8e-16,4
15775,1224,8e-16,4
15800,1224,8e-16,4
15825,1224,8e-16,4
15850,1224,8e-16,4
15875,1224,8e-16,4
15900,1224,8e-16,4
15925,1224,8e-16,4
15950,1224,8e-16,4
15975,1224,8e-16,4
16000,1224,8e-16,4
16025,1224,8e-16,4
16050,1224,8e-16,4
16075,1224,8e-16,4
16100,1224,8e-16,4
16125,1224,8e-16,4
16150,1224,8e-16,4
16175,1224,8e-16,4
16200,1224,8e-16,4
16225,1224,8e-16,4
16250,1224,8e-16,4
16275,1224,8e-16,4
16300,1224,8e-16,4
16325,1224,8e-16,4
16350,1224,8e-16,4
16375,1224,8e-16,4
16400,1224,8e-16,4
16425,1224,8e-16,4
16450,1224,8e-16,4
16475,1224,8e-16,4
16500,1224,8e-16,4
16525,1224,8e-16,4
16550,1224,8e-16,4
16575,1224,8e-16,4
16600,1224,8e-16,4
16625,1224,8e-16,4
16650,1224,8e-16,4
16675,1224,8e-16,4
16700,1224,8e-16,4
16725,1224,8e-16,4
16750,1224,8e-16,4
16775,1224,8e-16,4
16800,1224,8e-16,4
16825,1224,8e-16,4
16850,1224,8e-16,4
16875,1224,8e-16,4
16900,1224,8e-16,4
16925,1224,8e-16,4
16950,1224,8e-16,4
16975,1224,8e-16,4
17000,1224,8e-16,4
17025,1224,8e-16,4
17050,1224,8e-16,4
17075,1224,8e-16,4
17100,1224,8e-16,4
17125,1224,8e-16,4
17150,1224,8e-16,4
17175,1224,8e-16,4
17200,1224,8e-16,4
17225,1224,8e-16,4
17250,1224,8e-16,4
17275,1224,8e-16,4
17300,1224,8e-16,4
17325,1224,8e-16,4
17350,1224,8e-16,4
17375,1224,8e-16,4
17400,1224,8e-16,4
17425,1224,8e-16,4
17450,1224,8e-16,4
17475,1224,8e-16,4
17500,1224,8e-16,4
17525,1224,8e-16,4
17550,1224,8e-16,4
17575,1224,8e-16,4
17600,1224,8e-16,4
17625,1224,8e-16,4
17650,1224,8e-16,4
17675,1224,8e-16,4
17700,1224,8e-16,4
17725,1224,8e-16,4
17750,1224,8e-16,4
17775,1224,8e-16,4
17800,1224,8e-16,4
17825,1224,8e-16,4
