Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.44,0.76973,1.165,0.25947,0.279,0.2788,0.3,2.4871,2.4871,-1.6653e-16,0.00072551,0,1,1.2992,1,0,0,1.0397,2.4871,0.721,0.72048,1,0,0,0.002,0
0.44,0.77197,1.165,0.25872,0.2786,0.2788,0.3,2.4871,2.4871,0.001451,0.00072551,0,1,1.2954,1,0,0,1.0367,2.4871,0.71995,0.72048,1,0.001,0.001,0.002,0
0.44,0.77421,1.165,0.25797,0.27819,0.27839,0.3,2.4864,2.4864,0.0028974,0.0021762,0,1,1.2916,1,3.4458e-13,0,1.0337,2.4864,0.71891,0.71943,1,0.002,0.002,0.002,0
0.44,0.77644,1.165,0.25722,0.27779,0.27799,0.3,2.4858,2.4858,0.0043348,0.0036185,0,1,1.2879,1,-6.8713e-13,0,1.0307,2.4858,0.71788,0.71839,1,0.003,0.003,0.002,0
0.44,0.77866,1.165,0.25649,0.27739,0.27759,0.3,2.4851,2.4851,0.0057621,0.0050511,0,1,1.2843,1,-1.7129e-13,0,1.0277,2.4851,0.71685,0.71736,1,0.004,0.004,0.002,0
0.44,0.78087,1.165,0.25575,0.277,0.27719,0.3,2.4845,2.4845,0.0071788,0.0064732,0,1,1.2806,1,-5.1238e-13,0,1.0248,2.4845,0.71583,0.71633,1,0.005,0.005,0.002,0
0.44,0.78307,1.165,0.25503,0.2766,0.2768,0.3,2.4838,2.4838,0.0085846,0.0078845,0,1,1.277,1,-5.1101e-13,0,1.0219,2.4838,0.71481,0.71532,1,0.006,0.006,0.002,0
0.44,0.78526,1.165,0.25431,0.27621,0.27641,0.3,2.4832,2.4832,0.0099793,0.0092847,0,1,1.2735,1,-2.7105e-17,0,1.019,2.4832,0.71381,0.71431,1,0.007,0.007,0.002,0
0.44,0.78745,1.165,0.2536,0.27582,0.27602,0.3,2.4825,2.4825,0.011363,0.010674,0,1,1.2699,1,-1.0162e-12,0,1.0162,2.4825,0.71281,0.71331,1,0.008,0.008,0.002,0
0.44,0.78962,1.165,0.25289,0.27544,0.27563,0.3,2.4819,2.4819,0.012736,0.012052,0,1,1.2664,1,0,0,1.0134,2.4819,0.71182,0.71232,1,0.009,0.009,0.002,0
0.44,0.79177,1.165,0.25219,0.27506,0.27525,0.3,2.4812,2.4812,0.014098,0.01342,0,1,1.263,1,-3.3678e-13,0,1.0106,2.4812,0.71084,0.71133,1,0.01,0.01,0.002,0
0.44,0.79392,1.165,0.2515,0.27468,0.27487,0.3,2.4806,2.4806,0.015449,0.014776,0,1,1.2596,1,1.0076e-12,0,1.0078,2.4806,0.70987,0.71035,1,0.011,0.011,0.002,0
0.44,0.79606,1.165,0.25081,0.2743,0.27449,0.3,2.4799,2.4799,0.01679,0.016122,0,1,1.2562,1,6.7009e-13,0,1.0051,2.4799,0.70891,0.70939,1,0.012,0.012,0.002,0
0.44,0.79819,1.165,0.25013,0.27393,0.27412,0.3,2.4792,2.4792,0.018121,0.017458,0,1,1.2528,1,-1.6693e-13,0,1.0024,2.4792,0.70795,0.70842,1,0.013,0.013,0.002,0
0.44,0.80031,1.165,0.24945,0.27356,0.27375,0.3,2.4786,2.4786,0.019441,0.018784,0,1,1.2495,1,1.6653e-13,0,0.99969,2.4786,0.707,0.70747,1,0.014,0.014,0.002,0
0.44,0.80241,1.165,0.24878,0.27319,0.27338,0.3,2.4779,2.4779,0.020752,0.020099,0,1,1.2462,1,0,0,0.99703,2.4779,0.70606,0.70652,1,0.015,0.015,0.002,0
0.44,0.80451,1.165,0.24812,0.27283,0.27301,0.3,2.4772,2.4772,0.022052,0.021404,0,1,1.243,1,3.3139e-13,0,0.99439,2.4772,0.70512,0.70559,1,0.016,0.016,0.002,0
0.44,0.8066,1.165,0.24746,0.27247,0.27265,0.3,2.4766,2.4766,0.023343,0.0227,0,1,1.2398,1,3.3051e-13,0,0.99177,2.4766,0.70419,0.70465,1,0.017,0.017,0.002,0
0.44,0.80868,1.165,0.2468,0.27211,0.27228,0.3,2.4759,2.4759,0.024624,0.023986,0,1,1.2366,1,1.6482e-13,0,0.98918,2.4759,0.70327,0.70373,1,0.018,0.018,0.002,0
0.44,0.81074,1.165,0.24616,0.27175,0.27193,0.3,2.4752,2.4752,0.025896,0.025262,0,1,1.2334,1,3.2889e-13,0,0.98661,2.4752,0.70236,0.70281,1,0.019,0.019,0.002,0
0.44,0.8128,1.165,0.24551,0.27139,0.27157,0.3,2.4745,2.4745,0.027159,0.02653,0,1,1.2303,1,3.2803e-13,0,0.98406,2.4745,0.70145,0.7019,1,0.02,0.02,0.002,0
0.44,0.81485,1.165,0.24488,0.27104,0.27122,0.3,2.4739,2.4739,0.028412,0.027788,0,1,1.2272,1,-3.2696e-13,0,0.98153,2.4739,0.70055,0.701,1,0.021,0.021,0.002,0
0.44,0.81689,1.165,0.24424,0.27069,0.27086,0.3,2.4732,2.4732,0.029657,0.029037,0,1,1.2242,1,2.1684e-16,0,0.97903,2.4732,0.69965,0.7001,1,0.022,0.022,0.002,0
