Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.75534,0.0576,0.25947,0.279,0.27329,0.3,363.63,363.63,-0.0085303,-0.0028235,-2.0367,1,1.3239,1,-7.1413e-13,0,1.0644,363.63,0.72953,0.72953,1,0,0,0.001,0
0.35,0.77518,0.0576,0.23647,0.26635,0.26655,0.3,363.4,363.4,0.0078799,0.0070865,-2.0367,1,1.29,1,-1.7969e-12,0,1.0535,363.4,0.72577,0.72637,1,0.004,0.004,0.001,0
0.35,0.78538,0.0576,0.23362,0.26474,0.26494,0.3,363.09,363.09,0.014345,0.013539,-2.0367,1,1.2733,1,-1.8722e-12,0,1.0394,363.09,0.72092,0.72152,1,0.008,0.008,0.001,0
0.35,0.79564,0.0576,0.2308,0.26313,0.26333,0.3,362.77,362.77,0.020758,0.019962,-2.0367,1,1.2569,1,-8.7524e-13,0,1.0256,362.77,0.71611,0.71671,1,0.012,0.012,0.001,0
0.35,0.80589,0.0576,0.22803,0.26155,0.26175,0.3,362.45,362.45,0.027077,0.026295,-2.0367,1,1.2409,1,-1.2481e-12,0,1.0121,362.45,0.71137,0.71196,1,0.016,0.016,0.001,0
0.35,0.81604,0.0576,0.22533,0.26,0.26019,0.3,362.12,362.12,0.033249,0.032489,-2.0367,1,1.2254,1,9.4901e-14,0,0.999,362.12,0.70675,0.70732,1,0.02,0.02,0.001,0
0.35,0.82601,0.0576,0.22272,0.25849,0.25867,0.3,361.79,361.79,0.039235,0.038499,-2.0367,1,1.2106,1,-5.6194e-13,0,0.98639,361.79,0.70228,0.70283,1,0.024,0.024,0.001,0
0.35,0.83578,0.0576,0.2202,0.25702,0.2572,0.3,361.46,361.46,0.045031,0.044318,-2.0367,1,1.1965,1,-1.2029e-12,0,0.97426,361.46,0.69795,0.69848,1,0.028,0.028,0.001,0
0.35,0.84536,0.0576,0.21776,0.25559,0.25577,0.3,361.12,361.12,0.050645,0.049954,-2.0367,1,1.1829,1,-4.5659e-13,0,0.96261,361.12,0.69376,0.69428,1,0.032,0.032,0.001,0
0.35,0.85475,0.0576,0.21541,0.25421,0.25438,0.3,360.78,360.78,0.056089,0.055419,-2.0367,1,1.1699,1,-7.2199e-13,0,0.95138,360.78,0.6897,0.6902,1,0.036,0.036,0.001,0
0.35,0.86397,0.0576,0.21313,0.25286,0.25303,0.3,360.44,360.44,0.061374,0.060723,-2.0367,1,1.1574,1,-1.8765e-12,0,0.94055,360.44,0.68577,0.68625,1,0.04,0.04,0.001,0
0.35,0.87303,0.0576,0.21091,0.25154,0.25171,0.3,360.09,360.09,0.066512,0.065879,-2.0367,1,1.1454,1,7.9402e-13,0,0.9301,360.09,0.68194,0.68242,1,0.044,0.044,0.001,0
0.35,0.88194,0.0576,0.20877,0.25026,0.25042,0.3,359.74,359.74,0.071512,0.070895,-2.0367,1,1.1339,1,8.7856e-14,0,0.91999,359.74,0.67823,0.67869,1,0.048,0.048,0.001,0
