Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.35,0.76973,1.165,0.25947,0.279,0.27875,0.3,3.2994,3.2994,-1.1102e-16,0.00090881,0,1,1.2992,1,1.7273e-13,0,1.0397,3.2994,0.721,0.72034,1,0,0,0.002,0
0.35,0.77254,1.165,0.25853,0.27849,0.27875,0.3,3.2994,3.2994,0.0018176,0.00090881,0,1,1.2944,1,1.7273e-13,0,1.0359,3.2994,0.71969,0.72034,1,0.001,0.001,0.002,0
0.35,0.77534,1.165,0.25759,0.27799,0.27824,0.3,3.2987,3.2987,0.0036283,0.0027259,0,1,1.2898,1,-1.721e-13,0,1.0322,3.2987,0.71838,0.71903,1,0.002,0.002,0.002,0
0.35,0.77814,1.165,0.25666,0.27749,0.27774,0.3,3.2981,3.2981,0.0054254,0.0045306,0,1,1.2851,1,5.1445e-13,0,1.0284,3.2981,0.71709,0.71773,1,0.003,0.003,0.002,0
0.35,0.78092,1.165,0.25574,0.27699,0.27724,0.3,3.2974,3.2974,0.0072065,0.0063201,0,1,1.2805,1,3.4171e-13,0,1.0248,3.2974,0.71581,0.71644,1,0.004,0.004,0.002,0
0.35,0.78368,1.165,0.25483,0.27649,0.27674,0.3,3.2968,3.2968,0.0089709,0.008093,0,1,1.276,1,5.1076e-13,0,1.0211,3.2968,0.71454,0.71517,1,0.005,0.005,0.002,0
0.35,0.78643,1.165,0.25393,0.27601,0.27625,0.3,3.2961,3.2961,0.010718,0.0098487,0,1,1.2716,1,-1.6969e-13,0,1.0175,3.2961,0.71328,0.7139,1,0.006,0.006,0.002,0
0.35,0.78916,1.165,0.25304,0.27552,0.27576,0.3,3.2955,3.2955,0.012448,0.011587,0,1,1.2672,1,1.3523e-12,0,1.014,3.2955,0.71203,0.71265,1,0.007,0.007,0.002,0
0.35,0.79187,1.165,0.25216,0.27504,0.27528,0.3,3.2948,3.2948,0.014161,0.013309,0,1,1.2628,1,1.3476e-12,0,1.0105,3.2948,0.7108,0.71141,1,0.008,0.008,0.002,0
0.35,0.79457,1.165,0.25129,0.27457,0.2748,0.3,3.2942,3.2942,0.015857,0.015013,0,1,1.2585,1,-1.6787e-13,0,1.007,3.2942,0.70958,0.71018,1,0.009,0.009,0.002,0
