Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,3.0486e-14,1,3.28e+13,0.93713,0.982,0.96393,2.94e-14,-13,0.25,0.93713,3.2802e+13,1,1.2249e-12,0,2.2047e+09,0.93713,0.018003,0.036073,1,0,0,0,0
100,3.2841e-14,1,3.043e+13,0.93713,0.94586,0.96393,2.94e-14,-13,0.25,0.93713,3.045e+13,1,1.2249e-12,0,1.9943e+10,0.93713,0.054144,0.036073,1,0.01,0.01,0,0
100,3.5194e-14,1,2.8362e+13,0.93384,0.91316,0.92779,2.94e-14,-13,0.25,0.93384,2.8414e+13,1,-1.1355e-12,0,5.1306e+10,0.93384,0.086844,0.072215,1,0.02,0.02,0,0
100,3.7322e-14,1,2.6706e+13,0.93032,0.88608,0.89853,2.94e-14,-13,0.25,0.93032,2.6794e+13,1,1.6002e-12,0,8.8278e+10,0.93032,0.11392,0.10147,1,0.03,0.03,0,0
100,3.9297e-14,1,2.5319e+13,0.92659,0.86278,0.87364,2.94e-14,-13,0.25,0.92659,2.5447e+13,1,-1.5145e-12,0,1.2809e+11,0.92659,0.13722,0.12636,1,0.04,0.04,0,0
100,4.1154e-14,1,2.413e+13,0.92265,0.84226,0.85192,2.94e-14,-13,0.25,0.92265,2.4299e+13,1,-1.9231e-12,0,1.6926e+11,0.92265,0.15774,0.14808,1,0.05,0.05,0,0
100,4.2917e-14,1,2.309e+13,0.91854,0.82392,0.83261,2.94e-14,-13,0.25,0.91854,2.3301e+13,1,2.7632e-12,0,2.1092e+11,0.91854,0.17608,0.16739,1,0.06,0.06,0,0
100,4.4601e-14,1,2.2169e+13,0.91425,0.80731,0.81522,2.94e-14,-13,0.25,0.91425,2.2421e+13,1,-8.8188e-13,0,2.5257e+11,0.91425,0.19269,0.18478,1,0.07,0.07,0,0
100,4.6217e-14,1,2.1343e+13,0.90978,0.79214,0.7994,2.94e-14,-13,0.25,0.90978,2.1637e+13,1,1.2778e-12,0,2.9391e+11,0.90978,0.20786,0.2006,1,0.08,0.08,0,0
100,4.7774e-14,1,2.0597e+13,0.90516,0.77817,0.78488,2.94e-14,-13,0.25,0.90516,2.0932e+13,1,-1.2362e-12,0,3.3475e+11,0.90516,0.22183,0.21512,1,0.09,0.09,0,0
100,4.928e-14,1,1.9917e+13,0.90038,0.76522,0.77146,2.94e-14,-13,0.25,0.90038,2.0292e+13,1,1.9984e-12,0,3.7498e+11,0.90038,0.23478,0.22854,1,0.1,0.1,0,0
100,5.0741e-14,1,1.9294e+13,0.89545,0.75315,0.75898,2.94e-14,-13,0.25,0.89545,1.9708e+13,1,1.5136e-15,0,4.1453e+11,0.89545,0.24685,0.24102,1,0.11,0.11,0,0
100,5.216e-14,1,1.8718e+13,0.89038,0.74184,0.74731,2.94e-14,-13,0.25,0.89038,1.9172e+13,1,-1.1293e-12,0,4.5339e+11,0.89038,0.25816,0.25269,1,0.12,0.12,0,0
100,5.3543e-14,1,1.8185e+13,0.88516,0.73119,0.73636,2.94e-14,-13,0.25,0.88516,1.8677e+13,1,-1.4629e-12,0,4.9154e+11,0.88516,0.26881,0.26364,1,0.13,0.13,0,0
100,5.4892e-14,1,1.7689e+13,0.87981,0.72114,0.72603,2.94e-14,-13,0.25,0.87981,1.8218e+13,1,-3.5726e-13,0,5.2899e+11,0.87981,0.27886,0.27397,1,0.14,0.14,0,0
100,5.621e-14,1,1.7225e+13,0.87432,0.71162,0.71626,2.94e-14,-13,0.25,0.87432,1.779e+13,1,1.2109e-14,0,5.6573e+11,0.87432,0.28838,0.28374,1,0.15,0.15,0,0
100,5.7501e-14,1,1.6789e+13,0.8687,0.70257,0.70698,2.94e-14,-13,0.25,0.8687,1.7391e+13,1,3.0272e-15,0,6.0181e+11,0.8687,0.29743,0.29302,1,0.16,0.16,0,0
100,5.8766e-14,1,1.6379e+13,0.86295,0.69394,0.69815,2.94e-14,-13,0.25,0.86295,1.7017e+13,1,-3.3927e-13,0,6.3722e+11,0.86295,0.30606,0.30185,1,0.17,0.17,0,0
100,6.0007e-14,1,1.5993e+13,0.85707,0.6857,0.68973,2.94e-14,-13,0.25,0.85707,1.6665e+13,1,-1.5777e-28,0,6.72e+11,0.85707,0.3143,0.31027,1,0.18,0.18,0,0
100,6.1226e-14,1,1.5627e+13,0.85107,0.67781,0.68167,2.94e-14,-13,0.25,0.85107,1.6333e+13,1,3.0272e-15,0,7.0618e+11,0.85107,0.32219,0.31833,1,0.19,0.19,0,0
