Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Pressure","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Permeability","Porosity","Pressure","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
100,2.9455e-14,1,3.395e+13,9.3572,0.99907,0.9967,2.94e-14,-13,0.25,9.3572,3.395e+13,1,0,0,5.9085e+06,9.3572,0.00093196,0.0033017,1,0,0,0,0
100,2.9736e-14,1,3.3629e+13,9.3572,0.99433,0.9967,2.94e-14,-13,0.25,9.3572,3.3629e+13,1,0,0,2.1882e+08,9.3572,0.0056715,0.0033017,1,0.01,0.01,0,0
100,3.0017e-14,1,3.3313e+13,9.2562,0.98965,0.99196,2.94e-14,-13,0.25,9.2562,3.3314e+13,1,1.0375e-11,0,7.2862e+08,9.2562,0.010349,0.0080413,1,0.02,0.02,0,0
100,3.0297e-14,1,3.3005e+13,9.1551,0.98506,0.98734,2.94e-14,-13,0.25,9.1551,3.3007e+13,1,3.0837e-11,0,1.5174e+09,9.1551,0.014935,0.012657,1,0.03,0.03,0,0
100,3.0577e-14,1,3.2702e+13,9.0539,0.98053,0.98279,2.94e-14,-13,0.25,9.0539,3.2704e+13,1,-1.0184e-11,0,2.5794e+09,9.0539,0.019472,0.017213,1,0.04,0.04,0,0
100,3.0859e-14,1,3.2402e+13,8.9528,0.97602,0.97827,2.94e-14,-13,0.25,8.9528,3.2406e+13,1,-2.0181e-11,0,3.9109e+09,8.9528,0.023977,0.021731,1,0.05,0.05,0,0
100,3.1142e-14,1,3.2105e+13,8.8516,0.97154,0.97378,2.94e-14,-13,0.25,8.8516,3.2111e+13,1,0,0,5.5097e+09,8.8516,0.028459,0.026223,1,0.06,0.06,0,0
100,3.1429e-14,1,3.1811e+13,8.7504,0.96708,0.9693,2.94e-14,-13,0.25,8.7504,3.1818e+13,1,-9.9054e-12,0,7.3736e+09,8.7504,0.032923,0.030695,1,0.07,0.07,0,0
100,3.1718e-14,1,3.1519e+13,8.6491,0.96263,0.96485,2.94e-14,-13,0.25,8.6491,3.1528e+13,1,-1.5136e-15,0,9.5012e+09,8.6491,0.037372,0.035151,1,0.08,0.08,0,0
100,3.2009e-14,1,3.1229e+13,8.5479,0.95819,0.96041,2.94e-14,-13,0.25,8.5479,3.1241e+13,1,0,0,1.1891e+10,8.5479,0.041809,0.039593,1,0.09,0.09,0,0
