"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
1.4111e-05,-3.0375e-15,0,0.26,0.64,0.22092,0.52748,0.1,0.2516,1e-05,1.5615e-05,64000,40,64040,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0,0,0
1.4111e-05,-3.0375e-15,0,0.18184,0.41497,0.22092,0.52748,0.4032,0.2516,1e-05,3.7113e-05,26906,10.465,26945,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00367,0,0
1.4111e-05,3.0375e-15,0,0.26,0.64,0.22092,0.52748,0.1,0.2516,1e-05,1.5615e-05,64000,40,64040,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0,0.01,0
1.4111e-05,3.0375e-15,0,0.18184,0.41497,0.22092,0.52748,0.4032,0.2516,1e-05,3.7113e-05,26906,10.465,26945,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00367,0.01,0
1.4111e-05,-2.7664e-15,0,0.17158,0.38227,0.17158,0.35596,0.44615,0.47245,1e-05,4.3711e-05,22832,8.006,22878,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00367,0,0
1.4111e-05,-2.7664e-15,0,0.17158,0.32966,0.17158,0.35596,0.49875,0.47245,1e-05,5.869e-05,16981,8.006,17039,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00734,0,0
1.4111e-05,2.7664e-15,0,0.17158,0.38227,0.17158,0.35596,0.44615,0.47245,1e-05,4.3711e-05,22832,8.006,22878,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00367,0.01,0
1.4111e-05,2.7664e-15,0,0.17158,0.32966,0.17158,0.35596,0.49875,0.47245,1e-05,5.869e-05,16981,8.006,17039,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00734,0.01,0
1.4111e-05,3.349e-16,0,0.1731,0.31917,0.17463,0.30336,0.50772,0.52201,1e-05,6.2587e-05,15917,8.3503,15978,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00734,0,0
1.4111e-05,3.349e-16,0,0.17615,0.28755,0.17463,0.30336,0.53629,0.52201,1e-05,7.6991e-05,12920,9.0607,12989,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.01101,0,0
1.4111e-05,3.349e-16,0,0.1731,0.31917,0.17463,0.30336,0.50772,0.52201,1e-05,6.2587e-05,15917,8.3503,15978,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.00734,0.01,0
1.4111e-05,3.349e-16,0,0.17615,0.28755,0.17463,0.30336,0.53629,0.52201,1e-05,7.6991e-05,12920,9.0607,12989,1.165,5.1122e+05,5.1122e+05,-12,0.25,5.1122e+05,0.01101,0.01,0
1.4111e-05,-1.8814e-15,0,0.17777,0.28252,0.18091,0.27175,0.53971,0.54735,1e-05,7.9737e-05,12471,9.4495,12541,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01101,0,0
1.4111e-05,-1.8814e-15,0,0.18405,0.26097,0.18091,0.27175,0.55498,0.54735,1e-05,9.3306e-05,10642,11.037,10717,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01468,0,0
1.4111e-05,1.3438e-15,0,0.17777,0.28252,0.18091,0.27175,0.53971,0.54735,1e-05,7.9737e-05,12471,9.4495,12541,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01101,0.01,0
1.4111e-05,1.3438e-15,0,0.18405,0.26097,0.18091,0.27175,0.55498,0.54735,1e-05,9.3306e-05,10642,11.037,10717,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01468,0.01,0
1.4111e-05,9.1152e-16,0,0.18528,0.25814,0.18872,0.2502,0.55659,0.56108,1e-05,9.5346e-05,10412,11.363,10488,1.165,5.1121e+05,5.1121e+05,-12,0.25,5.1121e+05,0.01468,0,0
