"K","Sb","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.8003e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0,0.025,0,0.05
3.7292e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.003,0.025,0.003,0.05
3.6581e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.006,0.025,0.006,0.05
3.587e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.009,0.025,0.009,0.05
3.5158e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.012,0.025,0.012,0.05
3.4447e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.015,0.025,0.015,0.05
3.3736e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.018,0.025,0.018,0.05
3.3025e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.021,0.025,0.021,0.05
3.2314e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.024,0.025,0.024,0.05
3.1603e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.027,0.025,0.027,0.05
3.0892e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.03,0.025,0.03,0.05
3.0181e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.033,0.025,0.033,0.05
2.947e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.036,0.025,0.036,0.05
2.8758e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.039,0.025,0.039,0.05
2.8047e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.042,0.025,0.042,0.05
2.7336e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.045,0.025,0.045,0.05
2.6625e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.048,0.025,0.048,0.05
2.6113e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.051,0.025,0.051,0.05
2.5999e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.054,0.025,0.054,0.05
2.5886e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.057,0.025,0.057,0.05
2.5772e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.06,0.025,0.06,0.05
2.5658e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.063,0.025,0.063,0.05
2.5544e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.066,0.025,0.066,0.05
2.543e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.069,0.025,0.069,0.05
2.5317e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.072,0.025,0.072,0.05
2.5203e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.075,0.025,0.075,0.05
2.5089e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.078,0.025,0.078,0.05
2.4975e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.081,0.025,0.081,0.05
2.4861e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.084,0.025,0.084,0.05
2.4748e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.087,0.025,0.087,0.05
2.4634e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.09,0.025,0.09,0.05
2.452e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.093,0.025,0.093,0.05
2.4406e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.096,0.025,0.096,0.05
2.4292e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.099,0.025,0.099,0.05
2.4323e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.102,0.025,0.102,0.05
2.4425e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.105,0.025,0.105,0.05
2.4528e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.108,0.025,0.108,0.05
2.463e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.111,0.025,0.111,0.05
2.4732e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.114,0.025,0.114,0.05
2.4835e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.117,0.025,0.117,0.05
2.4937e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.12,0.025,0.12,0.05
2.504e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.123,0.025,0.123,0.05
2.5142e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.126,0.025,0.126,0.05
2.5245e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.129,0.025,0.129,0.05
2.5347e-13,0.9,1e-05,0,0,8e-06,0,0,2e-06,0,0,0,1,0.132,0.025,0.132,0.05
