Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
52,1.5761e-05,1.165,63407,0.64,0.49258,1.0093e-05,31095,31095,0.1,0.24701,-12,0.25,63447,1.4111e-05,-5.4687e-17,0,40,31095,0.26,0.26041,1,0,0,0.005,0
52,3.4893e-05,1.165,40925,0.49258,0.49258,1.0093e-05,31095,31095,0.24701,0.24701,-12,0.25,40979,1.4111e-05,-5.4687e-17,0,40.205,31095,0.26041,0.26041,1,0.00367,0.00367,0.005,0
52,5.4025e-05,1.165,18443,0.34516,0.49258,1.0093e-05,31095,31095,0.39402,0.24701,-12,0.25,18510,1.4111e-05,-5.4687e-17,0,40.41,31095,0.26082,0.26041,1,0.00734,0.00734,0.005,0
52,2.9994e-05,1.165,33292,0.46286,0.46286,1.0056e-05,31094,31094,0.26188,0.26188,-12,0.25,33349,1.4111e-05,-9.6956e-17,0,48.006,31094,0.27526,0.27526,1,0.01101,0.01101,0.005,0
52,3.048e-05,1.165,32750,0.4591,0.46286,1.0056e-05,31094,31094,0.26278,0.26188,-12,0.25,32808,1.4111e-05,-9.6956e-17,0,49.574,31094,0.27812,0.27526,1,0.01468,0.01468,0.005,0
52,3.101e-05,1.165,32194,0.45533,0.45533,1.0063e-05,31092,31092,0.26369,0.26369,-12,0.25,32254,1.4111e-05,-1.4065e-16,0,51.19,31092,0.28098,0.28098,1,0.01835,0.01835,0.005,0
52,3.1435e-05,1.165,31751,0.45219,0.45533,1.0063e-05,31092,31092,0.26439,0.26369,-12,0.25,31812,1.4111e-05,-1.4065e-16,0,52.568,31092,0.28342,0.28098,1,0.02202,0.02202,0.005,0
52,3.1915e-05,1.165,31275,0.44905,0.44905,1.0075e-05,31090,31090,0.26509,0.26509,-12,0.25,31337,1.4111e-05,1.1387e-16,0,53.981,31090,0.28586,0.28586,1,0.02569,0.02569,0.005,0
52,3.2263e-05,1.165,30931,0.44659,0.44905,1.0075e-05,31090,31090,0.2656,0.26509,-12,0.25,30995,1.4111e-05,1.1387e-16,0,55.116,31090,0.28781,0.28586,1,0.02936,0.02936,0.005,0
52,3.2686e-05,1.165,30532,0.44413,0.44413,1.0095e-05,31089,31089,0.2661,0.2661,-12,0.25,30596,1.4111e-05,4.4472e-17,0,56.273,31089,0.28977,0.28977,1,0.03303,0.03303,0.005,0
52,3.2952e-05,1.165,30281,0.44231,0.44413,1.0095e-05,31089,31089,0.26645,0.2661,-12,0.25,30347,1.4111e-05,4.4472e-17,0,57.147,31089,0.29124,0.28977,1,0.0367,0.0367,0.005,0
52,3.3324e-05,1.165,29943,0.44049,0.44049,1.0125e-05,31087,31087,0.2668,0.2668,-12,0.25,30010,1.4111e-05,4.3619e-17,0,58.033,31087,0.29272,0.29272,1,0.04037,0.04037,0.005,0
52,3.3514e-05,1.165,29771,0.43922,0.44049,1.0125e-05,31087,31087,0.26702,0.2668,-12,0.25,29838,1.4111e-05,4.3619e-17,0,58.663,31087,0.29376,0.29272,1,0.04404,0.04404,0.005,0
52,3.3852e-05,1.165,29473,0.43795,0.43795,1.0169e-05,31085,31085,0.26724,0.26724,-12,0.25,29541,1.4111e-05,1.2242e-21,0,59.299,31085,0.29481,0.29481,1,0.04771,0.04771,0.005,0
52,3.398e-05,1.165,29360,0.43712,0.43795,1.0169e-05,31085,31085,0.26736,0.26724,-12,0.25,29429,1.4111e-05,1.2242e-21,0,59.729,31085,0.29552,0.29481,1,0.05138,0.05138,0.005,0
52,3.4302e-05,1.165,29084,0.43629,0.43629,1.0226e-05,31083,31083,0.26749,0.26749,-12,0.25,29153,1.4111e-05,-4.2367e-17,0,60.161,31083,0.29622,0.29622,1,0.05505,0.05505,0.005,0
52,3.4385e-05,1.165,29013,0.43575,0.43629,1.0226e-05,31083,31083,0.26757,0.26749,-12,0.25,29082,1.4111e-05,-4.2367e-17,0,60.442,31083,0.29668,0.29622,1,0.05872,0.05872,0.005,0
52,3.4699e-05,1.165,28750,0.43522,0.43522,1.0295e-05,31082,31082,0.26764,0.26764,-12,0.25,28819,1.4111e-05,8.3758e-17,0,60.725,31082,0.29714,0.29714,1,0.06239,0.06239,0.005,0
52,3.4752e-05,1.165,28706,0.43489,0.43522,1.0295e-05,31082,31082,0.26767,0.26764,-12,0.25,28775,1.4111e-05,8.3758e-17,0,60.908,31082,0.29744,0.29714,1,0.06606,0.06606,0.005,0
52,3.5056e-05,1.165,28456,0.43456,0.43456,1.0369e-05,31080,31080,0.26771,0.26771,-12,0.25,28526,1.4111e-05,2.0718e-17,0,61.09,31080,0.29773,0.29773,1,0.06973,0.06973,0.005,0
52,3.509e-05,1.165,28428,0.43434,0.43456,1.0369e-05,31080,31080,0.26773,0.26771,-12,0.25,28498,1.4111e-05,2.0718e-17,0,61.21,31080,0.29793,0.29773,1,0.0734,0.0734,0.005,0
52,3.5377e-05,1.165,28197,0.43413,0.43413,1.0444e-05,31078,31078,0.26775,0.26775,-12,0.25,28267,1.4111e-05,1.4684e-20,0,61.331,31078,0.29812,0.29812,1,0.07707,0.07707,0.005,0
52,3.54e-05,1.165,28179,0.43399,0.43413,1.0444e-05,31078,31078,0.26776,0.26775,-12,0.25,28249,1.4111e-05,1.4684e-20,0,61.413,31078,0.29825,0.29812,1,0.08074,0.08074,0.005,0
52,3.5665e-05,1.165,27968,0.43384,0.43384,1.0515e-05,31076,31076,0.26777,0.26777,-12,0.25,28039,1.4111e-05,-8.1493e-17,0,61.494,31076,0.29838,0.29838,1,0.08441,0.08441,0.005,0
52,3.5681e-05,1.165,27955,0.43374,0.43384,1.0515e-05,31076,31076,0.26778,0.26777,-12,0.25,28026,1.4111e-05,-8.1493e-17,0,61.553,31076,0.29848,0.29838,1,0.08808,0.08808,0.005,0
52,3.5925e-05,1.165,27765,0.43364,0.43364,1.0582e-05,31074,31074,0.26778,0.26778,-12,0.25,27835,1.4111e-05,4.0446e-17,0,61.611,31074,0.29857,0.29857,1,0.09175,0.09175,0.005,0
52,3.5938e-05,1.165,27755,0.43357,0.43364,1.0582e-05,31074,31074,0.26779,0.26778,-12,0.25,27826,1.4111e-05,4.0446e-17,0,61.655,31074,0.29864,0.29857,1,0.09542,0.09542,0.005,0
52,3.6163e-05,1.165,27582,0.43349,0.43349,1.0645e-05,31072,31072,0.26779,0.26779,-12,0.25,27653,1.4111e-05,-1.6073e-16,0,61.698,31072,0.29871,0.29871,1,0.09909,0.09909,0.005,0
52,3.6172e-05,1.165,27575,0.43343,0.43349,1.0645e-05,31072,31072,0.2678,0.26779,-12,0.25,27645,1.4111e-05,-1.6073e-16,0,61.732,31072,0.29877,0.29871,1,0.10276,0.10276,0.005,0
52,3.6382e-05,1.165,27416,0.43338,0.43338,1.0704e-05,31071,31071,0.2678,0.2678,-12,0.25,27486,1.4111e-05,-1.3979e-16,0,61.766,31071,0.29882,0.29882,1,0.10643,0.10643,0.005,0
52,3.639e-05,1.165,27410,0.43333,0.43338,1.0704e-05,31071,31071,0.26781,0.2678,-12,0.25,27480,1.4111e-05,-1.3979e-16,0,61.793,31071,0.29887,0.29882,1,0.1101,0.1101,0.005,0
52,3.6587e-05,1.165,27262,0.43328,0.43328,1.076e-05,31069,31069,0.26781,0.26781,-12,0.25,27332,1.4111e-05,3.9716e-17,0,61.82,31069,0.29891,0.29891,1,0.11377,0.11377,0.005,0
52,3.6594e-05,1.165,27257,0.43324,0.43328,1.076e-05,31069,31069,0.26781,0.26781,-12,0.25,27327,1.4111e-05,3.9716e-17,0,61.842,31069,0.29895,0.29891,1,0.11744,0.11744,0.005,0
52,3.6782e-05,1.165,27117,0.4332,0.4332,1.0813e-05,31067,31067,0.26782,0.26782,-12,0.25,27187,1.4111e-05,3.9507e-17,0,61.865,31067,0.29898,0.29898,1,0.12111,0.12111,0.005,0
52,3.6788e-05,1.165,27112,0.43317,0.4332,1.0813e-05,31067,31067,0.26782,0.26782,-12,0.25,27183,1.4111e-05,3.9507e-17,0,61.884,31067,0.29901,0.29898,1,0.12478,0.12478,0.005,0
52,3.697e-05,1.165,26978,0.43313,0.43313,1.0865e-05,31065,31065,0.26783,0.26783,-12,0.25,27049,1.4111e-05,1.9657e-17,0,61.903,31065,0.29904,0.29904,1,0.12845,0.12845,0.005,0
52,3.6975e-05,1.165,26974,0.4331,0.43313,1.0865e-05,31065,31065,0.26783,0.26783,-12,0.25,27045,1.4111e-05,1.9657e-17,0,61.92,31065,0.29907,0.29904,1,0.13212,0.13212,0.005,0
52,3.7155e-05,1.165,26844,0.43307,0.43307,1.0917e-05,31063,31063,0.26783,0.26783,-12,0.25,26914,1.4111e-05,-7.8216e-17,0,61.937,31063,0.2991,0.2991,1,0.13579,0.13579,0.005,0
52,3.716e-05,1.165,26840,0.43304,0.43307,1.0917e-05,31063,31063,0.26784,0.26783,-12,0.25,26911,1.4111e-05,-7.8216e-17,0,61.952,31063,0.29912,0.2991,1,0.13946,0.13946,0.005,0
52,3.734e-05,1.165,26710,0.43301,0.43301,1.0969e-05,31061,31061,0.26784,0.26784,-12,0.25,26781,1.4111e-05,2.4479e-21,0,61.968,31061,0.29915,0.29915,1,0.14313,0.14313,0.005,0
52,3.7345e-05,1.165,26707,0.43299,0.43301,1.0969e-05,31061,31061,0.26784,0.26784,-12,0.25,26778,1.4111e-05,2.4479e-21,0,61.982,31061,0.29917,0.29915,1,0.1468,0.1468,0.005,0
52,3.753e-05,1.165,26574,0.43296,0.43296,1.1022e-05,31059,31059,0.26785,0.26785,-12,0.25,26645,1.4111e-05,0,0,61.996,31059,0.29919,0.29919,1,0.15047,0.15047,0.005,0
52,3.7535e-05,1.165,26571,0.43294,0.43296,1.1022e-05,31059,31059,0.26785,0.26785,-12,0.25,26642,1.4111e-05,-9.3113e-33,0,62.009,31059,0.29921,0.29919,1,0.15414,0.15414,0.005,0
52,3.7733e-05,1.165,26431,0.43291,0.43291,1.1079e-05,31057,31057,0.26785,0.26785,-12,0.25,26502,1.4111e-05,-9.7938e-21,0,62.023,31057,0.29923,0.29923,1,0.15781,0.15781,0.005,0
52,3.7737e-05,1.165,26428,0.43289,0.43291,1.1079e-05,31057,31057,0.26786,0.26785,-12,0.25,26499,1.4111e-05,-9.7938e-21,0,62.036,31057,0.29926,0.29923,1,0.16148,0.16148,0.005,0
52,3.7958e-05,1.165,26274,0.43286,0.43286,1.1143e-05,31055,31055,0.26786,0.26786,-12,0.25,26345,1.4111e-05,-4.8957e-21,0,62.05,31055,0.29928,0.29928,1,0.16515,0.16515,0.005,0
52,3.7963e-05,1.165,26271,0.43284,0.43286,1.1143e-05,31055,31055,0.26786,0.26786,-12,0.25,26342,1.4111e-05,-4.8957e-21,0,62.063,31055,0.2993,0.29928,1,0.16882,0.16882,0.005,0
