TimeStep,qw_inj,qg_inj,qw_prod,qg_prod,qo_prod
100000,6.97816e-05,0.000263913,0.000289709,6.03808e-12,5.79418e-05
200000,6.95321e-05,0.000278119,0.000289709,6.03809e-12,5.79418e-05
300000,6.9531e-05,0.00027812,0.000289709,6.0381e-12,5.79418e-05
400000,6.95307e-05,0.00027812,0.000289709,6.03811e-12,5.79418e-05
500000,6.95304e-05,0.00027812,0.000289709,6.03811e-12,5.79418e-05
600000,6.95304e-05,0.000278121,0.000289709,6.03812e-12,5.79418e-05
700000,6.95303e-05,0.000278121,0.000289709,6.03813e-12,5.79418e-05
800000,6.95303e-05,0.000278121,0.000289709,6.03813e-12,5.79418e-05
900000,6.95302e-05,0.000278121,0.000289709,6.03814e-12,5.79418e-05
1e+06,6.95302e-05,0.000278121,0.000289709,6.03815e-12,5.79418e-05
1.1e+06,6.95302e-05,0.000278121,0.000289709,6.03815e-12,5.79418e-05
1.2e+06,6.95302e-05,0.000278121,0.000289709,6.03816e-12,5.79418e-05
1.3e+06,6.95302e-05,0.000278121,0.000289709,6.03817e-12,5.79418e-05
1.4e+06,6.95302e-05,0.000278121,0.000289709,6.03817e-12,5.79418e-05
1.5e+06,6.95302e-05,0.000278121,0.000289709,6.03818e-12,5.79418e-05
1.6e+06,6.95302e-05,0.000278121,0.000289709,6.03819e-12,5.79418e-05
1.7e+06,6.95302e-05,0.000278121,0.000289709,6.03819e-12,5.79418e-05
1.8e+06,6.95302e-05,0.000278121,0.000289709,6.0382e-12,5.79418e-05
1.9e+06,6.95302e-05,0.000278121,0.000289709,6.03821e-12,5.79418e-05
2e+06,6.95302e-05,0.000278121,0.000289709,6.03821e-12,5.79418e-05
2.1e+06,6.95302e-05,0.000278121,0.000289709,6.03822e-12,5.79418e-05
2.2e+06,6.95302e-05,0.000278121,0.000289709,6.03823e-12,5.79418e-05
2.3e+06,6.95302e-05,0.000278121,0.000289709,6.03823e-12,5.79418e-05
2.4e+06,6.95302e-05,0.000278121,0.000289709,6.03824e-12,5.79418e-05
2.5e+06,6.95302e-05,0.000278121,0.000289709,6.03825e-12,5.79418e-05
2.6e+06,6.95302e-05,0.000278121,0.000289709,6.03826e-12,5.79418e-05
2.7e+06,6.95302e-05,0.000278121,0.000289709,6.03826e-12,5.79418e-05
2.8e+06,6.95302e-05,0.000278121,0.000289709,6.03827e-12,5.79418e-05
2.9e+06,6.95302e-05,0.000278121,0.000289709,6.03828e-12,5.79418e-05
3e+06,6.95302e-05,0.000278121,0.000289709,6.03828e-12,5.79418e-05
3.1e+06,6.95302e-05,0.000278121,0.000289709,6.03829e-12,5.79418e-05
3.2e+06,6.95302e-05,0.000278121,0.000289709,6.0383e-12,5.79418e-05
3.3e+06,6.95302e-05,0.000278121,0.000289709,6.0383e-12,5.79418e-05
3.4e+06,6.95302e-05,0.000278121,0.000289709,6.03831e-12,5.79418e-05
3.5e+06,6.95302e-05,0.000278121,0.000289709,6.03832e-12,5.79418e-05
3.6e+06,6.95302e-05,0.000278121,0.000289709,6.03832e-12,5.79418e-05
3.7e+06,6.95302e-05,0.000278121,0.000289709,6.03833e-12,5.79418e-05
3.8e+06,6.95302e-05,0.000278121,0.000289709,6.03834e-12,5.79418e-05
3.9e+06,6.95302e-05,0.000278121,0.000289709,6.03834e-12,5.79418e-05
4e+06,6.95302e-05,0.000278121,0.000289709,6.03835e-12,5.79418e-05
4.1e+06,6.95302e-05,0.000278121,0.000289709,6.03836e-12,5.79418e-05
4.2e+06,6.95302e-05,0.000278121,0.000289709,6.03836e-12,5.79418e-05
4.3e+06,6.95302e-05,0.000278121,0.000289709,6.03837e-12,5.79418e-05
4.4e+06,6.95302e-05,0.000278121,0.000289709,6.03838e-12,5.79418e-05
4.5e+06,6.95302e-05,0.000278121,0.000289709,6.03838e-12,5.79418e-05
4.6e+06,6.95302e-05,0.000278121,0.000289709,6.03839e-12,5.79418e-05
4.7e+06,6.95302e-05,0.000278121,0.000289709,6.0384e-12,5.79418e-05
4.8e+06,6.95302e-05,0.000278121,0.000289709,6.03841e-12,5.79418e-05
4.9e+06,6.95302e-05,0.000278121,0.000289709,6.03841e-12,5.79418e-05
5e+06,6.95302e-05,0.000278121,0.000289709,6.03842e-12,5.79418e-05
5.1e+06,6.95302e-05,0.000278121,0.000289709,6.03843e-12,5.79418e-05
5.2e+06,6.95302e-05,0.000278121,0.000289709,6.03843e-12,5.79418e-05
5.3e+06,6.95302e-05,0.000278121,0.000289709,6.03844e-12,5.79418e-05
5.4e+06,6.95302e-05,0.000278121,0.000289709,6.03845e-12,5.79418e-05
5.5e+06,6.95302e-05,0.000278121,0.000289709,6.03845e-12,5.79418e-05
5.6e+06,6.95302e-05,0.000278121,0.000289709,6.03846e-12,5.79418e-05
5.7e+06,6.95302e-05,0.000278121,0.000289709,6.03847e-12,5.79418e-05
5.8e+06,6.95302e-05,0.000278121,0.000289709,6.03847e-12,5.79418e-05
5.9e+06,6.95302e-05,0.000278121,0.000289709,6.03848e-12,5.79418e-05
6e+06,6.95302e-05,0.000278121,0.000289709,6.03849e-12,5.79418e-05
6.1e+06,6.95302e-05,0.000278121,0.000289709,6.03849e-12,5.79418e-05
6.2e+06,6.95302e-05,0.000278121,0.000289709,6.0385e-12,5.79418e-05
6.3e+06,6.95302e-05,0.000278121,0.000289709,6.03851e-12,5.79418e-05
6.4e+06,6.95302e-05,0.000278121,0.000289709,6.03851e-12,5.79418e-05
6.5e+06,6.95302e-05,0.000278121,0.000289709,6.03852e-12,5.79418e-05
6.6e+06,6.95302e-05,0.000278121,0.000289709,6.03853e-12,5.79418e-05
6.7e+06,6.95302e-05,0.000278121,0.000289709,6.03853e-12,5.79418e-05
6.8e+06,6.95302e-05,0.000278121,0.000289709,6.03854e-12,5.79418e-05
6.9e+06,6.95302e-05,0.000278121,0.000289709,6.03855e-12,5.79418e-05
7e+06,6.95302e-05,0.000278121,0.000289709,6.03855e-12,5.79418e-05
7.1e+06,6.95302e-05,0.000278121,0.000289709,6.03856e-12,5.79418e-05
7.2e+06,6.95302e-05,0.000278121,0.000289709,6.03857e-12,5.79418e-05
7.3e+06,6.95302e-05,0.000278121,0.000289709,6.03858e-12,5.79418e-05
7.4e+06,6.95302e-05,0.000278121,0.000289709,6.03858e-12,5.79418e-05
7.5e+06,6.95302e-05,0.000278121,0.000289709,6.03859e-12,5.79418e-05
7.6e+06,6.95302e-05,0.000278121,0.000289709,6.0386e-12,5.79418e-05
7.7e+06,6.95302e-05,0.000278121,0.000289709,6.0386e-12,5.79418e-05
7.8e+06,6.95302e-05,0.000278121,0.000289709,6.03861e-12,5.79418e-05
7.9e+06,6.95302e-05,0.000278121,0.000289709,6.03862e-12,5.79418e-05
8e+06,6.95302e-05,0.000278121,0.000289709,6.03862e-12,5.79418e-05
8.1e+06,6.95302e-05,0.000278121,0.000289709,6.03863e-12,5.79418e-05
8.2e+06,6.95302e-05,0.000278121,0.000289709,6.03864e-12,5.79418e-05
8.3e+06,6.95302e-05,0.000278121,0.000289709,6.03864e-12,5.79418e-05
8.4e+06,6.95302e-05,0.000278121,0.000289709,6.03865e-12,5.79418e-05
8.5e+06,6.95302e-05,0.000278121,0.000289709,6.03866e-12,5.79418e-05
8.6e+06,6.95302e-05,0.000278121,0.000289709,6.03866e-12,5.79418e-05
8.7e+06,6.95302e-05,0.000278121,0.000289709,6.03867e-12,5.79418e-05
8.8e+06,6.95302e-05,0.000278121,0.000289709,6.03868e-12,5.79418e-05
8.9e+06,6.95302e-05,0.000278121,0.000289709,6.03868e-12,5.79418e-05
9e+06,6.95302e-05,0.000278121,0.000289709,6.03869e-12,5.79418e-05
9.1e+06,6.95302e-05,0.000278121,0.000289709,6.0387e-12,5.79418e-05
9.2e+06,6.95302e-05,0.000278121,0.000289709,6.0387e-12,5.79418e-05
9.3e+06,6.95302e-05,0.000278121,0.000289709,6.03871e-12,5.79418e-05
9.4e+06,6.95302e-05,0.000278121,0.000289709,6.03872e-12,5.79418e-05
9.5e+06,6.95302e-05,0.000278121,0.000289709,6.03872e-12,5.79418e-05
9.6e+06,6.95302e-05,0.000278121,0.000289709,6.03873e-12,5.79418e-05
9.7e+06,6.95302e-05,0.000278121,0.000289709,6.03874e-12,5.79418e-05
9.8e+06,6.95302e-05,0.000278121,0.000289709,6.03875e-12,5.79418e-05
9.9e+06,6.95302e-05,0.000278121,0.000289709,6.03875e-12,5.79418e-05
1e+07,6.95302e-05,0.000278121,0.000289709,6.03876e-12,5.79418e-05
1.01e+07,6.95302e-05,0.000278121,0.000289709,6.03877e-12,5.79418e-05
1.02e+07,6.95302e-05,0.000278121,0.000289709,6.03877e-12,5.79418e-05
1.03e+07,6.95302e-05,0.000278121,0.000289709,6.03878e-12,5.79418e-05
1.04e+07,6.95302e-05,0.000278121,0.000289709,6.03879e-12,5.79418e-05
1.05e+07,6.95302e-05,0.000278121,0.000289709,6.03879e-12,5.79418e-05
1.06e+07,6.95302e-05,0.000278121,0.000289709,6.0388e-12,5.79418e-05
1.07e+07,6.95302e-05,0.000278121,0.000289709,6.03881e-12,5.79418e-05
1.08e+07,6.95302e-05,0.000278121,0.000289709,6.03881e-12,5.79418e-05
1.09e+07,6.95302e-05,0.000278121,0.000289709,6.03882e-12,5.79418e-05
1.1e+07,6.95302e-05,0.000278121,0.000289709,6.03883e-12,5.79418e-05
1.11e+07,6.95302e-05,0.000278121,0.000289709,6.03883e-12,5.79418e-05
1.12e+07,6.95302e-05,0.000278121,0.000289709,6.03884e-12,5.79418e-05
1.13e+07,6.95302e-05,0.000278121,0.000289709,6.03885e-12,5.79418e-05
1.14e+07,6.95302e-05,0.000278121,0.000289709,6.03885e-12,5.79418e-05
1.15e+07,6.95302e-05,0.000278121,0.000289709,6.03886e-12,5.79418e-05
1.16e+07,6.95302e-05,0.000278121,0.000289709,6.03887e-12,5.79418e-05
1.17e+07,6.95302e-05,0.000278121,0.000289709,6.03887e-12,5.79418e-05
1.18e+07,6.95302e-05,0.000278121,0.000289709,6.03888e-12,5.79418e-05
1.19e+07,6.95302e-05,0.000278121,0.000289709,6.03889e-12,5.79418e-05
1.2e+07,6.95302e-05,0.000278121,0.000289709,6.03889e-12,5.79418e-05
1.21e+07,6.95302e-05,0.000278121,0.000289709,6.0389e-12,5.79418e-05
1.22e+07,6.95302e-05,0.000278121,0.000289709,6.03891e-12,5.79418e-05
1.23e+07,6.95302e-05,0.000278121,0.000289709,6.03891e-12,5.79418e-05
1.24e+07,6.95302e-05,0.000278121,0.000289709,6.03892e-12,5.79418e-05
1.25e+07,6.95302e-05,0.000278121,0.000289709,6.03893e-12,5.79418e-05
1.26e+07,6.95302e-05,0.000278121,0.000289709,6.03893e-12,5.79418e-05
1.27e+07,6.95302e-05,0.000278121,0.000289709,6.03894e-12,5.79418e-05
1.28e+07,6.95302e-05,0.000278121,0.000289709,6.03895e-12,5.79418e-05
1.29e+07,6.95302e-05,0.000278121,0.000289709,6.03896e-12,5.79418e-05
1.3e+07,6.95302e-05,0.000278121,0.000289709,6.03896e-12,5.79418e-05
1.31e+07,6.95302e-05,0.000278121,0.000289709,6.03897e-12,5.79418e-05
1.32e+07,6.95302e-05,0.000278121,0.000289709,6.03898e-12,5.79418e-05
1.33e+07,6.95302e-05,0.000278121,0.000289709,6.03898e-12,5.79418e-05
1.34e+07,6.95302e-05,0.000278121,0.000289709,6.03899e-12,5.79418e-05
1.35e+07,6.95302e-05,0.000278121,0.000289709,6.039e-12,5.79418e-05
1.36e+07,6.95302e-05,0.000278121,0.000289709,6.039e-12,5.79418e-05
1.37e+07,6.95302e-05,0.000278121,0.000289709,6.03901e-12,5.79418e-05
1.38e+07,6.95302e-05,0.000278121,0.000289709,6.03902e-12,5.79418e-05
