TimeStep,qw_inj,qg_inj,qw_prod,qg_prod,qo_prod
100000,6.97794e-05,0.000263916,0.000289709,6.03808e-12,5.79418e-05
200000,6.95312e-05,0.00027812,0.000289709,6.03809e-12,5.79418e-05
300000,6.95308e-05,0.00027812,0.000289709,6.0381e-12,5.79418e-05
400000,6.95304e-05,0.000278121,0.000289709,6.0381e-12,5.79418e-05
500000,6.95303e-05,0.000278121,0.000289709,6.03811e-12,5.79418e-05
600000,6.95303e-05,0.000278121,0.000289709,6.03811e-12,5.79418e-05
700000,6.95302e-05,0.000278121,0.000289709,6.03812e-12,5.79418e-05
800000,6.95302e-05,0.000278121,0.000289709,6.03813e-12,5.79418e-05
900000,6.95302e-05,0.000278121,0.000289709,6.03813e-12,5.79418e-05
1e+06,6.95302e-05,0.000278121,0.000289709,6.03814e-12,5.79418e-05
1.1e+06,6.95302e-05,0.000278121,0.000289709,6.03815e-12,5.79418e-05
1.2e+06,6.95302e-05,0.000278121,0.000289709,6.03815e-12,5.79418e-05
1.3e+06,6.95302e-05,0.000278121,0.000289709,6.03816e-12,5.79418e-05
1.4e+06,6.95302e-05,0.000278121,0.000289709,6.03816e-12,5.79418e-05
1.5e+06,6.95302e-05,0.000278121,0.000289709,6.03817e-12,5.79418e-05
1.6e+06,6.95302e-05,0.000278121,0.000289709,6.03818e-12,5.79418e-05
1.7e+06,6.95302e-05,0.000278121,0.000289709,6.03818e-12,5.79418e-05
1.8e+06,6.95302e-05,0.000278121,0.000289709,6.03819e-12,5.79418e-05
1.9e+06,6.95302e-05,0.000278121,0.000289709,6.0382e-12,5.79418e-05
2e+06,6.95302e-05,0.000278121,0.000289709,6.0382e-12,5.79418e-05
2.1e+06,6.95302e-05,0.000278121,0.000289709,6.03821e-12,5.79418e-05
2.2e+06,6.95302e-05,0.000278121,0.000289709,6.03821e-12,5.79418e-05
2.3e+06,6.95302e-05,0.000278121,0.000289709,6.03822e-12,5.79418e-05
2.4e+06,6.95302e-05,0.000278121,0.000289709,6.03823e-12,5.79418e-05
2.5e+06,6.95302e-05,0.000278121,0.000289709,6.03823e-12,5.79418e-05
2.6e+06,6.95302e-05,0.000278121,0.000289709,6.03824e-12,5.79418e-05
2.7e+06,6.95302e-05,0.000278121,0.000289709,6.03824e-12,5.79418e-05
2.8e+06,6.95302e-05,0.000278121,0.000289709,6.03825e-12,5.79418e-05
