TimeStep,qw_inj,qg_inj,qw_prod,qg_prod,qo_prod
1000,0.0325537,0.000173593,0.0272727,5.70558e-12,0.00545455
2000,0.0325639,0.00016335,0.0272727,5.7057e-12,0.00545455
3000,0.0325639,0.00016335,0.0272727,5.70581e-12,0.00545455
4000,0.0325639,0.00016335,0.0272727,5.70592e-12,0.00545455
5000,0.0325639,0.00016335,0.0272727,5.70603e-12,0.00545455
6000,0.0325639,0.00016335,0.0272727,5.70615e-12,0.00545455
7000,0.0325639,0.00016335,0.0272727,5.70626e-12,0.00545455
8000,0.0325639,0.00016335,0.0272727,5.70637e-12,0.00545455
9000,0.0325639,0.00016335,0.0272727,5.70649e-12,0.00545455
10000,0.0325639,0.00016335,0.0272727,5.7066e-12,0.00545455
11000,0.0325639,0.00016335,0.0272727,5.70671e-12,0.00545455
12000,0.0325639,0.00016335,0.0272727,5.70682e-12,0.00545455
13000,0.0325639,0.00016335,0.0272727,5.70694e-12,0.00545455
14000,0.0325639,0.00016335,0.0272727,5.70705e-12,0.00545455
15000,0.0325639,0.00016335,0.0272727,5.70716e-12,0.00545455
16000,0.0325639,0.00016335,0.0272727,5.70728e-12,0.00545455
17000,0.0325639,0.00016335,0.0272727,5.70739e-12,0.00545455
18000,0.0325639,0.00016335,0.0272727,5.7075e-12,0.00545455
19000,0.0325639,0.00016335,0.0272727,5.70762e-12,0.00545455
20000,0.0325639,0.00016335,0.0272727,5.70773e-12,0.00545455
21000,0.0325639,0.00016335,0.0272727,5.70784e-12,0.00545455
22000,0.0325639,0.00016335,0.0272727,5.70795e-12,0.00545455
23000,0.0325639,0.00016335,0.0272727,5.70807e-12,0.00545455
24000,0.0325639,0.00016335,0.0272727,5.70818e-12,0.00545455
25000,0.0325639,0.00016335,0.0272727,5.70829e-12,0.00545455
26000,0.0325639,0.00016335,0.0272727,5.70841e-12,0.00545455
27000,0.0325639,0.00016335,0.0272727,5.70852e-12,0.00545455
28000,0.0325639,0.00016335,0.0272727,5.70863e-12,0.00545455
29000,0.0325639,0.00016335,0.0272727,5.70874e-12,0.00545455
30000,0.0325639,0.00016335,0.0272727,5.70886e-12,0.00545455
31000,0.0325639,0.00016335,0.0272727,5.70897e-12,0.00545455
32000,0.0325639,0.00016335,0.0272727,5.70908e-12,0.00545455
33000,0.0325639,0.00016335,0.0272727,5.7092e-12,0.00545455
34000,0.0325639,0.00016335,0.0272727,5.70931e-12,0.00545455
35000,0.0325639,0.00016335,0.0272727,5.70942e-12,0.00545455
36000,0.0325639,0.00016335,0.0272727,5.70954e-12,0.00545455
37000,0.0325639,0.00016335,0.0272727,5.70965e-12,0.00545455
38000,0.0325639,0.00016335,0.0272727,5.70976e-12,0.00545455
39000,0.0325639,0.00016335,0.0272727,5.70987e-12,0.00545455
40000,0.0325639,0.00016335,0.0272727,5.70999e-12,0.00545455
41000,0.0325639,0.00016335,0.0272727,5.7101e-12,0.00545455
42000,0.0325639,0.00016335,0.0272727,5.71021e-12,0.00545455
43000,0.0325639,0.00016335,0.0272727,5.71033e-12,0.00545455
44000,0.0325639,0.00016335,0.0272727,5.71044e-12,0.00545455
45000,0.0325639,0.00016335,0.0272727,5.71055e-12,0.00545455
46000,0.0325639,0.00016335,0.0272727,5.71066e-12,0.00545455
47000,0.0325639,0.00016335,0.0272727,5.71078e-12,0.00545455
48000,0.0325639,0.00016335,0.0272727,5.71089e-12,0.00545455
49000,0.0325639,0.00016335,0.0272727,5.711e-12,0.00545455
50000,0.0325639,0.00016335,0.0272727,5.71112e-12,0.00545455
51000,0.0325639,0.00016335,0.0272727,5.71123e-12,0.00545455
52000,0.0325639,0.00016335,0.0272727,5.71134e-12,0.00545455
53000,0.0325639,0.00016335,0.0272727,5.71146e-12,0.00545455
54000,0.0325639,0.00016335,0.0272727,5.71157e-12,0.00545455
55000,0.0325639,0.00016335,0.0272727,5.71168e-12,0.00545455
56000,0.0325639,0.00016335,0.0272727,5.7118e-12,0.00545455
57000,0.0325639,0.00016335,0.0272727,5.71191e-12,0.00545455
58000,0.0325639,0.00016335,0.0272727,5.71202e-12,0.00545455
59000,0.0325639,0.00016335,0.0272727,5.71213e-12,0.00545455
60000,0.0325639,0.00016335,0.0272727,5.71225e-12,0.00545455
61000,0.0325639,0.00016335,0.0272727,5.71236e-12,0.00545455
62000,0.0325639,0.00016335,0.0272727,5.71247e-12,0.00545455
63000,0.0325639,0.00016335,0.0272727,5.71259e-12,0.00545455
64000,0.0325639,0.00016335,0.0272727,5.7127e-12,0.00545455
65000,0.0325639,0.00016335,0.0272727,5.71281e-12,0.00545455
66000,0.0325639,0.00016335,0.0272727,5.71293e-12,0.00545455
67000,0.0325639,0.00016335,0.0272727,5.71304e-12,0.00545455
68000,0.0325639,0.00016335,0.0272727,5.71315e-12,0.00545455
69000,0.0325639,0.00016335,0.0272727,5.71326e-12,0.00545455
70000,0.0325639,0.00016335,0.0272727,5.71338e-12,0.00545455
71000,0.0325639,0.00016335,0.0272727,5.71349e-12,0.00545455
72000,0.0325639,0.00016335,0.0272727,5.7136e-12,0.00545455
73000,0.0325639,0.00016335,0.0272727,5.71372e-12,0.00545455
74000,0.0325639,0.00016335,0.0272727,5.71383e-12,0.00545455
75000,0.0325639,0.00016335,0.0272727,5.71394e-12,0.00545455
76000,0.0325639,0.00016335,0.0272727,5.71406e-12,0.00545455
77000,0.0325639,0.00016335,0.0272727,5.71417e-12,0.00545455
78000,0.0325639,0.00016335,0.0272727,5.71428e-12,0.00545455
79000,0.0325639,0.00016335,0.0272727,5.7144e-12,0.00545455
80000,0.0325639,0.00016335,0.0272727,5.71451e-12,0.00545455
81000,0.0325639,0.00016335,0.0272727,5.71462e-12,0.00545455
82000,0.0325639,0.00016335,0.0272727,5.71473e-12,0.00545455
83000,0.0325639,0.00016335,0.0272727,5.71485e-12,0.00545455
84000,0.0325639,0.00016335,0.0272727,5.71496e-12,0.00545455
85000,0.0325639,0.00016335,0.0272727,5.71507e-12,0.00545455
86000,0.0325639,0.00016335,0.0272727,5.71519e-12,0.00545455
87000,0.0325639,0.00016335,0.0272727,5.7153e-12,0.00545455
88000,0.0325639,0.00016335,0.0272727,5.71541e-12,0.00545455
89000,0.0325639,0.00016335,0.0272727,5.71553e-12,0.00545455
90000,0.0325639,0.00016335,0.0272727,5.71564e-12,0.00545455
91000,0.0325639,0.00016335,0.0272727,5.71575e-12,0.00545455
92000,0.0325639,0.00016335,0.0272727,5.71587e-12,0.00545455
93000,0.0325639,0.00016335,0.0272727,5.71598e-12,0.00545455
94000,0.0325639,0.00016335,0.0272727,5.71609e-12,0.00545455
95000,0.0325639,0.00016335,0.0272727,5.71621e-12,0.00545455
96000,0.0325639,0.00016335,0.0272727,5.71632e-12,0.00545455
97000,0.0325639,0.00016335,0.0272727,5.71643e-12,0.00545455
98000,0.0325639,0.00016335,0.0272727,5.71654e-12,0.00545455
99000,0.0325639,0.00016335,0.0272727,5.71666e-12,0.00545455
100000,0.0325639,0.00016335,0.0272727,5.71677e-12,0.00545455
101000,0.0325639,0.00016335,0.0272727,5.71688e-12,0.00545455
102000,0.0325639,0.00016335,0.0272727,5.717e-12,0.00545455
103000,0.0325639,0.00016335,0.0272727,5.71711e-12,0.00545455
104000,0.0325639,0.00016335,0.0272727,5.71722e-12,0.00545455
105000,0.0325639,0.00016335,0.0272727,5.71734e-12,0.00545455
106000,0.0325639,0.00016335,0.0272727,5.71745e-12,0.00545455
107000,0.0325639,0.00016335,0.0272727,5.71756e-12,0.00545455
108000,0.0325639,0.00016335,0.0272727,5.71768e-12,0.00545455
109000,0.0325639,0.00016335,0.0272727,5.71779e-12,0.00545455
110000,0.0325639,0.00016335,0.0272727,5.7179e-12,0.00545455
111000,0.0325639,0.00016335,0.0272727,5.71802e-12,0.00545455
112000,0.0325639,0.00016335,0.0272727,5.71813e-12,0.00545455
113000,0.0325639,0.00016335,0.0272727,5.71824e-12,0.00545455
114000,0.0325639,0.00016335,0.0272727,5.71836e-12,0.00545455
115000,0.0325639,0.00016335,0.0272727,5.71847e-12,0.00545455
116000,0.0325639,0.00016335,0.0272727,5.71858e-12,0.00545455
117000,0.0325639,0.00016335,0.0272727,5.7187e-12,0.00545455
118000,0.0325639,0.00016335,0.0272727,5.71881e-12,0.00545455
119000,0.0325639,0.00016335,0.0272727,5.71892e-12,0.00545455
120000,0.0325639,0.00016335,0.0272727,5.71903e-12,0.00545455
121000,0.0325639,0.00016335,0.0272727,5.71915e-12,0.00545455
122000,0.0325639,0.00016335,0.0272727,5.71926e-12,0.00545455
123000,0.0325639,0.00016335,0.0272727,5.71937e-12,0.00545455
124000,0.0325639,0.00016335,0.0272727,5.71949e-12,0.00545455
125000,0.0325639,0.00016335,0.0272727,5.7196e-12,0.00545455
126000,0.0325639,0.00016335,0.0272727,5.71971e-12,0.00545455
127000,0.0325639,0.00016335,0.0272727,5.71983e-12,0.00545455
128000,0.0325639,0.00016335,0.0272727,5.71994e-12,0.00545455
129000,0.0325639,0.00016335,0.0272727,5.72005e-12,0.00545455
130000,0.0325639,0.00016335,0.0272727,5.72017e-12,0.00545455
131000,0.0325639,0.00016335,0.0272727,5.72028e-12,0.00545455
132000,0.0325639,0.00016335,0.0272727,5.72039e-12,0.00545455
133000,0.0325639,0.00016335,0.0272727,5.72051e-12,0.00545455
134000,0.0325639,0.00016335,0.0272727,5.72062e-12,0.00545455
135000,0.0325639,0.00016335,0.0272727,5.72073e-12,0.00545455
136000,0.0325639,0.00016335,0.0272727,5.72085e-12,0.00545455
137000,0.0325639,0.00016335,0.0272727,5.72096e-12,0.00545455
138000,0.0325639,0.00016335,0.0272727,5.72107e-12,0.00545455
139000,0.0325639,0.00016335,0.0272727,5.72119e-12,0.00545455
140000,0.0325639,0.00016335,0.0272727,5.7213e-12,0.00545455
141000,0.0325639,0.00016335,0.0272727,5.72141e-12,0.00545455
142000,0.0325639,0.00016335,0.0272727,5.72153e-12,0.00545455
