TimeStep,qw_inj,qg_inj,qw_prod,qg_prod,qo_prod
1000,0.000520587,0.00233033,0.00246221,3.8472e-07,0.000492441
100000,0.000591006,0.00236403,0.00246221,3.8539e-07,0.000492441
200000,0.000591006,0.00236403,0.00246221,3.86132e-07,0.000492441
300000,0.000591006,0.00236403,0.0024622,3.86813e-07,0.000492441
400000,0.000591006,0.00236403,0.0024622,3.87429e-07,0.000492441
500000,0.000591006,0.00236403,0.0024622,3.87991e-07,0.000492441
600000,0.000591006,0.00236403,0.0024622,3.88506e-07,0.000492441
700000,0.000591006,0.00236403,0.0024622,3.88983e-07,0.000492441
800000,0.000591006,0.00236403,0.0024622,3.89429e-07,0.000492441
900000,0.000591006,0.00236403,0.0024622,3.89848e-07,0.00049244
1e+06,0.000591006,0.00236403,0.0024622,3.90246e-07,0.00049244
1.1e+06,0.000591006,0.00236403,0.0024622,3.90624e-07,0.00049244
1.2e+06,0.000591006,0.00236403,0.0024622,3.90986e-07,0.00049244
1.3e+06,0.000591006,0.00236403,0.0024622,3.91334e-07,0.00049244
1.4e+06,0.000591006,0.00236403,0.0024622,3.9167e-07,0.00049244
1.5e+06,0.000591006,0.00236403,0.0024622,3.91995e-07,0.00049244
1.6e+06,0.000591006,0.00236403,0.0024622,3.9231e-07,0.00049244
1.7e+06,0.000591006,0.00236403,0.0024622,3.92617e-07,0.00049244
1.8e+06,0.000591006,0.00236403,0.0024622,3.92917e-07,0.00049244
1.9e+06,0.000591006,0.00236403,0.0024622,3.9321e-07,0.00049244
2e+06,0.000591006,0.00236403,0.0024622,3.93497e-07,0.00049244
2.1e+06,0.000591006,0.00236403,0.0024622,3.93779e-07,0.00049244
2.2e+06,0.000591006,0.00236403,0.0024622,3.94056e-07,0.00049244
2.3e+06,0.000591006,0.00236403,0.0024622,3.94328e-07,0.00049244
2.4e+06,0.000591006,0.00236403,0.0024622,3.94596e-07,0.00049244
2.5e+06,0.000591006,0.00236403,0.0024622,3.9486e-07,0.00049244
2.6e+06,0.000591006,0.00236403,0.0024622,3.95121e-07,0.00049244
2.7e+06,0.000591006,0.00236403,0.0024622,3.95379e-07,0.00049244
2.8e+06,0.000591006,0.00236403,0.0024622,3.95634e-07,0.00049244
2.9e+06,0.000591006,0.00236403,0.0024622,3.95886e-07,0.000492439
3e+06,0.000591006,0.00236403,0.0024622,3.96136e-07,0.000492439
3.1e+06,0.000591006,0.00236403,0.0024622,3.96383e-07,0.000492439
3.2e+06,0.000591006,0.00236403,0.0024622,3.96628e-07,0.000492439
3.3e+06,0.000591006,0.00236403,0.0024622,3.96871e-07,0.000492439
3.4e+06,0.000591006,0.00236403,0.0024622,3.97112e-07,0.000492439
3.5e+06,0.000591006,0.00236403,0.0024622,3.97352e-07,0.000492439
3.6e+06,0.000591006,0.00236403,0.0024622,3.9759e-07,0.000492439
3.7e+06,0.000591006,0.00236403,0.0024622,3.97826e-07,0.000492439
3799975,0.000591006,0.00236403,0.0024622,3.9806e-07,0.000492439
3900025,0.000591006,0.00236403,0.0024622,3.98294e-07,0.000492439
4000000,0.000591006,0.00236403,0.0024622,3.98526e-07,0.000492439
4099975,0.000591006,0.00236403,0.00246219,3.98757e-07,0.000492439
4200025,0.000591006,0.00236403,0.00246219,3.98986e-07,0.000492439
4300000,0.000591006,0.00236403,0.00246219,3.99215e-07,0.000492439
4399975,0.000591006,0.00236403,0.00246219,3.99442e-07,0.000492439
4500025,0.000591006,0.00236403,0.00246219,3.99669e-07,0.000492439
4600000,0.000591006,0.00236403,0.00246219,3.99894e-07,0.000492439
4699975,0.000591006,0.00236403,0.00246219,4.00119e-07,0.000492439
4800025,0.000591006,0.00236403,0.00246219,4.00343e-07,0.000492439
4900000,0.000591006,0.00236403,0.00246219,4.00566e-07,0.000492439
5000000,0.000591006,0.00236403,0.00246219,4.00787e-07,0.000492439
5100000,0.000591006,0.00236403,0.00246219,4.01009e-07,0.000492439
5200000,0.000591006,0.00236403,0.00246219,4.0123e-07,0.000492439
5300000,0.000591006,0.00236403,0.00246219,4.0145e-07,0.000492439
5400000,0.000591006,0.00236403,0.00246219,4.0167e-07,0.000492439
5500000,0.000591006,0.00236403,0.00246219,4.01889e-07,0.000492438
5600000,0.000591006,0.00236403,0.00246219,4.02107e-07,0.000492438
5700000,0.000591006,0.00236403,0.00246219,4.02325e-07,0.000492438
5800000,0.000591006,0.00236403,0.00246219,4.02542e-07,0.000492438
5900000,0.000591006,0.00236403,0.00246219,4.02759e-07,0.000492438
6000000,0.000591006,0.00236403,0.00246219,4.02976e-07,0.000492438
6100000,0.000591006,0.00236403,0.00246219,4.03192e-07,0.000492438
6200000,0.000591006,0.00236403,0.00246219,4.03407e-07,0.000492438
6300000,0.000591006,0.00236403,0.00246219,4.03623e-07,0.000492438
6400000,0.000591006,0.00236403,0.00246219,4.03837e-07,0.000492438
6500000,0.000591006,0.00236403,0.00246219,4.04052e-07,0.000492438
6600000,0.000591006,0.00236403,0.00246219,4.04266e-07,0.000492438
6700000,0.000591006,0.00236403,0.00246219,4.0448e-07,0.000492438
6800000,0.000591006,0.00236403,0.00246219,4.04693e-07,0.000492438
6900000,0.000591006,0.00236403,0.00246219,4.04907e-07,0.000492438
7000000,0.000591006,0.00236403,0.00246219,4.0512e-07,0.000492438
7100000,0.000591006,0.00236403,0.00246219,4.05332e-07,0.000492438
7200000,0.000591006,0.00236403,0.00246219,4.05545e-07,0.000492438
7300000,0.000591006,0.00236403,0.00246219,4.05757e-07,0.000492438
7400000,0.000591006,0.00236403,0.00246219,4.05969e-07,0.000492438
7500000,0.000591006,0.00236403,0.00246219,4.06181e-07,0.000492438
7600000,0.000591006,0.00236403,0.00246219,4.06392e-07,0.000492438
7700000,0.000591006,0.00236403,0.00246219,4.06604e-07,0.000492438
7800000,0.000591006,0.00236403,0.00246219,4.06815e-07,0.000492438
7900000,0.000591006,0.00236403,0.00246219,4.07027e-07,0.000492438
8000000,0.000591006,0.00236403,0.00246219,4.07238e-07,0.000492438
8100000,0.000591006,0.00236403,0.00246219,4.07449e-07,0.000492438
8200000,0.000591006,0.00236403,0.00246219,4.07661e-07,0.000492438
8300000,0.000591006,0.00236403,0.00246219,4.07873e-07,0.000492437
8400000,0.000591006,0.00236403,0.00246219,4.08085e-07,0.000492437
8500000,0.000591006,0.00236403,0.00246219,4.08298e-07,0.000492437
8600000,0.000591006,0.00236403,0.00246219,4.08512e-07,0.000492437
8700000,0.000591006,0.00236403,0.00246219,4.08728e-07,0.000492437
8800000,0.000591006,0.00236403,0.00246219,4.08948e-07,0.000492437
8900000,0.000591006,0.00236403,0.00246219,4.09191e-07,0.000492437
9000000,0.000591006,0.00236403,0.00235352,0.000130813,0.000470703
9100000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
9200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
9300000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
9400000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
9500000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
9600000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
9700000,0.000591006,0.00236403,0.000742512,0.00221252,0
9800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
9900000,0.000591006,0.00236403,0.000888016,0.00188941,0.000177603
10000000,0.000591006,0.00236403,0.000518744,0.00243629,1.64037e-19
10100000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
10200000,0.000591006,0.00236403,0.000479076,0.00247596,-8.20186e-20
10300000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
10400000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
10500000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
10600000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
10700000,0.000591006,0.00236403,0.000426139,0.00252889,0
10800000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
10900000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
11000000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
11100000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
11200000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
11300000,0.000591006,0.00236403,0.000898801,0.00187647,0.00017976
11400000,0.000591006,0.00236403,0.00111781,0.00183723,-1.64037e-19
11500000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
11600000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
11700000,0.000591006,0.00236403,0.000591302,0.00224547,0.00011826
11800000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
11900000,0.000591006,0.00236403,0.00130714,0.00164789,0
12000000,0.000591006,0.00236403,0.00103098,0.00171786,0.000206196
12100000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
12200000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
12300000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
12400000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
12500000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
12600000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
12700000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
12800000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
12900000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
13000000,0.000591006,0.00236403,0.000687781,0.00226725,-8.20186e-20
13100000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
13200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
13300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
13400000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
13500000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
13600000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
13700000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
13800000,0.000591006,0.00236403,0.00200856,0.00054476,0.000401712
13900000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
14000000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
14100000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
14200000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
14300000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
14400000,0.000591006,0.00236403,0.000617467,0.00221407,0.000123493
14500000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
14600000,0.000591006,0.00236403,0.000459168,0.00249586,8.20186e-20
14700000,0.000591006,0.00236403,0.0006861,0.00213171,0.00013722
14800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
14900000,0.000591006,0.00236403,0.000651615,0.00217309,0.000130323
15000000,0.000591006,0.00236403,0.00177127,0.000829508,0.000354254
15100000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
15200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
15300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
15400000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
15500000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
15600000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
15700000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
15800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
15900000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
16000000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16100000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16300000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
16400000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16500000,0.000591006,0.00236403,0.00246156,1.15739e-06,0.000492313
16600000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16700000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
16800000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
16900000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
17000000,0.000591006,0.00236403,0.000408519,0.00254651,8.20186e-20
17100000,0.000591006,0.00236403,0.00142747,0.00124207,0.000285494
17200000,0.000591006,0.00236403,0.000508022,0.00234541,0.000101604
17300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
17400000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
17500000,0.000591006,0.00236403,0.00243811,2.93009e-05,0.000487622
17600000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
17700000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
17800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
17900000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
18000000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
18100000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
18200000,0.000591006,0.00236403,0.000436082,0.00243173,8.72164e-05
18300000,0.000591006,0.00236403,0.000449768,0.00241531,8.99536e-05
18400000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
18500000,0.000591006,0.00236403,0.00127139,0.00142936,0.000254279
18600000,0.000591006,0.00236403,0.000727919,0.00208153,0.000145584
18700000,0.000591006,0.00236403,0.00147202,0.00148302,1.64037e-19
18800000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
18900000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
19000000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
19100000,0.000591006,0.00236403,0.00140651,0.00126723,0.000281301
19200000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
19300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
19400000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
19500000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
19600000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
19700000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
19800000,0.000591006,0.00236403,0.00251808,0.000436952,3.28075e-19
19900000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
20000000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
20100000,0.000591006,0.00236403,0.000714145,0.00209806,0.000142829
20200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
20300000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
20400000,0.000591006,0.00236403,0.000903711,0.00187058,0.000180742
20500000,0.000591006,0.00236403,0.000396987,0.00247865,7.93975e-05
20600000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
20700000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
20800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
20900000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
21000000,0.000591006,0.00236403,0.000661272,0.00229376,-1.64037e-19
21100000,0.000591006,0.00236403,0.00109132,0.00164544,0.000218265
21200000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
21300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
21400000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
21500000,0.000591006,0.00236403,0.00245759,5.92063e-06,0.000491519
21600000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
21700000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
21800000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
21900000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
22000000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
22100000,0.000591006,0.00236403,0.000738131,0.00206928,0.000147626
22200000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
22300000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
22400000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
22500000,0.000591006,0.00236403,2.92577e-05,0.00292577,2.05047e-20
22600000,0.000591006,0.00236403,0.00209563,0.000440277,0.000419126
22700000,0.000591006,0.00236403,0.000646609,0.0021791,0.000129322
22800000,0.000591006,0.00236403,0.00246252,3.84769e-09,0.000492505
22900000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
23000000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
23100000,0.000591006,0.00236403,0.00295503,4.61723e-09,0
23200000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
23300000,0.000591006,0.00236403,2.91999e-05,0.00291999,5.83999e-06
23400000,0.000591006,0.00236403,0.000947913,0.00181754,0.000189583
