Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
17725,1.6157e-05,-7.0967e-20,0,0.36008,0.53592,0.36008,0.53592,0.104,0.104,0.1298,0.21894,3.1972,1.3702,4.5674,1.165,3.2061e+05,3.2061e+05,-11.555,0.22,3.2061e+05,0,0,0
17725,1.6157e-05,-7.0967e-20,0,0.36008,0.53592,0.36008,0.53592,0.104,0.104,0.1298,0.21894,3.1972,1.3702,4.5674,1.165,3.2061e+05,3.2061e+05,-11.555,0.22,3.2061e+05,0.004,0,0
17725,1.6157e-05,3.5484e-19,0,0.36008,0.53592,0.36008,0.53592,0.104,0.104,0.1298,0.21894,3.1972,1.3702,4.5674,1.165,3.2061e+05,3.2061e+05,-11.555,0.22,3.2061e+05,0,0.035449,0
17725,1.6157e-05,3.5484e-19,0,0.36008,0.53592,0.36008,0.53592,0.104,0.104,0.1298,0.21894,3.1972,1.3702,4.5674,1.165,3.2061e+05,3.2061e+05,-11.555,0.22,3.2061e+05,0.004,0.035449,0
17725,1.6157e-05,7.0885e-20,0,0.36005,0.53577,0.36003,0.53561,0.10418,0.10436,0.12975,0.21904,3.1959,1.3694,4.5653,1.165,3.1762e+05,3.1762e+05,-11.555,0.22,3.1762e+05,0.004,0,0
17725,1.6157e-05,7.0885e-20,0,0.36,0.53546,0.36003,0.53561,0.10454,0.10436,0.12975,0.21935,3.1912,1.3677,4.5589,1.165,3.1762e+05,3.1762e+05,-11.555,0.22,3.1762e+05,0.008,0,0
17725,1.6157e-05,7.0885e-20,0,0.36005,0.53577,0.36003,0.53561,0.10418,0.10436,0.12975,0.21904,3.1959,1.3694,4.5653,1.165,3.1762e+05,3.1762e+05,-11.555,0.22,3.1762e+05,0.004,0.035449,0
17725,1.6157e-05,7.0885e-20,0,0.36,0.53546,0.36003,0.53561,0.10454,0.10436,0.12975,0.21935,3.1912,1.3677,4.5589,1.165,3.1762e+05,3.1762e+05,-11.555,0.22,3.1762e+05,0.008,0.035449,0
17725,1.6157e-05,7.0978e-20,0,0.35999,0.53542,0.35996,0.53522,0.10459,0.10482,0.1297,0.21933,3.1919,1.3675,4.5594,1.165,3.1462e+05,3.1462e+05,-11.555,0.22,3.1462e+05,0.008,0,0
17725,1.6157e-05,7.0978e-20,0,0.35993,0.53503,0.35996,0.53522,0.10504,0.10482,0.1297,0.21972,3.1858,1.3654,4.5513,1.165,3.1462e+05,3.1462e+05,-11.555,0.22,3.1462e+05,0.012,0,0
