Time,"K","Sa","Sb","Sc","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,2.7831e-12,0.013,0.56798,0.41902,0,0,1.131e-05,0,0,4.8472e-06,0,0,0,0,1,0,0,0,0
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,0.004
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.008,0,0,0.008
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.012,0,0,0.012
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.016,0,0,0.016
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.02,0,0,0.02
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.024,0,0,0.024
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.028,0,0,0.028
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.032,0,0,0.032
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.036,0,0,0.036
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.04,0,0,0.04
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.044,0,0,0.044
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.048,0,0,0.048
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.052,0,0,0.052
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.056,0,0,0.056
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.06,0,0,0.06
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.064,0,0,0.064
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.068,0,0,0.068
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.072,0,0,0.072
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.076,0,0,0.076
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.08,0,0,0.08
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.084,0,0,0.084
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.088,0,0,0.088
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.092,0,0,0.092
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.096,0,0,0.096
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0.1
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.104,0,0,0.104
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.108,0,0,0.108
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.112,0,0,0.112
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.116,0,0,0.116
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.12,0,0,0.12
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.124,0,0,0.124
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.128,0,0,0.128
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.132,0,0,0.132
0,2.7831e-12,0.013,0.56798,0.41902,0,0,0,0,0,0,0,0,0,0,1,0.136,0,0,0.136
