"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.19483,0.80517,1e-12,0.55,0.35,0.1,1.4111e-05,0,0,2.7488e-06,0,0,1.1362e-05,0,0,0,0,0,0.25,0.0002363,0.097656,3.0815e-33,88364,1,0,0,0.005,0.005
0.19479,0.80521,1e-12,0.54771,0.35114,0.10115,1.4111e-05,0,0,2.7487e-06,0,0,1.1362e-05,0,0,8.7527e-11,0,0,0.25,0.00023839,0.098547,2.65e-06,87939,1,0.00367,0.00367,0.005,0.005
0.19477,0.80521,1e-12,0.54502,0.35248,0.1025,1.4111e-05,0,0,2.7483e-06,0,0,1.1362e-05,0,0,2.7708e-10,0,0,0.25,0.00024093,0.099603,1.0654e-05,87518,1,0.00734,0.00734,0.005,0.005
0.19471,0.80525,1e-12,0.54209,0.35396,0.10395,1.4111e-05,0,0,2.7477e-06,0,0,1.1363e-05,0,0,5.9854e-10,0,0,0.25,0.00024367,0.10077,2.5215e-05,87102,1,0.01101,0.01101,0.005,0.005
0.19467,0.80526,1e-12,0.53927,0.35538,0.10535,1.4111e-05,0,0,2.7467e-06,0,0,1.1363e-05,0,0,1.0401e-09,0,0,0.25,0.00024636,0.10191,4.5462e-05,86690,1,0.01468,0.01468,0.005,0.005
0.19455,0.80534,1e-12,0.53647,0.35683,0.1067,1.4111e-05,0,0,2.7455e-06,0,0,1.1364e-05,0,0,1.5852e-09,0,0,0.25,0.00024897,0.10306,7.0932e-05,86284,1,0.01835,0.01835,0.005,0.005
0.19449,0.80536,1e-12,0.5338,0.35819,0.108,1.4111e-05,0,0,2.7441e-06,0,0,1.1365e-05,0,0,2.2112e-09,0,0,0.25,0.00025154,0.10416,0.00010075,85881,1,0.02202,0.02202,0.005,0.005
0.19433,0.80546,1e-12,0.53124,0.35954,0.10923,1.4111e-05,0,0,2.7425e-06,0,0,1.1366e-05,0,0,2.8866e-09,0,0,0.25,0.00025393,0.10525,0.0001335,85483,1,0.02569,0.02569,0.005,0.005
0.19426,0.80549,1e-12,0.52893,0.36073,0.11034,1.4111e-05,0,0,2.7411e-06,0,0,1.1366e-05,0,0,3.5751e-09,0,0,0.25,0.00025618,0.10622,0.00016734,85088,1,0.02936,0.02936,0.005,0.005
0.19416,0.80554,1e-12,0.52686,0.36182,0.11132,1.4111e-05,0,0,2.7398e-06,0,0,1.1367e-05,0,0,4.2454e-09,0,0,0.25,0.00025816,0.10711,0.00020045,84697,1,0.03303,0.03303,0.005,0.005
0.19405,0.8056,1e-12,0.52503,0.36279,0.11218,1.4111e-05,0,0,2.7385e-06,0,0,1.1368e-05,0,0,4.9061e-09,0,0,0.25,0.00025992,0.1079,0.00023214,84309,1,0.0367,0.0367,0.005,0.005
0.194,0.80561,1e-12,0.52317,0.36376,0.11307,1.4111e-05,0,0,2.7369e-06,0,0,1.1368e-05,0,0,5.7563e-09,0,0,0.25,0.00026177,0.1087,0.00026714,83924,1,0.04037,0.04037,0.005,0.005
0.19376,0.80575,1e-12,0.51975,0.36559,0.11465,1.4111e-05,0,0,2.7326e-06,0,0,1.1371e-05,0,0,7.7998e-09,0,0,0.25,0.00026505,0.11022,0.00033732,83543,1,0.04404,0.04404,0.005,0.005
0.19309,0.80607,1e-12,0.50944,0.37119,0.11937,1.4111e-05,0,0,2.7172e-06,0,0,1.1379e-05,0,0,1.4844e-08,0,0,0.25,0.0002753,0.11494,0.00060674,83172,1,0.04771,0.04771,0.005,0.005
0.18783,0.80913,1e-12,0.45999,0.40015,0.13986,1.4111e-05,0,0,2.6398e-06,0,0,1.1424e-05,0,0,4.7572e-08,0,0,0.25,0.0003275,0.14171,0.0029273,82833,1,0.05138,0.05138,0.005,0.005
0.17199,0.81898,1e-12,0.29023,0.51129,0.19849,1.4111e-05,0,0,2.4588e-06,0,0,1.1535e-05,0,0,1.1689e-07,0,0,0.25,0.00056273,0.27601,0.017879,82594,1,0.05505,0.05505,0.005,0.005
0.15781,0.82827,1e-12,0.12298,0.62479,0.25223,1.4111e-05,0,0,2.2681e-06,0,0,1.1661e-05,0,0,1.8177e-07,0,0,0.25,0.0008203,0.43145,0.036436,82462,1,0.05872,0.05872,0.005,0.005
0.15336,0.83164,1e-12,0.074204,0.6582,0.26759,1.4111e-05,0,0,2.1699e-06,0,0,1.1732e-05,0,0,2.0958e-07,0,0,0.25,0.00089773,0.48693,0.043904,82368,1,0.06239,0.06239,0.005,0.005
0.15092,0.83366,1e-12,0.060033,0.66741,0.27256,1.4111e-05,0,0,2.1329e-06,0,0,1.1761e-05,0,0,2.1702e-07,0,0,0.25,0.00091064,0.50306,0.046531,82281,1,0.06606,0.06606,0.005,0.005
0.14944,0.83488,1e-12,0.053233,0.67162,0.27515,1.4111e-05,0,0,2.1112e-06,0,0,1.1779e-05,0,0,2.2093e-07,0,0,0.25,0.00091385,0.51055,0.047933,82196,1,0.06973,0.06973,0.005,0.005
0.14868,0.83547,1e-12,0.049192,0.67401,0.2768,1.4111e-05,0,0,2.0997e-06,0,0,1.1788e-05,0,0,2.235e-07,0,0,0.25,0.00091618,0.51483,0.048839,82112,1,0.0734,0.0734,0.005,0.005
0.14839,0.83563,1e-12,0.046594,0.67548,0.27792,1.4111e-05,0,0,2.0949e-06,0,0,1.1791e-05,0,0,2.2529e-07,0,0,0.25,0.00091894,0.51747,0.049464,82028,1,0.07707,0.07707,0.005,0.005
0.14836,0.83558,1e-12,0.044905,0.6764,0.27869,1.4111e-05,0,0,2.0939e-06,0,0,1.1791e-05,0,0,2.2654e-07,0,0,0.25,0.00092172,0.51912,0.049893,81944,1,0.08074,0.08074,0.005,0.005
0.14842,0.83546,1e-12,0.043834,0.67696,0.2792,1.4111e-05,0,0,2.0945e-06,0,0,1.1789e-05,0,0,2.2738e-07,0,0,0.25,0.00092405,0.52013,0.050178,81861,1,0.08441,0.08441,0.005,0.005
0.14851,0.83534,1e-12,0.043187,0.67729,0.27952,1.4111e-05,0,0,2.0954e-06,0,0,1.1788e-05,0,0,2.2792e-07,0,0,0.25,0.00092576,0.52073,0.050355,81778,1,0.08808,0.08808,0.005,0.005
0.14855,0.83528,1e-12,0.042814,0.67748,0.2797,1.4111e-05,0,0,2.096e-06,0,0,1.1787e-05,0,0,2.2823e-07,0,0,0.25,0.00092669,0.52107,0.050457,81695,1,0.09175,0.09175,0.005,0.005
0.14854,0.83527,1e-12,0.04261,0.67759,0.2798,1.4111e-05,0,0,2.096e-06,0,0,1.1787e-05,0,0,2.2841e-07,0,0,0.25,0.00092696,0.52127,0.050513,81612,1,0.09542,0.09542,0.005,0.005
0.14851,0.83529,1e-12,0.042504,0.67765,0.27985,1.4111e-05,0,0,2.0957e-06,0,0,1.1787e-05,0,0,2.2851e-07,0,0,0.25,0.00092697,0.52137,0.050541,81529,1,0.09909,0.09909,0.005,0.005
0.14848,0.83532,1e-12,0.04245,0.67768,0.27987,1.4111e-05,0,0,2.0952e-06,0,0,1.1787e-05,0,0,2.2856e-07,0,0,0.25,0.00092682,0.52142,0.050554,81446,1,0.10276,0.10276,0.005,0.005
0.14842,0.83538,1e-12,0.042419,0.6777,0.27989,1.4111e-05,0,0,2.0944e-06,0,0,1.1788e-05,0,0,2.2859e-07,0,0,0.25,0.00092649,0.52146,0.05056,81363,1,0.10643,0.10643,0.005,0.005
0.14836,0.83544,1e-12,0.042399,0.67771,0.27989,1.4111e-05,0,0,2.0936e-06,0,0,1.1789e-05,0,0,2.2861e-07,0,0,0.25,0.00092609,0.52148,0.050563,81280,1,0.1101,0.1101,0.005,0.005
0.1483,0.83549,1e-12,0.042384,0.67772,0.27989,1.4111e-05,0,0,2.0927e-06,0,0,1.179e-05,0,0,2.2862e-07,0,0,0.25,0.00092569,0.52151,0.050565,81197,1,0.11377,0.11377,0.005,0.005
0.14825,0.83555,1e-12,0.042372,0.67773,0.27989,1.4111e-05,0,0,2.0919e-06,0,0,1.179e-05,0,0,2.2863e-07,0,0,0.25,0.0009253,0.52153,0.050566,81114,1,0.11744,0.11744,0.005,0.005
