Time,"Apparent_viscosity","Gas_Density","Gas_Mobility","Gas_Saturation","Gas_Saturation_mean","Gas_Viscosity","Gas_pressure","Oil_Pressure","Oil_Saturation","Oil_Saturation_mean","Permeability","Porosity","Total_Mobility","Velocity:0","Velocity:1","Velocity:2","Water_Mobility","Water_Pressure","Water_Saturation","Water_Saturation_mean","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
50,0.00823,1.165,23.85,0.55,0.54957,0.019818,82574,82574,0.1,0.10063,-12,0.25,121.51,1.4111e-05,6.3357e-19,0,97.656,82574,0.35,0.3498,1,0,0,0.005,0
50,0.0082559,1.165,23.775,0.54913,0.54957,0.019818,82574,82574,0.10126,0.10063,-12,0.25,121.13,1.4111e-05,6.3357e-19,0,97.35,82574,0.34961,0.3498,1,0.00367,0.00367,0.005,0
50,0.008172,1.165,24.017,0.54653,0.54754,0.019432,82219,82219,0.10258,0.10193,-12,0.25,122.37,1.4111e-05,-2.1256e-19,0,98.35,82219,0.35089,0.35053,1,0.00734,0.00734,0.005,0
50,0.008085,1.165,24.271,0.54381,0.54505,0.019038,81866,81866,0.10396,0.10328,-12,0.25,123.69,1.4111e-05,-3.9848e-35,0,99.409,81866,0.35223,0.35166,1,0.01101,0.01101,0.005,0
50,0.0079946,1.165,24.539,0.54095,0.54232,0.018633,81518,81518,0.10539,0.10469,-12,0.25,125.08,1.4111e-05,2.1731e-19,0,100.54,81518,0.35366,0.35299,1,0.01468,0.01468,0.005,0
50,0.0079004,1.165,24.822,0.53793,0.5394,0.018216,81173,81173,0.10689,0.10616,-12,0.25,126.58,1.4111e-05,1.5299e-21,0,101.74,81173,0.35517,0.35445,1,0.01835,0.01835,0.005,0
50,0.0078017,1.165,25.122,0.53474,0.53629,0.017785,80832,80832,0.10847,0.1077,-12,0.25,128.18,1.4111e-05,6.7013e-19,0,103.03,80832,0.35679,0.35601,1,0.02202,0.02202,0.005,0
50,0.0076981,1.165,25.443,0.53134,0.53299,0.017338,80496,80496,0.11014,0.10932,-12,0.25,129.9,1.4111e-05,-6.7585e-19,0,104.43,80496,0.35852,0.35768,1,0.02569,0.02569,0.005,0
50,0.0075886,1.165,25.787,0.5277,0.52946,0.016872,80164,80164,0.11191,0.11105,-12,0.25,131.78,1.4111e-05,2.2866e-19,0,105.95,80164,0.36039,0.35949,1,0.02936,0.02936,0.005,0
50,0.007472,1.165,26.161,0.52375,0.52565,0.016384,79837,79837,0.11381,0.11289,-12,0.25,133.83,1.4111e-05,-4.6547e-19,0,107.61,79837,0.36243,0.36145,1,0.03303,0.03303,0.005,0
