Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
750,1.6157e-05,0,0,0.35751,0.52002,0.35751,0.52002,0.12247,0.12247,0.1277,0.23263,3.0046,1.2889,4.2987,1.165,4.1113e+05,4.1113e+05,-11.555,0.22,4.1113e+05,0,0,0
750,1.6157e-05,0,0,0.35751,0.52002,0.35751,0.52002,0.12247,0.12247,0.1277,0.23263,3.0046,1.2889,4.2987,1.165,4.1113e+05,4.1113e+05,-11.555,0.22,4.1113e+05,0.004,0,0
750,1.6157e-05,0,0,0.35751,0.52002,0.35751,0.52002,0.12247,0.12247,0.1277,0.23263,3.0046,1.2889,4.2987,1.165,4.1113e+05,4.1113e+05,-11.555,0.22,4.1113e+05,0,0.035449,0
750,1.6157e-05,0,0,0.35751,0.52002,0.35751,0.52002,0.12247,0.12247,0.1277,0.23263,3.0046,1.2889,4.2987,1.165,4.1113e+05,4.1113e+05,-11.555,0.22,4.1113e+05,0.004,0.035449,0
750,1.6157e-05,-1.3051e-19,0,0.35704,0.5173,0.35656,0.51458,0.12566,0.12886,0.12698,0.23464,2.9805,1.2742,4.2618,1.165,4.0792e+05,4.0792e+05,-11.555,0.22,4.0792e+05,0.004,0,0
750,1.6157e-05,-1.3051e-19,0,0.35609,0.51186,0.35656,0.51458,0.13206,0.12886,0.12698,0.24059,2.8995,1.2453,4.1564,1.165,4.0792e+05,4.0792e+05,-11.555,0.22,4.0792e+05,0.008,0,0
750,1.6157e-05,-1.3051e-19,0,0.35704,0.5173,0.35656,0.51458,0.12566,0.12886,0.12698,0.23464,2.9805,1.2742,4.2618,1.165,4.0792e+05,4.0792e+05,-11.555,0.22,4.0792e+05,0.004,0.035449,0
750,1.6157e-05,-1.3051e-19,0,0.35609,0.51186,0.35656,0.51458,0.13206,0.12886,0.12698,0.24059,2.8995,1.2453,4.1564,1.165,4.0792e+05,4.0792e+05,-11.555,0.22,4.0792e+05,0.008,0.035449,0
750,1.6157e-05,-3.8067e-19,0,0.356,0.51123,0.35544,0.50789,0.13277,0.13667,0.12616,0.24016,2.9091,1.2426,4.1639,1.165,4.0462e+05,4.0462e+05,-11.555,0.22,4.0462e+05,0.008,0,0
750,1.6157e-05,-3.8067e-19,0,0.35488,0.50455,0.35544,0.50789,0.14058,0.13667,0.12616,0.24756,2.8109,1.2091,4.0394,1.165,4.0462e+05,4.0462e+05,-11.555,0.22,4.0462e+05,0.012,0,0
750,1.6157e-05,7.6194e-19,0,0.356,0.51123,0.35544,0.50789,0.13277,0.13667,0.12616,0.24016,2.9091,1.2426,4.1639,1.165,4.0462e+05,4.0462e+05,-11.555,0.22,4.0462e+05,0.008,0.035449,0
