"Fa","Fb","K","Sa","Sb","Sc","U:0","U:1","U:2","Ua:0","Ua:1","Ua:2","Ub:0","Ub:1","Ub:2","Uc:0","Uc:1","Uc:2","eps","kra","krb","krc","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.19483,0.80517,1e-12,0.55,0.35,0.1,1.4111e-05,0,0,2.7488e-06,0,0,1.1362e-05,0,0,0,0,0,0.25,0.0002363,0.097656,3.0815e-33,1.8773e+05,1,0,0,0.005,0.005
0.19478,0.80522,1e-12,0.54895,0.35053,0.10053,1.4111e-05,0,0,2.7488e-06,0,0,1.1362e-05,0,0,1.9057e-11,0,0,0.25,0.00023722,0.098067,5.442e-07,1.8731e+05,1,0.00367,0.00367,0.005,0.005
0.19479,0.8052,1e-12,0.54773,0.35113,0.10114,1.4111e-05,0,0,2.7486e-06,0,0,1.1362e-05,0,0,6.0494e-11,0,0,0.25,0.00023838,0.098538,2.2403e-06,1.8688e+05,1,0.00734,0.00734,0.005,0.005
0.19478,0.80521,1e-12,0.54633,0.35182,0.10185,1.4111e-05,0,0,2.7485e-06,0,0,1.1362e-05,0,0,1.3468e-10,0,0,0.25,0.00023969,0.099085,5.5098e-06,1.8646e+05,1,0.01101,0.01101,0.005,0.005
0.19477,0.80522,1e-12,0.54494,0.35252,0.10254,1.4111e-05,0,0,2.7484e-06,0,0,1.1362e-05,0,0,2.4248e-10,0,0,0.25,0.00024099,0.099633,1.0274e-05,1.8604e+05,1,0.01468,0.01468,0.005,0.005
0.19475,0.80522,1e-12,0.54355,0.35321,0.10323,1.4111e-05,0,0,2.7481e-06,0,0,1.1363e-05,0,0,3.8297e-10,0,0,0.25,0.00024231,0.10018,1.6527e-05,1.8562e+05,1,0.01835,0.01835,0.005,0.005
0.19473,0.80524,1e-12,0.54215,0.35392,0.10393,1.4111e-05,0,0,2.7478e-06,0,0,1.1363e-05,0,0,5.5586e-10,0,0,0.25,0.00024362,0.10074,2.4284e-05,1.8521e+05,1,0.02202,0.02202,0.005,0.005
0.1947,0.80525,1e-12,0.54074,0.35463,0.10462,1.4111e-05,0,0,2.7474e-06,0,0,1.1363e-05,0,0,7.6106e-10,0,0,0.25,0.00024495,0.10131,3.3569e-05,1.848e+05,1,0.02569,0.02569,0.005,0.005
0.19467,0.80526,1e-12,0.53933,0.35536,0.10532,1.4111e-05,0,0,2.7469e-06,0,0,1.1363e-05,0,0,9.9843e-10,0,0,0.25,0.0002463,0.10189,4.4404e-05,1.8439e+05,1,0.02936,0.02936,0.005,0.005
0.19462,0.80529,1e-12,0.53789,0.35609,0.10602,1.4111e-05,0,0,2.7463e-06,0,0,1.1363e-05,0,0,1.2676e-09,0,0,0.25,0.00024765,0.10247,5.6801e-05,1.8398e+05,1,0.03303,0.03303,0.005,0.005
0.19458,0.80531,1e-12,0.53646,0.35682,0.10672,1.4111e-05,0,0,2.7457e-06,0,0,1.1364e-05,0,0,1.5677e-09,0,0,0.25,0.00024902,0.10306,7.0751e-05,1.8357e+05,1,0.0367,0.0367,0.005,0.005
0.19453,0.80534,1e-12,0.53501,0.35757,0.10742,1.4111e-05,0,0,2.745e-06,0,0,1.1364e-05,0,0,1.8972e-09,0,0,0.25,0.00025038,0.10366,8.6215e-05,1.8317e+05,1,0.04037,0.04037,0.005,0.005
0.19448,0.80536,1e-12,0.53358,0.35831,0.10812,1.4111e-05,0,0,2.7442e-06,0,0,1.1365e-05,0,0,2.254e-09,0,0,0.25,0.00025176,0.10426,0.00010311,1.8277e+05,1,0.04404,0.04404,0.005,0.005
0.19441,0.8054,1e-12,0.53214,0.35906,0.1088,1.4111e-05,0,0,2.7434e-06,0,0,1.1365e-05,0,0,2.6346e-09,0,0,0.25,0.00025312,0.10486,0.00012131,1.8237e+05,1,0.04771,0.04771,0.005,0.005
