Time,"Velocity:0","Velocity:1","Velocity:2","Water_Saturation","Gas_Saturation","Water_Saturation_mean","Gas_Saturation_mean","Oil_Saturation","Oil_Saturation_mean","Gas_Viscosity","Apparent_viscosity","Gas_Mobility","Water_Mobility","Total_Mobility","Gas_Density","Oil_Pressure","Water_Pressure","Permeability","Porosity","Gas_pressure","Points:0","Points:1","Points:2"
80,1.4111e-05,-2.5323e-18,0,0.35,0.55,0.34991,0.54979,0.1,0.1003,0.019915,0.0082379,23.733,97.656,121.39,1.165,2.598e+05,2.598e+05,-12,0.25,2.598e+05,0,0,0
80,1.4111e-05,-2.5323e-18,0,0.34981,0.54958,0.34991,0.54979,0.10061,0.1003,0.019915,0.0082504,23.697,97.509,121.21,1.165,2.598e+05,2.598e+05,-12,0.25,2.598e+05,0.00367,0,0
80,1.4111e-05,4.0998e-34,0,0.35,0.55,0.34991,0.54979,0.1,0.1003,0.019915,0.0082379,23.733,97.656,121.39,1.165,2.598e+05,2.598e+05,-12,0.25,2.598e+05,0,0.01,0
80,1.4111e-05,4.0998e-34,0,0.34981,0.54958,0.34991,0.54979,0.10061,0.1003,0.019915,0.0082504,23.697,97.509,121.21,1.165,2.598e+05,2.598e+05,-12,0.25,2.598e+05,0.00367,0.01,0
80,1.4111e-05,-1.6941e-18,0,0.35007,0.54932,0.35024,0.54884,0.10061,0.10092,0.019732,0.0082231,23.894,97.714,121.61,1.165,2.5945e+05,2.5945e+05,-12,0.25,2.5945e+05,0.00367,0,0
80,1.4111e-05,-1.6941e-18,0,0.35041,0.54836,0.35024,0.54884,0.10122,0.10092,0.019732,0.0082109,23.811,97.978,121.79,1.165,2.5945e+05,2.5945e+05,-12,0.25,2.5945e+05,0.00734,0,0
80,1.4111e-05,3.3892e-18,0,0.35007,0.54932,0.35024,0.54884,0.10061,0.10092,0.019732,0.0082231,23.894,97.714,121.61,1.165,2.5945e+05,2.5945e+05,-12,0.25,2.5945e+05,0.00367,0.01,0
80,1.4111e-05,3.3892e-18,0,0.35041,0.54836,0.35024,0.54884,0.10122,0.10092,0.019732,0.0082109,23.811,97.978,121.79,1.165,2.5945e+05,2.5945e+05,-12,0.25,2.5945e+05,0.00734,0.01,0
80,1.4111e-05,2.5532e-18,0,0.3505,0.54827,0.35077,0.5477,0.10123,0.10154,0.019548,0.0081915,24.027,98.051,122.08,1.165,2.5909e+05,2.5909e+05,-12,0.25,2.5909e+05,0.00734,0,0
80,1.4111e-05,2.5532e-18,0,0.35103,0.54712,0.35077,0.5477,0.10185,0.10154,0.019548,0.0081707,23.927,98.46,122.39,1.165,2.5909e+05,2.5909e+05,-12,0.25,2.5909e+05,0.01101,0,0
80,1.4111e-05,-2.5532e-18,0,0.3505,0.54827,0.35077,0.5477,0.10123,0.10154,0.019548,0.0081915,24.027,98.051,122.08,1.165,2.5909e+05,2.5909e+05,-12,0.25,2.5909e+05,0.00734,0.01,0
80,1.4111e-05,-2.5532e-18,0,0.35103,0.54712,0.35077,0.5477,0.10185,0.10154,0.019548,0.0081707,23.927,98.46,122.39,1.165,2.5909e+05,2.5909e+05,-12,0.25,2.5909e+05,0.01101,0.01,0
80,1.4111e-05,0,0,0.35106,0.54708,0.35136,0.54647,0.10186,0.10217,0.019362,0.0081538,24.154,98.488,122.64,1.165,2.5874e+05,2.5874e+05,-12,0.25,2.5874e+05,0.01101,0,0
80,1.4111e-05,0,0,0.35165,0.54586,0.35136,0.54647,0.10249,0.10217,0.019362,0.00813,24.046,98.953,123,1.165,2.5874e+05,2.5874e+05,-12,0.25,2.5874e+05,0.01468,0,0
80,1.4111e-05,0,0,0.35106,0.54708,0.35136,0.54647,0.10186,0.10217,0.019362,0.0081538,24.154,98.488,122.64,1.165,2.5874e+05,2.5874e+05,-12,0.25,2.5874e+05,0.01101,0.01,0
80,1.4111e-05,0,0,0.35165,0.54586,0.35136,0.54647,0.10249,0.10217,0.019362,0.00813,24.046,98.953,123,1.165,2.5874e+05,2.5874e+05,-12,0.25,2.5874e+05,0.01468,0.01,0
80,1.4111e-05,8.6102e-19,0,0.35167,0.54583,0.35199,0.5452,0.10249,0.10282,0.019174,0.0081137,24.279,98.967,123.25,1.165,2.5839e+05,2.5839e+05,-12,0.25,2.5839e+05,0.01468,0,0
80,1.4111e-05,8.6102e-19,0,0.3523,0.54456,0.35199,0.5452,0.10314,0.10282,0.019174,0.0080886,24.167,99.461,123.63,1.165,2.5839e+05,2.5839e+05,-12,0.25,2.5839e+05,0.01835,0,0
80,1.4111e-05,-4.2959e-18,0,0.35167,0.54583,0.35199,0.5452,0.10249,0.10282,0.019174,0.0081137,24.279,98.967,123.25,1.165,2.5839e+05,2.5839e+05,-12,0.25,2.5839e+05,0.01468,0.01,0
80,1.4111e-05,-4.2959e-18,0,0.3523,0.54456,0.35199,0.5452,0.10314,0.10282,0.019174,0.0080886,24.167,99.461,123.63,1.165,2.5839e+05,2.5839e+05,-12,0.25,2.5839e+05,0.01835,0.01,0
80,1.4111e-05,4.3221e-18,0,0.35231,0.54455,0.35263,0.5439,0.10314,0.10347,0.018983,0.0080724,24.407,99.469,123.88,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.01835,0,0
80,1.4111e-05,4.3221e-18,0,0.35296,0.54324,0.35263,0.5439,0.1038,0.10347,0.018983,0.0080466,24.29,99.982,124.28,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.02202,0,0
80,1.4111e-05,-8.6149e-19,0,0.35231,0.54455,0.35263,0.5439,0.10314,0.10347,0.018983,0.0080724,24.407,99.469,123.88,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.01835,0.01,0
80,1.4111e-05,-8.6149e-19,0,0.35296,0.54324,0.35263,0.5439,0.1038,0.10347,0.018983,0.0080466,24.29,99.982,124.28,1.165,2.5804e+05,2.5804e+05,-12,0.25,2.5804e+05,0.02202,0.01,0
80,1.4111e-05,8.6912e-19,0,0.35297,0.54323,0.3533,0.54256,0.1038,0.10414,0.018791,0.0080301,24.538,99.989,124.53,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02202,0,0
80,1.4111e-05,8.6912e-19,0,0.35364,0.54189,0.3533,0.54256,0.10447,0.10414,0.018791,0.0080037,24.417,100.52,124.94,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02569,0,0
80,1.4111e-05,8.6912e-19,0,0.35297,0.54323,0.3533,0.54256,0.1038,0.10414,0.018791,0.0080301,24.538,99.989,124.53,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02202,0.01,0
80,1.4111e-05,8.6912e-19,0,0.35364,0.54189,0.3533,0.54256,0.10447,0.10414,0.018791,0.0080037,24.417,100.52,124.94,1.165,2.5769e+05,2.5769e+05,-12,0.25,2.5769e+05,0.02569,0.01,0
80,1.4111e-05,-7.8589e-18,0,0.35365,0.54188,0.35399,0.5412,0.10448,0.10482,0.018596,0.007987,24.671,100.53,125.2,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02569,0,0
80,1.4111e-05,-7.8589e-18,0,0.35433,0.54051,0.35399,0.5412,0.10516,0.10482,0.018596,0.0079601,24.547,101.07,125.63,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02936,0,0
80,1.4111e-05,7.8589e-18,0,0.35365,0.54188,0.35399,0.5412,0.10448,0.10482,0.018596,0.007987,24.671,100.53,125.2,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02569,0.01,0
80,1.4111e-05,7.8589e-18,0,0.35433,0.54051,0.35399,0.5412,0.10516,0.10482,0.018596,0.0079601,24.547,101.07,125.63,1.165,2.5734e+05,2.5734e+05,-12,0.25,2.5734e+05,0.02936,0.01,0
80,1.4111e-05,-1.2239e-21,0,0.35434,0.5405,0.35469,0.5398,0.10516,0.10551,0.018399,0.0079431,24.809,101.08,125.89,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.02936,0,0
80,1.4111e-05,-1.2239e-21,0,0.35505,0.5391,0.35469,0.5398,0.10585,0.10551,0.018399,0.0079157,24.681,101.64,126.33,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.03303,0,0
80,1.4111e-05,-5.2695e-18,0,0.35434,0.5405,0.35469,0.5398,0.10516,0.10551,0.018399,0.0079431,24.809,101.08,125.89,1.165,2.57e+05,2.57e+05,-12,0.25,2.57e+05,0.02936,0.01,0
